cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44
16,ar-,Argus,Gardez,chard,gard,Picarde,Picardie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,le chteau,Tonnay-Charente,chateau,CHATEAU b,CHAPEAU,beate,CHATEAU,CATEAU,BATEAU,"plus,26
LE CHA1TEAU",monseigneur'e-LE CATEAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Villers-Cotterets,Orleans,lens,tomber332,ler,Enfer-,Cle,le330,leroi,Doncule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Elleaimait,Jirai,aimais,IM,sais,MAI,Jetais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,au102,auprs,place auprs,Beaupr,cupee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,cA2A E NOy,messieurs?190 r. cA2A E NOy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,LiE,valley,Vallier,La Vallier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,dAlbret,Albret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,--Je,CL.---202,r-----.-.-,ccc:::--148,---Je,--- Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Combien,Ehiol,biehi,BIen-,gie,HI1I0,Eh,philosophiquemenl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,A01,L.L,I9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,mallee,Mal-,malte,alors7,Malade-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,leeque,Lveque,eveques,vecu,equipagcs,Jusquici,Fresque,que',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"terre,206  L cHATA p SINoN.","terre,206  L cHATA p",l06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Accoutumee,oula,etpour,Cour7,Coup,Cour,Mothe-Houdancourt,Audincourt,I.E,"Cour'
Vous avez done oublie",Lanissecourt,"decouvre2
- Je",Tout-h-coup,Courval,Hennecourt,raccommoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Mothe,Lamothe,E,La Mothe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,sur-le-champ,sur-le-chanip,Anizy-le-Chatel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"tresses,104",Cest,ees,Est,geste282,qiestiohher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Mesdemoiselles,tonnelle,- Est-elle,ellen',Ellement,Rappelez-vousLE,selle,jijel,"Made-
moselle",belle-fille',elle-mee,a - Elle,moselle,mademoiselle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,N6is,chose3,Dubois,MOI,oise,VOil,Voil,moiLKE,Vaudois,"Bussy
d'Amboise",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Vovray,Pa-,pays,pays-c,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,passee,c0messe,Lasse,Helasl,Helas,Ramasse,Cosse,hotesse,Abbesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,visage1LE,Visage,sa116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Quincy,Saint-Gabriel,galantin,Saint-Quentin,Rhin,rue Saint-Honore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,d0un e pouvez,"place de Jo-
guet",comtesse de Lamelh,sire de Coucy,abbaye de Rencontre,"fete
de Coucy",fete de Coucy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,reunion,Nousdemeureronstouteslesdeux,reux,t0t peut-tre,eux;1,yeu,Dreux,Veu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Minence,chine,maine,Chapelain,"cousine ger-
maine",Aixin,Fontainebleau,Bouvines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"II

iii
IIIII
Lettre",II,perduelIIIIIIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Desmonte,Belette,gazette7,Partez,tel,jattendrai,tete,Terre-Sainte,Tarente,lavaitpas repetee,surete,tete-h-tete,hte,mantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,loire,si',Sire,obeir,si110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,MIa-,Pi-,I,PIaNo,PINO,fiants,Normandie,PIo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Aurea,seau,gea,Maures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Cedez,ce324,celui-l !,h ce324,g328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Cerberes,etrangeres,recerai,vengeraiNi,Gerere,Lambertremit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Am-,Lamelh,Lam-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Croyez-,Trouvez-,Voyez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Carrousel,Rouy,au-,Rou-,VOus,verroux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Tache,Croix-Blanche,Croix-Blanchie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,A62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Y0us,Aussitbt,Aussit0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Lameth,Bussy,Bussy .se plata,Bussy-La-,Bussy-Lameth,Madame.1,Bussy-Lumeth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Son-,soNne,Prison,som-170,Sissone,Soyons,Soissons,sonarrivee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,moselle de Rochefort,selle de Roucy,moselle de la Vallier,chambre de mademoiselle de Roucy,moselle de Roucy,M. de Roucy,Mademoiselle de Roucy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,chavannes,Ig,Chavigon,Pignon,lavie,Chavignon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,A,h98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,la22,Laon f,crmonie,Large,Laon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Hautefort,-Ilfaut,- Fort,Rochefort,HAutefort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,CANIVEAU,Aizy,Ani-,chteau d'Anizy,Anizy,parc d'Anizy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,elana,clat,san-,Langle,voila,Lanuit,Clan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,hOtellerie,Moyenbrie,Fier,piers,Henriette,terie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Bohemienne,Ohl,Bohemians,MI,Bohemiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,carioledeM. Ceux-de-Roy,Cour-de-Roy,Eusse-de,Coeur-de-Roy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
