cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27
59.0,Mortagne,espagne,Espagne,Allemagne,Champagne,,,,,,,,,,,,,,,,,,,,,,,
60.0,Sissone,chteau de Sissone,Soissons,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,RoUcY.,Coucy ',Coucy,Roucy,,,,,,,,,,,,,,,,,,,,,,,,
62.0,Combien,dAlbret,BIen-,biehi,,,,,,,,,,,,,,,,,,,,,,,,
63.0,pays-c,pays,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,Gerere,Cerberes,etrangeres,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,abbaye de Rencontre,foret de Rencontre,,,,,,,,,,,,,,,,,,,,,,,,,,
66.0,Sire,loire,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,Tache,Croix-Blanchie,Croix-Blanche,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,Pignerol,gne,Bourgogne,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,mallee,Mal-,malte,Malade-,,,,,,,,,,,,,,,,,,,,,,,,
70.0,terie,hOtellerie,tel,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,Albret,Jouet,Doncule,-Jouet,,,,,,,,,,,,,,,,,,,,,,,,
72.0,Carrousel,verroux,Rouy,Rou-,,,,,,,,,,,,,,,,,,,,,,,,
73.0,h ce324,ce324,,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,sire de Coucy,"fete
de Coucy",fete de Coucy,,,,,,,,,,,,,,,,,,,,,,,,,
75.0,"place de Jo-
guet",place auprs,auprs,Beaupr,,,,,,,,,,,,,,,,,,,,,,,,
76.0,- Oit,--- Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
77.0,"plus,26
LE CHA1TEAU",hte,le chteau,,,,,,,,,,,,,,,,,,,,,,,,,
78.0,rue Saint-Honore,Moyenbrie,Terre-Sainte,Saint-Gabriel,Saint-Quentin,,,,,,,,,,,,,,,,,,,,,,,
79.0,c0messe,hotesse,Abbesse,"tresses,104",,,,,,,,,,,,,,,,,,,,,,,,
80.0,Accoutumee,grace,raccommoda,,,,,,,,,,,,,,,,,,,,,,,,,
81.0,chard,Tonnay-Charente,Tarente,,,,,,,,,,,,,,,,,,,,,,,,,
82.0,loux,houx,,,,,,,,,,,,,,,,,,,,,,,,,,
83.0,messieurs?190 r. cA2A E NOy,cA2A E NOy,,,,,,,,,,,,,,,,,,,,,,,,,,
84.0,tete-h-tete,lavaitpas repetee,surete,tete,,,,,,,,,,,,,,,,,,,,,,,,
85.0,chose3,selle,"Made-
moselle",moselle,,,,,,,,,,,,,,,,,,,,,,,,
86.0,Dreux,eux;1,reux,soleil,,,,,,,,,,,,,,,,,,,,,,,,
87.0,jardin des Hlesperides,Picarde,Picardie,,,,,,,,,,,,,,,,,,,,,,,,,
88.0,Am-,Lam-,,,,,,,,,,,,,,,,,,,,,,,,,,
89.0,jattendrai,recerai,vengeraiNi,Jirai,,,,,,,,,,,,,,,,,,,,,,,,
90.0,etpour,Cour,Audincourt,Courval,Hennecourt,Lanissecourt,Cour7,"decouvre2
- Je",,,,,,,,,,,,,,,,,,,,
91.0,Anizy-le-Chatel,sur-le-champ,sur-le-chanip,,,,,,,,,,,,,,,,,,,,,,,,,
92.0,CATEAU,lens,seau,chateau,CHATEAU,beate,BATEAU,monseigneur'e-LE CATEAU,,,,,,,,,,,,,,,,,,,,
93.0,Versailles,dehorsne,Remont  Versailles,chateau de Versailles,de Versailles,,,,,,,,,,,,,,,,,,,,,,,
94.0,Flandre,repondre,fepondre,,,,,,,,,,,,,,,,,,,,,,,,,
95.0,Voil,VOil,moiLKE,voila,,,,,,,,,,,,,,,,,,,,,,,,
96.0,mantes,PIaNo,dents.306,fiants,,,,,,,,,,,,,,,,,,,,,,,,
97.0,Aurea,dres,Maures,,,,,,,,,,,,,,,,,,,,,,,,,
98.0,Soyons,Noyon,,,,,,,,,,,,,,,,,,,,,,,,,,
99.0,reunion,Normandie,Dieuni,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,CHATEAU DE P1NON,CHATEAU DE INON,CHATEAU D INON,CHATEAU DE PIGNON,CHATEAU b,chateau de Fayel,CHATEAU DE PrO.,CHATEAU DE 1INON,,,,,,,,,,,,,,,,,,,,
