cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9
30,Ravenna,Vienna,,,,,,,,
31,Persia,Persian Empire,Taper,,,,,,,
32,America,Nilotic Africa,Jamaica,Africa,Cadiz,,,,,
33,Mauritania,Neapolitan,Politil,,,,,,,
34,Thou,Althorp,Baltic,,,,,,,
35,Boursc,Luxembourg,Burnet,Melbourne,,,,,,
36,Duchess,Manchester,Marquess,Christchurch,,,,,,
37,Ambassa-,Embassy,passod,,,,,,,
38,Temple,Argyle,Wesleyans,Wellesley,Naples,Chudleigh,Lely,,,
39,Windsor,"Windsor
Park",Windsor rang,,,,,,,
40,Bacchantes,Canterbury,CcHAPTER XIV,,,,,,,
41,Monmouth,umong,South,,,,,,,
42,Lancaster,Study,Selter,Studcaster,,,,,,
43,Phenix,Venice,San Benito,Benito,Ixnbe,Benumanoir,,,,
44,Naples Sidonia,iSidonia,Sidonia,Monsieur Sidonia's,Medina Sidonia,Monsieur Sidonia,,,,
45,M. Ville-,dishabille,Mlle,Seville,Nile,Villebeeque,Ville,Willesden,,
46,Penelope,Western Europe,Europe,Eu,Opera,,,,,
47,Saxon,Saxony,,,,,,,,
48,Frenchwomen,Frenchmen,Rome,absent2,Mahomet,,,,,
49,Culloden,Thebes,Belgium,Rebello,,,,,,
50,Helingsley,Walingers,Hel,Wellington,Hellingsby,Hellingsley,Iellingsley,,,
51,firiends,Irish Secretaryship,Friendship,Rossendale,Ladyship,,,,,
52,Spain,Si,Sinai,China,Ferdinand,,,,,
53,Monkey Island,confiscated Ireland,Westmoreland,Ireland,,,,,,
54,Milbanks,MILLBANK,Milbank,Albany,Millbank,,,,,
55,field11,Oswld,Field,Oriel,,,,,,
56,the British Isles,Peninsula,the Spanish Peninsula,,,,,,,
57,Brighton,fabri,britska,Cambridge,,,,,,
58,Nuneham,Palmerston,Tamerlane,Thames,Amersham,Durham,,,,
59,Uwins,Sedgwick,Wilkie,wi,WiIl Vanity,,,,,
60,Hall,Whites,invite2,white bait,Whitehall,,,,,
61,Brennus,Isthmus,Sussex,Jerusalem,Austria,us,Lucullus,HIouse,,
62,Lyndhurst,France,Trautsmandorff,Grand Cairo,Astrachan,Strand Coffee-,Hindostan,Ministry,Strand,
63,Birmingham,tin2,Everingham,Nottingham,,,,,,
64,BOoK VIII,Troy,Tokay,Pembroke,Brocas,brook,,,,
65,St. Paul,St. Mary's,St.,St. John,St. John's,oL. J.,,,,
66,Highland,England l'',Poland,England,Lngland,,,,,
67,cipaly,Realm,realy,,,,,,,
68,Moffatt,Gazette,Waterloo,Watteau,,,,,,
69,cloul,Louis Qua-,Floa,Borough,Slough,,,,,
70,Earwig,Froissart,Varter,Carthage,Charta,earth,,,,
71,the green district,Athens,the green mountains,,,,,,,
72,St. Petersburg,Edinburgh,Augsburg,,,,,,,
73,here3,Hebrews,Heroes,here2,adore2,Jeremiads,,,,
74,Northamptonshire,Frankfort,Tamworth,the Nortlern Sea,North,,,,,
75,Prussia,Russia,,,,,,,,
76,Mexico,the Prince Colonna,Dame,Madame B. de R-d,Colonna,Torquamada,Madame Colonna,,,
77,Byron,Barnes,Lazaroni,Arragon,Barcelona,Barony,,,,
78,graecful,Greeks,Greece,,,,,,,
79,Berlin,Arlington Street,"L 2
22",Parliamnent,Parliamentasy,Carlist,Pavia,Parlia,,
80,Moorish kingdom,The Kingdom of France,King,modemn kingdoms,Kingdom,,,,,
81,Nemesis,St. James,St. James's,St. James',,,,,,
82,NEW GENERAII0N.,St. Gene-,St. Genevievel,"St. Genevievel
coNINGSBY",Geneva,St. Genevieve,,,,
