cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57
19,"E

R

I
Z","E
E

R

I
Z",".L

I
z
2.-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,terrass6,verrasl,s6,Rassure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Duquesne,FORT DUQUESNE,Duquese,L’,Iort Duquesne,fort Duquesnel,fort Duquesne,"fort
Duquesne",fot Duquesne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Mnis,- Suis,visge,Is,Mississipi,Harison,.Puis,g3i,Paris,Agis,pise,Sois,mavkawis,eflechissant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,amour-popre,fourrue,pouR,point dujour,tounure,fourr6s,poude,Wurd,tournai,coureius,PoUvez,Pittsbourg,pourvU,jura,parcouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Allehany,Alleghanys,Alleghany,monts Alleghanys,rivieres Alleghany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,bon7,Bonsoir,ontfond6,N7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"III

R
II

-'


1 L.
1","G

III


S
f
IL","II
I

II

1N
.:G","II
III 
Ii","II
E

I
III 

jE

jE

R

JE",II,"II
III 

II

I.","II
III","IL


II
l",GIIFIROY,"II

II
t","I

M
III","JE
III 

IL
t","N
grIS

II
ILII
e
III 
G",".III
II","II'
II
II

I",zzz:35-,"II
III 
ZZ","III

I
CI","E
II

E","IIIIIl
II","WIIIIII
III 
L",IIy,"II
I

HIII",Ii-,IIIIIIIIIIIIIII,"ii'

I
E","I
III 
I
III

l
 J","II
I



II",JE-riisiiaa,EII,"AH


Il
R
II

II
nII",,,,,,,,,,,,,,,,,,,,,,,,,,
27,"I

III","II

E","II

I","II

II","LIAE

II

IIZ","III 

I&","grIS

II","LIAE

II

IIZ
x
E","II

tu","II'
1I


M",e:-r- es-Ziiciiiaii i,"I

ii","III 

I","11

Ii","A---
 
III","I

IIh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,qualre-vingts,IN,hein,Inalgie,MIn,Iin,amoins,Spndassin,Usine,LIN,L'inconnu'arrêta,Oui-Fine,grinca,A minuit,Algonquins,ENfIN0Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,plir,atlire,plius,aceomplir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,ecria,ecrasez,Cria-,l1 cria,Qu'6cria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Rendez,Reviendrez,attendenl,"chefl
- Attendez",rendez-vousl,Altendre,surprende,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,L-,IL-,Vil-,Il-,Petil-Fort,1'Il-de-Buf,1'Il-de-benf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"1A
I.I",II.i1,II.L,I1,I.1,I11,II1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,oi,"loirs7
- J'",foid,Oih,Joignez,Iroid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,yeux7,Eu,euxs,alfreux,auixyeux,Veux-tu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,- Reproduclion,Keproduelion,Roproluction,by God,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"II
II
E.

I

I





I.","II
I

I","I
I
I




i1
I
I
I

I","I

i
I","CI

I
IL","I

I
i","I
i


S","I

I
I1","I

I
I","II

21I
I

.2","ICI

i
:s
l
tU","I
S
I

I
-
m1","II
I

I

x","El

 
I



h E

I
I
I
I1
II
II1

JE

REE

I
MI

I
I



ET

1
I
A

IL

Il


IL","I
I


I
 
 i
I","aH

I
I

II1I

I
i
1","I

I
I
l","I
I

2","I

I
t
I


N",".L.

I
I","I
I

I.","I

E

I
f
E","I

I
II","A

I
1","Nouveau-

I.1
1
I
A
I
M




I

LA BELLL 1","I
I

ILII","S
n.
I
 QU",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,fauTe,Autel,Faut,suivaut,Iaut,J',loyaut6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Bisons-Hurons,Hurons,Fumerons-,Huml,Huron,everrons,Yoguons,Loups-Hurons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,jou pecedent,jou,Anjou,jours;.,Boucle,Bonjou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"RIVIEnE
La",IBBLLB HRIVIERE,"RIVIlEnE
A",Riviere,- Arriere,ct de la riviere,la Riviere,IVIERNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,tu6s,c0Tu,N0tu,c0,C018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"E1

I
N
La",G¬,"rnn
L",E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Poitou,etou,toul,toules,retou,vautou,beto,touva,touner,ET-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,voUS,Oi voulez-vovs,nousf,gare a vousl,nousle,savez-vous7,Yous,vousf,Avouea,vousl,vOuS.,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,S,Relevez,Anglelerre,Anglelterre,Angleterre,Angle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,blessee,oblesse,Iaiblesse,oppessee,Pſ,adesse avee luuelle,Semblables,lese,bleme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,ompagnons,Iagon,cotpagnon,nombe,accompague,compugnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,jUsque-la,jusque-lh,Losque,Lh,Risque-Tout,L2,I,E-,Risque-loup,mousquet,-L,lLorsque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,-Z-G,z-,.-Z-,z-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Iais,Mlais,GLFK0Y,Aiglais,L'Aigle-Avait,AI,sais,Paisienl,L'Aigle,l,Anglais,Jamais,Mnais,ignorais,Laisse,Laissons,aisaiaraar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,soitl,A%lIItl,Soitl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Douai-Hande,Douai-Hand6,douai,Douai-lande,nuanoe,Douai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Anticosti,aniti6,TIT,C'6tiit,svit,timbe,Itt,tibus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"I
I
II
2I
t

'","E
I'

 ET
E
II

T
L
I
IL","I
I
I","I
I
I
I","1I
II
I

1
I",".:AI
i
I","I
I
Ma
 AH","E

I
I
I
I1","1I
I.I","II
I
I
I.
I.","M
I","I
I
I
.I","I
I
-
1

I","asIE

I

T
I
I
IL
 SI","P
I","I
I
I
I
IL","I
I
t'","I

I
I.
I
I","I
I
A","I'
t.
I
I
I
I
I
I","N
I","I
I
t","I
I","I
I
I
I
I","IVſ
i",".:F'

r
I
I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,luii,Ennui-a,quif,"9

UI",LUi,Luy,pluie glacee,celui-ei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,baie d'Hudson,mne rappellerent i la desolante realit6,1'epoque de nolre recit,"II
vOYAGIE DE NU1I",place de nolre daim,laville de Pittsbourg,pyramides de Cholula,toldos renfemenl we tentaine de gueiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,maquise,rponse,SE,SURPR1SE,bruitset,guisel,Seigneu,senl,marqulse,coutse,secet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Menne-,Venez,meprenez,fene,penez,Guyenne,Savez,- Tenez,venezl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,".-:---,C-",a.-,.--,"--g,.s-I.-r rrr",L.--,.-2,"t:.---
L",-7-.--,a-.-,C.L:.-'---elle,"t-.----:sxereeEesaa-e
-
--s-.-`.-
'
l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,pese,Apes ue,Apes,e’,apes-midi,appuyees,cap des Monts-Peles,echappe,pesence,aupes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Accordez,Regardez,lRegardez,r7-,regardez,regardexz vos sentinelles,regardexz,egarde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Aae,Aewerccr-,.C,Cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,lDevant,gand,Ande,Qand,Hande,choses7 Demanda,Pendanl,Amand,unsgrand,guand,Andel,Grand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,¬¬,a¬¬.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,L1N,L1,L1y,L1IN,l1,Hll1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,chteau de Beauregard,Chteaux-,A Beauregard,"chateau de
Beauregard",parc du chteau,Beauregard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,echoue,B,Qnelques,Chichimeques,Ouelques,Chuque,1(0,drue,i5,Pesque,Doue,gre de quelques-un,ehaque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,r-,.T,LLr- AH,.r-3-r-,r-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,hommE-,hommesrea,Sommes,Hommes,comment7,la somme,Sommes-,F1N,Iemmes,Commercy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,senor Palamede,Ioissements,- Nullement,coinpartimentsau,dementi,demeuxez,193,Fatalement,mneme,entieement us,"opinion2
- Pas entierement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Combien,sauvagesl A bientt,Bientot,lBien,C'0étaient,bientot,convenul A bienlot,Fort bienl,Ients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"L

E",avol ehtedus,"S



E",".l

E","EEl

 ET","N

E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,E2-,.2-,".2-
-
 
2


E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Ioret,Iort,Ohio,apport6e,Iorte,fIort,"fort
Rupert",Iortement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,GEIFROY,m-,GEIFFR0OH,GEFFROY,.EFFROI,CGEFIFROY,GEFROY,GEFFIOY,BrEF3r;(Frc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"heIN
aIME

t",LÀ,mnains,ain,bienl Demain,Demain-,failliai,souterain,Soudain,Inuimurai,Inais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"II

I
t
'
:i:
II
L.
E","I
iII
aI
1","AI
II
2A","II.I
II","I'
II
l
R","II

I
I
I","II
I


E","A
 I
l--
I
riii","S
IIPI
II
E","II
I","A

I
1

II
II","mer

II
I
1
I","II
I
I.

II

I
II
I","II
LE OR","S
 E

AH

I

I.
I
III 


SI
I
3
t
LA BELLE","II
iII
II","III

I
I
IIHI","I
I
II
II
 
III
I
II","II
II
II
f
1","II
II
I","II
III
I","El
f
Ii","I
I
III
IL","II
III
I
II

L","II
-'","II
I
II
I","I
III","II
I
vI","II

I
II
M","II
I
IL","A
I
II
II
II1
I
N","II
I
IMA","II
I
A",".l

II
IL

Y
I

 ET


III

i
I
2.A","I
I
IL
III","II
II","II
I
I
I
III
F","II
I
I","II
III
 
 I
1I
'
1
I
I1","II
II
II 
IL","II
I
A.

I","II
I
II","ILII
II","II
II
HUI
E","IIM
I
II","II
I

 


E","II
I
1Y","I

I
III
I1","I
I
II","II

T
L
I
IL","E

I
II","II
I
Il//IL","I
II",,,,,
80,r1l,R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,sanglols,banchages,Ange,elrange,Angele,etranges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,RIYILEnRE,"II
filLe'
 D",batnillel,feuillee,Eparpille,Veuillez,sterile,iille,ille,Villlers,Suveille,Jumonville,Menneville,Sicile,Lile,ollert,Eveille,trvaille,lille,mollet,Ailez,tamille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Aigle-Vous,L'Aigle-Volnt,Aigle-Volant,1'igle-Volant,V8,Aigle-Volant roula,Jan-Pol,lAigle-NYolant,1'Aigle-Volant,Aigle-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,avie,Vienne,Viens,s5,miens,Idiens,Tiens,Viens-tu?,revienlt,Inliens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,RIYIhE,ZIE,Rien N,RIYIEE,madries,rie,curieuxi,Forie,Prie,symetrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,la Couleuvre,Couleuve,Puuvre,"de
Couleuvre",Couleuvre,La Couleuvre,oula,Corbleul,Couleuure,Couleure,Couleuwre,La Couleuvre demasqua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,sorl,New-Yorl,aLOrs,"or,-",Or,lore,Nord,ordes,"OR

I",Lignorez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,coStume,N,tistesse,Pestel,Est,- Est,IEst,ESt-ce,est',estici,".est;:,i",ouEst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,reconnalte,Conaltre,E,alttira,vouS Conaltre,samaltresse,Montreal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,declarer,legeret6,bruyeres,tereu,exageree,rer,querrezla,cimetieres,Veuiueree,jurerais,jespere,resister,deierre,irentrer,frontiere,bandouliere,fere,A terre,Erreu,tomberent,Iontiere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,i arrete,srete,dilficulteset,plantets,Totem,sete,hâtez,tete,eomte,etendus,lchetel,remettez-le-moi,tete baissee,cbte?1,repete,Nhecte,anxiete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"1 L.T
-
189
rEI

E",UN NI L.,"I


L","I
I




 L.I

E","A L
T","II

l","II




 L","CI

l
M
OR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"E
A

I","E
E
t","E
N","E
E","2E
E","E
E
 

II","Z
e.
E","OR

I:E
E
L

a

g","I
E
L","S

E
E","E
E
ELLE","P
E
I
T

I


tu
E","I
E
t","E
I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Iemines,heminee,cheminee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,comntesse de,baie des Marmousets,amiti6 de cbte,comtesse de Maleval,comtesse de MIa-,Mee la comtesse,comtne,parc de la comtesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Jean-lPol,"I
Je",jela,JE.-',JE,.-Je,Sije,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,plts,Plt,seplt,plaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Merci,CI1,"Ci

z=","I
cI.",CI,Inerci,"YSE

 ICI",ICI,Cecije,soci6t,ciencel N',Circes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Ehl,lEh,"Eh
UI",LE6A L,comle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,stupetaclion,Etats-Unis,etat,zeeta,EX2ET,"etat de
defense",tad,taquenatd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,toldos,soldut,Pdldu,soldatd',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Dieul,Pardieul,pardil,Padieul,- Pardieul,- Gueusard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,dnans,Carignan,Armnand,haron Armand,Armnund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,obeir,Dire,Vire,mediocre,gueirre,conslruire,dire7,Sire,SIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,eusset,efuse,pleus,gnereuse,audacieusemenl,Matheueusement,Iume,payeus,meuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,- Pardonne,pardon,Ward,- Partons,Benardo,Pardon,flt Ward,gargon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,deserl,deserte,lourdeset,desert,desert na cela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,s-L,il:.:s-,s-r,s-3,S-,Es-tu fou,s-g3Rg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,enTourait,Bien-Aime,Vraiment,vraimentl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,moyen8,Voyel,noyens,Soyez,Voyons,Voyez,Fuyez,croyez-le bien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,BELLLE IYIEnE,BLLLE,BELLlE,"BELLlE R1ELLE
Deux heures",BELLL,LLLB,Oll,BELLlE RIV1LE,BELLB,BELLE IY1JE,BELLLE RIV1En,N',L2LLLLL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Necessite,fort Necessite,fort Ncessite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,opposea,Opossum,epouvnte,epos,Osna,reposet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,du Nord,Amerique du Nord,"Amerique du
Nord",l'Amerique du Nord,golfe du Mexique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,A7,Pensa,PensA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Monlmorency,"...
- Pas de mots malsonnantsl",MIontmorency,Saut de Montmorency,endre temoin de .son bonheue,Point de diffrence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,t1,Ble maudit1,A4,"IBois-
Ble maudit1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,.:a-,.:Z,5I,.:,.::A,D,GG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
