cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52
19,Indien,toldos indiens,Indiens,Dinwidie,Indies,L'Indien,Dieppe,Lesindividus,L'indifferenee,.%,cinIndiens,L'Indien sourit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,¬¬,a¬¬.,N,ÇA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Longtemnps,Lona,Osna,Iayelon,g3i,colons.-,- Allonsl,Lo,G,Leona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,gueirre,guee,divulguee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,.2-,".2-
-
 
2


E",E2-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,sachem,J',saclem,sachet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,chassel,chasseu,chasseui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,s''1,S',M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"A
 I
l--
I
riii","II
III
 
 I
1I
'
1
I
I1","I
I
II
II
 
III
I
II","II

I
t
'
:i:
II
L.
E","II
I
1Y","II

I
II
M","1I
II
I

1
I","I
I
III
IL","II
I
E

E",G¬,"II
III
I
II

L","S
 E

AH

I

I.
I
III 


SI
I
3
t
LA BELLE","I
I
IL
III",A,"II
I
II
I","IIM
I
II","II
II
II 
IL","E

I
II","I
II","AI
II
2A","S
IIPI
II
E","A

I
1

II
II","III

I
I
IIHI",".l

II
IL

Y
I

 ET


III

i
I
2.A","II
I
I
I
III
F","mer

II
I
1
I","II
I
A","II
I
I.

II

I
II
I","A
I
II
II
II1
I
N","II
I
vI","II'
II
II

I","II
I
A.

I","II
I
II",,,,,,,,,,,,,,,,,,,,
28,tfaconla,Contrecoeu,coeu,la lecon,Contre-,concentree,e’,coeu gonfl,Montreal,Contreceur,vrenoontra,Contrecur,CONTRECEUR,Contrecoeur,Wacondah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ellE,C.L:.-'---elle,lExcellenll,Osna-Elle-Lucie,ELLE,IELLE,selle,1'elle,Celles-ei,I3ELLE,eLLE,BBLLE,BELLE IY1JE,",elle",Telles,"II

ELLE",cuelle,senlinelles,crnelle,ELLe,ELLE2,BIELLE,BBLLE R1ELLE,l3elle,Quelles,I4,soreellerie,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Hll1,L1,L1y,A'L,l1,L1N,L1IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Mexique,lJistorique,Amerique,Atlantique,Americains,Ameique,Amerique septentrionale,briquet,l'Amerique,meritee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,oi,Oih,"loirs7
- J'",foid,Iroid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,baron de Grigny,baron do Grigny,endre temoin de .son bonheue,buron de Grigny,M. de Grigny,baron.etRs%,BAron1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,ecurt,i5,vecu,plupurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,- Reproduclion,N',stupetaclion,rEprit,Roproluction,Keproduelion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,-L,jusque-lh,Risque-loup,Lh,Risque-Tout,jUsque-la,F1N,mousquet,E-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Renard-Bleu,rien-Bleu,lRenard-Bleu,Renard-Elle,Le Renard-Bleu,Renard-Blou,Renard-Le,Renard-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,clairiere,claiiere,- Arriere,clairiee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,lAigle-NYolant,Aigle-Volant,1'igle-Volant,Aigle-Volant roula,Aigle-Vous,1'Aigle-Volant,L'Aigle-Volnt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,".,L","P,-F",".,-",".,.3-","c,-","2-,-AgIT-G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,mne rappellerent i la desolante realit6,aneantirent le Iruit,plant6 le Ioten,zzz:35-,Ioten,plantets,I2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,ZIE,lIe,cavalie,litieie,pilosoplie%,ecoliers,LIY,bandouliere,LIE IIECI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,terrass6,Rassure,V8,s6,verrasl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Même,Même-aux-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Pite,precipitee,depit,Iacilite,profitera-t-il7,hesiter,excitee,TIT,Ln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Villiersl,Yillies,Villies,alliees,vieillacd,taillis,Villiets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Laisse,Anglais,Mlais,Faneais,GLFK0Y,sentihelles anglaises placees,ILes Indiens auxiliaires des Anglais,sanglols,Aiglais,Laissons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Grigny,Carignan,Gigny,Griguy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,I1,II.i1,CI1,I11,II1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Lovelace,grace,Iace,Pace,palce,Espace,zxzcE-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Relevez,severe,elevees,Savez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Pittsbourg,Itt,laville de Pittsbourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,As,a-- Hlasl,aS,ecrasez,Bas,Gascon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Nouvelle-Fance,Nouvelle- francS'tait,Nouvelle-Orleans,Nouvelle-France,Nouvelle-Hollande,Nouvelle-lFrance,Nouvelle-Frnce,Nouvelle-Or6as,.C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,hG,"L,;.","L,5",E;.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,place de nolre daim,"II
vOYAGIE DE NU1I","S

D",Point de diffrence,baie d'Hudson,1'epoque de nolre recit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Joignez,Seigneu,- Signe,r7-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,popre,amour-popre,Propre-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,appuyees,ES,Es,affoles,faroces advesaires,aprbes,plaes,Es-tu fou,CGes,cap des Monts-Peles,Circes,cyes,"A' 
t

ES",bagaes,Ves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,NE,comtne,Ferney,fene,mone,mneme,diane,tone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Ocean,lOcean,Océan,Jean-lPol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Pardon,- Partons,- Pardonne,pardon,Benardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Ierme,Iermee,Z0,larmee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,vincre,mediocre,Ancre,eNcre,Creole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Beauregard,"chateau de
Beauregard",A Beauregard,chteau de Beauregard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Couleuwre,"de
Couleuvre",Couleuvre,L,Coulon,Puuvre,La Couleuvre demasqua,Couleure,soulenir,fievre,la Couleuvre,Couleuve,La Couleuvre,Couleuure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,.A1,.A2,a1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,IL L,"El

l
E",IL M',IL L0puis,"E


IL

d
e",IL S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,lRegardez,Pſ,Regardez,regardexz,gargon,regardexz vos sentinelles,regardez,egarde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Plt,plts,seplt,plaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,noyens,moyen8,Voyel,Voyez,Voyons,Fuyez,croyez-le bien,Soyez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,irentrer,penetra,penetrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,lUne,lune,forlune,Boune,touner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Demohl,mademoiselle,mademoiselle 2,lulL rapidemonl,guisel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Ci

z=",z=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PaPa,Pas,passee,pas7,Pa-,- Pas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,tistesse,maindes raquettes,Tes,ctes-,maitesse,htes,dilficulteset,- Faites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Chaussée,E,chaussues,saus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,E'i.I,E',".E',1",D,ce',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Andre,epondre,reponde,repondre,satnis reponse,Londres,Altendre,Reviendrez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Dej,Deji,deji,Dej midi,Deja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,gand air,Amand,Ande,choses7 Demanda,Andel,gand,Hande,Qand,guand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,alpio,Égal,alever,Maleval,Malevul,Malevall,malte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,ollert,Oll,Jan-Pol,mollet,i Rollon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,taces,Tacy,Enlaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,GEFFROY,GEIFFR0OH,BrEF3r;(Frc,GEIFROY,GEFFIOY,.EFFROI,CGEFIFROY,GEFROY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,a-.-,"t-.----:sxereeEesaa-e
-
--s-.-`.-
'
l",.--,a.-,"--g,.s-I.-r rrr",-7-.--,.-2,"t:.---
L",L.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,lesFrangais,Frangais,Iragais,Franais,Fugais,Fangais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,fauTe,Faut,Autel,suivaut,Iaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,BELLB,BELLL,"Nouveau-

I.1
1
I
A
I
M




I

LA BELLL 1",L2LLLLL,BELLlE,BLLLE,BELLlE RIV1LE,LLLB,LA HELLlE,BELLLE RIV1En,"BELLlE R1ELLE
Deux heures",BELLLE IYIEnE,HELLlE,boutellle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Le soleil,desole,gand soleil,soleil,regardez le soleil,dole,Le succbs,souple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,LE6A L,Eu,Leu,Corbleul,pleus,lEh,comle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"I
I
-
1

I","asIE

I

T
I
I
IL
 SI","II
I
IMA","I
I
E","M
I","E

I
I
I
I1","I
I
I","II
I
I
I.
I.","I
I
I
I
IL",".:F'

r
I
I","I
I
t'","I
I
I




i1
I
I
I

I","I
I
A","II
I
I","I'
t.
I
I
I
I
I
I","II
I
IL","I
I
I
I","I
I","I
I
E.","I
I
I
.I","P
I",".:AI
i
I","I
I
t","I
I
I
I
I","N
I","I
I
II
2I
t

'","II
I
Il//IL","I
I
II","I
I
Ma
 AH",,,,,,,,,,,,,,,,,,,,,,,,
94,"chefl
- Attendez",attendenl,Rendez,rendez-vousl,surprende,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Ilibustier,tibus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Apes,echappe,apes-midi,aupes,Apes ue,pese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,visge,Agis,Teocalis,eflechissant,Is,Iais,.Puis,Jamais,mavkawis,- Suis,Sans-Piste,Mnis,Fancis,Sois,crois,Mississipi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,r7:--,--a,Là:--a,LÀ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,amarree,amaree,prepara,pepare,depart,cumbree,eparee,peparee,epars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,du Nord,l'Amerique du Nord,R,Amerique du Nord,"Amerique du
Nord",golfe du Mexique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,abbe,tomberent,nombe,timbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,penez,Venez,meprenez,- Tenez,venezl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Paris,parcouri,paratt,parviut,ParcE,Parfait,- Grce,parlez1,aparte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"II
I

HIII","I
III 
I
III

l
 J","WIIIIII
III 
L","II
III
I","II
II","I

M
III","II
II
II
f
1","II
-'","ILII
II","II
iII
II","II
III 
ZZ","II
II
HUI
E","II
I","II
III 
Ii","I
III",".III
II","I

I
III
I1","II
E

I
III 

jE

jE

R

JE","II.I
II","El
f
Ii","II
III","II
II
I","N
grIS

II
ILII
e
III 
G","I
iII
aI
1","I'
II
l
R",,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,pourvU,i,coureius,PoUvez,pouR,tournai,poude,epouvnte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"grIS

II","I

ii","I

III","JE
III 

IL
t","AH


Il
R
II

II
nII","III 

I&","G

III


S
f
IL","II

II","III

I
CI","II

I","III 

I","EH

E

II","LIAE

II

IIZ
x
E","LIAE

II

IIZ","I

IIh","II

II
t","III

R
II

-'


1 L.
1","II
III 

II

I.","11

Ii",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,J7,ICI,soci6t,oflficiers,estici,"I
cI.","YSE

 ICI",Sicile,CI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Ble maudit1,t1,"IBois-
Ble maudit1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Palez,paallele,Allez,alluma,allezl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,vitel,svit,Bastel,retaitel,faitel,6viter.-,serviteuen,I,Tels,hospilalitel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,chegz,tche,Cherche,cher-,Tbucher,Cher,Marcher,"leude cheri
de",recherchee,breche,chefl,empecher,Cherie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,clotue,aflot,fl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,los votres,Fort bienl,Paisienl,- trèS,- Tres bienl,convenul A bienlot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,pemier,pemiere,premiere,avrche dupemier hoe,jespere,Iin limier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,tantbt,caignant,maintenant7,pintemps,Tuant,Mluintenant,Sainte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,"I


-","LÀ

I
 M7","M
 
I","I


I","6

II
 
 I

I","I

I","g2
 
I","I'

I","E

 N
 
I
 
r","G'

AH

I

Z","I
 P","I

'N","Ci

I","pei

I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Iatigues,guer-,Iatiguer,vigueui,guerisse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Ironie,pironpte,pseudo-Ironie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,MIontmorency,Monlmorency,Saut de Montmorency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,ontfond6,Consentez-,tentee,charpentee,contentez,Consentez,conteni,.'ardente,Accidente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Ioissements,- Nullement,tristemenl,- Completement,bleme,dementi,Fatalement,entieement us,demeuxez,"opinion2
- Pas entierement",toldos renfemenl we tentaine de gueiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,"S
n.
I
 QU","I
I

I.","I
I

ILII","I
i


S","II
I

I","II
I

II

1N
.:G","II
I

 


E","II
I


E","I
I

2","II
I



II","II
II
E.

I

I





I.","II

21I
I

.2","II
I

I

x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,ijeune,Lejeune,Lajeune,lejeune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Bergei,l3erger,Berge,.aUberge,lBerger7,Bergel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,.:,.:a-,.:Z,.::A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Angle,Anglelterre,Angleterre,Anglelerre,Celte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,retou,beto,touva,vautou,etou,Poitou,tounure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,cheminee,heminee,Iemines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,drolel,adesse avee luuelle,avee,drole avee,"m

A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Bonjou,Anjou,jours;.,jou,jou pecedent,point dujour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,"consentezl
- Pardieu",pardil,- Pardieul,Dieul,Padieul,Pardieul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,"...
- Pas de mots malsonnantsl",parc de la comtesse,eomte,comtesse de Maleval,chateau de Maleval,comntesse de,baie des Marmousets,comtesse de MIa-,Mee la comtesse,Mee de Maleval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Rien N,Forie,symetrie,rie,curieuxi,madries,Prie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,apport6e,porte patr,fIort,"fort
Rupert",Ohio,Iort,Ioret,Iortement,Iorte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Ehl,ehaque,taquenatd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Y-:s,y-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,écoutez,- Ajoutant,degout,Ajoutez,hâtez,souterain,Eeoutez,ajouta-t-il,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Peau-lRouge,Pean-Rouge,Peaux-louges qul,Peaux-louges,Peaux-Rouges,Peaux-Rouges2,Peau-Rouge,Peaux-Rouges epa-,Peaux-ouest,Peaux-lRouges,Rouges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"E

E","E

e


3L
x","Ee ie e iees
daa","E


E",5E E,"JE

E","E
 

E","S



E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Pelage,Enveloppe,celaf,celasans,HEl,atepelt,"HEl
I",El,elau,"El
E",EEl,fidele,ELD,Amel,el,"S
el
 
 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,diables7,Semblables,accables,Misvables,"diables7
- Plutot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,gaiet6,Et6,gaieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,N1,n1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,A minuit,Spndassin,LIN,Algonquins,ENfIN0Y,L'inconnu'arrêta,IN,Oui-Fine,hein,ain,MIn,Inalgie,Usine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,ciencel N',appaence,pesence,Aae,Irappa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
