cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44
21.0,"I
E
I

C

R
I
I

 
-
ET
ELLE","I


-","¬- 
 -
.s","E
I

amI1","XI
E
I
 C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,tompei,trompei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,LE6A L,la lecon,"A L
T",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,Ponce-Pilate,cpilaine,atepelt,Pilma,zxzcE-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,senor Palamede,Palez,palce,parlez1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,Cunadien,Canadien,metropole canadienne,Canadieon,Cnadien,Canada,Canadiens,Le Canadienjelta,Canadions,Cauadien,Canadienne,ILe Canadien,Canadien loes,Cana-,chasseu canadien,le Caadien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,trallres,aulres,LLr- AH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,Fance,dislance,lEh,Fancis,Frunce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,tistesse,tristemenl,Sans-Piste,maitesse,resister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,Longtemnps,Lona,Iayelon,Leona,i Rollon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,guee,divulguee,- Gueusard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,Bonjou,Anjou,jou,bon7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,chassel,chasseu,passee,chasseui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,caractee,Nhecte,car--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,penetra,penetrer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,noyens,moyen8,L.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,lJistorique,Wurd,Amerique,Americains,Ameique,merisier,Amerique septentrionale,briquet,l'Amerique,meritee,Amel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,baron de Grigny,baron do Grigny,endre temoin de .son bonheue,buron de Grigny,M. de Grigny,- Grce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,ecurt,vecu,plupurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,- Reproduclion,stupetaclion,rEprit,Keproduelion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,jusque-lh,Risque-loup,Risque-Tout,jUsque-la,mousquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,Tais-toil,Vois-tu,Vois,Es-tu fou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,clairiere,claiiere,- Arriere,clairiee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,lAigle-NYolant,Aigle-Volant,1'igle-Volant,Aigle-Volant roula,Aigle-Vous,1'Aigle-Volant,L'Aigle-Volnt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,aneantirent le Iruit,plant6 le Ioten,Ioten,plantets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,terrass6,Rassure,ecrasez,verrasl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,alpio,appiopiees,appuyees,alliees,"Ee ie e iees
daa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,chegz,sachem,tche,breche,chefl,sachet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,Pite,precipitee,depit,Iacilite,excitee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,coureius,parcouri,ParcE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,SIRE,Dire,Vire,Sire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,rer,declarer,Wnldecl,eclai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,"I

E

I
f
E","E


I
E.
IL","Z
e.
E","I'
IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,failliai,Villiersl,Yillies,Villies,taillis,Villiets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,"A---
 
III",a-- Hlasl,A---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,Anglais,sentihelles anglaises placees,ILes Indiens auxiliaires des Anglais,sanglols,Aiglais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,Grigny,Carignan,Gigny,Griguy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,vincre,mediocre,Ancre,eNcre,Createur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,Lovelace,grace,Iace,Pace,Espace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,Relevez,alever,elevees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,Pittsbourg,Itt,laville de Pittsbourg,.:a-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,"EEl

 ET",EEl,"S
el
 
 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,fouinie,Yirginie,Virginie,Inieux,Viginie,Nirginie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,Moi7,amoins,moi7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,Ouebec,Caudebec,Quebec,echoue,Qubec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.0,pise,maquise,guisel,quif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,A%lIItl,C'6tiit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,place de nolre daim,"II
vOYAGIE DE NU1I",1'epoque de nolre recit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,amarree,amaree,marqulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,Joignez,Seigneu,- Signe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,exageree,Veuiueree,legeret6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.0,.2-,".2-
-
 
2


E","loirs7
- J'","I
- 
 
 
-,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.0,"E
N","I

M
III","M
I","II'
1I


M","LÀ

I
 M7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,Ocean,lOcean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.0,Pardon,- Pardonne,pardon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.0,Ierme,Iermee,larmee,II1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.0,ollert,Oll,Villlers,lac lEri,ler,mollet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.0,Beauregard,"chateau de
Beauregard",A Beauregard,chteau de Beauregard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.0,Agis,"2-,-AgIT-G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.0,Couleuwre,"de
Couleuvre",Couleuvre,Coulon,Puuvre,La Couleuvre demasqua,Couleure,la Couleuvre,Couleuve,La Couleuvre,Couleuure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.0,lRegardez,Regardez,regardexz,regardexz vos sentinelles,regardez,egarde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.0,Voyel,Voyez,Fuyez,Soyez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.0,E'i.I,II.i1,II.L,"II.I
II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84.0,lUne,lune,forlune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.0,Demohl,mademoiselle,mademoiselle 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86.0,--z--,.-Z-,-Z-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.0,a-.-,"t-.----:sxereeEesaa-e
-
--s-.-`.-
'
l",Y-:s,"WZ
-
A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88.0,PoUvez,trouves-,epouvnte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89.0,Pas,pas7,- Pas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.0,Tes,ctes-,htes,dilficulteset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.0,Chaussée,chaussues,saus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92.0,Paris,prisonnie,Harison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.0,epondre,reponde,repondre,satnis reponse,Londres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94.0,Dej,Deji,deji,Dej midi,Deja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.0,Ande,Andel,Hande,loup-Hande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96.0,N0tu,c0Tu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.0,Maleval,Malevul,chateau de Maleval,Malevall,Mee de Maleval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.0,"I
Ah
E","AI
A","I
A.,
-
300
x---i-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.0,"heIN
aIME

t",hein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,extreme,remettez-le-moi,mneme,Mattre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.0,taces,Tacy,Circes,Enlaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.0,I.1,"Nouveau-

I.1
1
I
A
I
M




I

LA BELLL 1","M
 
I","I
M",Nouveau-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.0,GEFFROY,GEFFIOY,.EFFROI,GEFROY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104.0,.--,-7-.--,"t:.---
L",L.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105.0,gargon,Iagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106.0,lesFrangais,Frangais,Iragais,Fugais,Fangais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107.0,fauTe,Faut,Autel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108.0,Maclay,Mluclay,saclem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109.0,Pelage,celaf,celasans,elau,jela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110.0,BELLB,BELLL,BELLlE,BLLLE,BELLlE RIV1LE,LA HELLlE,BELLLE RIV1En,BELLLE IYIEnE,HELLlE,boutellle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111.0,"chefl
- Attendez",attendenl,batte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112.0,"ŒIl
I",ŒIl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.0,Ilibustier,tibus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114.0,Bois-l'racy,Bois-Arbres,Bois-Être7,bois-il6s,HBois-,du bois-le,Bois-Ombre,Bois-Brles,brave Bois-Elle,Sois,Bois-Irai,Bois-,Bois-irai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115.0,perdula,percee,"fort
Rupert",jespere,oula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116.0,Le soleil,gand soleil,soleil,regardez le soleil,Le succbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117.0,.r-3-r-,e:-r- es-Ziiciiiaii i,"A' 
t

ES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118.0,.-eer-,s---=-ee,--=--=---====-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119.0,jura,A minuit,Inuimurai,Ennui-a,enTourait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120.0,Apes,apes-midi,aupes,Apes ue,pese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121.0,Idiens,Indien,toldos indiens,Indiens,Indies,L'Indien,Lesindividus,cinIndiens,L'Indien sourit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.0,r7:--,--a,Là:--a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123.0,Plt,plts,seplt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124.0,du Nord,l'Amerique du Nord,Amerique du Nord,"Amerique du
Nord",Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125.0,"OR

I:E
E
L

a

g","OR

I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126.0,dernie,Ferney,ilnie vix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.0,ZIE,"xEZIE

l
EAU","El

l
E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.0,tomberent,nombe,timbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.0,penez,Venez,meprenez,- Tenez,venezl,fene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130.0,francais,Fancais,brancad,Francais,Irancais,lrancais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131.0,Jean-lPol,Jan-Pol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132.0,"II
III
I","II
II","II
III
I
II

L","ILII
II","II
iII
II","II
III 
ZZ","II
II
II 
IL","I
II","II
III 
Ii","A

I
1

II
II","I
III",".III
II","I

I
III
I1","II
E

I
III 

jE

jE

R

JE","II
III","I
iII
aI
1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133.0,reposet,opposea,epos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134.0,pourvU,pouR,tournai,poude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.0,"I

ii","II

I
t
'
:i:
II
L.
E","I

III","AH


Il
R
II

II
nII","II

II","6

II
 
 I

I","II

I","LIAE

II

IIZ
x
E","LIAE

II

IIZ","I

IIh","II

II
t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136.0,aisaiaraar,Iais,sais,Jamais,etais apelcu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137.0,ICI,oflficiers,estici,"YSE

 ICI",Sicile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138.0,Ble maudit1,"IBois-
Ble maudit1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139.0,lProserit,Prosorit,Proserit,Opossum,Prossrit,Pros-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140.0,écoutez,Ajoutez,Acceptez,coutse,hâtez,souterain,Eeoutez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141.0,besogne,aprbes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142.0,paallele,Allez,alluma,allezl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143.0,rponse,Voyons,Yoguons,colons.-,- Allonsl,Revenons,Bonsoir,conslruire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.0,cbte?1,"de
 castle",pyramides de Cholula,amiti6 de cbte,Ami,aniti6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.0,Cherche,cher-,Tbucher,Cher,"leude cheri
de",recherchee,empecher,Cherie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.0,clotue,aflot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.0,Fort bienl,Paisienl,- trèS,- Tres bienl,convenul A bienlot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148.0,pemier,pemiere,premiere,avrche dupemier hoe,bandouliere,Iin limier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149.0,caignant,maintenant7,pintemps,Mluintenant,Sainte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150.0,"I


I","I

I","Ci

I","pei

I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151.0,foree,lore,Ioret,aLOrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152.0,Iatigues,guer-,Iatiguer,vigueui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153.0,lese,Ilavgese,ILA,CGes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154.0,Ironie,pironpte,pseudo-Ironie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155.0,MIontmorency,Monlmorency,Saut de Montmorency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156.0,opinion2,Albion,Enviion,Ion-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157.0,L2LLLLL,LLLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158.0,unsgrand,Grand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159.0,HEl,"HEl
I","El
E","El
f
Ii",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160.0,GIIFIROY,foid,Iroid,crois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161.0,"II
I

HIII","I
I

I.","I
I

ILII","II
I

I","II
I

II

1N
.:G","II
I

 


E","II
I


E","II
I



II","II
I

I

x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162.0,irentrer,centve,concentree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163.0,ijeune,Lejeune,Lajeune,lejeune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164.0,Bergei,l3erger,Berge,.aUberge,lBerger7,Bergel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165.0,Angle,Anglelterre,Angleterre,Anglelerre,Celte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166.0,retou,beto,touva,etou,Poitou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167.0,cheminee,heminee,MIn,Iemines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168.0,degout,outle,lout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169.0,drolel,adesse avee luuelle,avee,drole avee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170.0,Ioissements,- Nullement,- Completement,bleme,dementi,Fatalement,entieement us,Jerusalem,Matheueusement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171.0,pardil,- Pardieul,Dieul,Padieul,Pardieul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172.0,cumbree,BrEF3r;(Frc,scabrex,cascabel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173.0,rien-Bleu,Rien N,Forie,symetrie,rie,curieuxi,madries,Prie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174.0,blancsl,fe-blanc,Blancs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175.0,maindes raquettes,ehaque,taquenatd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176.0,Bastel,"--g,.s-I.-r rrr",Tels,Bas,Pestel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177.0,"S

E
E","E
E","2E
E","S



E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178.0,beauceoup,Eau-Jaune,lBeau-,EAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179.0,Peau-lRouge,Pean-Rouge,Peaux-louges qul,Peaux-louges,Peaux-Rouges,Peaux-Rouges2,Chteaux-,Peau-Rouge,Peaux-Rouges epa-,Peaux-ouest,Peaux-lRouges,Rouges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180.0,gaiet6,Et6,gaieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181.0,ciencel N',appaence,pesence,Caen,Irappa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182.0,euxs,demeuxez,alfreux,Veux-tu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183.0,avol ehtedus,"L

E",".l

E","ſl

Eau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184.0,"I'

I","ii'

I
E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185.0,Iin,Washiington,qualre-vingts,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186.0,Enveloppe,echappe,Dinwidie,Dieppe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
