cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25
56,bois de hoyer,Bovary,Pologne,Bois de Boulogne,bois dechire,Brtles de s6if,,,,,,,,,,,,,,,,,,,,
57,A92,A9,,,,,,,,,,,,,,,,,,,,,,,,
58,Sahine,inegal,luhne,lune,la Seine,Dauphine,maine,fbine,Berlin,Ine,Subine,Touraine,Sabine,Corinthe,Anzin,Latin,Messine,Seine,,,,,,,,
59,rosee tiede,devolr,de Saxe,- D6cide,vde,tibede,decidee,,,,,,,,,,,,,,,,,,,
60,chemnins,S,cheminee,cheminee chaude,,,,,,,,,,,,,,,,,,,,,,
61,cI',Lucile,Ici,CI,CI.LA,,,,,,,,,,,,,,,,,,,,,
62,vieI Voyez,Voyez,,,,,,,,,,,,,,,,,,,,,,,,
63,QU,Dominique,Quelquefois,Quelque,,,,,,,,,,,,,,,,,,,,,,
64,Allemagne,collee,allee,allegee,,,,,,,,,,,,,,,,,,,,,,
65,rue de ournon,amouR,TOut,beatoup,detour,Pour-,Tournon,,,,,,,,,,,,,,,,,,,
66,z.,bruni,beuf,reuni,IUn,,,,,,,,,,,,,,,,,,,,,
67,NoUvILLB,I.A NOUvELLE,ILA NOELLIE,LA N0UYLLE,LA NoUVELLE ESPERANCIE,leLA NOUVELLE EsPfERANCE,",- Nou",NoUVELLE,luiILA NOUyELLE,LA NOUvELLE,,,,,,,,,,,,,,,,
68,Il Pas,Philosopige,OhIl,IILA,soleil,Il1,IL,,,,,,,,,,,,,,,,,,,
69,Ia France,fratche,ESPIiRANCE,de France,France,Franec,,,,,,,,,,,,,,,,,,,,
70,Clichy,lItalie,d'Italie,Italie,,,,,,,,,,,,,,,,,,,,,,
71,Va2 ÇA,ÇA,,,,,,,,,,,,,,,,,,,,,,,,
72,Hollande,m-,Iandis,uand,G:;auan,,,,,,,,,,,,,,,,,,,,,
73,I,",,",,,,,,,,,,,,,,,,,,,,,,,,
74,A38,A3,A30,A335,,,,,,,,,,,,,,,,,,,,,,
75,J0me,J6r0me,J6-,,,,,,,,,,,,,,,,,,,,,,,
76,decouragee,ecourtees,Wurtemberg,,,,,,,,,,,,,,,,,,,,,,,
77,BSPfEnRANCE,ESPfiRANCL,N0UYILLE BSPfnRANC 69,BSPfnRANC,,,,,,,,,,,,,,,,,,,,,,
78,remportee,treizieme annee,ampe,extreme,empecher,A6,fremir,trempee,,,,,,,,,,,,,,,,,,
79,Agrigente,Attentive,Comment,Bengale,sentimentale,ntit,tourmentait170 ÇA N0ivLLLE,,,,,,,,,,,,,,,,,,,
80,Existence,Sincere,Flore,lerencpntre,Florence,,,,,,,,,,,,,,,,,,,,,
81,"II
I
LA N0ELLE",elliptiquie,suelle,malemoiselle,glle,viellles,Celle-l,barcarolle,liitlle seit,.Rlle,Elle ajauta,Flles,IL N0IVELLE,Je0me Hrelle,"pas,,.elle",Nulle,Rlle,tulle,Oreille,N0UELLE,ellE,vis-a-vis d'elle,IL N0ELLE,Je0me Herelle,graduellementa,elLE
82,- tu vois,Bois,soif1,oi,empoisonnee,soil,nfgrmit asoinoNee,Soie,Sois,,,,,,,,,,,,,,,,,
