cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31
33,l-bas,l-bs,lh-bas,Bac,la-basl,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,repondre,Londres,crepe,epndre,rpondre,l,Pomnadre,Flandres,prepondrance,Phedre,,,,,,,,,,,,,,,,,,,,,,
35,sicnne,Negricr,sicnnes,scne,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,passee,Masselin,Brasseur,l'Assem0lee,-  Pas,barrassee,Gymnase,,,,,,,,,,,,,,,,,,,,,,,,,
37,Cmu,ppieres entrc-closes,fenttres,Rentrons,fentres,-  Trente-sept,trentel,fe,Presilent,,,,,,,,,,,,,,,,,,,,,,,
38,Cependnt,veaient,l1Orient,Ient,Bientot,NTIIENTA,largenterie,L I:UAI0ON SENTIMIIE NTAI.IE,Ibcrien,-  Bien,Ctaient,bientl,faience,Combien,bien376,,,,,,,,,,,,,,,,,
39,Angelmarre,Change,Changar-,Mlichiel-Angge,langge,orang-outang,Changarnier,,,,,,,,,,,,,,,,,,,,,,,,,
40,Barbs,Barbbs,-  Trbs,Balaruc,carbonaro,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Troplong,lonc,Salon,Poncif,on longca,Salons,gnonnc,Ablon,lonc?n,qulon,sulon,,,,,,,,,,,,,,,,,,,,,
42,ablmes,Ormes,messc,"Armes,1",blme,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Conservatoire,Onse,Causons,Hlurons,-  Conservons-les,Monsei-,-  Sortons,onservatoire,Bonsoir,,,,,,,,,,,,,,,,,,,,,,,
44,eulemet,neme,mneme,recemmenf,Iemmecs,inegalemecnt,,,,,,,,,,,,,,,,,,,,,,,,,,
45,cclui de Lamoricire,Derrire,Lamoricire,Suriret,glcterre,Frederie,derriire,aerrtri,orfevrerie,reverraitl,La terre,deplorer,,,,,,,,,,,,,,,,,,,,
46,Percepteur,le Precepteur,Precepleur,Prcepteur,Precep,Q',,,,,,,,,,,,,,,,,,,,,,,,,,
47,Fr6dic,silencicuse,odicuse,sricuse,adicu,-  Excuse,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Murcchale,Marchale,march aux Fleurs,Arc,La Marchale,Mlurchale,Marcchale,Marchd,,,,,,,,,,,,,,,,,,,,,,,,
49,revolta,Revo-,quai Voltaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,tristel,Pwris,pris?n,aris,scuris,Parisien,mpris,Paris,Mlarie,soie gris,llamaria,Lovarias,aristocratel,l2aris,,,,,,,,,,,,,,,,,,
51,pnrtit,Pnr,lbitit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,- el,-  Eh,-  Ohl,"amateursl o
-  Eh",Eh,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Buins-Chinois,la chine,Chine,chine,chdne,Chine ct,kRhin,Chinec,cheminee,le Rhin,Chinois,tine,,,,,,,,,,,,,,,,,,,,
54,Aube,Rubens,Bertinaux,l'Aube,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Napolon,"Napo
leon",Polonaise,Iiciance de Napolon,Monopole,Apollo-,Napoleon,Napolion,Polonais,Apollonie,Japon,"quai Napo-
leon",,,,,,,,,,,,,,,,,,,,
56,rideuux,Dbarleuse,Dbardcuse,Debardeuse,Debar-,ebahi,la Debardeuse,l Dehardeuse,Dbardeuse,,,,,,,,,,,,,,,,,,,,,,,
57,nir,Iraucs,IR,Irappces,rir,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,lanternes prbs des lanternes,f-,Jardin des Plantes.ed,Jardin des Plantes,"Jardin des Plantes.ed
L' E","lanternes vnitiennes accrochees 
des poteaux iormaicnt",Jardin des llautes,,,,,,,,,,,,,,,,,,,,,,,,,
59,I17,17T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,So-,so,Sombaz,Soitl,son32,socqucs,Sourdun,,,,,,,,,,,,,,,,,,,,,,,,,
61,pos-L' fED,pos-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,papicr,pau,paon,Papal,Appar,Palerme,patre sa capole,Parly,rultrapa,A,paysn,,,,,,,,,,,,,,,,,,,,,
63,gasin,Norvins,Sphinx,In,reinc n.,medecins,tinu,Iin,-  Hein,nankin,cinabe,hein,Jrdin,Bobino,nins,Infin,,,,,,,,,,,,,,,,
64,SEN T IMENTALE,SE NT1MENTALE,Comimnent,SENTIME NTA,sSENTIMIENTALE,fort gentimenl,SENTIMENTALE,ENTALE,SENTI,Irtement,sETIMIENTALE,sSENTIMENTALE,sENTI E NIALE,SENTI MIENTALE,Vraimentl,SENTIMINTAILE,SENTIMIE,SENTIMENTA IL E,Enfantin,SENTIMTENTAILE,sENTIMIENTALE,sENTIMENTALE,Bengale,SENTIMIENTA,SENTIMENTAILLE,comnplimenter,recut fort gentimenl,,,,,
65,Pourquoi ma lpublique,ourquoi,Pourquoi t'acharnes,Quoi?n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,p1es-,Es-tu,Oi es-tu,Attendrais-tu ton lidalgo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Flanque-la dehorslon,Salamanque,Flanque,Blanqui,Banque,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Somme,ommne,sommc,Commcntl,hommcs,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Pouce,appouva,po,Pou,Pour-,pouIr,poussibere,,,,,,,,,,,,,,,,,,,,,,,,,
70,Travaillezl,serpillire,fiamille,Lille,volaille,llI0tel-de-Ville,"lille Com-
ain",Milles,Iille,defaillir,lille,Ili,tuille,Lillec,nille,billee,Canaille,Plilias,ranquille,tranquille,Vazeille,lile,iille,,,,,,,,,
71,usqulau Louvre,Au Louvre,ouvragcs,"exprs louvrage do
Gobet",d0me du Louvre,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,lanoblesse,eligibles,bles,blessee,k.,Lesurques,bleme,Miserables,Garde-Meubles,Iavorable,,,,,,,,,,,,,,,,,,,,,,
73,poudrc,Oudry,voudrezn,pre Oudry,Odry,voudrezl,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Opera,I85,operer,perail,enveloppee,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,ayec,layes,naiyes,Troyes,ployes,balayes,ayeec,noyees,,,,,,,,,,,,,,,,,,,,,,,,
76,Olympe,llisbeth-Olympe-Louise HRoque,mpe,L'Olympe,MP,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Essniens,Patience,Tiens,mens,Autrichiens,Amiens,Iense,vienslo,Deviens,censcur,,,,,,,,,,,,,,,,,,,,,,
78,tais-toil,toil,Toi,toilon,J,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,b6-,l6-,d6-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Aosanoe,regagnantsa,Persan,Sanson,San,san,pysan,sance,Van-,n,E,Dumersan,tanl,,,,,,,,,,,,,,,,,,,
81,collbge,Collge de France,Collige de France,colonne de Juillet,collge,"Ar-i
noux  trente mille francs",collge de Sens,,,,,,,,,,,,,,,,,,,,,,,,,
82,Pere-Lachaise,aisserie,serieux,aisers,Ptisserie,baissee,connaissez?n,Iavseillaise,,,,,,,,,,,,,,,,,,,,,,,,
83,quin,Qui?n,Inquisition,Eh 1 M. Mloreau m'inquiete,tqui,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,arrivel,barrirc,Arriv,Charivari,Burricu,D,,,,,,,,,,,,,,,,,,,,,,,,,,
85,l'Empire,Empire,ainirenl ie dnlagc,Empire cree pair de,oratoir du Pape,Empire cree pair de lFrance,Le Vicaire,insree dns,cruinte de deplaire,,,,,,,,,,,,,,,,,,,,,,,
86,Limpu-,Limportance,Sortezl,importel,portunt,Impossiblel,curtel,,,,,,,,,,,,,,,,,,,,,,,,,
87,ux Tuileries,dome des Tuileries,bal des Tuileries,Tuileries,Ilesperides,el des galas,Alpes,geries Leloir,jardin des Tuileries,terrompu des grenouilles r6pond,,,,,,,,,,,,,,,,,,,,,,
88,Mlontreuil-Nantua,h0tel de Nantes,gantee,Nantes,snte,lhunanit,Dantc,Annales roantiques,lentendant chanterl,dinant,,,,,,,,,,,,,,,,,,,,,,
89,pyse,Senc-,Sen6cal,se260,Sens,Venise,sEN,hse,do Venise,tuen,Sene--,faenza,"Senc-
cal",Wenise,notre Senecal,Senecal,,,,,,,,,,,,,,,,
90,k--,meu--,".,:ak---",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,rue le Fleurus,le Iyve,i5,Fleurus,rue de Fleurus,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,oii,Iixa,I',Iit,Iinit,II',MIis,II,IIL,liiIrencc,IIl,"ti 
I
 i 1eitiuiiitiifiiiii
.:tnehihuiwf",ii,IIis-,MIise-,,,,,,,,,,,,,,,,,
93,clerche,maltre-clerc,Frcleric,Clerc,ler,cervclle,clerg,Clerc abusaitle,lons i cercle dor,Cercle,,,,,,,,,,,,,,,,,,,,,,
94,Sncal,"cafe170
L",Cate,Ca,ca,Sinical,camlias,batcau,cafds,Lavocat,,,,,,,,,,,,,,,,,,,,,,
95,Iamour,comis-voyageu,aMIais,Miais,tamise,Jamais,Lamennais,MIais,familiarite,,,,,,,,,,,,,,,,,,,,,,,
96,Rosanetlte,llosnette,llosanetle,Hosnette,osanette,kRosannette,Rosanctte,Iosanette,osanette s'arrtta,Rosanette,Rosannette,llosanette,Ilosanette,kosanelte,Rosanetle,Hosnelte,llosaneltte,Hosanette,Sane-et-,,,,,,,,,,,,,
97,Larsillois,Gaillon,Chitillon,Postillon russe,chillonnires,Ilot,tillon,illusionsl,Maillot,Postillon,place Gaillon,Milo,Fllo,Long-llocher,postillon,,,,,,,,,,,,,,,,,
98,Mladame,Madamel,camelias,damas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Notre-Dame,Notre-Dume,Notre-,Notre-Dame-des-Victoires,"rue Notre-
Dame-des-Victoires",Dame-des-Victoires,Notrc-Dame,notre7,,,,,,,,,,,,,,,,,,,,,,,,
100,EDUcATI0N sENTIMENTALE,incATI0N SENTIMENTALE,L'EDUCATI0N SENTIMENTA,"IL DUCAT10N SENTIMENTA LE
-  Moi?",EDUCATI0N sSENTIMENTA ILE,L'EDUcATI0N sENTIMENTALE,EDUcATI0N SENTIMENTALE,.eL' iEnUCATI0N SENTIMENALE,EDUcATI0N sENTIIENTALE,EncATI0N sSENTIMENTALE 501,UcATI0N SENTIMENTA ILE,E nucATI0N SENTIMIENTAILE,EDUCAT10N sENTIMENTALE,LipUCAT10N SENTIMENTALE,pas-L'fncATI0N SENTIIENTALE,TI0N SENT1MIENTALE,L'EpUCATI0N SENTIMENTALE,EnUcAT10N sENTIMENTALE,L'incATI0N sSENTIMIENTALE,L'EDUCATI0N sSENTIMENTALE,"cafe170
L EDUCAT10N SENTIMENTALE
Dagneaux",,,,,,,,,,,
101,Cerfs,Commecnt,commenccr,Commerce,Almanach du Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"porl
Maillot",Churlotte,Marlotte,mateclot,Parlotte,aott,,,,,,,,,,,,,,,,,,,,,,,,,,
103,-  Tenezl,fenclre,- Rendez-moi,lrenez,enlra,Comprenez,Prenez gardel,,,,,,,,,,,,,,,,,,,,,,,,,
104,depute,Chambres devraicnt,Chambre des deputes,M. des Aulnays,ferme de Presles,Chambre des depules,accreditee depui,,,,,,,,,,,,,,,,,,,,,,,,,
105,disunt,MI arrondissement,NIl arrondissement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,ravailleurs,musee de Versailles,Versailles,sailles,transfrer  Versailles,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,lEurope,inonle,senleur,monleln,Onleur,voleurslon,,,,,,,,,,,,,,,,,,,,,,,,,,
108,sala l3onne-Nou-,Vanneroy,Couronne,Trone,neroy,duro,Nonancourt,couronnaicnt,fer n. Nonancourt,Boutron,tonnee,,,,,,,,,,,,,,,,,,,,,
109,"Palais-
Royal",Palais,Al0naise,Palais-Royal,Mlais,discutaitla,Ilfallait,Laval,,,,,,,,,,,,,,,,,,,,,,,,
110,Devant,cheminde,qand,"wurt
tandems",Anda-,ande,Iarchander,uand,candelabres,candideslo,gand,mero pueblo del mundo,Grand,Ievue Indeeudante,Normandes,brigand,,,,,,,,,,,,,,,,
111,z:::c,cccccc.26,z:::::cc-,Ec::::':-,c::ccc,t:::---,.::,,,,,,,,,,,,,,,,,,,,,,,,,
112,Fu-,Vuraud,"au-
res",Gorge-au-Loup,Au-,au-,Decslau-,Vu-,,,,,,,,,,,,,,,,,,,,,,,,
113,t Seine,La Seine,la Seine,la Madeleine,Seine,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Aulnays,choseln,Ilne,Ln,lns,Iln',ln190,,,,,,,,,,,,,,,,,,,,,,,,,
115,ttetc,"detteln
-  lurbleu",laigrette,casqtette,tte,ttete,httel,-  Permettezl,chette,tter,con nette,permettezl,Cctte,lettel,,,,,,,,,,,,,,,,,,
116,Iysteres de Paris,c0te de Sourlun,c0te de Paris,rue Paradis,propricte do lh0tel,Arc de triomphe,c0te de Chailly,vee h Paris,cte de Paris,,,,,,,,,,,,,,,,,,,,,,,
117,Praslin,Berlin,LinUCCATIN,linie,Enlin,Inlin,Baslin,puncl inleliniment,Mlinistk,latinl,Linsuccs,enlfin,,,,,,,,,,,,,,,,,,,,
118,got,gote,degot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,martre,Montrez,boulevard Montmartre,Montmartre,port le Montereau,rue Montmartre,Mattre,,,,,,,,,,,,,,,,,,,,,,,,,
120,le France,Irancs,esperance,Franck,Franc,Francois I,France,grace,Lextravagance,Franks,mlavancer,La France,de France,la France,,,,,,,,,,,,,,,,,,
121,Romeo,Hippodrome,Ilippodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,wagon,gargon,guargon,Mlorgue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,La Democratie,Democratie,ecrans de la cleminec,lace cramoisie,La revocation du general Changarnier,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,ctre,vtre,.'etre,v0tre,v0trel o,geomtre,v0-,"au-
tre c0te",,,,,,,,,,,,,,,,,,,,,,,,
125,Cuthe-,recut,Iutrcsecore,Autre-,Lautre,autrcs,Iare-aux-Fces,Autorit,,,,,,,,,,,,,,,,,,,,,,,,
126,geniel,compgnie,Genie,Regence,venit,genie,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Paris  Nogent,Nogentais,Nogent-sur-Seine,Nogcnltais,Nogent,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,"v-
peuI",peun,v-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Heudras,madras,Madrid,Mazas,aad,Prado,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Saumon,bDaumont,Fumichon,Longjumeau,aumone,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,suischagrin,Puisquon,"vis-i-vis de
lui-meme",Louisefut,Louisel,uis,Guizol,.Puis,buis,,,,,,,,,,,,,,,,,,,,,,,
132,Fr6lic,cn,licn,Richelicu,mathmaticicn,Frlic,lticn,bicn,lip-fraoli,Tlicrs,,,,,,,,,,,,,,,,,,,,,,
133,ecluir,Sicelui-l,Colui,plutt,pluic,Clubstick,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Ambigu,Savigny,ige,Intelligence,gorge-de-pigeon,sige,,,,,,,,,,,,,,,,,,,,,,,,,,
135,courbe cn,accouds,coucou,Ecoutez,accoudes,Ecoutez-,Flacourt,bicoue,,,,,,,,,,,,,,,,,,,,,,,,
136,EnUCTIoN,EDUCATION,iDUCATION,EDUCATIoN,Dsualtevnisation,nUCATION,"musique20
L' i:nUCATIoN",Irequcntation,garles nationaux,xt'L' D UCATIoN,"constitucion de Ca-
diz",,,,,,,,,,,,,,,,,,,,,
137,Iu,Emball  o dit llussonnet,Sorbonne,Iussonnet,Hussonne,fort honnete,Frisonne,Iussonnct,Hussonnet,,,,,,,,,,,,,,,,,,,,,,,
138,-  A,-  Bah,-  Ah,-  Ahl saprelotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,dit2,Dittmer,Dittmer-lal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Champs-Elysees,Champs-lilysees,Champs-llyses,Champs-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,harem,Marechal,Murechale,Mareclale,la Mlarechale,Marechle,Marechale,Mlarechale,,,,,,,,,,,,,,,,,,,,,,,,
142,punch,"jaun
blanches",Unc,unc,l.,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Marthene,Mlle Marthc,MP Berthelmot,Suaint-Barthelemy,Marthe,Ile Marthe,Parthenon,Mrthe,,,,,,,,,,,,,,,,,,,,,,,,
144,ligne du Nord,Nord,du Nord,Dunod,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Croix-Hlousse,carre-,Carousel,Carrousel,"place du
Carrousel",Barrot,carreaix,,,,,,,,,,,,,,,,,,,,,,,,,
146,Vatnazl,Mlle Vatnaz,Vatnaz,Vntnaz,Vutnaz,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,"barribre du236
L'",barribre d'Italie,barribre du236,barribre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,sentan,reprenaicnt,cntendez,ncnt,sentaicnt,appuicnt,amenaicnt,secouaicnt,examinaicnt,22I,ctaicnt,manquaicnt,NTAI.E,l'argecntl,accusuicnt,Oricnt,,,,,,,,,,,,,,,,
149,L'EDUCA TI0N,L'EDUCA,lesL' EDUCATI0N,L'EDUcATI0N,EDUcATI0N,L'E,EDUCA,"par-l.
L' iDUCCATI0N",,,,,,,,,,,,,,,,,,,,,,,,
150,biographics,nice,Vicns,rue Vivicnne,Vicomte,vis-a-vis,Vil,vicux,vic,picd,Vive,,,,,,,,,,,,,,,,,,,,,
151,Saint-Valery,Saint-Franois,Saint-Pre,Saint-Cloud,lebarquait  Saint-Cloud,Saint-Antoine,quai Saint-Bernard,Saint-Honor6,Saint-Louis,porte Saint-Denis,"Saint-Satur-
nin",Saintonge,"Sainte-
Chapelle",Saint-,chapelle Saint-Satur-,Saint-Paul,Saint-Mlarceau,Saint-Thomas,Saint-Cloul,Saint-Germain,Saint-Nicolas,Francs-Bourgeois-Saint-,Mont-Saint-Michel,de Saint-Denis,,,,,,,,
152,l'alc0ve,c0,alc0ve,ulc0ve,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Chbre,chre,Iichtre,chbevre,seucestochre do,cochre,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Frederic,Frd6ric,Misericorde,Frde-,Frderic,lFrederic,Desgricux,Fderic,attraper Frderic,Fr6deric,Fr4deric,,,,,,,,,,,,,,,,,,,,,
155,mimi?n,Imince,MI,MIme,IM,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Le Gouvernement,Fouvens,Gouvernement,Gouvernemenl,Certainementl,Gouver-,gouvernementl,Doucement,Gouvernemer,,,,,,,,,,,,,,,,,,,,,,,
157,Rvolution,Albion,Pvescrition,Tond,Religion,vagabondge,bonds,Iond,mondt,ionde,Oublions,Givondis,,,,,,,,,,,,,,,,,,,,
158,h.,OuY.rd,debout li-bus,Iou-,lousie,burnousl,ous,Iouleuses,coussins,Andalouse,Cousin,YOuS,vOus,,,,,,,,,,,,,,,,,,,
159,Pharamond,chagrin?n,Chambord,"Cham-
pgile",Alham-,Chambrion,Cham,Champagne,,,,,,,,,,,,,,,,,,,,,,,,
160,Cancane,Vatican,anca,avanca,canape,Toscane,a20,cancan,renoncant,Canonniers,Sncall,,,,,,,,,,,,,,,,,,,,,
161,teuil,emeute,auteuil,Auteuil,Aulcuil,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,lavie,IEt,fier,gonie,oubliec,Pierrot,Pradier,Adieuln,Brie,gie,iE,siege,natuie,,,,,,,,,,,,,,,,,,,
163,rez-de-chaussee,Aussit0,hauss6e,s6,haussantles,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Francais,Irangaise,Frangcuais,Comedie-Francaise,Francaise,Buzancais,caises,Irangcaise,,,,,,,,,,,,,,,,,,,,,,,,
165,moiselle,mademoisoelle,Made-,mademoiselle,Ellemontadedans,Malemoiselle,Madeleine,,,,,,,,,,,,,,,,,,,,,,,,,
166,lgre,Malgre,LG,La Fougre,gre,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,rue Descartes,Restez,thbeses,lrges cuvettes,prolites-cn,Jesuites du Paraguay,ypes,Ibes,"au-
Tes",gnrosites,Ctes,Tes,mbes ecartees,htes,ixes,pItesque feroce,,,,,,,,,,,,,,,,
168,lappartemcnt,gravemcnt,dcouragemcnt,"brav
garcon lcha immdiatemcnt","recensemcnt lIu-
t mann",confusemcnt,lemmcna,semcnt,t3,rayonnemcnt,remcnt,economiquemcnt,,,,,,,,,,,,,,,,,,,,
169,lumire,thiire,bire,hire,laltirerent,lchira,bannire,Iaire,soiree,,,,,,,,,,,,,,,,,,,,,,,
170,Iallait,Celutal,ia,-  Salut,Iallu,alluma,,,,,,,,,,,,,,,,,,,,,,,,,,
171,licole,nole,vrole,des collges,lescalicr,Colot,l1'Icole,Lecornu,Icoles,vicomles,,,,,,,,,,,,,,,,,,,,,,
172,d6bordes  o,Bordelaise,Borlelais,Borde-,La Borlelaise,Bordelais,Bordeaux,,,,,,,,,,,,,,,,,,,,,,,,,
173,"rue
Coq-Heron",rue Coq-Ileron,Coq-Ileron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,l108,T10N,en10,n1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,d'York,Voyons,yoix,Yoyonst,G,Lyon,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Gauloises,Vulois,Gaulois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,s':'.t,".,s-i",".,'.-",a.-,"T,'",,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Conference,Concoit,congediee,Considerant,macons,pont d'Arcole,considera,deu garcons iatigues,troncons lde statuc,conita,Con,Conslitulion,on276,feconde,lhorizon,pont de la Concorde,,,,,,,,,,,,,,,,
