cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26
65,Stephen,phenix,Stephens,queens,Benstead,repeated.—Then,,,,,,,,,,,,,,,,,,,,,
66,mT,MT,,,,,,,,,,,,,,,,,,,,,,,,,
67,Buffer,sherry.,Griffin,Sheriffs,Sheridan,Middlesex Sheriffs,,,,,,,,,,,,,,,,,,,,,
68,Ny,ny,Tuscany,,,,,,,,,,,,,,,,,,,,,,,,
69,St. Patrick,trois,Austria,arctic,District,Sesostris,Jur district,Victoria,"disease,—which",,,,,,,,,,,,,,,,,,
70,lesaly,Snoggles,Wales,also!—Yes,Messalina,Cornwall,Bird-Cage Walk,Holes,Bibles,XXX.—Mental Struggles,deep wales,,,,,,,,,,,,,,,,
71,+L wil,Wilmot,"Dr, Wilmot",,,,,,,,,,,,,,,,,,,,,,,,
72,Old Bailey,Mufiles,Leipzig,Mule,Séilligalee,&c.,Skilligalee,Ile,Bastille,jilley,nile,Lille,Leeds,il nw,,,,,,,,,,,,,
73,Ellen,Ellis,TELL,Tell mo,Gazette,,,,,,,,,,,,,,,,,,,,,,
74,Contarini,Continent,Cont,monaco,Simcox,contemptuoualy,Colonies,"account,’—And",sont,Content,Tagliont,Silicon,,,,,,,,,,,,,,,
75,the Happy Valley,calle,Valley,Tuvalu,Smaller Hill,Talleyrand,,,,,,,,,,,,,,,,,,,,,
76,Great Britain,Britain,Tainps,tain Fitshardinge,britain,,,,,,,,,,,,,,,,,,,,,,
77,ain’t,ithn’t,may’t,does’t,n’t,don’t,in’t,can’I,,,,,,,,,,,,,,,,,,,
78,Ferdinand,"Diana,—I",India,dinand,Diana,West Indian,Mind,,,,,,,,,,,,,,,,,,,,
79,Receiving Ward,Spring Gardens,Spring-Gardens,"the Zoological
Gardens",WV,"Spring
Gardens",Spring Gardena,,,,,,,,,,,,,,,,,,,,
80,St. David’s,"St, David’s",St. David's,’s,,,,,,,,,,,,,,,,,,,,,,,
81,Macquarie,Macquarie Harbour,Port Macquarie,,,,,,,,,,,,,,,,,,,,,,,,
82,Giltspur,St. Leger,"St, Giles",St. Luke's,St. Giles,St. Giles's,St. Giles’s,,,,,,,,,,,,,,,,,,,,
83,Santa Croce,Santa-Croce,SANTA CRUZ,Centaur,,,,,,,,,,,,,,,,,,,,,,,
84,Stockholm,ste,Ste,Stour,St,St.,crystal,Elmhurst,,,,,,,,,,,,,,,,,,,
85,"the United
States",the United States,Ab!—the United States,the united races,,,,,,,,,,,,,,,,,,,,,,,
86,handkerchiefs,Clara Maberly,Berlin,Switzerland,Oberland,Cumberland,Borland,,,,,,,,,,,,,,,,,,,,
87,Transylvania,Australia,Strand,Jand,Strasburg,Strat-,Grand,strack mo,Pandora,,,,,,,,,,,,,,,,,,
88,Mint,maine,Sardinia,"quaint-
ance",Saint,"Saint
Nepomecenus","acquaintances,—to",Tremain,Saint Giles's,Saint John's,Plain,appoint~,Saint Sepulebre's,Saint James's,Saint David's,Saint Joana,Saint Giles’s,,,,,,,,,,
89,West-End,Westminster,Majesty,Lewes,West,Westminster Abbey,west.,Nest,Select Vestry,Esq,,,,,,,,,,,,,,,,,
90,Scuttle,Castle,"Castle
Ghichor",Cast,CasrEzcroaza,Bustle,,,,,,,,,,,,,,,,,,,,,
91,East,Break,Belfast,BREAKFAST,nfoleastere,Breakfast,Speak,,,,,,,,,,,,,,,,,,,,
92,the Roman States,Roman States,"ma
Bistrates’",‘Roman States,,,,,,,,,,,,,,,,,,,,,,,
93,Texas,Glasgow,wasa,las,Lancashire,Ladyship,,,,,,,,,,,,,,,,,,,,,
94,AR Grand Duchy,Grand Duchy,Duchy,the Grand Duchy,,,,,,,,,,,,,,,,,,,,,,,
95,Greéwood,GREENWOOD,Wooden,Greece,Greenwich,Greenwood,,,,,,,,,,,,,,,,,,,,,
96,XXII,CLXIII,XX,Biihe,,,,,,,,,,,,,,,,,,,,,,,
97,mansion,swan,ma’‘sm,"man,”—and",Banks,Germany,Roman,oman,sonoma,Panama,cayman,,,,,,,,,,,,,,,,
98,UU,Katucriue,IU,Sucre,,,,,,,,,,,,,,,,,,,,,,,
99,Havannah,Hants,Anadolu,Hannah,Vienna,canAda,,,,,,,,,,,,,,,,,,,,,
100,Miss.,L.S.,,,,,,,,,,,,,,,,,,,,,,,,,
101,Eastern Counties Railway,herg,Rochefoucauld,MYSTERIES,The Lobster Tavern,Rechabites,Gloucester,chester,Manchester,Rochester,Herbertstcin,Hercules Passage,Cherry,Chichester,,,,,,,,,,,,,
102,barat,Bombay,Carté,Garter,the Lombardy Arms,Esparto,Bart,Crossbar,Kilbarn,écarté,Barracks,Hobart Town,Barbican,Hobart,mart,,,,,,,,,,,,
103,red morocco,Morocco,morocco,Morocco Railway,MOROCCO,,,,,,,,,,,,,,,,,,,,,,
104,Brick Lane,flank,Lane,"New
Zealand",Brick-lane,plano,Drury Lane,"Chick Lane,§",New Zealand,,,,,,,,,,,,,,,,,,
105,"s0-
city",the North Pole,the County of,the City Road,Vanity,"the

  

 

 

   

City",the City,the Island of the City,the Casualty Ward,The City,City-,mighty city,the thick grove,,,,,,,,,,,,,,
106,thailand,milan,Milan,Ilala,Millbank,,,,,,,,,,,,,,,,,,,,,,
107,"inmates,—a",kind;—and,Kinds,"in,—a","writing,—and","kind,—a","behind,—and","wildly,—at","heard,—a",,,,,,,,,,,,,,,,,,
108,Cingani,King Zingary,Zingarces,Zingary,Hungary,Zingarees,,,,,,,,,,,,,,,,,,,,,
109,"the

 

 

  

 

 

 

Cecilia",huge;piece,Cecilia,"Lady
Cecilia",,,,,,,,,,,,,,,,,,,,,,,
110,mo seo,M3,Mo,Mossop,mo,Moscow,Armoury,,,,,,,,,,,,,,,,,,,,
111,Aus,Illustrious,Busby,Gradus,indus,uso,Venus,Us,Vesuvius,us,"justice,—I",Janus,Husband,Tus,,,,,,,,,,,,,
112,MM,agruff,mag~,Brummagem,agen,,,,,,,,,,,,,,,,,,,,,,
113,Squids,Quakers,Quad-,quad-,,,,,,,,,,,,,,,,,,,,,,,
114,Somers Town,Jersey,Somersetshiro,Berkshire,Somersetshire,,,,,,,,,,,,,,,,,,,,,,
115,Bentonville,Piccadilly,Villabella,Rossville,Villa,Villabeila,"Wy
vil",Quillotines,VILLA,,,,,,,,,,,,,,,,,,
116,Casteicicala,"Castel
Gicala",Custeleicala,Casielcicala,Jastelcicala,the State of Castelcicala,the Grand Duchy of Castelcicala,Escalate,Eustelicala,"Castaic-
cala",Casteleicala,Castelelcala,Castelricala,Castolcicalan,Castcleicala,Mica,Castelcicala,Calcutta,Casteletcala,Castelicicala,Castolcicala,Custelcicala,,,,,
117,Yes:—in,cincinnati,Vinciblo,in'a,inn,Inn,,,,,,,,,,,,,,,,,,,,,
118,Bishops-,Timplore,"Shorediteh,—then",Shore,Oregon,Shoreditch,,,,,,,,,,,,,,,,,,,,,
119,Bt,"Bt,",,,,,,,,,,,,,,,,,,,,,,,,,
120,aspirati,Oran,tehran,Mira,Iran,naira,Surango,iran,Bir,,,,,,,,,,,,,,,,,,
121,Americas,"North
America",Meriag,Africa,Camberwell,America,Meitnerium,cameroon,,,,,,,,,,,,,,,,,,,
122,Arkansas,the Victoria Park,Pardon,Farnsworth Park,Parsonage,"Cherry
Park","Hyde
Park",Hyde Park,Park,Clare Market,the Green Park,Dark,Clarke,,,,,,,,,,,,,,
123,it'worth,Ravensworth Park,Ravensworth Hatt,Leavenworth Park,Ravensworth Hall,Leavenworth,Ravensworth,"Ravensworth
lal",Rickmansworth,,,,,,,,,,,,,,,,,,
124,au rome,Someot,MeI Bolt,I|,Rome,promiseé,rome,room/—I,,,,,,,,,,,,,,,,,,,
125,Diab,Julia,narnia-,Lydia,Namibia,Alia,croatia,ia,Bohemia,,,,,,,,,,,,,,,,,,
126,his’n,Whittinghs,Pitt,Whitechapel,White,whirls,Whitefriars,Nephite,,,,,,,,,,,,,,,,,,,
127,MARKHAM,Hare,Thon Markham,Harpy,+ Markham,Mark~,"Mark
ham",Markham Plios,Marriot Markham,Markham,"Markham
Pince",Rice Markham,Markham Place,,,,,,,,,,,,,,
128,Birchin,tina,Chick,China,CHINA,china,,,,,,,,,,,,,,,,,,,,,
129,lemaly,curLy,italy,Italy,palo,unsucceafaly,steraly,"TI

 

OLY",aly,Healy,lyre,,,,,,,,,,,,,,,,
130,Superintendent,yemen,orient,Imprisonment,Mentor,san regiment,Regent,toronto,,,,,,,,,,,,,,,,,,,
131,Globo Town,Globe,Globe Towa,"Surgeon Hill,—Globe Town",Glove Town,Camden Town,S$.,Globe Town,Globo,,,,,,,,,,,,,,,,,,
132,Rotterdam,Ramsgate,ms’am,Teynbam,Amsterdam,,,,,,,,,,,,,,,,,,,,,,
133,Plaza Sydney,Sydney,Eliza Sydney,ELIZA SYDNEY,,,,,,,,,,,,,,,,,,,,,,,
134,norfolk Island,ting Norfolk Island,Norfolk,Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,
135,Bethnal,Bethlem,Lambkin,Lambeth,Elizabethan,,,,,,,,,,,,,,,,,,,,,,
136,"sir,—I","world,—if","Pacific,—I",loaf:—it,York,"work,—it","seat,—“it",,,,,,,,,,,,,,,,,,,,
137,aden,Camden,Adeline,denver,Adelino,Baden-baden,Baden,Sugden,Aden,Leadenhall Market,Adelaide,,,,,,,,,,,,,,,,
138,"Louis
XIV",Louse,Louisa,los,Louis,,,,,,,,,,,,,,,,,,,,,,
139,Field Mar,Titchfield,Spitalfields,Fields,SMITHFIELD,Smithfield Market,Smithfield,Field,Fieschi,Sheffield,,,,,,,,,,,,,,,,,
140,Circassia,Russia,Kasich,asia,Asia,Persia,cassia,Asia Minor,quassia,,,,,,,,,,,,,,,,,,
141,"Rio
Janeiro",Janeiro,Geir,,,,,,,,,,,,,,,,,,,,,,,,
142,Suez,guelph,SxLP,,,,,,,,,,,,,,,,,,,,,,,,
143,Myeloid,the Yellow Drawing Room,the Yellow Drawing-room,the Yellow Drawing-Room,,,,,,,,,,,,,,,,,,,,,,,
144,voice.—'I,Prove-,provo,Providence,,,,,,,,,,,,,,,,,,,,,,,
145,Paris,Paradise,Prisons,"the paris-|
tracy",Paria,Baris,paris,,,,,,,,,,,,,,,,,,,,
146,sonoran,norway,Normandy,Unstable Manor,Manor,Bazzano,,,,,,,,,,,,,,,,,,,,,
147,Rottenborpugh,Rottenborough Article-,Rotteuborough,Rottenbordugh,Rottenborough Union,Iwroteto,Rottenborough,Tottenham,,,,,,,,,,,,,,,,,,,
148,bees’-win,know-,Windsor,wino,nino,wi,,,,,,,,,,,,,,,,,,,,,
149,Club,mn,Calumny,Aléum,,,,,,,,,,,,,,,,,,,,,,,
150,Toulon,Bonn,Babylon,undo1,LONDON,Dawson,CONDON,Richmond,the City of London,THE MY6SERIES OF LONDON,"Lon
don",london,London,OF¥ LONDON,,,,,,,,,,,,,
151,West End,the East Indies,the East a few weeks ago,they’reno,the West End of London,brook:—then,the West End,the East Indians,"the

 

 

 

   

    

 

 

 

 

  

 

 

 

  
  
 

 

 

   

 

 

Railway east",Thebes,the West Strand,the West Indies,The West End,,,,,,,,,,,,,,
152,Vernon la,Duvernay,Vernon,Persona,VERNON,,,,,,,,,,,,,,,,,,,,,,
153,Opera,Europa,Urox,Western Europe,puro,Northern Europe,Penelope,Europe,,,,,,,,,,,,,,,,,,,
154,nh,Cornhill,Nh,,,,,,,,,,,,,,,,,,,,,,,,
155,Wigginton,Montague,Manton,Edmonton,Beaumont,Moncton,"the
moon",Montoni,Salmon,Montreal,Armonia,Aston,,,,,,,,,,,,,,,
156,"you,—if","bed,—not",Nota,"you,—not",,,,,,,,,,,,,,,,,,,,,,,
157,Inaccessible,Temple,naples,NAPLES,Naples,,,,,,,,,,,,,,,,,,,,,,
158,lima,life:—he,Liverpool,Dublin,Limb,Liege,Friuli,Libya,polis,Liquor,\little,Li,Tulia,,,,,,,,,,,,,,
159,Eastern Lon-,weapons:—of,Kidderminster,Monster,"monster,—I",,,,,,,,,,,,,,,,,,,,,,
160,the Caribbean Islands,"Philip
Island",the British Islands,Philip Island,Slavéy,Leeward Island,Caribbean Islands,Island,,,,,,,,,,,,,,,,,,,
161,Bordeaux,Weare,Eastwards,Preach,the Great Desert,Delaware,Dearest Reginald,Dearest,,,,,,,,,,,,,,,,,,,
162,Lower,voloe,Lower Union,Swallowing,"low,—I",Holloway,Hounslow,Yellow,Lower Holloway,,,,,,,,,,,,,,,,,,
163,supp.y,Clapton,"Dapper to-
wards",Upper Clapton,,,,,,,,,,,,,,,,,,,,,,,
164,Stamford Stroot,Staffordshire,Stamford,Stafford,,,,,,,,,,,,,,,,,,,,,,,
165,methodist,thun,house’—Thereupon,thou,Thon,Soho,Tho,,,,,,,,,,,,,,,,,,,,
166,Const-,Stilton,Gutity,Constitution Hill,invitation:—then,Constitution-,,,,,,,,,,,,,,,,,,,,,
167,Saint Theo-,Saint Theodosla,St. Theodosia,Saint Theodosia,,,,,,,,,,,,,,,,,,,,,,,
168,Montecuculi,kuec,@Montecueuli,,,,,,,,,,,,,,,,,,,,,,,,
169,"it,—when",Penitentiary,"presence,—I","penitence,—he",,,,,,,,,,,,,,,,,,,,,,,
170,Turkey,Turin,turkey,Picture,futuro,Tunis,decatur,TuRN,"nature,—if",,,,,,,,,,,,,,,,,,
171,fort,Beaufort,Effort,’—'For,Misfortunes,Tilbury Fort,Fort,Frankfort,fortin,Port,,,,,,,,,,,,,,,,,
172,United Kingdom,the united kingdom,the United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,
173,Gravesend,Imperative,Traveller,Craven,Nevernave,Brazil,"Belgrave
Square",Everard Home,Braver,,,,,,,,,,,,,,,,,,
174,Minories,Harriet,Ladies,Harries,,,,,,,,,,,,,,,,,,,,,,,
175,Israel,israel,,,,,,,,,,,,,,,,,,,,,,,,,
176,Saffron,Snow Hill,Ludgato Hill,Saffron Hill,,,,,,,,,,,,,,,,,,,,,,,
177,Ossoro,timor,Morosino,Morcar,Portsmouth,perseroro,Morpheus,Monroe,Morean,Tremordyns,moro,,,,,,,,,,,,,,,,
