cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26
74,ALGIERS,Algiers,Algeria,,,,,,,,,,,,,,,,,,,,,,,,
75,tune;—bat,nepal,Imagine,Guinea,New,Noone,ne,Jonettes,Ne,Melbourne,One'of,Putney,NEED,Neame,,,,,,,,,,,,,
76,Snoggles,Wales,also!—Yes,Cornwall,Holes,Bibles,the Prince of Wales,deep wales,,,,,,,,,,,,,,,,,,,
77,+L wil,Wilmot,"Dr, Wilmot",,,,,,,,,,,,,,,,,,,,,,,,
78,Old Bailey,Mufiles,Leipzig,Mule,Ile,nile,Lille,il nw,,,,,,,,,,,,,,,,,,,
79,Hamburg,hamburg,"St.
Petersburg",Edinburgh,Buren,,,,,,,,,,,,,,,,,,,,,,
80,Holiness,Adeline,Adelino,Adelaide,,,,,,,,,,,,,,,,,,,,,,,
81,Ellen,Ellis,TELL,guelph,Tell mo,,,,,,,,,,,,,,,,,,,,,,
82,Hoxton,Hoxton Old,Hoxton Old Town,"TI

 

OLY",Brixton,,,,,,,,,,,,,,,,,,,,,,
83,Contarini,Continent,Cont,Simcox,contemptuoualy,sont,Content,Tagliont,Silicon,,,,,,,,,,,,,,,,,,
84,Woolwich,voloe,Toole,Wooloomooloo,Liverpool,,,,,,,,,,,,,,,,,,,,,,
85,Birchin,tina,China,Messalina,Inaccessible,CHINA,china,,,,,,,,,,,,,,,,,,,,
86,Lethean sea,Lethean,the Dead Sea,,,,,,,,,,,,,,,,,,,,,,,,
87,the Happy Valley,calle,Valley,jilley,Tuvalu,Smaller Hill,Talleyrand,,,,,,,,,,,,,,,,,,,,
88,ain’t,ithn’t,may’t,n’t,don’t,in’t,can’I,,,,,,,,,,,,,,,,,,,,
89,Budge Row,Judges,,,,,,,,,,,,,,,,,,,,,,,,,
90,Receiving Ward,Spring Gardens,Spring-Gardens,"the Zoological
Gardens","Spring
Gardens",Spring Gardena,,,,,,,,,,,,,,,,,,,,,
91,St. David’s,"St, David’s",St. David's,’s,,,,,,,,,,,,,,,,,,,,,,,
92,"Cavendish
Square",Macquarie,Macquarie Harbour,Port Macquarie,,,,,,,,,,,,,,,,,,,,,,,
93,"St, Giles",St. Luke's,St. Giles,St.,St. Giles's,St. Giles’s,,,,,,,,,,,,,,,,,,,,,
94,Santa Croce,Santa-Croce,SANTA CRUZ,,,,,,,,,,,,,,,,,,,,,,,,
95,"the United
States",the United States,Ab!—the United States,repeated.—Then,Tunis,the united races,,,,,,,,,,,,,,,,,,,,,
96,mo seo,timor,Mo,Morcar,monaco,mo,Moscow,"the
moon",Armoury,Salmon,Monroe,,,,,,,,,,,,,,,,
97,Berlin,Switzerland,Oberland,Cumberland,Borland,,,,,,,,,,,,,,,,,,,,,,
98,Capital,italy,Italy,crystal,loaf:—it,Talbot,Journey Nereuerm Italy,,,,,,,,,,,,,,,,,,,,
99,Mint,"quaint-
ance",Saint,"Saint
Nepomecenus","acquaintances,—to",Saint Giles's,Saint John's,appoint~,Saint Sepulebre's,Saint James's,Saint David's,Saint Joana,Saint Giles’s,,,,,,,,,,,,,,
100,West-End,Majesty,Lewes,West,west.,Nest,Select Vestry,Esq,,,,,,,,,,,,,,,,,,,
101,the North Pole,Farnsworth Park,Leavenworth Park,Leavenworth,,,,,,,,,,,,,,,,,,,,,,,
102,Walmer,Church,Walmer Churchyard,Elmhurst,,,,,,,,,,,,,,,,,,,,,,,
103,Castle,"Castle
Ghichor",Cast,Bustle,,,,,,,,,,,,,,,,,,,,,,,
104,Break,Belfast,BREAKFAST,Breakfast,Speak,I|,Preach,,,,,,,,,,,,,,,,,,,,
105,the Roman States,"inmates,—a",Roman States,‘Roman States,,,,,,,,,,,,,,,,,,,,,,,
106,handkerchiefs,andes,Jand,Janus,Husband,Pandora,Vandclenr,,,,,,,,,,,,,,,,,,,,
107,harriman thon,harriman,Harriet,Harries,,,,,,,,,,,,,,,,,,,,,,,
108,Texas,Malklatoun,Glasgow,wasa,las,Ladyship,,,,,,,,,,,,,,,,,,,,,
109,AR Grand Duchy,Grand Duchy,Duchy,Grand,the Grand Duchy,,,,,,,,,,,,,,,,,,,,,,
110,Dawson,Parsonage,Persona,Persia,perseroro,,,,,,,,,,,,,,,,,,,,,,
111,XXII,CLXIII,XX,Biihe,,,,,,,,,,,,,,,,,,,,,,,
112,mansion,swan,ma’‘sm,Germany,Roman,oman,sonoma,cayman,,,,,,,,,,,,,,,,,,,
113,Jew,the Old Jewry,Old Drury,,,,,,,,,,,,,,,,,,,,,,,,
114,edo,New Caledonia,Y'doa,does’t,I'Do,Edo,Medway,expel!ed,Wrsed,Leeds,toledo,,,,,,,,,,,,,,,,
115,Katucriue,IU,Sucre,Kato-|,,,,,,,,,,,,,,,,,,,,,,,
116,Havannah,Hants,Hannah,Vienna,,,,,,,,,,,,,,,,,,,,,,,
117,SSSsSSSeSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS,Miss.,L.S.,,,,,,,,,,,,,,,,,,,,,,,,
118,MYSTERIES,The Lobster Tavern,Gloucester,chester,Manchester,Rochester,Chichester,,,,,,,,,,,,,,,,,,,,
119,Giltspur,Urox,"pursuits,—yes",puro,futuro,,,,,,,,,,,,,,,,,,,,,,
120,Petrarca,Australia,Strand,Trafalgar,Strasburg,Strat-,"ma
Bistrates’",strack mo,,,,,,,,,,,,,,,,,,,
121,Garter,the Lombardy Arms,Bart,Crossbar,Kilbarn,Barracks,Hobart Town,Barbican,Hobart,mart,,,,,,,,,,,,,,,,,
122,maine,Tremain,Tremordyns,,,,,,,,,,,,,,,,,,,,,,,,
123,Gotha,dothan,Tooth,Elizabethan,,,,,,,,,,,,,,,,,,,,,,,
124,Brick Lane,flank,Lane,Brick-lane,plano,Drury Lane,"Chick Lane,§",,,,,,,,,,,,,,,,,,,,
125,Squids,Exquires,quito,Quillotines,,,,,,,,,,,,,,,,,,,,,,,
126,City Aegean,"s0-
city",the County of,the City Road,the Counts Horn,the City of London,Vanity,"the

  

 

 

   

City",the City,the Island of the City,the Casualty Ward,the Isle of Man,The City,City-,mighty city,,,,,,,,,,,,
127,thailand,milan,Milan,Ilala,,,,,,,,,,,,,,,,,,,,,,,
128,Ossoro,Jessop,Mossop,by'a posse,,,,,,,,,,,,,,,,,,,,,,,
129,kind;—and,Kinds,"in,—a","protfered,—a","kind,—a","behind,—and","wildly,—at","heard,—a",Mind,,,,,,,,,,,,,,,,,,
130,Cingani,King Zingary,Zingarces,Zingary,Hungary,Zingarees,,,,,,,,,,,,,,,,,,,,,
131,"it,—when","danger,—when","disease,—which","seat,—“it",,,,,,,,,,,,,,,,,,,,,,,
132,Kasich,asia,Asia,Asia Minor,,,,,,,,,,,,,,,,,,,,,,,
133,bering,Superintendent,supp.y,Superin,Perigord,,,,,,,,,,,,,,,,,,,,,,
134,"the

 

 

  

 

 

 

Cecilia",huge;piece,DECISION,Cecilia,"Lady
Cecilia",,,,,,,,,,,,,,,,,,,,,,
135,Carté,écarté,,,,,,,,,,,,,,,,,,,,,,,,,
136,Aus,Louse,Illustrious,Busby,Gradus,indus,uso,Venus,Us,Vesuvius,us,Tuscany,Morpheus,Tus,,,,,,,,,,,,,
137,Quakers,Quad-,quad-,,,,,,,,,,,,,,,,,,,,,,,,
138,mag~,Brummagem,agen,Bird-Cage Walk,Regent,Hercules Passage,Geneva,,,,,,,,,,,,,,,,,,,,
139,Bonn,Yes:—in,cincinnati,Vinciblo,in'a,inn,Inn,,,,,,,,,,,,,,,,,,,,
140,"New
Zealand",New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,
141,au rome,Someot,Rome,promiseé,rome,room/—I,Everard Home,,,,,,,,,,,,,,,,,,,,
142,Somers Town,Jersey,Somersetshiro,folsom,Berkshire,Somersetshire,Lancashire,,,,,,,,,,,,,,,,,,,,
143,Casteicicala,"Castel
Gicala",Custeleicala,Casielcicala,Jastelcicala,the State of Castelcicala,the Grand Duchy of Castelcicala,Escalate,Eustelicala,"Castaic-
cala",Casteleicala,Castelelcala,Castelricala,Castolcicalan,Castcleicala,Castelcicala,Casteletcala,Castelicicala,Castolcicala,Custelcicala,,,,,,,
144,St. Leger,Pemberton,Egerton,COOL.—Egerton,,,,,,,,,,,,,,,,,,,,,,,
145,Georgia,Zn,Georgian,,,,,,,,,,,,,,,,,,,,,,,,
146,Bishops-,Timplore,"Shorediteh,—then",Shore,Oregon,Shoreditch,,,,,,,,,,,,,,,,,,,,,
147,Essex,Suez,Brussels,Sussex,,,,,,,,,,,,,,,,,,,,,,,
148,Americas,"North
America",England for America,Meriag,Africa,merced,Mica,America,Meitnerium,cameroon,,,,,,,,,,,,,,,,,
149,Arkansas,Pardon,Esparto,"Hyde
Park",Hyde Park,Park,the Green Park,Dark,,,,,,,,,,,,,,,,,,,
150,it'worth,Ravensworth Park,Ravensworth Hatt,Ravensworth Hall,Ravensworth,"Ravensworth
lal",Rickmansworth,,,,,,,,,,,,,,,,,,,,
151,Diab,India,narnia-,Lydia,Namibia,croatia,Syria,ia,Bohemia,,,,,,,,,,,,,,,,,,
152,New York,York,the Duke of York,"work,—it",,,,,,,,,,,,,,,,,,,,,,,
153,Chatham,Northampton,Thames,Brompton,Southampton,,,,,,,,,,,,,,,,,,,,,,
154,Whittinghs,Rechabites,Whitechapel,White,whirls,Whitefriars,Nephite,,,,,,,,,,,,,,,,,,,,
155,Clara Maberly,Club,Clare Market,Leadenhall Market,Clarke,,,,,,,,,,,,,,,,,,,,,,
156,lemaly,lesaly,curLy,palo,unsucceafaly,steraly,aly,Healy,Aléum,lyre,,,,,,,,,,,,,,,,,
157,"Prince Albert,—thrilling",Alberto,Prince Albert,"Prince Alberto lester-
day",Albeit,Prince Alberto,Herbertstcin,Alberta,,,,,,,,,,,,,,,,,,,
158,yemen,orient,Imprisonment,Mentor,san regiment,Centaur,XXX.—Mental Struggles,,,,,,,,,,,,,,,,,,,,
159,red morocco,Morosino,Morocco,morocco,Morocco Railway,MOROCCO,moro,,,,,,,,,,,,,,,,,,,,
160,Globo Town,Globe,Globe Towa,"Surgeon Hill,—Globe Town",Glove Town,Camden Town,Globe Town,Globo,,,,,,,,,,,,,,,,,,,
161,"Diana,—I",Anadolu,Diana,canAda,Panama,,,,,,,,,,,,,,,,,,,,,,
162,Plaza Sydney,Sydney,Eliza Sydney,ELIZA SYDNEY,,,,,,,,,,,,,,,,,,,,,,,
163,Bethnal,Bethlem,Camberwell,Lambkin,Lambeth,,,,,,,,,,,,,,,,,,,,,,
164,"Louis
XIV",Louisa,los,Louis,,,,,,,,,,,,,,,,,,,,,,,
165,Field Mar,Titchfield,Spitalfields,Fields,SMITHFIELD,Smithfield Market,Smithfield,Field,Sheffield,,,,,,,,,,,,,,,,,,
166,"the Resurrection
Man",Surrey,"reflections,—or","the Resurrection
Map",,,,,,,,,,,,,,,,,,,,,,,
167,"Rio
Janeiro",Janeiro,Geir,,,,,,,,,,,,,,,,,,,,,,,,
168,Scuttle,Pitt,\little,,,,,,,,,,,,,,,,,,,,,,,,
169,the aforesaid province,voice.—'I,Prove-,provo,Providence,,,,,,,,,,,,,,,,,,,,,,
170,Middlesex,Sheriffs,Sheridan,Middlesex Sheriffs,,,,,,,,,,,,,,,,,,,,,,,
171,sonoran,norway,Gaétano,Normandy,Unstable Manor,Manor,Bazzano,,,,,,,,,,,,,,,,,,,,
172,Rottenborpugh,Rottenborough Article-,Rotteuborough,Rottenbordugh,Rotterdam,Rottenborough Union,Iwroteto,Rottenborough,,,,,,,,,,,,,,,,,,,
173,bees’-win,know-,Minories,Windsor,wino,nino,wi,Windham,,,,,,,,,,,,,,,,,,,
174,Babylon,S01,undo1,LONDON,CONDON,Richmond,THE MY6SERIES OF LONDON,"Lon
don",Colonies,london,London,OF¥ LONDON,,,,,,,,,,,,,,,
175,West End,they’reno,the West End of London,the West End,Thebes,the West Strand,The West End,,,,,,,,,,,,,,,,,,,,
176,Europa,Western Europe,Northern Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,
177,nh,tn,Nh,,,,,,,,,,,,,,,,,,,,,,,,
178,japonica,Wigginton,Montague,Manton,Edmonton,Beaumont,Moncton,toronto,Montoni,Montreal,Armonia,,,,,,,,,,,,,,,,
179,"you,—if","bed,—not",Nota,"you,—not",,,,,,,,,,,,,,,,,,,,,,,
180,Earth,Carthage,WV,earth,,,,,,,,,,,,,,,,,,,,,,,
181,angola,Surah,Surango,,,,,,,,,,,,,,,,,,,,,,,,
182,lima,life:—he,Alia,Dublin,Limb,Liege,Libya,Liquor,Li,,,,,,,,,,,,,,,,,,
183,finland,the Caribbean Islands,"Philip
Island",the British Islands,Philip Island,Slavéy,the South Sea Islands,Leeward Island,Scotland,Caribbean Islands,Island,,,,,,,,,,,,,,,,
184,Temple,naples,NAPLES,Naples,,,,,,,,,,,,,,,,,,,,,,,
185,herg,Rochefoucauld,sherry.,"Cherry
Park",Pierre,Cherry,,,,,,,,,,,,,,,,,,,,,
186,Myeloid,the Yellow Drawing Room,Yellow,the Yellow Drawing-room,the Yellow Drawing-Room,,,,,,,,,,,,,,,,,,,,,,
187,Death,Weare,Dearest Reginald,Dearest,,,,,,,,,,,,,,,,,,,,,,,
188,Lower,Lower Union,&c.,Swallowing,"low,—I",Holloway,Hounslow,the Tower Hamlets,Lower Holloway,,,,,,,,,,,,,,,,,,
189,Button,Calcutta,Butts,,,,,,,,,,,,,,,,,,,,,,,,
190,Circassia,Russia,CasrEzcroaza,cassia,quassia,,,,,,,,,,,,,,,,,,,,,,
191,"sir,—I","daughter,—to",Monster,"monster,—I",,,,,,,,,,,,,,,,,,,,,,,
192,Mr,Mra,MR,Mrs,,,,,,,,,,,,,,,,,,,,,,,
193,Clapton,"Dapper to-
wards",Upper Clapton,Dapper,,,,,,,,,,,,,,,,,,,,,,,
194,Stamford Stroot,Staffordshire,Stamford,Stafford,,,,,,,,,,,,,,,,,,,,,,,
195,methodist,thun,thou,Thon,Soho,Tho,,,,,,,,,,,,,,,,,,,,,
196,Bentonville,Piccadilly,Villabella,Rossville,Villa,Villabeila,"Wy
vil",VILLA,,,,,,,,,,,,,,,,,,,
197,Albion,Const-,Gutity,Constitution Hill,Constitution-,,,,,,,,,,,,,,,,,,,,,,
198,Saint Theo-,Saint Theodosla,St. Theodosia,Saint Theodosia,,,,,,,,,,,,,,,,,,,,,,,
199,Montecuculi,kuec,@Montecueuli,,,,,,,,,,,,,,,,,,,,,,,,
200,Penitentiary,"presence,—I","devised,—he","penitence,—he",,,,,,,,,,,,,,,,,,,,,,,
201,weapons:—of,Titan,polis,Metropolitan,Neapolitan,,,,,,,,,,,,,,,,,,,,,,
202,fort,Beaufort,Effort,’—'For,Misfortunes,Tilbury Fort,Fort,Frankfort,fortin,Port,,,,,,,,,,,,,,,,,
203,Stockholm,automaton,Stour,Palmerston,Stilton,Maidstone,Aston,,,,,,,,,,,,,,,,,,,,
204,aspirati,Oran,tehran,Transylvania,Mira,Iran,naira,iran,Bir,,,,,,,,,,,,,,,,,,
205,United Kingdom,the united kingdom,the United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,
206,Great Britain,Britain,Tainps,tain Fitshardinge,britain,,,,,,,,,,,,,,,,,,,,,,
207,Guilford,Guixry,Guildhall,Guildford,,,,,,,,,,,,,,,,,,,,,,,
208,Gravesend,Traveller,Labrador,Craven,Brazil,"Belgrave
Square",Braver,,,,,,,,,,,,,,,,,,,,
209,"world,—if","Pacific,—I","treasure,—he","justice,—I",Picture,decatur,"nature,—if",,,,,,,,,,,,,,,,,,,,
210,UU,MeI Bolt,Cem=,cei va,,,,,,,,,,,,,,,,,,,,,,,
211,Greéwood,GREENWOOD,Wooden,queens,Greece,Greenwich,Greenwood,,,,,,,,,,,,,,,,,,,,
212,Saffron,Snow Hill,dunghills,Cornhill,Ludgato Hill,Saffron Hill,,,,,,,,,,,,,,,,,,,,,
