cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28
35,rabear,d'Para,ara,Livraria,Ar,Jaraudiu,caracolando,formara,Temerario i Carlos,plcparadu,F6ra,Feitio-para,Parahcens,Cara-,"varanda nem-
ravel",Parada,Esgueirar,Iaradiula,Jaranlin,Par;ira,rascuthar,uarmaraln,scanario l Guiaraios,teaduearam,l'ara,,,,
36,ponta da sobrinha,ria da Tarde,olha Tarde,orla t.,"ma revoa-
da de perdizes","Santa MIa-
ria da Tarde",Catharina da Russia,MAria da Gra,chamma alta da vela,Principes da Christandade,,,,,,,,,,,,,,,,,,,
37,Agonia,Thiago,agonisava,DIagonal,F Agonia,Synonieo,ceremonia,,,,,,,,,,,,,,,,,,,,,,
38,Affonso,AfIonso,Affonsinasl,Affonsina,Sofo,,,,,,,,,,,,,,,,,,,,,,,,
39,Mato das MAiores,Maior,Maio,Maior-,,,,,,,,,,,,,,,,,,,,,,,,,
40,S. l,S. lento,"S. lo-
mo","r,,- l",S.,S. Miguel,,,,,,,,,,,,,,,,,,,,,,,
41,Cerqueira,Pereira,I'pereira,"t
pereira",Pereira...,Pereira Mas,i barreira,Cerejcira,pereira,Pereira Ii,Pereira da Rosa,poeira;-e,0O Pereira,PEreira,,,,,,,,,,,,,,,
42,Precis-,Pre,Presa,pre rijo,pre,RE,"recahiu so-
pre",pre affavel,"k
pre",presen,s pr,bre,Impress,schnpre,Pretas,,,,,,,,,,,,,,
43,fortaleza,Civil de Monforte,Forte,Fortes,Corte,Norte,Morte,Cortes,porteira,Cortejo,Sorte,Mlunforte,,,,,,,,,,,,,,,,,
44,convento de Santa thereza,Convento de Santa,Convento de anta-dIrigida do Oliveira,Convento de Santa Bra-,Solar de Santa Ironia-resistente,Tor de Santa,Senhor de Santa,Hespanhoes do cOnde de Vonavente,convento de Santa,Convento de anta-dIrigida,convento de S.,valent6es de Invejas.n,ladeira de S. vento,,,,,,,,,,,,,,,,
45,justificaya,U ne Tico,TiCA,Tica,Justica,Ntico,"pa pu-
blica",botica,"dan-
tica",Anica,"botica
do Pires","loi 
tica","l'ali-
tica",Chronica,,,,,,,,,,,,,,,
46,santa mae do Barrolo,Santa maria,linda mata,Sangria,Saneharia,lulma ancia,Santa MAria,Ave-Maria,MAria,,,,,,,,,,,,,,,,,,,,
47,Fidalgo,Fidalgo Vez,Fidalgo meu Fidalgo,F,Vidago,Fidalga,"Fi-
dalgo",Fidalguia,fIdalgo-,Almeida,iaees do Fidalgo,,,,,,,,,,,,,,,,,,
48,Dentro,petroleo,Centro da Coragem,Entro,Centro,Troixedo,sangue.- Entro,,,,,,,,,,,,,,,,,,,,,,
49,Infancia,Inf,INFAME3,InfInd,u Inf,,,,,,,,,,,,,,,,,,,,,,,,
50,"LILLI
moniz",Ili,Inagnilicos,ILI.LYTI,ILI,lIl,ILI.STIA,IILILITIE,ILILISTIE,IRYMIlIEi,civilisuaio,lILishoa,ILLILSTIE,,,,,,,,,,,,,,,,
51,novecentoste,Effectivamente o Custo,"novecentoste
cincoenta",Novecenios,,,,,,,,,,,,,,,,,,,,,,,,,
52,ilha da Camisola,Camisola,Camisola-a,Crisola,,,,,,,,,,,,,,,,,,,,,,,,,
53,Obriga-,Wriga,Obrigada,brigada0,Obrigado,Cobria,,,,,,,,,,,,,,,,,,,,,,,
54,Iastardo,"m
basto","Los
ra bustardo",Bastardo,lBastardo,"Hastardo b-
I1aa",,,,,,,,,,,,,,,,,,,,,,,
55,Oiro Gouveia,Gouveia,Ouvia,Rio Gouvela,Rio Goueia,Gouvcia,Goueia,lio Gouveia,Joaio Gouveia,"MIas o
Joao Gouveia",ouvia7,Jogo Gouveia,Veia,"J0ao
Gouveia",Joao Gouvcia,,,,,,,,,,,,,,
56,Atalhou,ultajaa,Alta,Voltava,jejltt,Malta,mattagal,alteulnd,Pilta,ksfaltato,Iiscutal,,,,,,,,,,,,,,,,,,
57,cnveniencia,maledicencias,Currepolencias,Santa urgencia,surgiain,Urgencia,crge n,Intelligencia,,,,,,,,,,,,,,,,,,,,,
58,Mtandarim,Andr,anda,i varanda,vianda,Abandonada,Fazendas,esponda,Cundidato,Landim,Al Ainda,mand,Funda,BAnD0,Lenda,ba varanda,,,,,,,,,,,,,
59,MIL.I.TE,Y J.I.T,"MIL.I.ISTO CA HE AMIGOS
5",,,,,,,,,,,,,,,,,,,,,,,,,,
60,mascula,Lagrimas,Iagri-,lagrimas,magro0,,,,,,,,,,,,,,,,,,,,,,,,
61,Familiar,IAMIIHS,familia,IAMIILS,Milicias,emilia,,,,,,,,,,,,,,,,,,,,,,,
62,como6r  lisboa,"lisboa
llces","t
lIsboa",lisboa,Lisboa-e,Lisboa-para,de lisboa,Lisboa tres,Lisboa do 5,lIsb,Lisboa,l.lisboa,"como6r  lisboa
ce moderno","Lisboa
Nem",lIsboa,ci lisboa,LIsboa,lisboa d'onde,Lisboa...,dc Lisboa,"LIsboa:-Oh
sObrinha",,,,,,,,
63,"ver-
gad0s","IIistoricos 
Iegeneradores","Ie-
generadores","Ie-
generadores realisassem",Y0,Ilegeneradores,"Iicgcne-
adores","sobreveste ne-
gra","Ie-
gcucradores",,,,,,,,,,,,,,,,,,,,
64,Noella-recebeu do manh,MAnoel,"MAnoel
Duarte",MAnoel Justi,"MAnoel
lomingucs","quasi consenti-
manoel",Mlanoelzinho,Manoel duarte,Manoel,Manoelsinho,,,,,,,,,,,,,,,,,,,
65,U Cavalleiro,nalleiru,Cavalleiro,cavalleiro,"Cavallo-
ro de Malta",Cavalleiro-Caminhava,"An-
de Cavalleiro",Cavalleiro de Malta,"Ca
cavalleiro",Natal o Cavalleiro,"Cu-
cavalleiro",Cavalleiros,Calleiro,casa de Cavalleiro,io do Cavalleiro,lleicao,Cavalleiro-,"Ca-
vlleiro",Cavalleiro-quo,O Cavalleiro,"Ca-
cavalleiro",v cavalleiro,avalloiru,"Col  Cavallo-
ro",,,,,
66,Chiche,Rachel,chut,Chega,chi,Cheg-,zeviche,Archio,"buchechudo
bar6o",grduch,loche azul,,,,,,,,,,,,,,,,,,
67,ba,barbara,rbaro,barranto,"Bara
las Margem","bai
ara",barbacena,barbuda,Bar-,,,,,,,,,,,,,,,,,,,,
68,Jose Casco dos Bravaes,Bravaes,bravio,Tirava,qne u la branquuava,"Bra-
vaes",Bravo,vaes,,,,,,,,,,,,,,,,,,,,,
69,"IRRIS
E",A2s,Irris,iria.-,Paris,Sorriso,"IRRIS
po",5I,Irrc,,,,,,,,,,,,,,,,,,,,
70,scgo,sc,SC,scut,lusco fusco,Scrpftu-,scet,SC Io,Sc,,,,,,,,,,,,,,,,,,,,
71,homctzarrio,"grog
Rio","rio
ste",Rio,Rios,Rio Velho,rio i inunarcehia,serio,Seminario,Sonhorio,"Rio Velho
Fnsaiou",rio l,Cemiterio,Ri-,Delirio,"rio
Lado","tIo-
perIGO",,,,,,,,,,,,
72,Teixeira de Carredes,Rel de Fraca,Carreira,boa nova de prestes soccorros,deixal,"ribeira de
Crede",Presidente da Camara,"rcimeira dos
mnorrioes",Honra de Parede,ilha dum carniceiro,passageiro de traves,venho de Reis,Reino de .4/,"Teixeira de
Carredes",,,,,,,,,,,,,,,
73,suor,suhissult us S,Suor,Sul,SUelor,,,,,,,,,,,,,,,,,,,,,,,,
74,elle nilo,illlela carta,elle,"cancelle
do",ferido-iCSsuleluellle,ponta elle da orelha,i branca pelle,Eleito,pa elle,cllel,vae elle,Belleza,inlerpelland,Leanlro  Bello,"IAIES
elle",el,lle recsistia,d'elle,n'elle,lle,,,,,,,,,
75,OS6,s6,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,iarejando,tanque redondo,quando0,Quan-,atacando0,rolando0,,,,,,,,,,,,,,,,,,,,,,,
77,Perto,pArto,aspeto,Porto,i Torno,an Torno,Torto,tornzello,"i
Toc",porto,Toi,Quarto-nu,Conforto,Hgypto,pOrto,,,,,,,,,,,,,,
78,pur,pujan,3E,PUxou,pu,puz,Pulo,Iepulud,Popula,"k pu-
lu",publicuva,,,,,,,,,,,,,,,,,,
79,Santa,sangue,Santa Revela,Santa-repetiu,Santa reunida,Santu,"a-
santa",Santa thereza,Santa-gloria,tanger,Jantar,benta i sahida,Santa lIvre-,Santa Repetiu,phantasia,Santa-correia,Santa Inteira,adeanta,c-Santa,tan-,,,,,,,,,
80,Mlontemor,tdesmontar,Hotel MOndego,Monte,Montava,Montes recordava,MOnte-Agora,Monte-incr,Montemor,Montcmor,Yivamontc,Montes,,,,,,,,,,,,,,,,,
81,sil juizo,Juizo,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Remarigcs,Mares,Collares,Malares-,Enxarez,Lazareto'-,"ti-
mares",Alvares,d'arvores,"Marques
Rosendo",Inagarefes,Arremessado,,,,,,,,,,,,,,,,,
83,dOutor,r. doutor,todo0,doutor,DOutor,Doutor,r. dOutor,,,,,,,,,,,,,,,,,,,,,,
84,Es-,eseulhida,Leoneses,lages,AVES,es,Menezes,Pessoa,Fazes,ES,Vezes,C0es,pcoes,Leves,alpes,esper0,Gomes,,,,,,,,,,,,
85,Balsas,casal lE,CCrlptlsas,"gruio das
suistsas louras",Casas,Casal Novo,ILLISTI CASA,Agasalho,Crassa,salpicassem,Cousas,"N'e-
sas semanas de",casaes,As,Asylo,,,,,,,,,,,,,,
86,sc eh0Passo,soph,r0Sa Sopa,Sopa,Passou,,,,,,,,,,,,,,,,,,,,,,,,
87,"Entro Garcia
Viegas",l. Garcia,Garcia,Alugaria,Monarchia,Arco-,lorcia,,,,,,,,,,,,,,,,,,,,,,
88,Nau,Inais,Inasstdos,China,Ir de Pina,Ina,Cortina,comezaina,Final-,Pelestina,Minas,Rosina,Meninas,Nao,Etelvina,naui,"ra-
pina",elupinand,Inadava simp,Fina,Final,Inclina,Oficina,In'ensinava,Ina V0tudo,inclina0,Imagina,Inalo  in percebo,
89,almenira,Pessoalmente,"bru de
galhofeiramente",almcjira,3I,almenira luziram,,,,,,,,,,,,,,,,,,,,,,,
90,italia,d'alliana,Taholliao,Italia,d italia,Italianos,,,,,,,,,,,,,,,,,,,,,,,
91,innnuveisl Santo DEus Mortos,Santo Deus,"crean-I
do u leito de pau preto","Santo-
inho loreuo",Santo deus7,foi?l santo Deus,Erncsto dc,,,,,,,,,,,,,,,,,,,,,,
92,bom it,Iulito,Bonito,Bonita,Antonia,phaeton,bonito rapaz,Feitos,Grito,sequito,,,,,,,,,,,,,,,,,,,
93,formoso Leonel,tRonco,Ieonel,Coronel,conheeel,Rogonerador,Coronel Tiranos,Conselheiro,,,,,,,,,,,,,,,,,,,,,
94,Hussia,lusidia,Lusitania,lussia,Iussia,,,,,,,,,,,,,,,,,,,,,,,,
95,lortugalsiuho,Portugal,Rei de Portugal,em Portugal,"Portugal
Espantado",pOrtugal,I'portugal,poRtugal,Ricos-Homens de Portugal,Portugal-ate,em portugal,Porque portugal,portugal,vulgurisar Portugal,Portugal-,atroar portugal,I'portugal res-,,,,,,,,,,,,
96,MIurtosa,Murtosa,Iutos,Mlurtosa,,,,,,,,,,,,,,,,,,,,,,,,,
97,Rico-,larica,i Africa,Africa,ma Africa,Africa-,d'Africa,Rhetorica,Africa degredadol Jesus,MIrica,,,,,,,,,,,,,,,,,,,
98,Mlaseate,Ate,fratel,paterna,Iacatent,catedral i,Iieatei,"lages do
pateo",Embate,Pateo,,,,,,,,,,,,,,,,,,,
99,N1,homcn1,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Justiga,Lugar,rega0,GA,Algarve,gal,Pegas,Gan-,vorga,Ptgas,Vigas,garygalheia,Diga,,,,,,,,,,,,,,,,
101,rua das Velhas de um Policia,rua Velha,"rua das so-
brancelhas",rua das portas,rua das Velhas,boa velha,rua das Ptgas,Batalhas de Apoiado,tas da calva,"rua das leccdairas
MIss",rua das Vendas,Feitor-mor das Alfandegas,"pa-
velha do",Peso das Velhas,,,,,,,,,,,,,,,
102,Prados,Esgaseado,Ajudado,Criados,meads,prado dAria,Salvador,dEputado,ilha do imperador,ado,Affrontado,Olhado,Ladeado,Coitado,algcmado,ripiado,Ado,Louvado,lado0,l.dourada,Convidado,Pccecador,merc do Estado,latejado,cuealtnado,Tado,Itocados,Iepnuiado,"dep- 
tadon"
103,.-MIas,dynastia d'Aviz,"Areia
cegas",cArICias,Ias l,"riacho das
lonas",Ias,Ias-,Tive-frias,Dynastias,riacho das boas,MIas,Alegrias Fiaccns,Mias,,,,,,,,,,,,,,,
104,Goncale,Guncalo,Thessalonica,Goncalol,Entao Goncalo,Goncalo,"Goncale
n'um rijo branca",Concalo,"Goncalo Ia-
ires",Goncnlo,El-Rei - Goncale,Goncalio,rio dc Goncalo,Gongcalo,Gonalol,,,,,,,,,,,,,,
105,"se-
girand","Casal do
Miranda",Iracejandao,Miranda,diran,Miranda  j,girand,,,,,,,,,,,,,,,,,,,,,,
106,"bot-
ca c1",c1,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Estimava,Estive,ESTiVE,ESTIVE,,,,,,,,,,,,,,,,,,,,,,,,,
108,om,"hom-
ro",com-,comiatmn,Com-,Com1,Commo-,"com-
ro vernelh",Comprida,Rico Homem,come0a,,,,,,,,,,,,,,,,,,
109,Mlendouea,Tremenda,crescendo0,recebendo0,Comendador,u Mendonca,Tremendo,Mendo,Mundo,Mendon,"assohiando va-
gamente","Marquez do
Tremendo",Jose Mendonca,Mendigo,Mendonca,Moendo aes,Torcendo,Mlendongcas,O-Hei Marquez de Tremendo,,,,,,,,,,
110,Hotel Central,I,hotel Central,Central,alentel,Hotel,,,,,,,,,,,,,,,,,,,,,,,
111,Bravissimo,Iravissimo,Iaiorissimo,Tavira,,,,,,,,,,,,,,,,,,,,,,,,,
112,Assembleia da cm-,Assembl,Assembleia,Assembl da Villa,Assem-,seM-,,,,,,,,,,,,,,,,,,,,,,,
113,tonealinho,Gonealinho,Goncalinho,Goncalinhol,Gonalinho,carinho0 antigo,Linho,Goucalinho,,,,,,,,,,,,,,,,,,,,,
114,Coragem,Coral,Imoral,Moral,palradora con-,Coraon,cora0 azul,orangal,Zamora,Alcova,coraci nio,Corin-,,,,,,,,,,,,,,,,,
115,socegae1 Velho,Socega,sc socego,Doce,,,,,,,,,,,,,,,,,,,,,,,,,
116,Gra-,gratid,"Gra
Ila",vieira granada,desgra,Gra,cova negra,telegramma,higodeira negra,Gramilde,,,,,,,,,,,,,,,,,,,
117,regress0,Alegres,bocca d alegre,Lebres,alegre,,,,,,,,,,,,,,,,,,,,,,,,
118,"estrada
General",Nerenos,Entao General,genebra,"Meninos
General",General,General verg0u,General largu,Amor- gEneral,k coto General,General nio,FE General,"MIas
General",General-,,,,,,,,,,,,,,,
119,Gunal,Lionala,Nacional,Proprios Nacionaes,Monacal,Nacionaes,Palacio,Dona-em,Bibliotheca nacional,,,,,,,,,,,,,,,,,,,,
120,atrever1,atravez d matto,Atraves,atravez da noile,Atravez,atravez das en-,"m pas-
sadico dc traves",Atravcs,dc traves,Ave-,atravez d jardim,,,,,,,,,,,,,,,,,,
121,Idiotia,Idiota,b-,Mlultidio,,,,,,,,,,,,,,,,,,,,,,,,,
122,Ilamnejou,plantatla,Ilanella,melaneholia,melania,Gela,j la,Lan-,llanella azul,lanear,i janella,llamildel,,,,,,,,,,,,,,,,,
123,v,A0r,mesa0,A0,la0a,,,,,,,,,,,,,,,,,,,,,,,,
124,Iadeircnta,Cadeia,Meia-idade,cad,Ideia,len da cadeia,,,,,,,,,,,,,,,,,,,,,,,
125,Victoria,bBraz Victoria,raz Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Ma,"ma
ca",d'Ullma,ma,roma,Mafoma,uma-,Toma,Mau,,,,,,,,,,,,,,,,,,,,
127,Santa-correia rei-,Creia,Freixos,Creio,Rei popular,Freitas,Freixomil,Rei,Creia voc,Treixedu,porei,Areia,Reino,v-,Treixelol,,,,,,,,,,,,,,
128,luneta d'ouro,Gazeta,Gazeta do Outro,Cela o Oiro,n'outro,l)outro,,,,,,,,,,,,,,,,,,,,,,,
129,Clerigo da Cura,Figura,Cura,T,Cu,Curhaes,Moura,cuo,Escurid,Cura-as,,,,,,,,,,,,,,,,,,,
130,Barrolo,Burro,Barroso,Barro despegou,BAIRRO,"cigarros,-aa",Barro,barrocaes,paro,arraial seguro,Barrole,marroquim,Ilarrolo,iroar,"Barro-
lo",Agarrou,Barro belgica,rouba,Arribada,Comendador Rocio RBaros,Carro,barrigrudo,,,,,,,
131,aco,Saco,pac,Nacojas,acol,,,,,,,,,,,,,,,,,,,,,,,,
132,bom rcndeiro,elvira,"pa-
elvira",Videira,cnsageira,Salgadeira,caldeira,Madeira,bigodeira,Videiral Toca,,,,,,,,,,,,,,,,,,,
133,eIn,vein,veis0,Interveio Publica,Ve,,,,,,,,,,,,,,,,,,,,,,,,
134,aquella,aquella rutmorsa,Aquella,Aquellas,Quela,aquella linda,t,quela,aquella noite de,,,,,,,,,,,,,,,,,,,,
135,Ridiculo,Secular,Seculo,veraculo,seculo xII,,,,,,,,,,,,,,,,,,,,,,,,
136,Caramnba,embaracados,Caramba,earamba,carambal,cmbaraeado,,,,,,,,,,,,,,,,,,,,,,,
137,Necessito,necessitoa,neeessitandu,Sucesso,,,,,,,,,,,,,,,,,,,,,,,,,
138,tos do Patriotismo,Patriotismo,PATria-,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Toledo,Levar,lE,hule,Irunsrle,len,Ilereules,d'omle,lEm-,le1,,,,,,,,,,,,,,,,,,,
140,collegio de S. it,collegio,collete,Collegas,Iolle,,,,,,,,,,,,,,,,,,,,,,,,
141,U tio duarte,Mo du ndre,sulco do tio duarte,Violento do Tia duarte,Jogo Brando do Midos,"Culo novo do
cemiterio",Poeueto do tia Quartel,do Sul,ge do Lnrg,,,,,,,,,,,,,,,,,,,,
142,Manches Lucena,Lucena,Manches lUcena,Sanches LUcena,Sanehes lUcena,,,,,,,,,,,,,,,,,,,,,,,,
143,Policia,polnar,Politica,Explico,Politicos,a;baixa politica1 de lPortuggab,luliticu,conversar de l'politica,,,,,,,,,,,,,,,,,,,,,
144,"to se-
gu0",U0,"Nosso Se-
hor",,,,,,,,,,,,,,,,,,,,,,,,,,
145,lachequc,pequchiha,Quc,lucta,quc,qu,,,,,,,,,,,,,,,,,,,,,,,
146,Governador Civil...,Governador civil d istricto,"Governador Ci-
vil",Governador Civil du listriceta,"Governador
Civil-e",Governador Civil oLiveira,Governador Civil,"Governador Ci-
il",Governador Civil Mas,Civil,"Governador
Civil",Governador,"Gavonador
Civil",,,,,,,,,,,,,,,,
147,Fl-Sei,sel,ria Sei,dom Sei,seI,selts,"Seira
I168",,,,,,,,,,,,,,,,,,,,,,
148,"banco de
pedra",bAnco Ilypotheca-,"ue nio der-
ribara",banco de pedra,Concilio de Toledo,,,,,,,,,,,,,,,,,,,,,,,,
149,expressaes,O Sud-express,Sud-express,,,,,,,,,,,,,,,,,,,,,,,,,,
150,conversando0,1I,coniroversia,converS1I,vErso,,,,,,,,,,,,,,,,,,,,,,,,
151,Foi-,canvivia,vi-,Si-,Vi-,Hnmi-,Uni-,Conviviam,,,,,,,,,,,,,,,,,,,,,
152,pera de S. Joaio,Egreja de S. Christo,igreja de S. Ma-,torre do S. Matheus,re salve  ra-,,,,,,,,,,,,,,,,,,,,,,,,
153,Pola,Portolla,i Portolla,Mlertola,Tordesillas,"Portolla ai
TOrre",,,,,,,,,,,,,,,,,,,,,,,
154,FE,Alferes-MI6r,Alferes,Alferes f-,,,,,,,,,,,,,,,,,,,,,,,,,
155,llarrlo,brazil dos Barrlos,Barriolo,Palacete dos fidalguissimos HBarrlos,Barrlos,bom narr)lo,"Jos
lBarrulo",Barrilo,av de carlos,,,,,,,,,,,,,,,,,,,,
156,terra,Serras,Serra Moderna,sublerraneol,Temerario,Terra,aterrado,elteger,Terras,aterre,Guerra-,d'hera,,,,,,,,,,,,,,,,,
157,litlerario,Litteratura,Aturar,Formatura,littwratura,Littcratura,,,,,,,,,,,,,,,,,,,,,,,
158,damasco,tosca1,.-o Casco,Casco,cscopur,Base Casco,toscas0s,Cascol,Jose Casco,,,,,,,,,,,,,,,,,,,,
159,Quasi,extasi,qUasi,quasi,ILouatasl,Quamlo Is,Assigna,,,,,,,,,,,,,,,,,,,,,,
160,nAda,rasgadamuente,Adas,Fiada,Escada,"botoes das
caldas",Louzadasl,Lousadas,I.cruzadas,almofada,Caiadas,decad das Infantas,Iuidas,,,,,,,,,,,,,,,,
161,Museu,Mionsieur,Bom Ieus.l,Ieus,Ie,adeus%,Deus,Iepreheusio,Monsieur,,,,,,,,,,,,,,,,,,,,
162,E0,firme0,Firmava,FIRMe,,,,,,,,,,,,,,,,,,,,,,,,,
163,Pas-,As-,d'as-,as-,pas-,"pas-
ses semanas",,,,,,,,,,,,,,,,,,,,,,,
164,fcrvuru picante,antes-0,Mirante-se,Violante,Mirante,Fronteira,Mirante-o,Mante-Agora,Modo Mirante,,,,,,,,,,,,,,,,,,,,
165,leonor,Nuronha,Noronhas,Norunhu,familia Noronhal,Noronha,Ordonha,Noronhal,,,,,,,,,,,,,,,,,,,,,
