cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25
14,Ponte,u roponte n'ossa,Ponto,ponte2,d ponte,Ponte mourisceas,"ponte2
Vint",U Ponto,Pontinha,Ponte...,,,,,,,,,,,,,,,,
15,Case,CAS,Casas,Acaso,Bancas,A0r,Caso,urze,casaes,Visigothicas,Cas-,Castro,,,,,,,,,,,,,,
16,Gago,Sr.,Thiago,tRago,alagoVa,Iagoas,,,,,,,,,,,,,,,,,,,,
17,Vede,Succedeu,Guedes,Crede,cederamn,,,,,,,,,,,,,,,,,,,,,
18,Creia,"Areia
cegas",Creio,Rei,Creia voc,Areia,,,,,,,,,,,,,,,,,,,,
19,sa face mis,Face,Faces,face,macedo,,,,,,,,,,,,,,,,,,,,,
20,Divino,divan,Cmuolino,DIVIS,,,,,,,,,,,,,,,,,,,,,,
21,Claro-Sol,dcclaro,Est claro,C1 UI1 hu Claro ma,lamina clara da adega,Clara,,,,,,,,,,,,,,,,,,,,
22,cha-,Charneca,St,ha-de,"Ir-
cha",sc,apelrechar,Achas,Rocha,le1,hrchanja,,,,,,,,,,,,,,,
23,gloria,p6de,Alem-gloria,Santa-gloria,Oh,"ale-
gloria",,,,,,,,,,,,,,,,,,,,
24,Autoridade do Districto,Autoridade m'empurra,Iwis,Districto,Auctoridade,,,,,,,,,,,,,,,,,,,,,
25,Aquelle,"S.
ulgenciol ue aquelle careea obeso",n'aquelle,ferido-iCSsuleluellle,affronta daquelle cnjado,-Aquelle Ande,esialludo daquelle,"S. eX.
Aquelle",aquelle,N'aquelle,"Goncale reino
aquelle intoleravel escandalo",quelle,naquelle,,,,,,,,,,,,,
26,Castello,om,"Linho
mantinhamn castello",Castelhano,castello bens-,Castella,Castellos,aquella noite de Castello,,,,,,,,,,,,,,,,,,
27,leonor,Leoneses,formoso Leonel,i Saia leonor,I)as,peonage,,,,,,,,,,,,,,,,,,,,
28,Santa Maria de Duraque,Santa Maria de Craquede,Santa maria,Santa Maria de Crauede,Santa Maria de Craquedel,Santa Maria de Craqutde,santa Maria de Craquede,sAnta maria de Duraque,Santa Maria de aquelle,Santa MAria,Santa maria de Craquede:-aS6,Santa maria de Cra-,,,,,,,,,,,,,,
29,atrever1,So6,Severim,revelacbcs,,,,,,,,,,,,,,,,,,,,,,
30,lArgo,"Largo d`Fl-
ei",largu,LArgo,Largo do Chalariz,l.arg,bru larga,Largo,,,,,,,,,,,,,,,,,,
31,pudicicia,cArICias,Policia,tradici,Milicias,Mmniciro,krudicio,lrudieao,,,,,,,,,,,,,,,,,,
32,Incerto,Perto,"tel
tant0 pertdoara",Mlertola,,,,,,,,,,,,,,,,,,,,,,
33,dEpois,Pois,"Id
Bitos  Depois",DEpois,Ilopois,,,,,,,,,,,,,,,,,,,,,
34,goa,tegoa,legoas,ogoa,,,,,,,,,,,,,,,,,,,,,,
35,.-MIas,Ias l,Ias,MIas,Mias,,,,,,,,,,,,,,,,,,,,,
36,Esgaseado,meads,Ladeado,,,,,,,,,,,,,,,,,,,,,,,
37,Bem,Tambem,Tabemn,,,,,,,,,,,,,,,,,,,,,,,
38,Gra-,"Gra
Ila",Gra,l3ra-,qu,,,,,,,,,,,,,,,,,,,,,
39,Alento,Lento,Froalengo,S. lento,valenlias,valent6es de Invejas.n,alentel,,,,,,,,,,,,,,,,,,,
40,pucirala,I)o-,Cerejcira,alastrira,Tecedciras,,,,,,,,,,,,,,,,,,,,,
41,tanque redondo,"tanque-
te",tanque de marmore,,,,,,,,,,,,,,,,,,,,,,,
42,herva,Ie,hervaeal,d'hera,,,,,,,,,,,,,,,,,,,,,,
43,Tende,TEndes,Tens,Iendera,,,,,,,,,,,,,,,,,,,,,,
44,Iiccesvinto,vintcml,Iecesvinto,ce,Cu,Sinto,,,,,,,,,,,,,,,,,,,,
45,appareci,nio appareceu,apparecia,lieapparecend0,rio appareceu,desappareceu,,,,,,,,,,,,,,,,,,,,
46,luzia,Zamhczia,luzia ut,,,,,,,,,,,,,,,,,,,,,,,
47,Triste,tristeza,Triunfo,r-,Cister,TRiste Filha,,,,,,,,,,,,,,,,,,,,
48,d'Para,plcparadu,Feitio-para,Parahcens,dua Parada,paro,Parada,Par;ira,,,,,,,,,,,,,,,,,,
49,Casimiras,ADMIRAS,lamiras,1r,Casimira,,,,,,,,,,,,,,,,,,,,,
50,ara,Jaraudiu,Cara-,"bai
ara",Iaradiula,Jaranlin,teaduearam,l'ara,,,,,,,,,,,,,,,,,,
51,ria da Tarde,olha Tarde,tardes,ci,"Santa MIa-
ria da Tarde",,,,,,,,,,,,,,,,,,,,,
52,nia,Agonia,agonisava,Hiscnia,F Agonia,ceremonia,,,,,,,,,,,,,,,,,,,,
53,Villa-Clara,HOspital de Villa Clara,Yill-Clara,Villa Clara,Vill-Clara,"Villa-
Clara","Villa-Clara
de noite",Villa-Clara 1 Torre,la-Clara,VilLa-Clara,,,,,,,,,,,,,,,,
54,sel,3E,selts,,,,,,,,,,,,,,,,,,,,,,,
55,hE,lachequc,Rachel,clno,Mlacheque,Us,I(6,,,,,,,,,,,,,,,,,,,
56,claustro,Te0,claustro0,Claustro,,,,,,,,,,,,,,,,,,,,,,
57,Olha,tSolha,Olhado,Folhas,olhava1,lha,ma folha,folhcanlo,,,,,,,,,,,,,,,,,,
58,Mato das MAiores,Maior,Maio,Maior-,,,,,,,,,,,,,,,,,,,,,,
59,S. l,"S. lo-
mo",Sr,,,,,,,,,,,,,,,,,,,,,,,
60,brotquel,brotuvn,Quela,quela,,,,,,,,,,,,,,,,,,,,,,
61,paschoal,feljoal,Choupal,paschoal do cinto-anno,,,,,,,,,,,,,,,,,,,,,,
62,Pas-,As-,d'as-,Ias-,as-,pas-,,,,,,,,,,,,,,,,,,,,
63,U Cavalleiro,Cuvalleirista,nalleiru,Cavalleiro,cavalleiro,Cavalleiro-Caminhava,"An-
de Cavalleiro",Cavalleiro de Malta,"Ca
cavalleiro",Natal o Cavalleiro,"Cu-
cavalleiro",Cavalleiros,Calleiro,casa de Cavalleiro,io do Cavalleiro,Cavalleiro-,"Ca-
vlleiro",Cavalleiro-quo,O Cavalleiro,"Ca-
cavalleiro",v cavalleiro,,,,,
64,Uns,Pereira,I'pereira,"t
pereira",Pereira...,Pereira Mas,i barreira,Carreira,pereira,Pereira Ii,Pereira da Rosa,0O Pereira,PEreira,,,,,,,,,,,,,
65,"LILLI
moniz",ILl,Aquillo,IILLSTIIE,l1)e-,ILlremcnle,ILLILSTIE,,,,,,,,,,,,,,,,,,,
66,Precis-,Pre,pre rijo,pre,pre affavel,"k
pre",presen,Iepreheusio,schnpre,Pretas,,,,,,,,,,,,,,,,
67,estrada de Oriente,estrada ma,"ste
rieni",Oriente,estrada de Amizade,valle de Oriente,,,,,,,,,,,,,,,,,,,,
68,tosca1,Mloscatel,toscas0s,,,,,,,,,,,,,,,,,,,,,,,
69,Set,"1I
sete",,,,,,,,,,,,,,,,,,,,,,,,
70,"ver-
gad0s","Espi-
gal...",A0,"alvoroto da bra-
ga curta",,,,,,,,,,,,,,,,,,,,,,
71,av,Iharmacia,macisso,Phuarmacia,inspirado0 Pharmaceutico,la Pharmacia,,,,,,,,,,,,,,,,,,,,
72,Bayaiot,lrotaya,Paio,Bayio,,,,,,,,,,,,,,,,,,,,,,
73,illlela carta,puz,C0,dc carta,,,,,,,,,,,,,,,,,,,,,,
74,ultajaa,n'ult,Pilta,UM,aggolrd,,,,,,,,,,,,,,,,,,,,,
75,U ne Tico,Ntico,I1.1 TI,S.,,,,,,,,,,,,,,,,,,,,,,
76,TiCA,Tica,botica,"dan-
tica","loi 
tica","l'ali-
tica",,,,,,,,,,,,,,,,,,,,
77,Saia Senhor,Senhoria,Tenho,tr senhor,Senhores,a-,Sonhorio,nio senhor,senhora da ostrad,da senhora l,Senhora,casa da senhora sua mana,,,,,,,,,,,,,,
78,Er,Fidalgo,Fidalgo Vez,Fidalgo meu Fidalgo,Fidalga,"Fi-
dalgo",Fidalguia,fIdalgo-,iaees do Fidalgo,,,,,,,,,,,,,,,,,
79,Nimes,mesa0,uipproxime,Gomes,,,,,,,,,,,,,,,,,,,,,,
80,Dentro,Centro da Coragem,Entro,Centro,eil,,,,,,,,,,,,,,,,,,,,,
81,Inf,INFAME3,InfInd,dc,u Inf,,,,,,,,,,,,,,,,,,,,,
82,dynastia d'Aviz,a10 StIA;,Dynastias,ILI.STIA,acostiadu,lle recsistia,,,,,,,,,,,,,,,,,,,,
83,Cm,Manchas,Inanchava,Concha,Funchal,manch0es,,,,,,,,,,,,,,,,,,,,
84,Lis-,rcatnlis,LiSonja,IILLISII,,,,,,,,,,,,,,,,,,,,,,
85,imellia,repellia,sellim,Taholliao,d'Aellim,,,,,,,,,,,,,,,,,,,,,
86,ILI.II,Ili,ILI.LYTI,ILI,reeoniliaeio,,,,,,,,,,,,,,,,,,,,,
87,casal lE,"Casal do
Miranda",Casal Novo,Agasalho,,,,,,,,,,,,,,,,,,,,,,
88,Palestina,Pelestina,,,,,,,,,,,,,,,,,,,,,,,,
89,novecentoste,"novecentoste
cincoenta",I8,n0,Novecenios,,,,,,,,,,,,,,,,,,,,,
90,s V0s0s,V0s0s,Bocca,Vi-,Sofo,,,,,,,,,,,,,,,,,,,,,
91,cahe,Acaha,,,,,,,,,,,,,,,,,,,,,,,,
92,Iuento,Bento,Vento,sarmento,Bens,mnhento,,,,,,,,,,,,,,,,,,,,
93,Pola,cacarolas,polnar,,,,,,,,,,,,,,,,,,,,,,,
94,Mes Amis,ilha da Camisola,Camisola,Camisola-a,Crisola,,,,,,,,,,,,,,,,,,,,,
95,aguiar,Iidulguia,Aguiar,Guia,scanario l Guiaraios,,,,,,,,,,,,,,,,,,,,,
96,Obriga-,Wriga,Obrigada,brigada0,Obrigado,,,,,,,,,,,,,,,,,,,,,
97,Coio,Coice,,,,,,,,,,,,,,,,,,,,,,,,
98,Iastardo,"m
basto","Los
ra bustardo",Bastardo,lBastardo,"Hastardo b-
I1aa",,,,,,,,,,,,,,,,,,,,
99,Bravissimo,sos  sim;os eslimabilissimos,bravio,Iravissimo,preciusissimo,Ol,Iaiorissimo,,,,,,,,,,,,,,,,,,,
100,Mim,Alta,Malta,U0,ksfaltato,chamma alta da vela,,,,,,,,,,,,,,,,,,,,
101,cnveniencia,maledicencias,Currepolencias,Santa urgencia,Urgencia,C0O 0S,Intelligencia,,,,,,,,,,,,,,,,,,,
102,Bica-Sua,Bica-junta,"Bica
St",Sua mExe,Bica-Velha,Bica,Hgypto,Ca-,,,,,,,,,,,,,,,,,,
103,Mtandarim,anda,Iracejandao,vianda,esponda,Landim,Al Ainda,1N,,,,,,,,,,,,,,,,,,
104,Hotel Central,hotel Central,Central,I02,,,,,,,,,,,,,,,,,,,,,,
105,MIL.I.TE,Y J.I.T,IL.1,"MIL.I.ISTO CA HE AMIGOS
5",,,,,,,,,,,,,,,,,,,,,,
106,rescendia,crescendo0,Scena,accrescentava,,,,,,,,,,,,,,,,,,,,,,
107,elvira,transvira,"pa-
elvira",Etelvina,Tavira,,,,,,,,,,,,,,,,,,,,,
108,Lagrimas,Iagri-,lagrimas,,,,,,,,,,,,,,,,,,,,,,,
109,Familiar,familia,emilia,,,,,,,,,,,,,,,,,,,,,,,
110,como6r  lisboa,"lisboa
llces","t
lIsboa",lisboa,Lisboa-e,Lisboa-para,de lisboa,Lisboa tres,Lisboa do 5,lIsb,Lisboa,l.lisboa,"como6r  lisboa
ce moderno","Lisboa
Nem",lIsboa,ci lisboa,LIsboa,Lisboa...,dc Lisboa,"LIsboa:-Oh
sObrinha",,,,,,
111,Ouvia,t[Ue,us,ouvia7,Sc,,,,,,,,,,,,,,,,,,,,,
112,"IIistoricos 
Iegeneradores","Ie-
generadores","Ie-
generadores realisassem",Rogonerador,Ilegeneradores,"Ie-
gcucradores",,,,,,,,,,,,,,,,,,,,
113,MAnoel,"MAnoel
Duarte",MAnoel Justi,"MAnoel
lomingucs","quasi consenti-
manoel",Mlanoelzinho,Manoel duarte,Manoel,Manoelsinho,,,,,,,,,,,,,,,,,
114,suspendia,Vendia,FE,Prendia,comprehendia,,,,,,,,,,,,,,,,,,,,,
115,d'onde,d'omle,"d'onde
surda",d'onde pendia,lisboa d'onde,,,,,,,,,,,,,,,,,,,,,
116,i Torno,an Torno,Ri-,,,,,,,,,,,,,,,,,,,,,,,
117,barbara,rbaro,cmbaraeado,barbacena,barbuda,Bar-,,,,,,,,,,,,,,,,,,,,
118,rega0,Pregados,52E,Carregada,,,,,,,,,,,,,,,,,,,,,,
119,"IRRIS
E",Irris,"IRRIS
po",Irrc,,,,,,,,,,,,,,,,,,,,,,
120,Ministerio da Fazenda,Ministro,Nis,Ministros,Ministerio,MInistro-aeeeitando co,mInistro aeceiltz,C-,,,,,,,,,,,,,,,,,,
121,"grog
Rio","rio
ste",Rio,rio i inunarcehia,serio,ulherio,rio l,rio so dsmandsscm,pac,Delirio,"rio
Lado",,,,,,,,,,,,,,,
122,Hotel MOndego,Hotel Mondego,Hotel,"es
eutel m",,,,,,,,,,,,,,,,,,,,,,
123,homctzarrio,Barriolo,N5o,Barrilo,ER,Arribada,barrigrudo,,,,,,,,,,,,,,,,,,,
124,HAMIES,RAMIES,Cachamita,,,,,,,,,,,,,,,,,,,,,,,
125,Ribeira,Iibeiinh,"horda da beira
do Coiee","ribeira de
Crede",ribeira do Doce,,,,,,,,,,,,,,,,,,,,,
126,Teixeira de Carredes,av de carlos,"Teixeira de
Carredes",,,,,,,,,,,,,,,,,,,,,,,
127,"riacho das
lonas","gruio das
suistsas louras",riacho das boas,naui,"botoes das
caldas",Ve,,,,,,,,,,,,,,,,,,,,
128,elle nilo,elle,"cancelle
do",ponta elle da orelha,pa elle,cllel,vae elle,Te,Belleza,"IAIES
elle",d'elle,n'elle,lle,,,,,,,,,,,,,
129,iarejando,conversando0,csfurucando,quando0,caracolando,te,atacando0,rolando0,,,,,,,,,,,,,,,,,,
130,Caladinha,"ma
ca","da
Caladinha",,,,,,,,,,,,,,,,,,,,,,,
131,india,India,InDigna,Is,vindima,fundia,,,,,,,,,,,,,,,,,,,,
132,mo,Clamores,Flores,"sIl
Clamores",,,,,,,,,,,,,,,,,,,,,,
133,Freixos,Freitas,Freixomil,deixal,,,,,,,,,,,,,,,,,,,,,,
134,plantatla,Santa,"Santa lIvre-
ncia",Santa-repetiu,"a-
santa",Santa thereza,Santa Ireneial,Santa Ieneia,"Santa Irm-
eia",Jantar,"Santa Ela-
fia",Santa lIvre-,phantasia,decad das Infantas,Santa Inteira,adeanta,c-Santa,,,,,,,,,
135,Inerosos,Numero,berou,rouba,Quero,,,,,,,,,,,,,,,,,,,,,
136,Emfim,Mlontemor,tdesmontar,Monte,monte c valle,Montava,Montes recordava,Monte-incr,Montemor,hntea,Montes,,,,,,,,,,,,,,,
137,Sil,sil juizo,adrcsilva,Juizo,,,,,,,,,,,,,,,,,,,,,,
138,Mares,Collares,Malares-,"ti-
mares",Alvares,,,,,,,,,,,,,,,,,,,,,
139,MIa-,g)aa,Ia-,,,,,,,,,,,,,,,,,,,,,,,
140,dOutor,r. doutor,doutor,DOutor,Doutor,r. dOutor,,,,,,,,,,,,,,,,,,,,
141,baix,bAixo,Baixo,"Lopo de
bAixo",BAixa,,,,,,,,,,,,,,,,,,,,,
142,magnolia,lenol,len,Nol,Lenda,,,,,,,,,,,,,,,,,,,,,
143,Levar,varzea,caevas,Mlelieval,,,,,,,,,,,,,,,,,,,,,,
144,soph,r0Sa Sopa,Sopa,,,,,,,,,,,,,,,,,,,,,,,
145,Cinto,Cintra,sintra,"Cintra
Il",,,,,,,,,,,,,,,,,,,,,,
146,IAMIIHS,IAMIIYS,IAMIILS,ILLIIH LAS1 ID IIAMIIIE,IILILETIE CASA D IIAMIIIS,,,,,,,,,,,,,,,,,,,,,
147,"Entro Garcia
Viegas",l. Garcia,Garcia,lorcia,,,,,,,,,,,,,,,,,,,,,,
148,Inais,Inasstdos,China,Inagnilicos,Ina,Cortina,Minas,Rosina,"ra-
pina",elupinand,Inadava simp,a6,Oficina,Ina V0tudo,,,,,,,,,,,,
149,Meninos,SC,almenira,Meninas,almcjira,almenira luziram,Almeida,,,,,,,,,,,,,,,,,,,
150,valiaosa,italia,Italia,d italia,Italianos,,,,,,,,,,,,,,,,,,,,,
151,Bonito,Bonita,bonito rapaz,Synonieo,,,,,,,,,,,,,,,,,,,,,,
152,Ieonel,Coronel,l0,Coronel Tiranos,,,,,,,,,,,,,,,,,,,,,,
153,mascula,Il,scut,Iiscutal,rascuthar,,,,,,,,,,,,,,,,,,,,,
154,requehro,pequerrueha tao,pequchiha,"Agasalho hem
pequena",pequen0s,ste au pequena ahi est,,,,,,,,,,,,,,,,,,,,
155,i varanda,"varanda nem-
ravel",varanda po ora nio est,ba varanda,,,,,,,,,,,,,,,,,,,,,,
156,"ABen-
to","Vo-
tos","i
Toc",,,,,,,,,,,,,,,,,,,,,,,
157,Avantesmas,fcrvuru picante,antes-0,dentes;-e,Violante,I19,,,,,,,,,,,,,,,,,,,,
158,alargne,"alargne
form",Iargu,Falar,,,,,,,,,,,,,,,,,,,,,,
159,resqu,esque,QUe,Nom,Esquadrinhou,,,,,,,,,,,,,,,,,,,,,
160,Furia,iria.-,Inquirir,Iria,,,,,,,,,,,,,,,,,,,,,,
161,Menezes,Vezes,,,,,,,,,,,,,,,,,,,,,,,,
162,Mionsieur,AfIonso,Monsieur,,,,,,,,,,,,,,,,,,,,,,,
163,"ro-
dedo","Raro-
N'-que","tE-
des",,,,,,,,,,,,,,,,,,,,,,,
164,sangue,Sangria,sangue.- Entro,,,,,,,,,,,,,,,,,,,,,,,
165,larica,Ns,1I,i Africa,Africa,"Se-
ricas",ma Africa,Africa-,d'Africa,Rhetorica,Africa degredadol Jesus,MIrica,,,,,,,,,,,,,,
166,Porque,porque2,Affns de Albuquerque,,,,,,,,,,,,,,,,,,,,,,,
167,Mlaseate,Ate,fratel,paterna,catedral i,Iieatei,latejado,Embate,Pateo,,,,,,,,,,,,,,,,,
168,rua das Velhas de um Policia,rua Velha,Vermelha,"rua das so-
brancelhas",rua das Velhas,boa velha,rua das Vendas,"pa-
velha do",Peso das Velhas,,,,,,,,,,,,,,,,,
169,Prados,Ajudado,Salvador,ado,pi,algcmado,Ado,Louvado,apeggado,lado0,Pccecador,cuealtnado,Itocados,,,,,,,,,,,,,
170,go,,,,,,,,,,,,,,,,,,,,,,,,,
171,Goncale,Guncalo,Goncalol,Entao Goncalo,Goncalo,Goncalinho,Concalo,lE,"Goncalo Ia-
ires",Goncalinhol,Goncnlo,El-Rei - Goncale,Goncalio,rio dc Goncalo,Gongcalo,,,,,,,,,,,
172,Pessoalmente,Pessoa,alpes,Sucesso,,,,,,,,,,,,,,,,,,,,,,
173,bAnco Ilypotheca-,banco0,En pesco i,banco i lesa-onde,"Conselhos do
Banco Ilypotluecario:-e",,,,,,,,,,,,,,,,,,,,,
174,MIurtosa,Murtosa,murle d'hoje,Mlurtosa,mur,,,,,,,,,,,,,,,,,,,,,
175,"hom-
ro","murm-
rou","com-
ro vernelh",,,,,,,,,,,,,,,,,,,,,,,
176,pArto,Martim,Sao,F,PArtido-,Sito Partidas,,,,,,,,,,,,,,,,,,,,
177,"sc
captivo d","bot-
ca c1","L-
ci",,,,,,,,,,,,,,,,,,,,,,,
178,Eleiciol Pois,Eleiciol,bulicio,,,,,,,,,,,,,,,,,,,,,,,
179,guardasoes,"hrda
da",Guarda,pcoes,guardasolinho,,,,,,,,,,,,,,,,,,,,,
180,Mlendouea,hehendu,Mendo de SObreiros,recebendo0,u Mendonca,Tremendo,Mendo,"tamhem
mendo",Mendon,Jose Mendonca,Mendigo,Mendonca,Moendo aes,Torcendo,Mlendongcas,,,,,,,,,,,
181,Assembleia da cm-,Assembl,Assembleia,salpicassem,Assembl da Villa,Assem-,Ca,,,,,,,,,,,,,,,,,,,
182,Quc,quc,I1ou,,,,,,,,,,,,,,,,,,,,,,,
183,Yoceecte,Deter,Cter,Walter,Carecter,,,,,,,,,,,,,,,,,,,,,
184,socegae1 Velho,Socega,sc socego,Doce,,,,,,,,,,,,,,,,,,,,,,
185,I0ss,II0s,,,,,,,,,,,,,,,,,,,,,,,,
186,tradieiol de desatulhar,Torre de l. Hamiresns,Torre de l. Imies,Torre de 1,ES,torre do S. Matheus,Torre de ID,Torre ma fallada maravilha de cora,Torre de I. Rtires,torre dos murmurio,"Torre de 1D. Filha-
est",Torre de I. Hamires,torre da Cara,,,,,,,,,,,,,
187,"estrada
General",Entao General,genebra,"Meninos
General",General,General verg0u,"IAMIIIES
General Mendes lamires",General largu,Amor- gEneral,k coto General,General nio,FE General,"MIas
General",General-,,,,,,,,,,,,
188,Burro,BAIRRO,cerro,aierro,lomba d cerro,Cerdal,,,,,,,,,,,,,,,,,,,,
189,Lionala,Fllc,Nacional,Proprios Nacionaes,Monacal,Nacionaes,Tencionamos,Bibliotheca nacional,,,,,,,,,,,,,,,,,,
190,homcn1,elizmcnt,Feliz,Ilncntld,Elim,,,,,,,,,,,,,,,,,,,,,
191,nAda,Abandonada,Dona-em,BAnD0,,,,,,,,,,,,,,,,,,,,,,
192,atravez d matto,Atraves,atravez da noile,Atravez,atravez das en-,Atravcs,Ave-,atravez d jardim,,,,,,,,,,,,,,,,,,
193,Mundo,n0 fundo,valle muito fundo,Funda,paix profundo,,,,,,,,,,,,,,,,,,,,,
194,Ilanella,Mlanelsinho,janellinha,llanella azul,lanear,i janella,,,,,,,,,,,,,,,,,,,,
195,ria Sei,Sentia,Sentia sEn-,optia er ar-,,,,,,,,,,,,,,,,,,,,,,
196,Til,Idiotia,Idiota,Mlultidio,,,,,,,,,,,,,,,,,,,,,,
197,Cadeia,cad,Ideia,len da cadeia,,,,,,,,,,,,,,,,,,,,,,
198,Eleito,"crean-I
do u leito de pau preto",Feitos,Leit,,,,,,,,,,,,,,,,,,,,,,
199,Victoria,bBraz Victoria,raz Victoria,,,,,,,,,,,,,,,,,,,,,,,
200,Figura,um1,Cura,Escurid,Cura-as,,,,,,,,,,,,,,,,,,,,,
201,perc,merc,Merc,merc do Estado,,,,,,,,,,,,,,,,,,,,,,
202,Barrolo,Barroso,Barro despegou,santa mae do Barrolo,"cigarros,-aa",Barro,barrocaes,Barrole,marroquim,"Jos
lBarrulo",Ilarrolo,"Barro-
lo",Agarrou,Barro belgica,Conselheiro Costa Barroso,Carro,,,,,,,,,,
203,Rapazes,v,Gazeta,Fazes,Fazendas,,,,,,,,,,,,,,,,,,,,,
204,C0I0,ILLISTI CASA,II.III CASA,II.III,"Cara-
A ILLLII CASA",,,,,,,,,,,,,,,,,,,,,
205,I,aco,Saco,ue,Nacojas,acol,,,,,,,,,,,,,,,,,,,,
206,eIn,vein,veis0,,,,,,,,,,,,,,,,,,,,,,,
207,aquella,aquella rutmorsa,Aquella,Aquellas,aquella linda,aquella noite de,,,,,,,,,,,,,,,,,,,,
208,rabear,orla t.,cearla,,,,,,,,,,,,,,,,,,,,,,,
209,branduras,VAi-,toa-,brandura,Brando,Jogo Brando do Midos,bua semeadura,,,,,,,,,,,,,,,,,,,
210,Ridiculo,Secular,CUlII,Seculo,veraculo,seculo xII,,,,,,,,,,,,,,,,,,,,
211,Car-,Caramnba,Caramba,earamba,carambal,Caramha,,,,,,,,,,,,,,,,,,,,
212,tos do Patriotismo,lmperatriz,Patriotismo,PATria-,,,,,,,,,,,,,,,,,,,,,,
213,copo0-,lOpo,v-,"copo0-
su",,,,,,,,,,,,,,,,,,,,,,
214,Sis,Solar de Santa Ironia-resistente,"Solar de Santa Ironia-resistente como elle s for-
tuas",U.AA I,3I,,,,,,,,,,,,,,,,,,,,,
215,collegio de S. it,collegio,collete,Collegas,Iolle,,,,,,,,,,,,,,,,,,,,,
216,U tio duarte,sulco do tio duarte,Ioemela do Tio,Violento do Tia duarte,Poeueto do tia Quartel,,,,,,,,,,,,,,,,,,,,,
217,II.LLSIIIE,IIMIIIH,C.A1 I. III,iiI,ILAWIIIINS,III,Iii,HWIIIE,"ILLITIII A1 II AMIIINS
genebra",,,,,,,,,,,,,,,,,
218,Raos,Iaoscrlinre,Aos,,,,,,,,,,,,,,,,,,,,,,,
219,Marvila,Chupado om vila,d'Marvila,,,,,,,,,,,,,,,,,,,,,,,
220,Signal,insignia,Assigna,Cognae,,,,,,,,,,,,,,,,,,,,,,
221,Temerario i Carlos,litlerario,Temerario,t,,,,,,,,,,,,,,,,,,,,,,
222,Manches Lucena,Lucena,Manches lUcena,Sanches LUcena,IL,N.,Sanehes lUcena,,,,,,,,,,,,,,,,,,,
223,bra0s,b-,Obra,Bravo,Vibra,,,,,,,,,,,,,,,,,,,,,
224,lortugalsiuho,Portugal,Rei de Portugal,em Portugal,"Portugal
Espantado",pOrtugal,"Portugu-
est Negociariam",I'portugal,poRtugal,Ricos-Homens de Portugal,Portugal-ate,em portugal,Porque portugal,portugal,Portugueza...,vulgurisar Portugal,Portugal-,atroar portugal,I'portugal res-,,,,,,,
225,Politica,Politicos,a;baixa politica1 de lPortuggab,luliticu,conversar de l'politica,,,,,,,,,,,,,,,,,,,,,
