cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30
12,"rue de

Choiseul",Choiseul,rue de Choiseul,bois de Crancé,M. de Cisy,"rue de
Choiseul",côte de Chaïlly,,,,,,,,,,,,,,,,,,,,,,,,
13,Somme,Rome,nn dôme,l’'Almanach du Commerce,MMe,ommença,Mme‘à,La somme,Comment,Sombaz,,,,,,,,,,,,,,,,,,,,,
14,Sauvagesse,fEMme-Sauvage,Osage,Wlavantages,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Poissonnière,N,rue Paradis-Poissonnière,faubourg Poissonnière,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Capitale,Capitalen,boulevard de l'Hôpital,Pitié,caleçon,la Capitale,Capitaine,,,,,,,,,,,,,,,,,,,,,,,,
17,Mnamnés,Gymnase,Mn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,XII° arrondissement,XI° arrondissement,Mrodigieusement,III arrondissement,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,hôtel de Nantes,Hôtel-,d’Alors-Hôte,l-%,hôtel du Commerce,Hôtel-de-Ville,Mcôté,,,,,,,,,,,,,,,,,,,,,,,,
20,madras,Heudras,Adjugé,Madrid,commanderas ton ca,Marast,,,,,,,,,,,,,,,,,,,,,,,,,
21,Menait,tenaim,Iéna,Merait,Lamennais,,,,,,,,,,,,,,,,,,,,,,,,,,
22,lâquelle,Celles,Elle,Pellerin,Rappelez,Tournelle,ellE m,ellE,la Tournelle,Mlle,Pellerin.-,rue Bellefond,Fortelle,Leloir,Belle-,Bellevue,àelle,el,Te rappelles,Morelly,Belle-n,Belleville,Bagatelle,Nouvelles,Pelle-,Pelle,,,,,
23,Ace,grimace,L,Acceptez,Bac,,,,,,,,,,,,,,,,,,,,,,,,,,
24,tamise,Is,buis,Mipuis,Anis,Venise,Assis,Gisy,Ise,Cisy,,,,,,,,,,,,,,,,,,,,,
25,brigand,Hongrie,Brie,Bréa,Pie,rien+,"Pénu-
rie",®,Ibérien,gie,Algérie,Négrier,,,,,,,,,,,,,,,,,,,
26,B,du Havre,Hâvre,gare du Havre,au Havre,le Havre,,,,,,,,,,,,,,,,,,,,,,,,,
27,Meinte,IN,Inde,Norvins,nankin,hein,Ministre,Baslin,Gamblin,In,Singu-,edingote,Sphinx,Loin-,,,,,,,,,,,,,,,,,
28,la Seine,La Seine,Seine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,s’endormant,Mdivertissante,Mante,Jant,Bacchante,Jante,rue Fromanteau,Fromanteau,,,,,,,,,,,,,,,,,,,,,,,
30,Aïnsi,Sion,Odéon,Albion,Religion,io,Mion,Inquisition,,,,,,,,,,,,,,,,,,,,,,,
31,rue de Valois,rue de Bréda,rue de,rue de l’Arcade,rue de l'Empereur,rue Soufflot,rue de Marbœuf,rue Duphot,rue Notre-,rue de Rivoli,rue Jacob,rue de Richelieu,bour de basque,M. de,musée de Versailles,rue Descartes,rue d'Anjou,rue des Martyrs,P,collège de Sens,"rue
de Provence",rue de Chabrol,rue du Bac,rue de Laval,"Don Juan

de Molière",rue de Fleurus,mero pueblo del mundo,Vénus de Milo,rue Dauphine,rue d',
32,alluma,LU,Salut,Clubstick,Geluta,elub,voluplueux,Luxem-,,,,,,,,,,,,,,,,,,,,,,,
33,Bordelais,Bordelaise,delan,Où,Bordes,Bordeaux,,,,,,,,,,,,,,,,,,,,,,,,,
34,Regimbart,Regim-,m-,Regimbertx,Olympe Regimbart,Regim=,im,,,,,,,,,,,,,,,,,,,,,,,,
35,"communi=

 AH 
 AH 
 X","AH 
 
 
 AH 
 
 AH 
 LE 

L'ÉDUCATION","AH 
 

|","AH 
 AH 
 AH",bah,"AH 
   
 
 AH 
 AH",AH,"S
   
      
 
 AH 
 
 J 
 
 AH",BH HG,"“

   
 AH 
     
   
 
 
 AH","AH 
   
 AH 
   
 AH",,,,,,,,,,,,,,,,,,,,
36,La Maréchale,chaleut,la Maréchale,"Maréchale de l’air
mer","la Maré-
chale",Maréchale n’,Maréchaux,la Maré-,la manche,Maréchale,,,,,,,,,,,,,,,,,,,,,
37,J1,Minuait,Miouhaitait,Mlait,Dit,Lpouvait,Millissait,Métait,,,,,,,,,,,,,,,,,,,,,,,
38,Arrêtez,Arrêté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,héclara,Hébés,Varaud,léclara,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Avez,Venez,Etavec,Savez,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Syloro,Corse,OR,Corromps,HeBortez,Corbeil,Or,porn,quai d'Orsay,Corroboraient,Morgue,Ormes,Moruit,corées,Orsay,enCore-,,,,,,,,,,,,,,,
42,trouverez,Gouvernem,Le Gouvernement,Vésuve,Gouverne-,Gouvernement,Auvergne,Fouvens,mouve-M,Gouver-,,,,,,,,,,,,,,,,,,,,,
43,bal des Tuileries,Tuile-,dôme des Tuileries,Tuileries,ux Tuileries,jardin des Tuileries,galerie d'Orléans,gris-perle,Fouquier-Tinville,lesofficiers,,,,,,,,,,,,,,,,,,,,,
44,brune,Meune,Muet,mune,Mjaune,communauté M,W,Lune,Mucune,damas jaune,MU,Trône,A,uneh,murmus,,,,,,,,,,,,,,,,
45,Cygne de la Croix,place de la Bastille,pont de la Concorde,place de la Conæ,place du Marché,place de la Concorde,"tic-tac de la
pendule",place Gaillon,place de la Bourse,"place de Van-
meroy",,,,,,,,,,,,,,,,,,,,,
46,Pé-,Opéra,opéra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,jE,Aujeu,JE,I,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Orientaux,senti=-,sentan,Doucement,SENTIMENTALE,"SENTIMENTALE

 
 
 
     
   
 AH 
 
 
 AH 
 
 
 
 
 
 J",Vraiment,cuenta nu-n,"SENTIMENTALE

   
   
   
 AH 
 X",Bengale,sermentde,,,,,,,,,,,,,,,,,,,,
49,Bourbonnais,Bourges,Hapsbourg,Peaux-Rouges,turge,Bourse,de Bourges,Luxembourg,,,,,,,,,,,,,,,,,,,,,,,
50,"ha-
ward",Gaspardo,gard,Gardes,Mhasard,gardE,Regardez,Garde-Meubles,garderai,Poissarde,Garde-,,,,,,,,,,,,,,,,,,,,
51,cherie,Archevêque,Cher,t’'empêche,châtaigners,coucher,Pécheur,Rochefort,manche,Herbigny,cherchais,Chevalier,HE,,,,,,,,,,,,,,,,,,
52,Lquante-trois journaux,Lquante,quan,Miquand,Quarante,Muant,,,,,,,,,,,,,,,,,,,,,,,,,
53,Gironalé,rouen,Hippodrome,Ro,Troplong,Ro-,miarole,Roï,Provençaux,Rose Bron,Roméo,vorouva,Boutron,Trocadéro,trot,Proté-,,,,,,,,,,,,,,,
54,L1 A,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Buzançais,"Révo-
lution française",Saint-François,Français,Française,Miyança,François,Théâtre-Français,Comédie-Française,,,,,,,,,,,,,,,,,,,,,,
56,Empoigne,empoignè==,Savigny,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,As-tu cent,As-tu,Vas-1,Es-tu,Sais-tu,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Arroux,Carrousel,Carousel,place du Carrousel,"place du
Carrousel",,,,,,,,,,,,,,,,,,,,,,,,,,
59,"Champ
e Mars","Champ de
Mars",Champ de Mars,samovars,Champ-de-Mars,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Champs-
Élysées",Champs-Élysées,Élysées,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Trois-Frère-Provençaux,croisales,Trois-Rois,ttrotioir,Trois-Maries,Froissard,Trois,Trois-,,,,,,,,,,,,,,,,,,,,,,,
62,Prusse,Russe,Russes,Russie,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,suischagrin,chaperon,Chambord,Cham,Chantilly,Pharamond,Chaïlly,Gotha,Forchambeaux,Cham-,Champs-,Charte,Béchamel,,,,,,,,,,,,,,,,,,
64,Renaissance,Ecossais,la Renaissance,Renais-,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Palais,théâtre du Palais-Royal,Palais-Royal,"Pa-
air-Royal","Palais-
Royal",val #,croyait}.,pont Royal,Palazot,,,,,,,,,,,,,,,,,,,,,,
66,Liban,An=,Dumersan,regagnantsa,san,Sans,Salamanque,san bond,Samedi,,,,,,,,,,,,,,,,,,,,,,
67,Châlons,Salons,sala Bonne-Non-,Allons-,Grand Salon,Salon,Ablon,,,,,,,,,,,,,,,,,,,,,,,,
68,jurisconsulle,Versailles,Filly,Fille,Hauteville,- Bastille,Æcharmilles,Villenauxe,ille,"F
Eile",Vazeille,Vaudeville,Sainville,Canailles,Grémonville,Séville,Andilly,Bastille jusqu’,s’éveille,Etille,Surville,Maillot,Milles,Oreiller,Billy,Eile,la Bastille,le soleil,volaille,corbeillesde,Lille
69,Mile Marthe,Mlle Marthe,Marthe,Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,uN,d’un songe,punch,Unité,Dunod,Etun,Melun,"di

Un",,,,,,,,,,,,,,,,,,,,,,,
71,fiacre,ter le fiacre,nacre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Grammont,"Mont-
charron",Dupont,Montebello,Montagne,pont de Charenton,Ponts,Mont,Monseï,Montreuil-Nantua,Panthéon,mo=,Aspremont,"Pié-\
mont",Montpensier,Mondor,Saumon,Mont les ventres,Lacédémone,Montez,la Daumont,Montataire,,,,,,,,,
73,l’,L’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,ru-,Au- P,Gorge-au-Loup,au-#,au-,hau-0,Hu-,"Gau-
therot",fau-m,pau,Au-,,,,,,,,,,,,,,,,,,,,
75,"rue
Coq-Héron",Coqg-Héron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,ctâle,Lesurques,Naples,Ilest,Seules,Hrôle,Aumales,Les,"boulevard des
Mapucines",Îles prunelles ardentes,iglesia,Îles,Presles,Île,,,,,,,,,,,,,,,,,
77,Enfin-,eNfin-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,théätre,Bobino,théâtre Bobino,théâtre du,F,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Mience,Conférence,Régence,irrévencieux,Mieté,Providence,,,,,,,,,,,,,,,,,,,,,,,,,
80,st,Restez,Est,"damas rouge
Quatre domestiques",“Est,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Blackstone,Creton,Ton,Bonsoir,Hurons,Lyon,Cupidons,Conservatoire,Tons,Voyons,,,,,,,,,,,,,,,,,,,,,
82,Havanais,Cavaignat,Havrais,Va,Avais L,Avança,,,,,,,,,,,,,,,,,,,,,,,,,
83,Anda-,Andalouse,L'Andalouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,gènée,Sénécal,"4

Sénécal",Séné-,porte Sénécal,continua Sénécal,notre Sénécal !,,,,,,,,,,,,,,,,,,,,,,,,
85,Vatnaz,La Vatnaz,Ile Vatnaz,Mile Vatnaz,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Jardin des Plantes,boulevards des Gobelins,Jardin des plantes,bannissement des d'Orléans,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Par=,Art,partez,Paraguay,Part,reparul,Partez,Part-,Flambart,Pardon,Partout,Parquet,Parthénon,Parly,,,,,,,,,,,,,,,,,
88,paria,Charivari,Parisien,paris,Paris,Variétés,arboriculm,Lovarias,,,,,,,,,,,,,,,,,,,,,,,
89,bois de Boulogne,Pologne,la Pologne,Bouloi,Boulogne,Loulou,Bourgogne,ourgogne,Loup=,,,,,,,,,,,,,,,,,,,,,,
90,d’York,York,d’,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Jonc,Ça n. Donc,Poncif,Dijon,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,rue Joubert,Rumfort,Ru,rue Rumfort,rue Royale,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"AH 
 
 
 
 J 
 X 
 
 J 
 AH 
 
 
 J 
 
 J 
   
   
 
 

rosettes","8

 AH 
 
 
 
 
 J 
   
 
 J 
 AH 
 X 
 
 J 
   
   
 
 

90","C
 AH 
 
 J 
 
 
 
 
 J 
   
 
 
 
 
 
 
 J 
 
 X 
 
 J 
 
 

134","J 
 AH 
 
 J 
 

L ÉDUCATION","J 
   
   
 
 

90",,,,,,,,,,,,,,,,,,,,,,,,,,
94,Rendez,Présentez,Carpentras,Entrez,entr’,Rentrons,Enivrez,,,,,,,,,,,,,,,,,,,,,,,,
95,Écoutez,La Fougère,Houte,Foute,Ecoutez,Bout-,,,,,,,,,,,,,,,,,,,,,,,,,
96,Pa-,"Panora-
bas",Jn,Panora-,orang-outang,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Polonaise,Connais,Apollonie,Polonais,La Polonaise,Polisson,,,,,,,,,,,,,,,,,,,,,,,,,
98,Grange-Batelière,Angleterre,angleterre,Mar terre,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Hui-,"vi-
Mages",VI,Vi-,Provi-,l(i-,Vicomte,Prési-,,,,,,,,,,,,,,,,,,,,,,,
100,regardan®,Garçon,Ga-,Gare,Niagara,Gare aù lustre!,regardan,"garcon
Æse",Shakspeare,Laromiguière,,,,,,,,,,,,,,,,,,,,,
101,Bohême,Bohème,mêmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,So-,Mson,so,"VI

Son",,,,,,,,,,,,,,,,,,,,,,,,,,,
103,esprit-de-vin,Notre-Dame,Dame-des-Victoires,Notre-Dame-des-Victoires,pierre de Notre-Dame,gorge-de-pigeon,Notre-,"Notre-Dame de
odette",,,,,,,,,,,,,,,,,,,,,,,
104,QUelquefois,fréquenw,bosquet,Quels,Aque,Belgique,Quelqu,Banque,QU,Queltasde,vqui,qu’,Mqui,socques,Lque,Quelquefois,Bouquet-,Quelques-,,,,,,,,,,,,,
105,Changar-,Changarnier,Change,Ar-,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Tues,Mesdames,Alpes,Sèvres,E,Êtes,sxes,Es,Armes,sesi,Où es,Desolmes,Hespérides,Léloges,Troyes,ixes,,,,,,,,,,,,,,,
107,s’embarras-,l’'embrasser,l’'embrassàät,s’'embrassent,Délassements,._.,s’,Brasseur,,,,,,,,,,,,,,,,,,,,,,,
108,Antichambre,antichambre,Chambrion,Chambres,Chambre,seuil de l’antichambre,Chambre des députés,Ambigu,Chapitre,Lbre,Mchambre,,,,,,,,,,,,,,,,,,,,
109,Ma-,Considérant,Mormans,Orléans,mans,Mans,Maman,expansif,,,,,,,,,,,,,,,,,,,,,,,
110,"oCcäs
sion",oCcäs,Occupez,Æ,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,hasta,Las,damas,As,Mpas,Mazas,Pas,Bas,AS',,,,,,,,,,,,,,,,,,,,,,
112,Parlotte,Marlotte,Margot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Châtillon,Postillom,Postillon russe,postillon,tillon,Gaillon,,,,,,,,,,,,,,,,,,,,,,,,,
114,pont Neuf,Pont-Neuf,le Pont-Neuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"S

 m

Dre mg

_",Londres,Mrdres,re=,Hydre,Dre,Flandres,s’étreindre,,,,,,,,,,,,,,,,,,,,,,,
116,Citoyen s’,Le Citoyen,Benedicite,le Citoyen,Voyez,Citoyen,toyen,Citoyens,,,,,,,,,,,,,,,,,,,,,,,
117,Balandard,Larsillois,Drouillard,Allard,|,Balaruc,,,,,,,,,,,,,,,,,,,,,,,,,
118,amouR,Métour,Flacourt,Nonancour,Sourdun,mOurir,Ambrecicourt,sourIt,Véfour,Jour,Cour,co=,Mécoupaient,coucou,Cousin,Nonancourt,Pour-,,,,,,,,,,,,,,
119,abandonneR,Hussonnem,Hussonnet,Hussonnet-,Mbonne,Frisonne,Sorbonne,Hussonne,Husson-,,,,,,,,,,,,,,,,,,,,,,
120,ger,ER OT,perse,s’exalter,Dittmer,ler,Berlin,verier,Cerfs,Gilbert,Er,Pierrot,Auger,Ver-,Palerme,Liberté,ER,,,,,,,,,,,,,,
121,Arc de triomphe un cheval mort,Arc de triomphe et la grande avenue,Arc de triomphe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,porte Saint-Denis,rue Saint-Dominique,rue Saint-Anne,rue Saint-Honoré,rue Saint-Victor,boulevard Saint-Denis,rue Saint-Denis,rue Saint-Jacques,de Saint-Denis,rue Sainte-Anne,,,,,,,,,,,,,,,,,,,,,
123,rue Saint-Martin,"porte
Maillot",pOrte s.,Porte-Saint-Martin,porte Saint-Martin,faubourg Saint-Martin,théâtre de la Porte-Saint-Martin,,,,,,,,,,,,,,,,,,,,,,,,
124,Avocat,Bravo,Mbravade,Bray,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,ampe,Mcompagnie,champagne,campagn,Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,
126,quai Saint-Bernard,Sainte-Pélagie,Saint-Gervais,Saint-Valéry,Saint-Jacques,Saint-Cloud,"Saint
Ferdinand",Saint-Honoré,Saint-Paul,Saint-Simon,Saint-Anne,Saint-,Saint-Germain,rue Saint-Hyacinthe,Mont-Saint-Michel,Sainte-,notre Saint-Père,"Sainte-
Chapelle",Saint-Autre-,Saint-Louis,Saint-Antoine,Saintonge,sainT,Saint-Maurice,île Saint-Louis,Saint-Thomas,,,,,
127,A Elbœuf,Bœuf,Marbœuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,ge,Nogentais,Nogent-sur-Seine,Argent,Nogent,Pargent,,,,,,,,,,,,,,,,,,,,,,,,,
129,Père-Lachaise,Languedoc,Anglais,Anglaise,Laisse,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Mabitudes,cuyde,Suède,Normandes,Dess,Desde,dew,,,,,,,,,,,,,,,,,,,,,,,,
131,Rosanetle,Rosannette,Rosanelte,Vanneroy,merosos,Rosanette,Mcompagnie de Rosanette,Rosa-,,,,,,,,,,,,,,,,,,,,,,,
132,Irez,Suriret,rez,retou,retirez,sirE,"®
 sire",Direction,Foire,,,,,,,,,,,,,,,,,,,,,,
133,Turque,Le Ture,défectuo=-,fIgurez,Dulaure,turbotière,l'Heure,Ture,Censure,bor augure,Turcs,serrure,,,,,,,,,,,,,,,,,,,
134,Gauloises,voitum,vo,Sois,Meois,Vois,VOix,Pouvoir,Gaulois,Voici-,,,,,,,,,,,,,,,,,,,,,
135,Joux,Luoux,Ledoux,Arnoux,noux,Hnoux,Pidoux,,,,,,,,,,,,,,,,,,,,,,,,
136,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Creil,Etil,rueil,Lil,IL S’,élailt,Ljils,vila,etil,E£,IL,geail,Ilne,arrétanil,,,,,,,,,,,,,,,,,
138,Moulin-Rouge,bouleversa,oulez,Voulez-v,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Républiquelh,IL Répliqua,notre République,"République b

me paraît vieille",République,République b,,,,,,,,,,,,,,,,,,,,,,,,,
140,"Croix-
des-Petits-Champs et du Bouloi",Croix-,Melacroix,Croix-Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Poitiers,quartier Breda,upporter,Ltiers,Portier,Bertinaux,,,,,,,,,,,,,,,,,,,,,,,,,
142,pagnie,pagnon,Espagnolet,"com-
espagne",Dagneaux,l'Espagne,Espagnol,espagne,d'Espagne,Espagne,,,,,,,,,,,,,,,,,,,,,
143,pälir,Sue,pUisque-nique,afriquE,Quoique,l'Amérique,Msique,afrique,Lélia,narcotiquemm,Lique,Btique,Amérique,lip-fraoli,Esthétique,,,,,,,,,,,,,,,,
144,Toscane,Caverne-des- Brigands,beancans,Cancane,Canonniers,cancan,Ca=+,,,,,,,,,,,,,,,,,,,,,,,,
145,Mitre,autRe,autrE,Autre,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Burs,"abbé
Cœur",NURRT,Letourneur,Ur,jura,curaçao,,,,,,,,,,,,,,,,,,,,,,,,
147,Rubens,l'Aube,conseil général de l'Aube,Aube,Be,Beauté,,,,,,,,,,,,,,,,,,,,,,,,,
148,Aulnay,Pays,Aulnays,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,PROPRE,Vêpres,Prends,Premières,Comprenez,Pre,Ilreprit,Reynolds,,,,,,,,,,,,,,,,,,,,,,,
150,Frédéricæ,Frédéricnew,Américain,Frédécic,Frédé-,Frédéric,Frédérie,Frédé-2,Fré-,-Ærédéric,,,,,,,,,,,,,,,,,,,,,
151,port de Montereau,Valle-de-Montereau,Longjumeau,Montereau,J-,Moreau,,,,,,,,,,,,,,,,,,,,,,,,,
152,Esséniens,pEnsa-,Démocratie,Amiens,Wien,Institut,Vénitienne,Vharmacien,Tibi,Laliens,Sens,Tiens,égyptiens,Deviens,,,,,,,,,,,,,,,,,
153,Préfecture de police,le Pays,rue Paradis,RD  Pe 2,Paradis,rue de Paradis,vêque de Paris,Rue Paradis,,,,,,,,,,,,,,,,,,,,,,,
154,Peuh,Burrieu,L'Olympe,l'Europe,l’'examinateur,Peuple,Docteur,Heure,peu(l',Mfeu,Peur,,,,,,,,,,,,,,,,,,,,
155,Écolé,Écoles,d’École,comle,pont d’École,École,,,,,,,,,,,,,,,,,,,,,,,,,
156,Cléry,Odry,Oudry,Ivry,RY,l.,,,,,,,,,,,,,,,,,,,,,,,,,
157,rue Montmartre,Chartres,Montmartre,martre,boulevard Montmartre,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Muteuil,seuil du boudoir,Auteuil,Neuilly,teuil,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Ambreuse,Dambreuses,fosse de M. Dambreuse,hôtel Dambreuse,Dambreuse,breuse,,,,,,,,,,,,,,,,,,,,,,,,,
160,Mouffetard,souffreZ,passage Jouffroy,Anjou,Godefroy,Jouffroy,,,,,,,,,,,,,,,,,,,,,,,,,
161,saus,AussI,Vénus,causér,jusqu’,Muséum,Unlustre,Vous,Lplus,us,,,,,,,,,,,,,,,,,,,,,
162,Constantinople,Mamartine,Non-,Cing-Mars,weconnut Martinon,rue Caumartin,Matin-,Martinon,,,,,,,,,,,,,,,,,,,,,,,
163,mœopathie,Thiers,Philosophie,Hiérarchie,hier-#.,Hier-,,,,,,,,,,,,,,,,,,,,,,,,,
164,Sainte-Geneviève,Genève,Geneviève,Villeneuve-l'Archevêque,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Weldon,We,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,D-,bonds,Rond-Point,Girondins,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Châteauroux,le Château-d'Eau,"Château
d'Eau",Chapeau,Mrinceaux,Château-d'Eau,,,,,,,,,,,,,,,,,,,,,,,,,
168,Suisse,æwhasse,Écosse,suisse,Pâlisserie,Masselin,Presse,Colosse,Suissesse,Passe,,,,,,,,,,,,,,,,,,,,,
169,"se-
maine",horaines,Fontainebleau,Comaing,cines,Comédie humaine !,maine,Lorraine,Demain,,,,,,,,,,,,,,,,,,,,,,
170,languir,Blanqui,Hollande,Irlandais,Guirlande,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Louvre,dôme du Louvre,collections du Louvre,Au Louvre,D|,au Louvre,,,,,,,,,,,,,,,,,,,,,,,,,
172,Mrs-,s-2,s-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Meurs,fl,Rs,Onleur,Fleurs,J,,,,,,,,,,,,,,,,,,,,,,,,,
174,la Bretagne,Étretat,Bretagne,kaolin de Bretagne,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Mare-aux-Est,hé-,Marché,Beaux-Art,rue du Marché-aux-,Maré-,Marché-aux-,,,,,,,,,,,,,,,,,,,,,,,,
176,Jui,Douis,Nuit,Gou,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
177,Halles,Allemagne,Allez-,Allemand,Allez,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Injustice,Art éndustriel,Unindustriel,Art industriel,Artindustriel,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Frane,créances,Grands,Franks,La France,affranchiront,Sois france,la France,Crancé,rangè-#e,Collège de France,de France,France,,,,,,,,,,,,,,,,,,
180,rue Vivienne,Olivier,Vive,Vienne,Vincennes,Vivienne,vie?Il,,,,,,,,,,,,,,,,,,,,,,,,
181,Folie,Californie,d'Italie,Egalité,Lfita,l'Italie,italiE,Italiens,juste-italie,italie,"Pologne el
italie",Italienne,Italie,m’,,,,,,,,,,,,,,,,,
182,cachemire,Temple,vempètré,l'Empire,Empire,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Napo-,4 Pomadère,Ponia,Opposi-,po,Pouce,Impossible,Napowr,pol,Po,,,,,,,,,,,,,,,,,,,,,
184,Débar-,Barcelone,carbonaro,Barbès,Barom,Baron,,,,,,,,,,,,,,,,,,,,,,,,,
185,Toutle,outle,Effet,Let,etle,Etle,,,,,,,,,,,,,,,,,,,,,,,,,
186,le Rhin,Chinois,Bains-Chinois,Rhin,chine,Chine,,,,,,,,,,,,,,,,,,,,,,,,,
