cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37
18,Le Corse,La Corse,Corse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Évisa,Corse d'Évisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Vierge,reparue,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Le soleil,l'Empire,le soleil,soleil,Auvergne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Paulet,Voulez,souleva,Poulet,Voudrez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Crotte,Vaucotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,bécota,Picot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Voilà,Envoie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,bésigue,caleçon,calme-toi,Damas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Normande,Normand,hôtel de Normandie,Flamands,Hollande,Normandie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Évaporée,Chicorées,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Corniche,Couche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Ganache,Cana,Piana,Cany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,cigogne,Cigogne,Niolo,cognac,Cologne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,dévala,air du Val,val,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Remontée,mont Riboudet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Le Havre,au Havre,rue du Havre,du Havre,collège du Havre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,val d'Ota,rue du Sauvage,vallon sauvage d'Ota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Lerat,Croquerat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Quelquefois,Autrefois,Hauts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Mignonne,mignonne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,bosquet,basques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Étouvent,Rentrons,menton,Dentu,Ajaccio,Notre-Dame du Gros-Ventre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Bastia,Lastique,Las,Anti-physiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Florence,Provence,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,l'Afrique,Afrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,L'Amérique,Amérique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Reminil,oremus,quem devoret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Palais-Royal,Royales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Enchaînée,connais-tu,aimais,Encaissée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Le Perthuis des Vauds,Naples,château des Peuples,hameau de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,javelle,jura,Éternelle,Touraine,Gênes,la Seine,tonnelle,alaternes,Mornes,Madeleines,Athènes,Romaines,Verneuil,,,,,,,,,,,,,,,,,,,,,,,,,
50,Avez,Savez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Rollebosc,Folle,Bassolle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,pays de Caux,lune,Pas de lune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Quittez-le,mariez-les,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,apportez-les-moi,donne-les-moi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Méditerranée,Impureté,Angleterre,Perret,Étretat,Eretry,serrure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Londres,Apôtres,Sèvres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Écoutez,Accoutumé,Coutelier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,mangeât,Crisange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,surplis,Surprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Lison,Songe,Lise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Impatienté,Tiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,supplie,Rosalie,Julien,pâlie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Italie,d'Italie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Fécamp,phare de Fécamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Mars,Marseille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Batteville,Varneville,Briseville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,gare de Beuzeville,Beuzeville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,terre de Barville,Coursil,Fourville,Goderville,Coursil-Courville,Barville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
