cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42
20,HIareton,Hareton,IlIareton,Hnreton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Earnsha,Earnshav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,dallas,Lascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,brazil,Ill,Zillah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,thorpe,IBlackhorse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Continent,bnt,WVont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Mars,faro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,tl.see,tennessee,seattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,III:2Is,wuriEIIING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Ieathelif,Ieatheli,IIeathieliff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Linton Heathcliff,HeathcliFf,Mt. Heathcliff',Heathcliff,Linton,Ieathclil,HeathcliFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,EL,dells,el,NO EL,basel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,CAVENDISH S.,"CAVENDISH S.
1847",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Brond,L LONDON,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,dol,"dol
HIe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,sicily,champion1,Happily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Slim1,him1,Him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,MlIy,Mlr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Hindley,west wind,wi,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PETE,TAIPEI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,IlIowever,Liverpool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,you'vc,You'll,Yau'd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,' york,Yorkshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
