cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60
12,Etats-Unis,etat,lEtat,etablir,stupetaclion,tad,"etat de
defense",EFFeT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"II
H
H","I
H
-","W
H","6

II
H
H

I","I
H
MG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Tonne,Guyenne,garonne,F,seuil de la maisonnette,Washington,Sonne,tone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Permet,perdula,Terme,metz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Mexique,belgique,larzac celtique,trafiquei,golfe du Mexique,Ext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,rer,exageree,Veuiueree,severe,Claudere,Ferney,281,Er,LEr-L,jespere,.-rer-,Verdure,declarer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Lejeune,lejeune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Quels,QUel moitI,Quebec,Vue,Marque,.qu',MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Canadien,Canadien bErger,V8,Canada,Canadiens,Le Canadienjelta,Canadienne,Cana-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,AVec,T,vecu,Camilleavec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Ponce-Pilate,Terence,Sence,tereu,Providence,Nonce,Point de diffrence,Saut de Montmorency,"II
LE OR RENCES1TE
IL'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"E1

G
N
La",E1,"rnn
L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,apport6e,Gzrt,Rapporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,indiens,Indien,toldos indiens,Indiens,Dinwidie,Indies,L'Indien,9i,Lesindividus,L'indifferenee,Les Indiens,Tudient,cinIndiens,pseudo-Indien,indien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"P,-F",-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,.2-,E2-,".2-
-
U
2


E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,yeux7,Eu,Leu,maubeuge,Eu-,Createur,- Gueusard,ceurl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,L1,S',L1y,l1,IL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,L:--a,CL:---,r7:--,--a,s:--,.-a:-x,l’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,querrezla,PIERRE,deierre,A terre,piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amerique,Americains,lHistorique,briquet,l'Amerique,meritee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,IW,IWI,Wi,wigwvm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Tais-toil,Vois-tu,tu6s,Vois,Es-tu fou,12,Crois-tu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,birmanie,NiE,IE,Virginie,chitaignie,NI,gcnie,Nieux,garnier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Le Rend-bLeu,Le Renard-,Renard-Bleu,rEnard-Bleu,Le Renard-Bleu,Renard-Ble,Renard-Blou,Renard-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Kouba-Hande,Kouba,Kouba-lande,Kouba-Hand6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Lona,Leonal,amour-popre national,Leona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,".,L",".,-",".,-::Y'",".,.3-","c,-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,AA,Aa-AP4,aaa-r:- cCZCZL,Aa,aA,.xLzeAAk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,terrass6,Rassure,verrasl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,crmonie,Lan crmonie,crmonie indienne,N,mone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,piti,Pite,MB,precipitee,W,- Faites,hospilalitel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Angle,Anglais,GL,Angleterre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,H2E,H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,a-.-,Le.-.-.ux.goth,A-r,a.-W.,-7-.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,NY,baron de Grigny,Grigny,Carignan,Gigny,M. de Grigny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,I.1,"1A
I.I","1I
I.I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,I1ets,I1,II.i1,I11,II1,II1ERIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,.G,.Gi,.g-c,I4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,nouvelle En,Nouvelle-Orleans,Nouvelle-France,Nouvelle-Hollande,Nouvelle-Orl6ans,Nouvelle-fRance,tm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,SH,.CL,.C,Boucle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,role,Creole,dole,i Rollon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,DE.-',degualannt,DE,rideau de verdun,Dej,Rendez,y.,pyramides de Cholula,-de,"N


DE
P2",Dej midi,deput,Deja,delhi,fidele,Aide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"S
 E

PAR

L

I.
I
III


SI
A","N 

III
II
2i","I
II
I","E

II
IMI","I
III
H
I

III
III
II
l
III","II
I
III
III","II
II","II

I
I
III
II
IIi
I.","II
II
II
f
1","IJ
ll
I


y- I
III
I
iI
R
II
II
LA BELLE","I
I
II
II
H
III
I
II","1I
II
I

1
I","I
I
III
IL","II
III
I
II

L
 t'
L","II
iII
II","II
I
II 
I1","II
II
II 
IA","I
I
IIl
III
II
I
IW","csS

II
III
e
III
G
II
I","I
III
IMI
II1","tES
E
I

I
III
I1
III
II


aI","III

I
I
III","A

I
1

II
II","IW

i.
I
IIIE","II
I
I.

II

I
II
I","II
II
I","A
I
II
II
II1
I
N","II

I
III
Y


SS","II'
II
II

I","I
I
F

H
III
r

t

Un","I
iII
aI
1","I'
II
l
R",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Parties,ES,cac:=-esa-e,ILes,Tes,Sexes,leves,cap des Monts-Peles,lugubes,Est,Fauves,La9ues,Ves,- Jonesle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Ocean,de l'Ocean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Pardon,- Pardonne,pardon,A4,e’,Bernardo,Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,sardaigne,Joignez,- Signe,- M',z=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Palmette,Palma,remettez-le-moi,batte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PL,pliska,Plut,souple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,mediocre,curiosit,opinion2,io,Ioten,Albion,Ohio,Ioi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Beauregard,"chateau de
Beauregard",beaut,A Beauregard,chteau de Beauregard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,bElle-Riviere,l3elle-Riviere,Belle-Riviere,BElle Riviere,Ilelle-RIviere,Belle-Rivire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,ys,7I,ghana,Alleghanys,rivieres Alleghany,monts Alleghanys,Alleghany,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1'Il-de-ben,1'Il-de-But,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,moyen8,Voyez,Voyons,Fuyez,YE,Soyez,Croye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Demohl,mademoiselle,mademoiselle 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,bete france,de france,roi de france,de France,france,la France,"beto
france",roi de France,France,"SE

F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,LU,Luy,uY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Pace,Pas,passee,pas7,Pa-,- Pas,"W
A pas
l


E.
2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,BR,Bre,s:;cre,cumbree,scabrex,breche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,E'i.I,E',".E',1",ce',galerie',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Andre,reponde,repondre,satnis reponse,Londres,pondit Ward,Reviendrez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Dieul,Pardieul,Dieppe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"E
E
EN
EEE","H
E","E
E
E","S

E
E","Is
Es
e
’il
¬
J
eoene
vie
vie
pape","E
E
E
E","I
E
EEE","H
E
D
FI","E
E","2E
E","R
St
XIIE
E
I
 WN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,.EN,.EA,wea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,cc===z,cccp,Cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"9

UI",A minuit,UI,Inuimurai,.Puis,Ennui-a,-1Louis,auixyeux,SUI,lui7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,H.LILL,Jullouville,che do Villes,Eparpille,lille,Veuillez,.muraIlLe1LL,M. de Villes,ma lille,Castille,li’lille,Lile,lIlle,LIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,segment7,coinpartimentsau,opiniit6ment,Ments,Vants,comment7,Vraiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,GEI1FROY,GEL11FROY,GEFROY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,le soldat',Le soleil,desole,gand soleil,soleil,regardez le soleil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"E
I
I

R","I
I
L",".L.

I
I
DE-","I
I
i1
I
LI","E

I
I
I
I1","I
I
I","H
I
I
A","P
I
W","I
I
I




i1
I
I
I

I","I'
t.
I
I
I
I
I
I","HE
I
I
l","I
I
I
L","I
I
Ma
 IH","I
I
I
I","IER
I
U
I
II","I
I","I
I
E.","RI
I
F","I
I
I
.I","I
I
H. 
I","KI
I
1",".:AI
i
I","I
I
t","II
I
I
I
I","I
I
II

I
H","asIE

I

T
I
I
IRG","I
I
t' 
h","I
I
I
I
I","YI
I","I
I
II","ILI
I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Serves,miseres,reserve,cesSeront,desert na cela,Observez,desert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,tinais,Tinais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,helas1,HE,HEl,"HEl
I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Ilibustier,tibus,IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,trompes2,Apes,apes-midi,Apes ue,pese,G,alpes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,rale-www- terre+kkisaisi,Ois,Agis,Is,"IS

LU",E IS,- Suis,Sans-Piste,whiskey,Sois,IS,"is
E

S

D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Laisse,aisaiaraar,sE.,pise,Aise,sais,Desormais,Localise,Laissons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,amaree,pepare,.r.rm-areva.5,eparee,peparee,repara,separes7,Emparer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,du Nord,l'Amerique du Nord,Amerique du Nord,"Amerique du
Nord",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Yl,.r-3-r-,r-.:s,r-.:s -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,profitera-t-il7,hesiter,hesita,resister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,chevaux7 Cependant,tche,Cherche,Riche,cher-,Cher,c.,chef7,"leude cheri
de",Couche,cher,lche,Cherie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,gs7,N¬,Gsfi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,hG,As,a-- Hlasl,aS,ecrasez,Asie,Bas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"IB

II


R","I

ii","HEE

III
ULN","I

III",", - II","IIIII

I&","II

II' 

f


II","II

II","II 
III","H

II

sI
B","III

R
II

-'


1GL","EIG

III","II

I","LIII

I","H

III
HI","I

III
H","G

III


S
f
IE","11

Ii",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,- Reproduction nierie,Lh,Seduction,Keproduelion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"S

M",S A,"J

Ai","H

A",ILes Indiens auxiliaires des Anglais,"S

SS","m

A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,A bientt,"7
- Rien",BIen,gibier1,Bien-Aime,miens,Va-t'en,croyez-le bien,Combien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"WI
 
I

t","SL

I

IM","I

I","H

I","MI

IJ","F

I

2","I

'N","pei

I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,A60,A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,- Partons,Notons,rotondo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Conteneur,maintenant7,contentez,- Tenez,mantes,Consentez,.'ardente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,hha,HH,"W
HH3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,LLCLL,LLL--,2P-LL,"II

II
t
ET
III
III

LIILLLLILLLLLLLI
Le Canadien",LLLB,193,LLC,WC,7LL,A LLZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,- Nullement,serpentine,- Completement,dementi,entieement us,demeuxez,Froidement,"opinion2
- Pas entierement",- Recensement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"A

t
D-
S
H",".:F'

r
S
I","LIl

Is
SGE


A","I
S
G","S
219","S
S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,.:,.:a-,LL.:5,.:Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,molie,guiers,ecoliers,j6premiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Contre-,Reconnue,CONTRECOEUR,Contrecur,Contrecoeur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,vaudou,Anjou,Jo,jours;.,jou,Joue,jou o,anjou,Jouons,e,Y7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,parc de la comtesse,"II
vOYAGE DE NU1I",comtesse de Melvalle,Maleval,comtesse de Maleval,comtesse de MIa-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,audacieusemenl,Furieuse,meuse,- Curieux,rieur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"L,;.",E;.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,NE,lUne,lune,Boune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"Y-:s
i
1I",Y-:s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"II

H
I","II

H","II

aa
A-","I

H","I

H
2R
S",Ln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"II
I
M","N

III
I
I
I","II
I
IMA","mer

II
I
1","II
I
I
I.
I.","II
I
E

E","Bl
I
I
II
I","II
I
I","II
I
II
I","II
I
1A","II
I
vI

 U","II
I
IL","II
I","II
I
H
I
I
IIII","II
II
I



II

I
I
I
I","II
I
I
I
III
F","mer

II
I
1
I","II
I
A","II
I
Il//IH","II
I
A.

I","II
I
II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,sansdoute,- Ajoutant,Ajoutez,O,Eeoutez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,rOuges,Peaux-rOuges,Peaux-louges,Peaux-Rouges,Peaux-Rouges2,Peau-Rouge,Peaux-Rouges epa-,Rouges,Bordeaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"NL


E",- E,"E

E","aſ e e des

aa
eee

aa","Le

E","E


E",5E E,"zZ
E

I","Ee de e ines
daa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,point dufour,fourr6s,Pourrez-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Pelage,EDEl,Enveloppe,Agel,"El

B",Belge,"El

l
E",El,Appel,jela,sele,el,Tels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Faiblesse,Instables,diables7,Semblables,accables,I2,"diables7
- Plutot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,bErge;mais,bErger7,Bergen,Nergie,Berge,bErger,bErge,ge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Acceptez,Accepte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,"fleuve
Saint-Laurent",fleuve Saint-Laurent,Le Saint-Laurent,Saint-lAurent,le Saint-Laurent,Saint-Laurent,terre Sainte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,wampums,tompei,MP,sur-le-champ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,KI,"mET
R

KI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,"P-- -
I",i-,"I1 -
I-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Pſ,nir,Dire,GEIR,iir--,Ir,SiRI,"I'
IR

N1

E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,-ce2,n1,ESt-ce,est-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
