cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64
43,AVec,Avez,Savez,savez-vous7,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,z-,.-Z-,z-7,z-L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Clar,lac lEri,LAC,Enlaces,LA-::c,vacue,193,larzac celtique,tfaconla,Placee,Lovelace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"6

II
H
H

I","II
H
H","W
H","I
H
MG","I
H
-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Losque,Risque-Tout,lOrsque,Vue,Quebec,Masque,Alos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Y7,TIT,Titres,QUel moitI,piti,amiti6,Dit,Petit-Fort,Itt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"I
I
Ma
 IH","I
-
188","KI
I
1","I
I
I




i1
I
I
I

I","asIE

I

T
I
I
IRG","I
I
I","I
I
I
I","I
I
H. 
I","Bl
I
I
II
I","HE
I
I
l","YI
I",".:AI
i
I","I
I
t' 
h","H
I
I
A","I
I
E.","Y-:s
i
1I","E

I
I
I
I1","R
I","1I
I.I","H
I","II
I
I
I.
I.","E
I
I

R","ILI
I","M
I","P
I
W","I
I
i1
I
LI","I
I
I
.I","I
I
I
L","I
I


I
K
Hi
I","I
M","I

I
I.
I
I",".L.

I
I
DE-","I'
t.
I
I
I
I
I
I","I
I
t","I
I","II
I
I
I
I","I
I
I
I
I","RI
I
F",,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Combien,"7
- Rien",BIen,¬¬,Bientot,Bien-Aime,miens,C'0taient,gibier1,croyez-le bien,A bientot,Va-t'en,bientot,A bientt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,lejeune,Lejeune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,pese,alpes,Apes ue,trompes2,Apes,apes-midi,cap des Monts-Peles,Appel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,uY,LU,Luy,Plut,Guyenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,LIL,ILIY,IY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,IL1,L1,L1y,g3i,l1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,gs7,Gsfi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,rs,Rs,lors7,vers6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,II.i1,I1,I11,I1ets,II1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Localise,Aise,seuil de la maisonnette,sais,Desormais,denise,pise,Anglais,ignorais,sE.,Laisse,Fugais,Fangais,Laissons,aisaiaraar,Faneais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"F

I

2","MI

IJ","N

I

i
5
R","H

I","I

I","HR

I","SL

I

IM","pei

I","WI
 
I

t","I

'N",I G,"I'

I","I

H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,audacieusemenl,Ments,Lamende,Froidement,- Nullement,coinpartimentsau,dementi,demeuxez,Vraiment,- Recensement,entieement us,"opinion2
- Pas entierement",opiniit6ment,segment7,serpentine,Franchement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"E1

G
N
La",E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,H2E,H2,JI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Riviere,Belle-Riviere,Belle-Rivire,Ilelle-RIviere,la Riviere,l3elle-Riviere,BElle Riviere,bElle-Riviere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,.EA,.EN,wea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,ain,Tinais,Soudain,tinais,vains,Inuimurai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Caen,saecades,Ca,benfica,ca,J',AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,r1l,SURPR1SE,E,R1V1LE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Poitou,toldos,toul,tournai,oula,beto,le tour,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,LG,Malgr,malte,gr,"LG
maL",malgre,Palma,Hidalgo,Algonquins,Malgre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Fatigue,Iatigues,guer-,"2-,-GiGU-G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Rendez,Accordez,EG,Regardez,regardez,rEgardez,- Regardez,Bigar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Mort,Or,New-York,Nord,born,Lignorez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,WC,It11,t1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Emparer,s:;cre,declarer,Renversant,- Arriere,Verdure,Angleterre,tereu,exageree,rer,querrezla,PIERRE,.-rer-,Veuiueree,jurerais,jespere,resister,deierre,frontiere,A terre,j6premiers,Considerez,Claudere,Penserez,Terence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,i arrete,dilficulteset,Totem,sete,tete,batte,Palmette,etendus,remettez-le-moi,repete,anxiete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,A6,A60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,baie des Marmousets,comtesse de Maleval,"SE

F",comtesse de MIa-,"II
vOYAGE DE NU1I",comtesse de Melvalle,parc de la comtesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,malle la Couleuvre,la Couleuvre,"de
Couleuvre",Couleuvre,La Couleuvre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Ehl,lEh,paule,etle,lectrifi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,5E E,"REESE

E","E


E","aſ e e des

aa
eee

aa","Ee de e ines
daa","Le

E",R,- E,"E

E","N

E","NL


E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,S,wampums,MP,tompei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,chteau de Beauregard,Createur,A Beauregard,cap du Chat,"chateau de
Beauregard",au Havre,beaut,parc du chteau,AU CHATEAU,Bordeaux,Beauregard,chateau de Malevil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,stupetaclion,EFFeT,Etats-Unis,lEtat,etat,tad,etablir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,ecoliers,LItt,LIv,LI,molie,"LI
S",Keproduelion,"LI
E",Julie,LIi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Creole,Leona,Lona,Leonal,GG,A'L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,I4,lUne,Boune,lune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,tu6s,Vants,Tuant,Anticorps,degualannt,Fixant,anti6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Parfait,- Pardonne,Pardieul,pardon,Yl,Ward,Pſ,- Partons,pondit Ward,Pardon,Bernardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1'Il-de-But,1'Il-de-ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"H

A",ILes Indiens auxiliaires des Anglais,"J

Ai","S

M","S

SS",A7,S A,"m

A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,moyen8,YE,Soyez,Voyons,Voyez,Fuyez,Croye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Necessite,fort Necessite,desert na cela,fort Ncessite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,du Nord,281,"F

U


u",Amerique du Nord,"Amerique du
Nord",l'Amerique du Nord,perdula,golfe du Mexique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,alliees,iTalie,hospitalit6,Italie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,r-.:s,r-.:s -,.r-3-r-,Y-:s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,.:a-,.:Z,LL.:5,.:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,A1,a1,.A1,.aT,.A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,cruaut,Haut,loyaut,loyaut6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"mer

II
I
1","II
I
vI

 U","I
iII
aI
1","I'
II
l
R","tES
E
I

I
III
I1
III
II


aI","II
I","mer

II
I
1
I","I
I
II

I
H","I
I
IIl
III
II
I
IW","II
I
I.

II

I
II
I","1I
II
I

1
I","II
I
1A","IJ
ll
I


y- I
III
I
iI
R
II
II
LA BELLE","II
I
M","II
II
II
f
1","II
II
I","I
III
IMI
II1","II
LE OR RENCES1TE
IL'","II
III
I
II

L
 t'
L","II
I
H
I
I
IIII","I
I
III
IL","N

III
I
I
I","II
I
II
I","II
I
IL","A
I
II
II
II1
I
N","I
II
I","II
I
Il//IH","II
I
IMA","II
I
A","IER
I
U
I
II","IW

i.
I
IIIE","II
II
I



II

I
I
I
I","II
I
I
I
III
F","II
I
I","II

I
I
III
II
IIi
I.","II
I



II
IR
I","csS

II
III
e
III
G
II
I","II
I
A.

I","II
I
II","u5
L
I
aa
IIILLE
L","I
I
II
II
H
III
I
II","I
I
Et
IV
IIII","I
I
II","II
I
E

E","I
I
F

H
III
r

t

Un",,,,,,,,,,,,,,,,,,,,
101,Peaux-louges,rOuges,Peaux-Rouges2,Peaux-Rouges epa-,Rouges,Peaux-Rouges,Peau-Rouge,Peaux-rOuges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,LLC,A LLZL,"II

II
t
ET
III
III

LIILLLLILLLLLLLI
Le Canadien",LLE-LLs,LLL--,LLCLL,LLLB,2P-LL,7LL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,E'i.I,E',".E',1",ce',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Londres,Reviendrez,satnis reponse,Andre,Pourrez-,repondre,reponde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,-ce2,Ocean,de l'Ocean,soci6t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,bErge,bErger7,LEr-L,Nergie,Bergen,Canadien bErger,Berge,bErger,Er,alger,bErge;mais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,I2,G,L2namur,Am-,L2,amour-popre national,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Pros-,chalutier du proscrit.l,Proscrit.-,Le Proscrit,Proscrit-,Proscrit,moscou,curiosit,Prosoit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"I
L
lE
C
Aa","I
L
S","I
I
L","W
L","rnn
L","E


I
E.
LI","E
L","I
L","I

I
t
L


N","S
L

I
EFE","II

T
L
I
LI","I
12I
L",7I,tm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,G¬,E7,faix,faire7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,amaree,.r.rm-areva.5,separes7,repara,eparee,pepare,peparee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,- Faites,hospilalitel,nzz:35-,appiopiees,cupidit,profitera-t-il7,Sans-Piste,Pite,precipitee,Ponce-Pilate,hesiter,Pittsburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,.--,.-a:-x,L.LL.--,L.--,.-2,"--g,.s-I.-r",.-L.,L.zR,"t-.----:sxereeEesaa-e
-
--s-.-`.-
'
l",de'---m-L.-r-.L.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"II

E","I

E","IM
i 
E","II

H
I","E
II

E","R
St
XIIE
E
I
 WN","I
I




L.I

E","L

E
II","E
I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Cincinnati,IN,".ing;:,i",Int,foins,inou,hein,MIn,L1IN,in,LIN,grinca,Ouie-Fine,opinion2,chine,A minuit,Infect,A%iNVit,seine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,B,sardaigne,haron Armand,Royal-Marine,Ferney,marne,Marque,Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
