cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43
15.0,FORT DUQUESNE,fort Duquesne,Fort Duquesne,Chichimeques,fort dUquesne,Duquesne,"fort
Duquesne",fot Duquesne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,Permet,Terme,"mET
R

KI",metz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,Quels,QUel moitI,Tels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,tompei,trompes2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,Ponce-Pilate,Nonce,hospilalitel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,Canadien,Canadien bErger,Canada,Canadiens,Le Canadienjelta,Canadienne,Cana-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,cupidit,Dinwidie,Dit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,AVec,vecu,Camilleavec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,Terence,Sence,tereu,Providence,Point de diffrence,"II
LE OR RENCES1TE
IL'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,"E1

G
N
La","rnn
L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,apport6e,Rapporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,indiens,Indien,Indiens,Indies,L'Indien,Lesindividus,L'indifferenee,Tudient,cinIndiens,pseudo-Indien,indien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,.2-,".2-
-
U
2


E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,".-a.=---af
El
E

IEEE",--a,.-a:-x,"zZ
E

I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,iiicceiriy;e-,e:-r-les-Ziiciiiaii,SiRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,sachem,sachet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,querrezla,PIERRE,deierre,piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,"S
 E

PAR

L

I.
I
III


SI
A","I
III
H
I

III
III
II
l
III","II
I
III
III","II

I
I
III
II
IIi
I.","I
I
II
II
H
III
I
II","II
IIlIII
III","I
I
III
IL","II
III
I
II

L
 t'
L","II
iII
II","IIIIIl
II

IIi
I
I
LIL
I
ET","I
I
IIl
III
II
I
IW","csS

II
III
e
III
G
II
I","I
III
IMI
II1","tES
E
I

I
III
I1
III
II


aI","III

I
I
III","IW

i.
I
IIIE","W
III
III",".III
II","II
III","II

I
III
Y


SS","I
I
F

H
III
r

t

Un","I
iII
aI
1",,,,,,,,,,,,,,,,,,,,,,
33.0,Tais-toil,Vois-tu,g;gEE-e,Vois,Es-tu fou,Crois-tu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,birmanie,NiE,Virginie,chitaignie,gcnie,Nieux,garnier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,Le Rend-bLeu,Le Renard-,Renard-Bleu,rEnard-Bleu,Le Renard-Bleu,Comprenait,Renard-Ble,Renard-Blou,Renard-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,Kouba-Hande,Kouba,loua-Hande,Kouba-lande,louga-Hande,Kouba-Hand6,Joua-Hande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,degualannt,- Halal,Blancs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,coinpartimentsau,Parties,Ments,Martinez,Vraiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,caractee,grace,Pace,Grand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,terrass6,Rassure,ecrasez,verrasl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,crmonie,Lan crmonie,crmonie indienne,mone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,"P-- -
I","I1 -
I-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,Angle,Anglais,Angleterre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,"E

E",cccp,"Le

E","E


E",5E E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,sardaigne,Joignez,- Signe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,".-:---,C-",L:--a,CL:---,r7:--,s:--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,baron de Grigny,Grigny,Carignan,Gigny,grinca,M. de Grigny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,de-L,i%--i-de-le--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,Iatigues,"2-,-GiGU-G",Fatigue,"S

SS",La9ues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,"HEE

III
ULN","I

III","II 
III","EIG

III","I
I

III","H

III
HI","I

III
H","G

III


S
f
IE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,role,dole,i Rollon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,teil,"J

Ai",NEIl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,Pelage,Agel,exageree,Veuiueree,severe,free7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,".L

I
z
2.-",ME-,"D

I
aY
Ih

I","H

I","II

I
aT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,Pardon,- Pardonne,pardon,Bernardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,ollert,lac lEri,mollet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,Agile,Agis,ILes,Lile,Sicile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,Anjou,anjou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,cac:=-esa-e,Palmette,Palma,remettez-le-moi,batte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,Beauregard,"chateau de
Beauregard",A Beauregard,chteau de Beauregard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,"LIl

Is
SGE


A","S
S",E IS,"is
E

S

D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,Voil,voila,ILA,toil,Voili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,bElle-Riviere,l3elle-Riviere,Belle-Riviere,BElle Riviere,Ilelle-RIviere,Belle-Rivire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,"de
Couleuvre",Couleuvre,paule,malle la Couleuvre,Coulon,Leu,au Havre,la Couleuvre,La Couleuvre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,teni,Ioten,Totem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.0,1'Il-de-ben,1'Il-de-But,Il-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,rEgardez,Regardez,- Regardez,regardez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,E'i.I,"1A
I.I",II.i1,"1I
I.I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,rOuges,Peaux-rOuges,Peaux-louges,Peaux-Rouges,Peaux-Rouges2,Peau-Rouge,Peaux-Rouges epa-,Rouges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,"Z
-
A","CH

e2L.
x
-
r","I
-
188","I
A.,
-
300
x---i",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,Guyenne,Vienne,Ennui-a,Menne-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.0,lUne,lune,Boune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.0,Demohl,mademoiselle,mademoiselle 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,loyaut6,loyaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.0,bete france,de france,roi de france,de France,la France,roi de France,"SE

F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.0,--z--,.-Z-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.0,"A

t
D-
S
H",".:F'

r
S
I","I
S
G","LI
S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.0,haron Armand,Amand,gand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.0,Bois-rappel,Appel,s-r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.0,Bre,cumbree,scabrex,breche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.0,DE.-',a-.-,Le.-.-.ux.goth,-7-.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.0,seine,hein,Ouie-Fine,chine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.0,Andre,reponde,repondre,satnis reponse,Londres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84.0,Dieul,Pardieul,Dieppe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.0,Faiblesse,Instables,etablir,Semblables,accables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86.0,"E
E
EN
EEE",.r-3-r-,"E
E
E","S

E
E","E
E
E
E","I
E
EEE","E
E",.:a-,"2E
E","R
St
XIIE
E
I
 WN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.0,Louisiane,-1Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88.0,Pite,precipitee,Cecije,meritee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89.0,H.LILL,Jullouville,che do Villes,Eparpille,lille,Veuillez,"u5
L
I
aa
IIILLE
L",M. de Villes,ma lille,Castille,li’lille,lIlle,LIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.0,C'0taient,A bientt,A bientot,Bientot,bientot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.0,GEI1FROY,GEL11FROY,GEFROY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92.0,Aa-AP4,ra-aZ-iaaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.0,chalutier,Ilibustier,tibus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94.0,le soldat',Le soleil,gand soleil,soleil,regardez le soleil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.0,mediocre,s:;cre,Creole,Createur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96.0,Lamende,Rendez,Prends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.0,L2namur,jura,A minuit,Inuimurai,.muraIlLe1LL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.0,toldos indiens,ILes Indiens auxiliaires des Anglais,Les Indiens,toldos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.0,helas1,HEl,"HEl
I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,Apes,apes-midi,Apes ue,pese,alpes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.0,Pas,passee,pas7,- Pas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102.0,aisaiaraar,miseres,pise,Aise,sais,Faneais,Localise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.0,sonia,Bigar,Niagara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104.0,amaree,pepare,eparee,peparee,repara,separes7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105.0,du Nord,Amerique,l'Amerique du Nord,Amerique du Nord,"Amerique du
Nord",Nord,l'Amerique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106.0,"aſ e e des

aa
eee

aa",S A,"II

aa
A-","Ee de e ines
daa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107.0,BEI.LE IVOiRE,savoir7,bravo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108.0,Venez,- Tenez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109.0,francais,Francais,Franais,"fRancais7
- Oui",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110.0,"IB

II


R","I

ii",", - II","43 ii

I
E","II

II' 

f


II","II

II","H

II

sI
B","I

II
III


II
Y","II

I","LIII

I","II

I
LL","H

II

II
I

I

r
II","11

Ii",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111.0,Voyons,Bonsoi,colons.-,bon7,Revenons,Sois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112.0,A-r,aaa-r:- cCZCZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.0,profitera-t-il7,cria-t-,Va-t'en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114.0,IIR,iir--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115.0,Cherche,cher-,Cher,"leude cheri
de",cher,Cherie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116.0,LA HELLlE HR1VILlE,LA HELLlE,R1V1LE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117.0,- Reproduction nierie,Seduction,Keproduelion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118.0,"II

H
I","H
I","II

H","I

H","I

H
2R
S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119.0,IV1EE,desole,resolu,Desormais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120.0,Pa-,BIen,gibier1,Bien-Aime,croyez-le bien,Combien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121.0,"WI
 
I

t","SL

I

IM","I

I","MI

IJ","pei

I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.0,repliqua Angeles,Angeles,- Angeles,ANGELES,angeles,Angela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123.0,- Partons,Notons,rotondo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124.0,Conteneur,maintenant7,contentez,Consentez,.'ardente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125.0,LLL--,"II

II
t
ET
III
III

LIILLLLILLLLLLLI
Le Canadien",LLLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126.0,- Nullement,serpentine,- Completement,dementi,entieement us,demeuxez,Froidement,- Recensement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.0,r-.:s,r-.:s -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.0,"U
III","aI
II
IIII","I
IIII","II
E

I
IIII","IlEI
E
ET
DE
L
UE
IIIIY","I
H.
2R
---a-

IL
III

aI","I
I
Et
IV
IIII","MI

IAl
IIII

=FI
II","II
IIII",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.0,Lejeune,lejeune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130.0,bErge;mais,bErger7,Bergen,Nergie,Berge,bErger,bErge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131.0,Considerez,vaudou,Claudere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132.0,molie,guiers,ecoliers,j6premiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133.0,Opossum,resume,coStume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134.0,Contre-,Reconnue,CONTRECOEUR,Montreal,Contrecur,Contrecoeur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.0,- Abandonne-les,abandonn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136.0,audacieusemenl,Furieuse,meuse,- Curieux,rieur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137.0,benfica,beni,dilficulteset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138.0,jours;.,jou,Joue,jou o,Jouons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139.0,"W
H","W
HH3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140.0,"Y-:s
i
1I",Y-:s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141.0,"II
I
M","N

III
I
I
I","II
I
IMA","mer

II
I
1","II
I
I
I.
I.","II
I
E

E","Bl
I
I
II
I","II
I
II 
I1","II
I
I","II
I
1A","II
I
vI

 U","II
I
IL","I
I","II
I
H
I
I
IIII","II
II
I



II

I
I
I
I","II
I
I
I
III
F","mer

II
I
1
I","YI
I","II
I
A","II
I
Il//IH","II
I
I.

II

I
II
I","II
I
A.

I","II
I
II",,,,,,,,,,,,,,,,,,,,,
142.0,Haut,beaut,cruaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143.0,sansdoute,- Ajoutant,Ajoutez,Eeoutez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.0,"EEl

HEE","El

B","El

l
E","S

l
A
M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.0,point dufour,fourr6s,Pourrez-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.0,LE6AlL,alliees,alluma,L.aLL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.0,a-lECh,echoue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148.0,-ce2,ESt-ce,est-A,Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149.0,"E
A

D","A

D","A

D
1
1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150.0,chevaux7 Cependant,tche,Riche,chef7,Couche,lche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151.0,"H
E","H
E
D
FI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152.0,"E


I
E.
LI","S
L

I
EFE","I'

I","ii'

I
E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153.0,curiosit,hesiter,hesita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154.0,"II
H
H","I
H
-","6

II
H
H

I","I
H
MG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155.0,Bois-l'ray,"Bois-
Bre",Ois,Bois-Brales,bois-brul6s,du bois-le,BOis-,Bois-Tach,Bois-Brles,Bois-Bre7,bois-but6s,brave Bois-Ble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156.0,hospitalit6,Julie,Italie,iTalie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157.0,Rameau-,Menu-d'O,Rameau-d'Or,hameau-d'O,Rameau-d'S,Rameau-d',Eau-Jaune,rAmeau-d'O,rAmeau-d'Or,Rameau-d'O,leau-d'Or,Rames-d'O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158.0,LA-::c,".,-",".,-::Y'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159.0,nouvelle En,Nouvelle-Orleans,Nouvelle-France,Nouvelle-Hollande,TrOuve,Nouvelle-Orl6ans,Nouvelle-fRance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160.0,Malleval,paallele,halles,Allehany,Alle,lle,Allez allez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161.0,.Puis,- Suis,SUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162.0,malgre,Malgre,Malgr,gre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163.0,Sans-Piste,resister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164.0,siege,Asie,cap Rosier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165.0,parc du chteau,cap du Chat,AU CHATEAU,chateau de Malevil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166.0,"III

R
II

-'


1GL","HEE
II

I
L","E
II

E","L

E
II","II

E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167.0,gonfl,Wagon,"IAGO
E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168.0,Fixant,Vants,mantes,Tuant,anti6,Anticorps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169.0,"II

l","I


L","RI

l
M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170.0,nousle,vOuS.,- Jonesle,inou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171.0,segment7,comment7,Commercy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172.0,Aupres,Presque aussitot,Apres,pres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173.0,veni,Venise,"veni
- A",denise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174.0,"E
L","HR

I","HR

I:E
DE
L

a

g","LI

H
DE
L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175.0,spee,Europe,delicatesse des Europeens,Europeens,europe,lEuropeens,ceurl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176.0,LLCLL,LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177.0,la Riviere,"PRIVIL
-",Riviere,- Arriere,IVIERNE,"RIVIEnE
La",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178.0,alger,Algonquins,Hidalgo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179.0,"fleuve
Saint-Laurent",fleuve Saint-Laurent,Int,Le Saint-Laurent,Saint-lAurent,le Saint-Laurent,Saint-Laurent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180.0,popre,amour-popre national,Jan-Pol,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181.0,Es-la,s-L,Ou'as-lu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182.0,Iouha-,Iouha-Hand6,Mouha-Hande,Hande,Iouha-Hande,Iouha-lande,Iouha,MIkha-Hande,Boucle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
