cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44
24,Duquesne,FORT DUQUESNE,".ing;:,i",Chichimeques,fort Duquesne,fort dUquesne,La9ues,Cecije,Fort Duquesne,"fort
Duquesne",fot Duquesne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Pa-,IWI,Dieppe,Dinwidie,"rnn
L",Enveloppe,Dieul,"W
H",Appel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,BELLE R1YIE,"AI

LA BELlE RIV1LEUR",BELLE R1IER,MELLe R1V1ERIE,l1,BELLE R1VIVRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,s-r,cac:=-esa-e,a1,Ln,IS,A'L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"II

I
I
I","I

i
I","I

I
i",AA,"I

I
I","EI

I
IL",W,"I

I
I
l","I

I
t
L


N","II

I
II
M","I

I
II","I

I
I.
I
I",us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"El

B","El

l
E",QUel moitI,"EEl

HEE",.L-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,de Versailles,Versailles,Renversant,Broussailles,Yl,vers6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Lhches,chef7,LU,lche,tche,Riche,chevaux7 Cependant,sachet,Couche,sachem,IIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,rs,MI,.A2,e,whiskey,tm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,resume,Londres,Titres,LL.:5,Dit,Centres,IL,resister,miseres,resolu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"I
iII
aI
1","II

I
III
Y


SS","tES
E
I

I
III
I1
III
II


aI","II
I
III
III","II
III","I
I
IIl
III
II
I
IW","II

II
t
ET
III
III

LIILLLLILLLLLLLI
Le Canadien","II
iII
II","I
III
IMI
II1","II
III
I
II

L
 t'
L",".III
II","III

I
I
III","I
I
III
IL","S
 E

PAR

L

I.
I
III


SI
A","IW

i.
I
IIIE","II

I
I
III
II
IIi
I.","csS

II
III
e
III
G
II
I","I
III
H
I

III
III
II
l
III","II
IIlIII
III","W
III
III","I
I
II
II
H
III
I
II","IIIIIl
II

IIi
I
I
LIL
I
ET","I
I
F

H
III
r

t

Un",,,,,,,,,,,,,,,,,,,,,,
35,Allehany,Allez allez,Alle,paallele,halles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,- Yankees,appiopiees,"REESE

E",EEs,y.,"EEs

HGI",rreceesee-cc;cc;c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"oi7
- Damel","7
- Rien",Amel,El,tad,Och,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Sommes,nzz:35-,Hommes,la somme,Sommes-,Lhomme,Femmes,Commercy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Rendez,Lamende,c0,Prends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"I

I
I

Ii 1","H
I

II
I
I

l

I
I



I
II","II

21I
I

.2",".E

I
I
 r T
r-cela5-F-F",L1,Rs,".l

II
DE

L
I

LEE


III

i
I
2.A","I
I

I.","I
I


I
K
Hi
I","I
I




L.I

E","El

B
I



h E

I
I
I
I1
II
II1

DE

RE

I
MI

I
I



ET

1
IL
A

L

Il


A
M
A
 H



  I


MII","II
I

I
II

II1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,C.L:.-'---etre,Prc,tre,Tre,notre cote?1,samaltresse,extreme,IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,ELLe,LA HELLlE,selle,ELle,Quelles,EFFeT,E1,BIELLE,luuelle,lExcellenll,Telles,R3ELLE,Celles-ei,lle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"S
219",BOis-,"Bois-
Bre",du bois-le,Bois-rappel,Bois-Tach,Bois-l'ray,Ois,.-2,Jan-Pol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,IN,LOups,souple,Ca,lout,salou,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"IM
i 
E","F

U


u",Caen,"M
I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,N-,Iouha-lande,Iouha-,Iouha-Hande,Iouha-Hand6,MIkha-Hande,Iouha,LLCLL,Mouha-Hande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Bisons-Hurons,Hurons,- Ariverons,Huron,Loups-Hurons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,jou,jou o,Joue,Anjou,jours;.,MP,anjou,Jouons,- Ajoutant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"RIVIEnE
La",Riviere,- Arriere,la Riviere,IVIERNE,Ioi,"PRIVIL
-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Parisien,Paris,merisier,"W
HH3",Alos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,gand,Iouda-VIande,abandonn,wampums,haron Armand,Andre,L6on,Amand,-F,brandir,Grand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"HR

I:E
DE
L

a

g","LI

H
DE
L","HR

I","E
L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,J1,Losque,Risque-Tout,s-3,lOrsque,io,Quebec,Masque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,A LLZL,cccp,"A

L",N¬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Combien,BIen,Bien-Aime,n1,".E',1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,5E E,"E


E","Le

E","E

E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Vie,Reviendrez,avie,YI,1(0,H1V1VIE,"Is
Es
e
’il
¬
J
eoene
vie
vie
pape",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"II

II",.:a-,"II

II' 

f


II",", - II",lugubes,"II'
1I


M","IB

II


R","H

II

sI
B","11

Ii","I'

I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,HEl,"HEl
I",helas1,lectrifi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,chalutier,H2E,Plut,frontiere,Ilibustier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"I
-
188","Z
-
A","CH

e2L.
x
-
r",el,Wi,".2-
-
U
2


E","I
A.,
-
300
x---i",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Pros-,chalutier du proscrit.l,Proscrit.-,.-a:-x,Le Proscrit,Proscrit-,Proscrit,moscou,Prosoit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,pese,alpes,WC,trompes2,tompei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Lh,Verdure,rideau de verdun,perdula,J',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Apes ue,Apes,apes-midi,.G,"I
M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Merci,percut,crP-erc r;-,Aewerccr-,Bas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,LLE-LLs,2P-LL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,lens,fense,- Recensement,Penserez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"MI

IJ","I

I",YE,"pei

I","WI
 
I

t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Fauves,Ves,L.zR,leves,AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Froidement,- Nullement,dementi,- Completement,entieement us,"opinion2
- Pas entierement",--'1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"I'
II
l
R","I
L
lE
C
Aa","I
L
S","I
L","II

T
L
I
LI","I
12I
L",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,eC01e,Belle-Riviere,Belle-Rivire,Ilelle-RIviere,l3elle-Riviere,BElle Riviere,bElle-Riviere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,ILes Indiens auxiliaires des Anglais,indien,Indien,cinIndiens,toldos indiens,Indiens,Tudient,miens,indiens,Lesindividus,L'Indien,Tiens,Les Indiens,L'indifferenee,pseudo-Indien,Indies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,LLL--,LLLB,aA,ULL-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,tereu,severe,Terme,jespere,Claudere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,I2,piti,amiti6,s--,A60,lors7,Pite,precipitee,-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Eu,r1l,5I,Ii-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,verrasl,ecrasez,KI,Rassure,I G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,E;.,.C,IIl,Iil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,IL1,"fRancais7
- Oui",Francais,L2,soci6t,francais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"II
I","A

I
1

II
II","1I
II
I

1
I","IJ
ll
I


y- I
III
I
iI
R
II
II
LA BELLE","II
fleIk'
eD
4","II
II
II
f
1","II
II
I","II'
II
II

I","II
-'","II
I
II
I","N 

III
II
2i","II
E","A
I
II
II
II1
I
N","I
II
I","II
II","II
II
II 
IA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,ra-aZ-iaaf,"zZ
E

I",".-a.=---af
El
E

IEEE",E IS,"is
E

S

D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"II

I",.l,g;gEE-e,"LIII

I","II

I
aT","D

I
aY
Ih

I","43 ii

I
E",IW,--z--,"HEE
II

I
L","II

I
LL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,GL,Is,Cincinnati,L1y,Fatigue,Iatigues,guer-,IV1EE,R,"2-,-GiGU-G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,malle la Couleuvre,la Couleuvre,"de
Couleuvre",gs7,Couleuvre,La Couleuvre,paule,oula,Leu,ce',Coulon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,malte,"LG
maL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,I5,t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,angeles,Angeles,.-Z-,"W
L",Angela,ANGELES,repliqua Angeles,- Angeles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Revenons,Bonsoi,Voyons,Sois,O,colons.-,Notons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,i arrete,sete,tete,etendus,repete,anxiete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,.L,LG,I1,- Signe,sardaigne,besogne,Ward,- Gueusard,Joignez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,- Heiu,cupidit,hein,hEIDI,"hEIDI
El
DE

H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,comtesse de Maleval,comtesse de MIa-,"II
vOYAGE DE NU1I",comtesse de Melvalle,parc de la comtesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"F

I

2","II
II
E.

I

I





I.","N

I

i
5
R","SL

I

IM","LIl

Is
SGE


A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,moyen8,Soyez,Voyez,Fuyez,croyez-le bien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,rFF3r;(Frc,"II

H
I","I

H
2R
S","H
I","I

H","II

H",HE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Eeoutez,Ajoutez,sansdoute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Lan crmonie,crmonie,crmonie indienne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"A

t
D-
S
H",".:F'

r
S
I","I
S
G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,ae-¬,Etats-Unis,lEtat,etat,etablir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,lac lEri,II1ERIE,galerie',I1ets,II1,- Reproduction nierie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Aise,sais,Desormais,Posait,aisaiaraar,Faneais,Eu-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Leona,"c,-",amour-popre national,Lona,Leonal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,S,baie des Marmousets,"aſ e e des

aa
eee

aa",S A,cap des Monts-Peles,"Ee de e ines
daa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,- Pardonne,e-7,Pardieul,pardon,I11,Pardon,Bernardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1'Il-de-But,Il-,-de,i%--i-de-le--,1'Il-de-ben,de-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Y7,saecades,desert,desert na cela,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Nouvelle-France,uY,Nouvelle-fRance,Nouvelle-Orleans,Nouvelle-Orl6ans,Nouveau-,"Nouveau-

I.1
1
I
A
I
M




I

LA BELLE",TrOuve,nouvelle En,Nouvelle-Hollande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,ecoliers,deput,guiers,gibier1,j6premiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,bErge,bErger7,EG,Nergie,Bergen,Berge,bErger,HII,bErge;mais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Carignan,Royal-Marine,Marigots,Vue,Anse-aux-Marigots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,ge,Necessite,lEh,fort Necessite,w`zxmnecec,c1,fort Ncessite,cesSeront,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,du Nord,meritee,l'Amerique,Amerique du Nord,Nord,"Amerique du
Nord",l'Amerique du Nord,Amerique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,g3i,s---=-de,--=--=---====-5,cc===z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,stupetaclion,Albion,Ion-,Keproduelion,Seduction,K,opinion2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,DE.-',gr,r-.:s,r-.:s -,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,H.LILL,ma lille,LIL,H2,li’lille,.:,Ih,lille,lIlle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,wigwvm,Totem,Ioten,- Tenez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,mademoiselle,Am-,Demohl,mademoiselle 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Cause,aussilongl,haussa,chaumiee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,L.LL.--,L.--,L.L,de'---m-L.-r-.L.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,metz,"mET
R

KI",Permet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,aaa-r:- cCZCZL,Aa-AP4,uS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,"A
D",caractee,LIv,G¬,Niagara,Bigar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"J

Ai","9

UI",A6,Ohio,C1.-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"II
LE OR RENCES1TE
IL'",Sence,As,Nonce,Terence,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,IEEE=,zEEEEE,Ee-eEeeee,E:.LEEEE,R1V1LE,"I

I
EEEEEEl",LEE22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Tonne,- M',seuil de la maisonnette,garonne,Sonne,- Abandonne-les,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,cumbree,LI,scabrex,Bre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,aS,Franais,Tinais,tinais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Iv,"Y-:s
i
1I",Y-:s,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,batte,Palmette,remettez-le-moi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"S

SS",teni,denise,Jo,beni,I,benfica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Angle,Anglais,Laisse,Laissons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Bientot,C'0taient,A bientot,bientot,A bientt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Ocean,"IAGO
E",de l'Ocean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,coinpartimentsau,Parties,- Partons,Martinez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,I4,Accordez,Regardez,regardez,"H
E",rEgardez,- Regardez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,inou,nousle,ME-,vOuS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Pace,grace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,coStume,querrezla,Agis,PIERRE,piece,deierre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Ennui-a,Vienne,Menne-,Guyenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Parfait,Dire,faix,faire7,Inspire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Avez,Savez,savez-vous7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,z-,ys,SURPR1SE,sur-le-champ,.g-c,chame,BL-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,LEr-L,rer,.-rer-,"--g,.s-I.-r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Creole,dole,desole,smolensk,role,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,accables,"diables7
- Plutot",diables7,Semblables,Instables,Faiblesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Malgr,gre,malgre,Malgre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,hha,"I
E
EEE","E
E","2E
E","E
E
E","R
St
XIIE
E
I
 WN","E
E
EN
EEE","E
E
E
E","S

E
E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Ferney,marne,Marque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,baie d'Hudson,"S
S",sonia,hUdson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Malleval,.EA,Maleval,lui7,Jerusalem,.qu',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,e’,Pſ,sE.,a.-W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,vacue,Sicile,Lile,Agile,ILes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,lEuropeens,europe,Europeens,Europe,delicatesse des Europeens,spee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,.Gi,i-,Serves,Observez,reserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,lHistorique,Quels,larzac celtique,briquet,belgique,trafiquei,Mexique,golfe du Mexique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,.'ardente,Consentez,Conteneur,maintenant7,contentez,etle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Renard-Bleu,Le Renard-Bleu,Renard-Blou,Le Rend-bLeu,Renard-,by God,Comprenait,rEnard-Bleu,Renard-Ble,Le Renard-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"II
E

I
IIII","aI
II
IIII","MI

IAl
IIII

=FI
II","IlEI
E
ET
DE
L
UE
IIIIY","I
IIII","U
III","I
H.
2R
---a-

IL
III

aI","II
IIII","I
I
Et
IV
IIII",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,281,Wacondah,Facon,tfaconla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,-ce2,Est,ESt-ce,P1,est-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,TIT,Petit-Fort,"fort
Rupert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,ILIY,"LI
S","LI
E","ILI
I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,LIN,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,regardez le soleil,soleil,gand soleil,Le soleil,le soldat',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,point dufour,Int,Saut de Montmorency,Point de diffrence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,toldos,Mississipi,Spadassin,Assis,Assassiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
