cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25
19.0,gazette7,Delette,unelettre,Père-,"II

hivEr
III 
Lalettre",- CettE,delre,,,,,,,,,,,,,,,,,,,
20.0,moiselle de Roucy,selle de Roucy,M. de Roucy,Mademoiselle de Roucy,,,,,,,,,,,,,,,,,,,,,,
21.0,etrangeres,Cerberes,vengeraiNi,range,,,,,,,,,,,,,,,,,,,,,,
22.0,dAlbret,Arbre.e,Albret,,,,,,,,,,,,,,,,,,,,,,,
23.0,miains,Ainsi,parc d'Ainsi,chteau d'Ainsi,ainsi-le-Hôtel,,,,,,,,,,,,,,,,,,,,,
24.0,Heudicourt,"maduame
d'Heudicourt",bonheui,Ieudicourt,,,,,,,,,,,,,,,,,,,,,,
25.0,biehi,Ehiol,,,,,,,,,,,,,,,,,,,,,,,,
26.0,demanda,maniat,Normandie,,,,,,,,,,,,,,,,,,,,,,,
27.0,"Coucy ' Y-eut-
ilun possesseur",lunt,"tresses,104",Cosse,,,,,,,,,,,,,,,,,,,,,,
28.0,Arrivee,Navarre,sonarrivee,,,,,,,,,,,,,,,,,,,,,,,
29.0,Mlade-,Made-,,,,,,,,,,,,,,,,,,,,,,,,
30.0,cOurage,Cour,Lanissecourt,Coural,Cour7,"Cour'
Vous avez done oublie",Hennecourt,,,,,,,,,,,,,,,,,,,
31.0,Rendez,jattendrai,dfend,Cedez,tomprendre,,,,,,,,,,,,,,,,,,,,,
32.0,cetle,CHEATLEAU,CHEAU,CHATLEAU,,,,,,,,,,,,,,,,,,,,,,
33.0,chateau,CHATEAU,CHATAU,F0t-LL CHATEAU-,chatelenie,CHATEAU D INON,CIHATEAU,CHAITEAU,,,,,,,,,,,,,,,,,,
34.0,Ursulines,Ursulines de,Bouvines,couvent des Ursulines,,,,,,,,,,,,,,,,,,,,,,
35.0,E irioN.,Sion,sion,"va-
sion","ckaA E IioN.
bas0il `de permissioi",,,,,,,,,,,,,,,,,,,,,
36.0,chavannes,Chavigon,lavie,Chavignon,,,,,,,,,,,,,,,,,,,,,,
37.0,tesl,"importel
- Vous etes un grand enfant",gileltes,mantes 0 es,,,,,,,,,,,,,,,,,,,,,,
38.0,eux;1,Dreux,Eux,,,,,,,,,,,,,,,,,,,,,,,
39.0,Crevecaeur,Heure,colere,oleur,soleil,,,,,,,,,,,,,,,,,,,,,
40.0,savez-Y0,couvet,Trouvez-,trouvez-,trouvezR-,,,,,,,,,,,,,,,,,,,,,
41.0,Sissone,chteau de Sissone,Soissons,,,,,,,,,,,,,,,,,,,,,,,
42.0,Croix-Blanche,Croix-Blantchie,,,,,,,,,,,,,,,,,,,,,,,,
43.0,IISI0I.,bondissaut coile,Biissy,,,,,,,,,,,,,,,,,,,,,,,
44.0,allee,aller-,fallt,Allemagne,,,,,,,,,,,,,,,,,,,,,,
45.0,Nonsieur,Mlonsieur,pensie,messieurs?190 r. c2A E INoy,,,,,,,,,,,,,,,,,,,,,,
46.0,galantin,elana,Lanuit,Clany,,,,,,,,,,,,,,,,,,,,,,
47.0,Gardez,gard,Gardez-vous-en bienl,Rappelez-vousLE,vousaitE,,,,,,,,,,,,,,,,,,,,,
48.0,ecria,crirenl,leerire,,,,,,,,,,,,,,,,,,,,,,,
49.0,Laon f,aon,Laon,,,,,,,,,,,,,,,,,,,,,,,
50.0,jardin des Hlesperides,Monlespan,monL,,,,,,,,,,,,,,,,,,,,,,,
51.0,voilh,Noyon,voila,Voil,,,,,,,,,,,,,,,,,,,,,,
52.0,Francois I,esperance,deFrance,la France,france,de France,Cour de France,lyrannie,C0nnaissance,Providence,,,,,,,,,,,,,,,,
53.0,Aureu,- Tres,surete,Maures,,,,,,,,,,,,,,,,,,,,,,
54.0,Monsei-,monseigneur'e-LE CAZTEAU,konseigneur,,,,,,,,,,,,,,,,,,,,,,,
55.0,lavaitpas repetee,refuset,jetee,lete,tete,,,,,,,,,,,,,,,,,,,,,
56.0,JUS0I1 IlI III,perduelIIIIIIII,II 10III,III0iL.,,,,,,,,,,,,,,,,,,,,,,
57.0,r-----.-.-,- Oih,--- Oui,,,,,,,,,,,,,,,,,,,,,,,
58.0,hOtellerie,elle-mee eontre,belle-fille',ellE,EllE,Elleaimait,tonnelle,- Est-elle,qulelle,,,,,,,,,,,,,,,,,
59.0,HIen-,Ienaimepsbeuu,Bohemiens,Bohemienne,cheminee,,,,,,,,,,,,,,,,,,,,,
60.0,Picarde,Picardie,Picsrdie,- TrèS,,,,,,,,,,,,,,,,,,,,,,
61.0,Mlarie,larmee,terie,,,,,,,,,,,,,,,,,,,,,,,
62.0,autrE,Autre,-Ilfaut,,,,,,,,,,,,,,,,,,,,,,,
63.0,roi pres de mademoiselle,casde,mÊmes,Mesdemoiselles,moiselle,mademoiselle,,,,,,,,,,,,,,,,,,,,
64.0,hte,le chteau,Emi-.LE CHATIEAU,,,,,,,,,,,,,,,,,,,,,,,
65.0,Aizy,Anizy,,,,,,,,,,,,,,,,,,,,,,,,
66.0,Lamethen,Lam-,Bussy-Lameth,Lameth,Maame,,,,,,,,,,,,,,,,,,,,,
67.0,- Ilaura,murmura,jura,,,,,,,,,,,,,,,,,,,,,,,
68.0,beni,Venise,benis,,,,,,,,,,,,,,,,,,,,,,,
69.0,palais de la reine,place auprs de la fentetre,,,,,,,,,,,,,,,,,,,,,,,,
70.0,carioledeM. Ceux-de-Roy,Cour-de-Roy,Coeur-de-Roy,Ceur-de-Roy,,,,,,,,,,,,,,,,,,,,,,
71.0,M. de Bussy,iussy,Eusse,"Bussy
d'Amboise",Bussy,Bussy-La-,Aussitbt,Bussy-Lumeth,,,,,,,,,,,,,,,,,,
72.0,piers,tradition124,traferse,Enfer-,trattre.-,Persistez,,,,,,,,,,,,,,,,,,,,
73.0,melier  Saint-Quentin,sAInt-Jean-d'Ancre,rue Saint-Honore,Saint-Gahriel,Saint,Terre-Sainte,,,,,,,,,,,,,,,,,,,,
74.0,Piehard,chares,chard,Chardu,,,,,,,,,,,,,,,,,,,,,,
75.0,-IIenriettel,Hlenriette,Ienriette,riette,Henriette,,,,,,,,,,,,,,,,,,,,,
76.0,Lassee,passee,Ramasse,,,,,,,,,,,,,,,,,,,,,,,
77.0,sire de Coucy,fete de Coucy,Sire,,,,,,,,,,,,,,,,,,,,,,,
78.0,MIa-,-MIa chre Corcy,Corcy,,,,,,,,,,,,,,,,,,,,,,,
79.0,chose3,aiti,h Joguet,"chosedepuarfaitementdis-
tingue",mentce,,,,,,,,,,,,,,,,,,,,,
80.0,Dieuni,reunion,au-,,,,,,,,,,,,,,,,,,,,,,,
81.0,lavoute,Tout-,--Tout,toul,,,,,,,,,,,,,,,,,,,,,,
82.0,Ceslt,Cest,Grces,,,,,,,,,,,,,,,,,,,,,,,
83.0,s0upconne,faireles,Quedois-jefairedonnez-moivos ordres,dres,,,,,,,,,,,,,,,,,,,,,,
84.0,Mladame,Mludame.1,ladame,,,,,,,,,,,,,,,,,,,,,,,
85.0,Puis',Puisqu,Fiesque,,,,,,,,,,,,,,,,,,,,,,,
86.0,echoue,Rouey,detoue,aoue,Ouest,,,,,,,,,,,,,,,,,,,,,
87.0,--Je,---Je,,,,,,,,,,,,,,,,,,,,,,,,
88.0,CIHATRAU DE,CHATEAU DE PrNo,CHA'IEAU DE P1NON,chateau de Fayel,P1NON,CHATEAU DE P1NON,elleLE CHATEAU DE P1NON,,,,,,,,,,,,,,,,,,,
89.0,Ion-,Fidoncl,weLdon-,,,,,,,,,,,,,,,,,,,,,,,
90.0,HIautefort,- Fort,Rochefort,Hautefort,,,,,,,,,,,,,,,,,,,,,,
91.0,"église'
- Certainement",certainemenl,église',,,,,,,,,,,,,,,,,,,,,,,
92.0,Quincy,quie,equipagcs,Jusquici,,,,,,,,,,,,,,,,,,,,,,
93.0,Mothe-Houdancourt,La Mothe,Mothe,,,,,,,,,,,,,,,,,,,,,,,
94.0,Tours,tour,luil,luitournt,,,,,,,,,,,,,,,,,,,,,,
95.0,blie,lieutenanl-criminel,italie,Liee,,,,,,,,,,,,,,,,,,,,,,
96.0,maine,"cousine ger-
maine",Chapelainf,Fontainebleau,,,,,,,,,,,,,,,,,,,,,,
97.0,etpour,El pourquoif,Jour,Cejour,,,,,,,,,,,,,,,,,,,,,,
98.0,Villers-Cotterets,clle,notrefamille,ieille,yille,Illes,Oreille,,,,,,,,,,,,,,,,,,,
99.0,LL CHAIEAU DE 1 NON,CHAIEAU DE IINON,CAR1EAU DE PINON,CHAIEAU DE PIINON,aLIL CHAIEAU DE PINON,CHAIEAU DE PINON,CHAIEAU,CHAIEAU DB PINON,IE CHAIEAU,,,,,,,,,,,,,,,,,
100.0,jE crois,Dubois,cRois,,,,,,,,,,,,,,,,,,,,,,,
101.0,abbaye de Premontre,Desmonte,Premontre,,,,,,,,,,,,,,,,,,,,,,,
102.0,CATLAU bDE PINON,LU CHRATLAU,Lauzun,ra-LE CATLAU,CATLAU bDE,,,,,,,,,,,,,,,,,,,,,
103.0,sur-le-champ,compagnles,Espagne,Champagne,,,,,,,,,,,,,,,,,,,,,,
104.0,Fiere,Valliere,Laalliere,,,,,,,,,,,,,,,,,,,,,,,
105.0,Rentree,Tonnay-Charente,Tarente,,,,,,,,,,,,,,,,,,,,,,,
106.0,Helasl,Helas,,,,,,,,,,,,,,,,,,,,,,,,
107.0,CHA1EAU,CHAEAU DE,CGHAEAU,CHAEAU,,,,,,,,,,,,,,,,,,,,,,
108.0,Grignan,"chealier de
Grignan",dheritier mile,,,,,,,,,,,,,,,,,,,,,,,
109.0,Sis-,jaMais-,Mais-,aimais,MAis-290,,,,,,,,,,,,,,,,,,,,,
110.0,dehorsne,alors7,,,,,,,,,,,,,,,,,,,,,,,,
111.0,Est,Majeste,geste282,qiestiohher,,,,,,,,,,,,,,,,,,,,,,
112.0,CHATEAU DE INON,E CHATEAU DE PINON,CHEATEAU DE PINON,circonstan-E CHATEAU DE PINON,montre272  LE CHATEAU D PINON,IE CHATEAU DE PINON,Père-120  LE CHATEAU DE PINON,folatre et gra-LE CHATEAU DE PINON,CHATEAU DE PINON,Sire.220 LL CHATEAU D PINON,LI CHATEAU DE PINON,Ls CHATEAU DE PINON,hol-LE CHATEAU DE PINON,CRATEAU DE PINON,F0t-LL CHATEAU- DE PINON,deLE CHATEAU DE PINON,CHATEAU E PINON,gardeE CIATEAU DE PINON,CHATEAU DkR PINON,LE CnIATEAU D PINOM,EE CIIATEAU DE PINON,LL CHATEAU DE PINON,CHIATEAU Ds PINOa,LB CHATEAU DE PINON,lelaine.128 LE CHATEAU DE PIN0N.,Vraiment?LE CHATEAU D PINON
113.0,- lJe,"169
- La",,,,,,,,,,,,,,,,,,,,,,,,
114.0,Lacomtesse,comtessen',c0mtesse,,,,,,,,,,,,,,,,,,,,,,,
115.0,Moyenbrie,Croyez-,Voyez,,,,,,,,,,,,,,,,,,,,,,,
116.0,houx,linterrogea,Carrousel,verroux,verrou,,,,,,,,,,,,,,,,,,,,,
117.0,adresse  Lamhert,ressemblancc,abbe,Abbesse,,,,,,,,,,,,,,,,,,,,,,
118.0,Partez,Veu epars,Parisf,Paris,,,,,,,,,,,,,,,,,,,,,,
119.0,apparemmenl,emeraudes,s0nt tous e Ilouvement,philosophiquemenl,,,,,,,,,,,,,,,,,,,,,,
120.0,messagerl,visage1LE,Yisage,,,,,,,,,,,,,,,,,,,,,,,
121.0,Accoutumee,grace,raccommoda,,,,,,,,,,,,,,,,,,,,,,,
122.0,Coucy,oucy,Roucy,Rou-,RoUcY.,,,,,,,,,,,,,,,,,,,,,
