cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44
27,CHATEAU DE INON,E CHATEAU DE PINON,CIHATRAU DE,LL CHAIEAU DE 1 NON,CHAEAU DE,CHAIEAU DE IINON,CHEATEAU DE PINON,circonstan-E CHATEAU DE PINON,montre272  LE CHATEAU D PINON,IE CHATEAU DE PINON,Père-120  LE CHATEAU DE PINON,folatre et gra-LE CHATEAU DE PINON,CHATEAU DE PINON,CHATEUA D PINON,Sire.220 LL CHATEAU D PINON,LI CHATEAU DE PINON,Ls CHATEAU DE PINON,CHATEAU DE PrNo,chteau de Sissone,CHA'IEAU DE P1NON,CAR1EAU DE PINON,hol-LE CHATEAU DE PINON,chateau de Fayel,CRATEAU DE PINON,CHATEAU DE P1NON,elleLE CHATEAU DE P1NON,CHAIEAU DE PIINON,CHATEAU D INON,F0t-LL CHATEAU- DE PINON,deLE CHATEAU DE PINON,CHATEAU E PINON,gardeE CIATEAU DE PINON,CHATEAU DkR PINON,aLIL CHAIEAU DE PINON,"terre,206  L cHATA p PINoN.",LE CnIATEAU D PINOM,CHAIEAU DE PINON,EE CIIATEAU DE PINON,LL CHATEAU DE PINON,CHIIATSAU D PINON,CHIATEAU Ds PINOa,LB CHATEAU DE PINON,lelaine.128 LE CHATEAU DE PIN0N.,CHAIEAU DB PINON,Vraiment?LE CHATEAU D PINON
28,- Tres,"tresses,104",- TrèS,J',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,savez-Y0,Croyez-,Trouvez-,trouvez-,I',trouvezR-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Nonsieur,Mlonsieur,Normandie,monseigneur'e-LE CAZTEAU,pensie,messieurs?190 r. c2A E INoy,konseigneur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Ion-,E irioN.,Fidoncl,Sion,sion,tradition124,PIo,reunion,weLdon-,"va-
sion",si110,"ckaA E IioN.
bas0il `de permissioi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,IL,luil,sil',soleil,il4e,philosophiquemenl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,dAlbret,Arbre.e,Albret,refuset,LB,alors7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,la22,Laon f,aon,la134,Laon,"169
- La",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Arrivee,Navarre,sonarrivee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,cetle,clle,hOtellerie,jeler,elle-mee eontre,belle-fille',allee,seLE,le330,aller-,ellE,el,unelettre,EllE,faireles,tonnelle,- Est-elle,Rappelez-vousLE,ple,qulelle,,,,,,,,,,,,,,,,,,,,,,,,,
37,adresse  Lamhert,ressemblancc,lavaitpas repetee,Lassee,passee,larmee,laissel,Ramasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,biehi,Eh,.-Eh,Ehiol,dehorsne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,sujels,jE,- lJe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Piehard,piers,Picarde,Picardie,Picsrdie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Ursulines,jardin des Hlesperides,Thurin,Ursulines de,palais de la reine,couvent des Ursulines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,C0te,c0,C09Or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Bohemiens,Bohemienne,Ayohs,cheminee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,beni,m0eN,Venise,dfend,N6is,benis,t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Pa-,I9,ecria,MI,MIa-,-MIa chre Corcy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Villers-Cotterets,tomber332,recerai,colere,Cerberes,Enfer-,Lambertremit,dheritier mile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Lamethen,Mlade-,Lam-,Lameth,Mladame,Mludame.1,ladame,Maame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Inconsequence,grace,Francois I,esperance,deFrance,la France,france,de France,Cour de France,C0nnaissance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,carioledeM. Ceux-de-Roy,Cour-de-Roy,Coeur-de-Roy,Ceur-de-Roy,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,M. de Bussy,Argus,iussy,Eusse,Biissy,Bussy-Lameth,"Bussy
d'Amboise",Bussy,Bussy-La-,Aussitbt,Bussy-Lumeth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,obeir,abbe,A,Abbesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Tours,detoue,Tout-,tour,s0nt tous e Ilouvement,--Tout,toul,luitournt,jura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Monsei-,Monlespan,Desmonte,monL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,sur-le-champ,chares,chard,"marechal de
Schomberg",Chardu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,HIen-,Moyenbrie,jattendrai,-IIenriettel,gie,Hlenriette,M,lieutenanl-criminel,Ienriette,riette,Henriette,terie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Iais,MAi-,CHIAITLU,aiti,Ienaimepsbeuu,jaMais-,Jetais,Elleaimait,Mais-,aimais,"Ai-
y.",maine,sais,MAis-290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,r-----.-.-,--- Oui,--Je,---Je,s--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Dieuni,lunt,Lauzun,uN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,recut,autrE,Autre,trattre.-,au-,-Ilfaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,soirl,crirenl,Quedois-jefairedonnez-moivos ordres,soiree,Sire,leerire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,HIautefort,- Fort,Rochefort,Hautefort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"chosedepuarfaitementdis-
tingue","église'
- Certainement",certainemenl,église',mentce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Hui-,Quincy,Puisqu,quie,equipagcs,Jusquici,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,eux;1,yeu,Dreux,Eux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,LHE,La Mothe,Mothe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Ceslt,Cest,mÊmes,Grces,Est,Majeste,nuyes,Ouest,geste282,mantes 0 es,qiestiohher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,blie,Y0yee,italie,Liee,cupee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,gazette7,Delette,tesl,surete,jetee,lavoute,hte,"importel
- Vous etes un grand enfant",lete,tete,Persistez,- CettE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,melier  Saint-Quentin,sAInt-Jean-d'Ancre,rue Saint-Honore,Saint-Gahriel,Saint,sa116,Terre-Sainte,Fontainebleau,vousaitE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,ce324,g328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Croix-Blanche,jE crois,Dubois,cRois,Croix-Blantchie,leroi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,de Versailles,Versailles,notrefamille,ieille,gileltes,yille,Illes,Oreille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,bondissaut coile,voilh,voila,Voil,Voyez,soilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,CATLAU bDE PINON,casde,LU CHRATLAU,D,ra-LE CATLAU,CATLAU bDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,AA,Fiere,Valliere,fallt,Laalliere,"chealier de
Grignan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,apparemmenl,Rentree,Tonnay-Charente,place auprs de la fentetre,argenut,Tarente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,maniat,Aizy,lyrannie,Anizy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Partez,Veu epars,Mlarie,paysl,Parisf,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,messagerl,visage1LE,dege,Yisage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,roi pres de mademoiselle,demanda,Made-,Mesdemoiselles,moiselle,mademoiselle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,linterrogea,vecu,Carrousel,verroux,verrou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
