cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33
58,265s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,carioledeM. Ceux-de-Roy,Cour-de-Roy,Coeur-de-Roy,Ceur-de-Roy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,M. de Bussy,iussy,Eusse,"Bussy
d'Amboise",Bussy,Bussy-La-,Aussitbt,Bussy-Lumeth,,,,,,,,,,,,,,,,,,,,,,,,,,
61,notrefamille,ieille,yille,soleil,Illes,Oreille,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Tours,detoue,Tout-,tour,--Tout,toul,luitournt,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Monlespan,Desmonte,monL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Piehard,chares,chard,Chardu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Iais,Sis-,jaMais-,Jetais,Mais-,aimais,MAis-290,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,HIen-,Moyenbrie,jattendrai,-IIenriettel,gie,Ienaimepsbeuu,Hlenriette,Ienriette,riette,Henriette,terie,,,,,,,,,,,,,,,,,,,,,,,
67,ducdOr-,-MIa chre Corcy,Corcy,alors7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,r-----.-.-,--- Oui,--Je,---Je,s--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Dieuni,lunt,Lauzun,uN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,autrE,aulx,Autre,trattre.-,au-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,soirl,A62,soiree,Sire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,HIautefort,- Fort,Rochefort,Hautefort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"chosedepuarfaitementdis-
tingue","église'
- Certainement",certainemenl,église',mentce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PINON,DL PINON,Noyon,dePinon,P1NON,PiNON,PImNo,DII PINON,Pinonl,PINO,CHIIATSAU D PINON,Pinon,,,,,,,,,,,,,,,,,,,,,,
75,Hui-,Quincy,quie,equipagcs,Jusquici,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,eux;1,yeu,Dreux,Eux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Mothe-Houdancourt,La Mothe,Mothe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Cest,jardin des Hlesperides,mÊmes,Grces,Est,Majeste,nuyes,Ouest,geste282,qiestiohher,,,,,,,,,,,,,,,,,,,,,,,,
79,blie,Y0yee,italie,Liee,cupee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,MAi-,palais de la reine,maine,"cousine ger-
maine",Fontainebleau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,lavaitpas repetee,surete,jetee,lavoute,hte,"importel
- Vous etes un grand enfant",lete,l06,tete,,,,,,,,,,,,,,,,,,,,,,,,,
82,n98,galantin,S,M,melier  Saint-Quentin,sAInt-Jean-d'Ancre,rue Saint-Honore,Saint-Gahriel,Saint,sais,Terre-Sainte,,,,,,,,,,,,,,,,,,,,,,,
83,LL CHAIEAU DE 1 NON,CHAIEAU DE IINON,CHA'IEAU DE P1NON,CAR1EAU DE PINON,CHAIEAU DE PIINON,aLIL CHAIEAU DE PINON,CHAIEAU DE PINON,CHAIEAU,CHAIEAU DB PINON,IE CHAIEAU,,,,,,,,,,,,,,,,,,,,,,,,
84,jE crois,Dubois,cRois,leroi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,- Ilaura,murmura,jura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,bondissaut coile,voilh,voila,Voil,soilt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,CATLAU bDE PINON,casde,LU CHRATLAU,ra-LE CATLAU,CATLAU bDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,sur-le-champ,compagnles,Espagne,Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,piers,AA,Fiere,Valliere,Laalliere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,apparemmenl,Rentree,Tonnay-Charente,place auprs de la fentetre,argenut,Tarente,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,LHE,Helasl,Helas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,CHA1EAU,CHAEAU DE,CGHAEAU,CHAEAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,jE,- lJe,"169
- La",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Grignan,"chealier de
Grignan",dheritier mile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Monsei-,monseigneur'e-LE CAZTEAU,konseigneur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Croyez-,Voyez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,maniat,Pinon h Anizy,Aizy,Anizy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,adresse  Lamhert,"Coucy ' Y-eut-
ilun possesseur",abbe,Abbesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Argus,Partez,Veu epars,Mlarie,".,-",Parisf,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,messagerl,visage1LE,dege,Yisage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,roi pres de mademoiselle,demanda,Made-,Mesdemoiselles,moiselle,mademoiselle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,linterrogea,Carrousel,verroux,verrou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
