cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25
27,hargee,Cargese,rGn,"dejia
hargee",echangee,,,,,,,,,,,,,,,,,,,,,
28,Moi,onsulte,mons,nousaviserons,Lapons,Voyons,considera,Allonsl,Asraions,ns,J,,,,,,,,,,,,,,,
29,s6-,s6,d6-,,,,,,,,,,,,,,,,,,,,,,,
30,Tolbiac,Tolbias,abbe Tolbiac,Bolbec,y-,,,,,,,,,,,,,,,,,,,,,
31,YIE,NE YIE,yIE,Mie,nnie,,,,,,,,,,,,,,,,,,,,,
32,Lomme,Omme,commeune,Pyrame,lanmme,Commecette,CommenT,Dnimmense,Ashomnme,omer,Lhomme,,,,,,,,,,,,,,,
33,ET,yetx,.Et,Etusnd,oset,aspeet,Paulet,etle,,,,,,,,,,,,,,,,,,
34,ssison,Lison,Iisoslie,v1E,Puison,Religion,,,,,,,,,,,,,,,,,,,,
35,Ilbalbutia,balbutiont,bastia,,,,,,,,,,,,,,,,,,,,,,,
36,C0te,t0t,c0t,c0,c0tu,,,,,,,,,,,,,,,,,,,,,
37,Etretat,Latre,etreindre,Eretat,Étretat,beret,attiree peut-etre,,,,,,,,,,,,,,,,,,,
38,gardE,"fosse des
oillard",egarde,gagea,gardee,san regard,Iardin,,,,,,,,,,,,,,,,,,,
39,rd dola,as304,la158,la-bas,surla,Lastique,Las,Elas,-  Pas,I94,nola,Jas,,,,,,,,,,,,,,
40,chezla,laceouchee,lche,laches,Ganache,fratcheur glacee,oach6,Lac,Sachez,la manche,,,,,,,,,,,,,,,,
41,Ilreviendra,lavie,VIE,detNE viE.,la-Vierge,vVIE,siege,gie,vieomte,A,,,,,,,,,,,,,,,,
42,abbe,Abbaye,abbé?s,abestan,Thysbe,,,,,,,,,,,,,,,,,,,,,
43,conge,Songe,boulangere,Oh2,allongeaitjusqu,Ptrange,ongeur,Songez,,,,,,,,,,,,,,,,,,
44,Océan,.sa,san,savanceer,Crisange,fremissante,Sa336,,,,,,,,,,,,,,,,,,,
45,RIen,Bien.il,EH Bien,Bientot,Bien,Julien,h Julien,"II
I
N
BIen",,,,,,,,,,,,,,,,,,
46,chateau,hate,teat,ehateau,At,ehatealu jusu',,,,,,,,,,,,,,,,,,,,
47,eperle  Narseille,Lieille,Fourville,mre Couillard,Marseille,ille,Barville,Batteville,mobile,Yersailles,VWrillette,Couillon,cueillie,fmille,loreille,Ilet,defaillir,ouville,amille,Varneville,Vrillette,Ileut,,,,
48,Niolo,Lor,aLOrs,implora;mais,Loir,,,,,,,,,,,,,,,,,,,,,
49,Naples,Laisseles,Les,Maleleines,isolees,Ble,ayssnsimpaesiblesIa,mariez-les,desole,lesoitriers,Ryales,attelees,ILes,,,,,,,,,,,,,
50,comtesse Gilberte,Gilberte,Gilherte,a-t-ilbesoin,Alber-,,,,,,,,,,,,,,,,,,,,,
51,labaronne,haron,haronne,champagne,sonnern,,,,,,,,,,,,,,,,,,,,,
52,revolteo,Cettepauvre,Attenl,eternuer.-,Ia tete,C0te  cbte,gaiete,tetes,cettelarve,Comptez,tete egaree,bete ailee,tete,bete crispee,teten,tete  labri,bete,grosse gaiete,0tel,teut,Ila  Petite,jetee,cbte,fetes,betes,Etes
53,jE,JE,,,,,,,,,,,,,,,,,,,,,,,,
54,10eau,le chteau,Auun,au-,au chteau,nouveau-nes piaulants,chteau,teauqui,hameau de,I140,beaudoup,,,,,,,,,,,,,,,
55,honteuse,mer par-dessus,G,leuse,E1,meuse,mer sem6e,Yauseotte,".,-",,,,,,,,,,,,,,,,,
56,Croyez-,Voyez,Fuyez,voyagela,,,,,,,,,,,,,,,,,,,,,,
57,Saorebleu,dore,Paree,reel,goree,exageree,rusl cbaree,oree,5Z,Attiree,torturee,Chicorees,etole doree,maree,torturee daneoisse,coloree,,,,,,,,,,
58,guoi,uo,igugui,,,,,,,,,,,,,,,,,,,,,,,
59,suva,"val d'0t.
En arrivant",val,va',Va,rue du Sauvage,Val,val d'Ota,Vauds,,,,,,,,,,,,,,,,,
60,seve,seveiller,rev6s,tvers,servee,severe,severement enfermee,Lhiver,Versneuf,Sevres,serrure,,,,,,,,,,,,,,,
61,noes,domestiqes,Romaines,"sit0t.
Est",Londres,Lltutes,Mornes,Est,Aeondes,Es,serdes,Barbes,Cest,esespeir,ESt-ce,Vues,liAes,Ies,Tes,ajones,,,,,,
62,nne,Athenes,nenetre,enne,Inne,Comprenez,G',cmpeene,Ianene,penetra,venements,Rienne,,,,,,,,,,,,,,
63,j-,ai eu froid,RRoi-Louis,Roi-Louis,OUi-,"loi,-la",,,,,,,,,,,,,,,,,,,,
64,breviaire,obeir,rirE,resignee,Desire,SIre,choire,eroire,l'Empire,soiree,bir,,,,,,,,,,,,,,,
65,Importe,Y,psrt,h Yport,Yport,Ykport,,,,,,,,,,,,,,,,,,,,
66,enveloppee,Avee,avee,Savez,vecu,,,,,,,,,,,,,,,,,,,,,
67,Mediterranee,Midi,Dit',Dit,,,,,,,,,,,,,,,,,,,,,,
68,Poulet,vOUlez,soulevee,vOulez,vOulez-,,,,,,,,,,,,,,,,,,,,,
69,baptisa  Massacre,N,Aassacre,fSacre-Cœur,Aa,,,,,,,,,,,,,,,,,,,,,
70,"AI
-",m-,"I
a3
2
L
Wit","I
L","I
N
A",,,,,,,,,,,,,,,,,,,,,
71,venirs,Provence,"propriet
lene","complai-
nce",France,Providence,,,,,,,,,,,,,,,,,,,,
72,auraitbesoin,consolait:-,yit,prep araitsa  botte,aussit0,Bentait,Ieehait,Itraitait,saisit126,Éloignait,hesita,Ilaurait,vaitueet,Ltait,Cgtait,voyaiti,faitl,Ilbattait,,,,,,,,
73,Napoleonl,Saint-Leonard,Lehron,onle,roninlanoligue,nl,,,,,,,,,,,,,,,,,,,,
74,labroue,fort rouge,frolement,souenir,Laroute,Rouen,Llouvenit,noueau,Roeuent,"menu
labroue",,,,,,,,,,,,,,,,
75,Dn,Teanne,Jeannel,Jeannemurmura,anne,gane,jEanne,EtJIeanne,Or Jeanne,E.isembla a Jeanne,Ieanne,,,,,,,,,,,,,,,
76,Autre-de-chaussée,L176,le-I,vert-de-gris,E-,be-,Batte-,calme-toi,,,,,,,,,,,,,,,,,,
77,Ah0tres,AH,- Ah,,,,,,,,,,,,,,,,,,,,,,,
78,Cana,caleche,pays de Caux,Fecamp,F6camp,Ca,ca,calm6,,,,,,,,,,,,,,,,,,
79,du Havre,unle Havre,phare de Fecamp,rue du Havre,au Havre,le Havre,Leharen,,,,,,,,,,,,,,,,,,,
80,CI,Ajaccio,,,,,,,,,,,,,,,,,,,,,,,,
81,EIle,t le soleil,Leopold-,Le soleil,soleil surle galet,le soleil,,,,,,,,,,,,,,,,,,,,
82,Pois,Chinois,vOis-a,Is,voilÀ,voitre,Voilh,Evoie,Vois,Crois,Vois-tu,vOis-a-vis,hoisie,Voil,,,,,,,,,,,,
83,amazone,alluma,Madame.on,Flamands,Maie,Damas,Divine Mansue-,maman,Mars,etluidemana,Ami,manche,Mamanln,,,,,,,,,,,,,
84,oeiltaut,Il-:2,qtlil,aeil,eeil,Ilfaut,IL,ilsse,Coursil,D1IL,,,,,,,,,,,,,,,,
85,buis,jauirai,S0ui,Quittez-le,tqui,quie,Cequilui,PuIs,UI,,,,,,,,,,,,,,,,,
86,"5:,:.G",.G,,,,,,,,,,,,,,,,,,,,,,,,
87,Sainte-Hélène,la Seine,eosinee,hein,Seine,seio,,,,,,,,,,,,,,,,,,,,
88,Inchit,loinUNIE,Aucunbesoin,rosinquil,rdin,Demain-,In,Aloin,Soudain,sapins,Chine,tina,,,,,,,,,,,,,,
89,tiede,Yontivilliers,entie-.-,Ientlans,tienT,C'6étaienT,Uiente,Oriental,,,,,,,,,,,,,,,,,,
90,"écoutez-moi
ien  Yous",Vousne,Voius vous resignez,Bravo,VOus,us,,,,,,,,,,,,,,,,,,,,
91,Chambre-aux-Demoiselles,ELLe,baptisee  6chelle,uelqe troit vallon oh,douteelle,ellE,Puiselle,Ellebuvait,moiselle,0uelle,naelle,Lelle,celle-l.,ent est-elle tombo,el,elLE,EllE,Ellecontinuait:-,,,,,,,,
92,Rosalie,blie,d'Italie,liemasi-e,Lieu,Rosaliel,italie,Allait-Royal,Italie,,,,,,,,,,,,,,,,,
93,Trois-Mares,"lalande
 Parfois",Paris,Parfois,enlaceesparfois,,,,,,,,,,,,,,,,,,,,,
94,Brise-,Rriseville,Viloise,Briseville,"Batteville.29
UNE VIE
Puis",Brisseville,,,,,,,,,,,,,,,,,,,,
95,SesCiSea,auxeglises,taillis,Leglise,alIS,"moi.n

marguisese",Encaissee,amollis,erli,Lise,repise ar n psesant,LAisse-,,,,,,,,,,,,,,
96,laissantvide,aideo,Adlatde,deide,pides,candelabres,Ls,Adelaide,bade,deelara,,,,,,,,,,,,,,,,
97,Peuple,oceupees,Peul,Peuplesl,Peples,,,,,,,,,,,,,,,,,,,,,
98,S1,Ledlner,Verneuil,Ln,rai-LNE VE,Ilne,,,,,,,,,,,,,,,,,,,,
99,murmura:-,"curé.n
Huit jours",E5s,AmOUR,fSurprise,mourpra,jura,,,,,,,,,,,,,,,,,,,
100,plus?n,Pas de lune,Ljeune,ieune,lune,une306,,,,,,,,,,,,,,,,,,,,
101,entemps,S',temps',,,,,,,,,,,,,,,,,,,,,,,
102,mont Riboudet,bonte,"mon-

mniten",haron monterent avee,felure du mont,montee,,,,,,,,,,,,,,,,,,,,
103,veux-tu,aueun,"I
Eux",yiheuar,ereux,R,Eux,Veux-tu,,,,,,,,,,,,,,,,,,
104,failt,detail,aims,Iktailx,paeo,g85,Pail,Paiul,Lpays,,,,,,,,,,,,,,,,,
105,"I 
1P",l.,"I

L.0",,,,,,,,,,,,,,,,,,,,,,,
106,heuressans,Soiceur,Deur,ceurs,courbaturee,Ildemeura,l6preuve,Iature,demeuree,jeur,dureie,Sacre-Coeurelle,Varfleur,eure,ooeur,uneeure,,,,,,,,,,
107,Hauts jusqul,"I
Haut
G2",el haut,LÀ-haut,,,,,,,,,,,,,,,,,,,,,,
108,éloigneR,Cologne,Mignonne,Cigogne,mignonne,,,,,,,,,,,,,,,,,,,,,
109,terre de Barville,Gloderville,Goderville,Goder-,,,,,,,,,,,,,,,,,,,,,,
110,sasrrot,Crott,Ro-,Autrot,e,trot,,,,,,,,,,,,,,,,,,,,
111,G55,,,,,,,,,,,,,,,,,,,,,,,,,
112,I.I,"E
E'
I","R.:I


E
i.
t.A
I",,,,,,,,,,,,,,,,,,,,,,,
113,Corniche,becota,picd,Pieot,Picot,,,,,,,,,,,,,,,,,,,,,
114,tomb6,abregea,cambree,Qr eombattre,Ombre,,,,,,,,,,,,,,,,,,,,,
115,Réponds,mequlon,eonn,Donoe,marmiton,fecondee,Lrsquon,Donc,eaon,qulon,I,renonc6,oN,,,,,,,,,,,,,
116,Lllesentit,lle apercut,Rlle,Folle,alleroir,"n
Lllesentit",Rollebose,Allemagne,Llle,Bassolle,Blle,collee,Llenfant,llene,Allez,lle,,,,,,,,,,
