cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34
18,Providence,never.should,BENEVOLENCE,Devenevx,Venus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sophy,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,LAYS,La,wasa,las,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,hereye,protégée,cheer=,Breer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"boaster,—I",Kidderminster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,what~,Halloo,Whata,Straits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"kindness,—vraiment j'ai honte",PLAIN STATEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Dublin,DUBLIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"you,—I","lady,—I","by,—I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Great Britain,Britain,Samaritan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Crockley,Hoxley,Howley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Zuxau,Jaugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Rebecca,Becky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Jadies,Jady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Esq,Sykeses,Drakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,East,ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Austria,aust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,the ivory brow,the brook,Brotherton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Boston,Crompton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Talmost,most.le-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Dowling,WELLINGTON,feelin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Milford Park,Milford,Miliford Park,Millford Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Oxford,Bradford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Turpin,pinery,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Neckerby,Aghleigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,al,Royal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Deep-Valley,VALLEY,"Deep
Valley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,cali,California,Halifax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Cretan,Tae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Deep Valley

su","Deep Valley
Mill",Deep Valley,Deep Valley Mill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Kingdom,the Kingdom,Jooking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Tings,ningham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Spain,n’t,Tisn’t,maine,woodbine,ain’t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Highlandloch,Highland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Lancashire,Lancasbire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,the Deep Valley Mill,the Decp Valley Mill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,the Deep Valley,THE DEEP VALLEY,the Deep Valley «,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Singular,refusing.a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,in'a,inn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Scotch,Scotland,SCOTLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,York,Yorkshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Derbyshire,"Derby-
shire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,me!—and,andvit,kind'and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,England,ENGLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,IRELAND,Westmorland,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Flanders,UNDERSELL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
