cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25
39,cachemire,Cache,Demi- ],très-allachee h miss Fanny,cheminee,,,,,,,,,,,,,,,,,,,,,
40,Avez,Avee,Avez1 Ville,avee,avez,vecu,,,,,,,,,,,,,,,,,,,,
41,Iavait,Iai,Milaiais,aix,La Paia,miai 18,Paia,AimE',,,,,,,,,,,,,,,,,,
42,Doubs,du Doubs,porte du boudoir,,,,,,,,,,,,,,,,,,,,,,,
43,mOi-,temoin,moitie,Si-,Neanmoins,tOi-,,,,,,,,,,,,,,,,,,,,
44,alpes,Alpes,occupes,espe-3iL,,,,,,,,,,,,,,,,,,,,,,
45,.L,Na-,Nantua,National,Na,louna,--Gina,nailt,Gymnase,"ana-
 ysitl",Godenars,Osna,connaflt,tralna,,,,,,,,,,,,
46,iran,Opéra,grammire,Girar-,Belgirate,Brabant,Irancs,aanoeu,Irais,rantiras,,,,,,,,,,,,,,,,
47,Ia tte de san,baie de Nuples,riolece de lorag,rue Neuve-des-,rue Feydeau,rue du Perron,rue de Ne-,venez  lhotel de Rupl,rohe de chambre de merinos,ontpre-UNE FILLE D'EL,rue do cliehs,"Pa  e es
meuse heritiere de Besangon",evue de 'Est,i nrue,,,,,,,,,,,,
48,de la Sicle,B SIcLE,Sicle,Clichy,L SIkcLE,Sicile,ICI,SIBCLE,Cle,E SICLE,,,,,,,,,,,,,,,,
49,Quotidienne,vienne,Vienne,comedienne,tiennes7,liennes,viene,Etienne,LHygiene,,,,,,,,,,,,,,,,,
50,derouter,"pensa-t-
- Poterol",Perou,Per-,Perugin,Rouxrer,,,,,,,,,,,,,,,,,,,,
51,patti,paratt,atisve,Jutts,gtt,avatt,attentioi,,,,,,,,,,,,,,,,,,,
52,A1,a1,,,,,,,,,,,,,,,,,,,,,,,,
53,jE,--Je,Je N,2;.je,"je,-';;g",Sije,,,,,,,,,,,,,,,,,,,,
54,sa]- Oui,A]g,OUi-,,,,,,,,,,,,,,,,,,,,,,,
55,Eh,Rehecea,breche,,,,,,,,,,,,,,,,,,,,,,,
56,enfant.-,"yeu
e narais ianais cru",Fanais,Franais,Milanais,deFai,maison Janrenaud,nais,Fantaisie,,,,,,,,,,,,,,,,,
57,mart,Art,ivartisseent,martrs,Impartial,ar6s,Effort,T'aport,,,,,,,,,,,,,,,,,,
58,Jaurais,sot vis-i-vis,Is,toiseme feis,voyis,is,loeis,Jallklis,belises,Assis,-Lisek,uis,,,,,,,,,,,,,,
59,voyent,Bayeux,Genye,ye,Moyen-Âge,ieeye,Voyez,sv onnuyes,viye,laye,craoye,,,,,,,,,,,,,,,
60,Modinier,pognie,Rossni,ffianie,enin,nI,ninie,Mainier,tyranie,sinau aesnior,niiuie,nii di a inpenare,Virginie,niere,Wyiriciinie,nimosamnis,Madinier,Fnai niosiiininaanieetne,,,,,,,,
61,Andrieux,rieuse,serieux,sieuse,lIndustrie,danseuse,,,,,,,,,,,,,,,,,,,,
62,Chavocourt,Chavoncourt,chavcourt,Chavonicourt,Chavon-,chnaroneourt,Chaoncourt,Comite-Chavoncourt,,,,,,,,,,,,,,,,,,
63,Iemme,somme,la somme,,,,,,,,,,,,,,,,,,,,,,,
64,osaa aais-ipaine,Cmedis Mumaine.)86,Ma-,Mail,Mais-,Iamais,Puis-,Jamais,-Mais,Pais,Marais,Suis-che,O,A dis-sept,,,,,,,,,,,,
65,Cetle,cetto,cetle,atlend,cetle sainte,A cetle,etle,,,,,,,,,,,,,,,,,,,
66,"y,,g","a3
.:;,:,,,,,.:A",.:,"P%2,g,,,,,%;;%,eee",E:;:e,,,,,,,,,,,,,,,,,,,,,
67,abbe de Grancey,Nancey,N,Grance,Grancey,monsicur do Grancey,grace,gradce,Granceyt,,,,,,,,,,,,,,,,,
68,allee,Illle,llla,llle,olle,clle,Clle,famlle,Alert lla,Allemand,fit-lle,allees,Dulley,,,,,,,,,,,,,
69,Irable chaleur,blesse,meie esimable,blessee,le%,ble,Blle,mepriseras:- Ble,Irable,Barbe-Bleue,diableI,bleme,,,,,,,,,,,,,,
70,Grande Chartreuse,De la Grande-Chartreuse,Chartreuse,rue asseu-Rempart,Chartreux,meurtrirs,Chartreax,,,,,,,,,,,,,,,,,,,
71,Leloquence,harque,c0,Bruel,Quels,requeles,Belgique,pelsoue,mouel Y,de Belgique,vued',Barque,,,,,,,,,,,,,,
72,do l'Est,Est Juste,ylg esees,Est,- Est,Str,moustacles,".,est",st s rt es l,st sa,,,,,,,,,,,,,,,,
73,Ainsi-,aqueduc des Romains,Romains,Etats romnains,romaire,,,,,,,,,,,,,,,,,,,,,
74,As-tu ta,Ras-,terrasso,rast,As,,,,,,,,,,,,,,,,,,,,,
75,lchete,confratermte,CpDmpte,gafte,riette,tete,etee,bete,ntel,Terme,teut,etea,tetel,faus-e muette,nete,ftte,,,,,,,,,,
76,Qui,Quoiqu,uo,Quoiue,poliliquo,,,,,,,,,,,,,,,,,,,,,
77,lumieressur,Rloiolphe eutalirs ] creuture,spheres,vire,Pere-La-],aulres,nlre,riviberes,lontaires,gre,Ireres,chiambre des pairs,Nure,cbamhre,mres,fgures,viagere,fenelre d sa hamhre,eseree etpesu,salieres,Honore,Revue,piresrue,Malgre,le caire,malheres
78,bois de Boulogne,aceompogne,campogne,Boulogne,de Boulogne,e,Eoulogne,pn,,,,,,,,,,,,,,,,,,
79,Batn,S'etablir,etablis,etat,Contat,État,Etat,,,,,,,,,,,,,,,,,,,
80,it Francesca,Tances,caleche Francesca `divinemiint mise,naivemenl Francesca,Francesca,Francescea,FrancescaI,Franeesca,Francescn,,,,,,,,,,,,,,,,,
81,I',SI',Gi'i'ii,,,,,,,,,,,,,,,,,,,,,,,
82,bhanquier,culiero,cuduie,cuie,Dicu,benquier,R MIcuB,inouie,,,,,,,,,,,,,,,,,,
83,melangee,Btrangers,range,lrange,Jungrau,letranger,,,,,,,,,,,,,,,,,,,,
84,renoncant,griseltes de Besancon,Besangcon,Bosanco,A Besancon,Besancon,Desancon,Besangon,Besan-,A Besangon,h Besangon,,,,,,,,,,,,,,,
85,Lh,lh,Voilh,Alhel,Belzebulh,,,,,,,,,,,,,,,,,,,,,
86,obtaeles,noblo,noblos idees,Noblesse,nohles,Besnoh,Nobles,Noblesso,,,,,,,,,,,,,,,,,,
87,Con-,quai Conli,Raonl,Conli,canlon,,,,,,,,,,,,,,,,,,,,,
88,Marie-Angelique,Marie-Angelique de Granville,dAnegeliue,germanico-gallique,Angelique,aristocraliques,Angeliquo,poliuique,Republique,,,,,,,,,,,,,,,,,
89,cou-sins roquges,les Rouxey,Les Rouxey,EIle nest ouiouirs pss nee,lac des Rouxey,Rouxey,terre des Rouxey,,,,,,,,,,,,,,,,,,,
90,mademoiselle Mars,"mam de mademoiselle
cheval",madamoiselle,Moise,mademoiselle,Heloise,Montemnisselle,el de mademoiselle,ade Lennoi,,,,,,,,,,,,,,,,,
91,ciet,Societe,soeiete,Sociele,toutola soeiete,,,,,,,,,,,,,,,,,,,,,
92,hate,Nalhan,Nathn,Charnathan,Nahan,Balthasar,Nathan,aNathan,Ies de Nathan,,,,,,,,,,,,,,,,,
93,maniPre,popre,io vex pretrs,Prefecture,Prefeclure,Prefeclure eprouva lo,pre,proflt,presidenee,veu de la reunion preparatoire,preiero piece apres,prelre,,,,,,,,,,,,,,
94,watteile,Watlteville,Wattwville,Watteille,Wattevill,Wattoville,Waltville,deWatteville,Watleville,Walteville,P,Watteville,watteville,Wattleville,maison Watteville,Iadame do Watteville,Wutteville,,,,,,,,,
95,Hier,Mloliere,Arcier,fier,Acier,Experience,pemiere ioie ue,fievre,singuliere,Spielberg,io ae tier,,,,,,,,,,,,,,,
96,Genbve,Genevojs,Genee,Geneve,Genbeve,Neuve,Genevo,lae e Geneve,viendrvez  Geneve,,,,,,,,,,,,,,,,,
97,Ro-,o-,Suppo-,,,,,,,,,,,,,,,,,,,,,,,
98,Pilale,brillanta,Tuilaries,milaine,Mlilan,Nilla-Diolati,Ila,Yiland,milan,Milan,Napolilain,la288,lazr,,,,,,,,,,,,,
99,Rodolhe interloque,Rodophe,Rodolhe,Rodolpheles,rpelaient  Rodolpheles,Rololphe,Rodol-,,,,,,,,,,,,,,,,,,,
100,astignac,Rastignac,Raslignac,Marlignac,,,,,,,,,,,,,,,,,,,,,,
101,Penuse,renseignemens,asese,Frnse,posenl,sen,braset lamena,seienee,vousen,Sentez,Genese,serpens,,,,,,,,,,,,,,
102,Dent de Vilaird,toile de Ilollandel,manege de la vie,tieux de la literature,ft devinee,comtesse de Granville,4 L,lac de ] ture,oup de deux heu-,ase abt6 do la Dent de Vilard,.'f,argenterio do tamille,,,,,,,,,,,,,,
103,Bisontins,Tine,Bisontins no ly,contigu,Tnti,tintemens,Tinti,satinees,,,,,,,,,,,,,,,,,,
104,appa-]-Bt,apparal,Dpartemental,Irappent,bapteme,Appartement,,,,,,,,,,,,,,,,,,,,
105,Danle,Abranles,chanccs,echanper,enchanles,Desenchanfe-,,,,,,,,,,,,,,,,,,,,
106,Charivari,varitablo,varon,ariver,6naro5rose,baronno,Rivarol,Caroline,,,,,,,,,,,,,,,,,,
107,presenter,Yarese,Suisses,c0mprises,caresse6,duehesse,presentil,vonsses,"P' jE t- nss
onnii id prester",Presse,etle tndresse,Adresse-,Bresse,,,,,,,,,,,,,
108,Neufchatel,Neufchlel,hl,Hleuxe-,,,,,,,,,,,,,,,,,,,,,,
109,Celebrite,nuit2,haiter,Legitimite,familiarite,btit,alteignit,Legitimistes,,,,,,,,,,,,,,,,,,
110,F iiCGiG,GinGiiiiGGiti,"GGiGiniiiG.ciiiaG
Francaise el je suis","GGiGiniiiG.ciiiaG
Francaise",iGs Gi,aGaiGrGGi,niaianaaani.aniiiGit',,,,,,,,,,,,,,,,,,,
111,Spleen,oxceple,Naples,ples,G,do Niples,Ple,sculple,tiaple,Dudley,,,,,,,,,,,,,,,,
112,meltre,meltra,maltraitee,attrailt,J',,,,,,,,,,,,,,,,,,,,,
113,sausaiianta,Clermont-Mont-Saint-Jean,Saint des Saints.-Il,Saint-Gothard,Sainte-Elle,rue Saint-Lazare,Saint-Honore,Saint-,Saint-Germain bouda,Sainte-Alliance,Saihnt-,Saint-Germain,Saiut-Jean,,,,,,,,,,,,,
114,Barcelone,Cercle,Cerci,cerclo,,,,,,,,,,,,,,,,,,,,,,
115,mone,Montcornet,Io monet,Cuton,Lyon,mons,luiont,Ilmontrait,avaiont,lons,Monvel,ons as ctourt,menton,Montons,Mont-,cliont,Allons,apon,Gramont,vivons dns,Dijon,,,,,
116,brune,tunel,forlune,Lune,tortune,ieune,,,,,,,,,,,,,,,,,,,,
117,sanctuaire Yoici lai,Hollandais,blable auxt Anglaises,coulume anglaise,Anglais,lEglise,Frangais,Anglaise,Irlandais,midi-Frangaise,,,,,,,,,,,,,,,,
118,amaht,ahbe,Duraht,Naha,AH,z.,,,,,,,,,,,,,,,,,,,,
119,C9SCa,Camps,Ca,sugca,,,,,,,,,,,,,,,,,,,,,,
120,Vernou,nouvelle mariee,Nouvelle publiee,Mouvele,Felicien Vernou,Nouvelle,Nouvelles,,,,,,,,,,,,,,,,,,,
121,aec,la piece,pitie67,piece,,,,,,,,,,,,,,,,,,,,,,
122,Emilio,s6,Ilrmee,Il-,IL,ilge,luil,dillicilo,Ci5G.IL,Voil,uno mobilite feb ile,- Ilne,Mafoil,,,,,,,,,,,,,
123,Mathurns,Asilotinsie,"mensieuri0

DE ALZAC",Heureuxt,Mlonsieur,eune monsiour do Soulas,nnsie,NSIEUR,,,,,,,,,,,,,,,,,,
124,do Rupt,upt,Rupt,Accpt,,,,,,,,,,,,,,,,,,,,,,
125,iut,Iun,adiu,boiugies,IUn,cœur1Un,,,,,,,,,,,,,,,,,,,,
126,rope,st ous aveepeur d'una lnttel,Europeen,l'Europe,Europe,,,,,,,,,,,,,,,,,,,,,
127,le Rhin,thurins,brin,Rhin,Bnfin,gomine,In chro,intrigue2,Usine,In,Lekain,lupin,SG G6inr,,,,,,,,,,,,,
128,HÔtel-de Ville,triomphel Plus olle,Iaqellela,ellE n-,ellE,pele-mele,EL.E2E,l4elle,choef da Son Ecellence,laguelle,c6elle,poele,lquelle,laielle,I::ELLE,ElLe,el,EllE,turelles,Cele,Telle,Aeele,Vauchelles,elendie,,
129,Combien,Apprenez,comprenez:-,Comprenez,Eneore,,,,,,,,,,,,,,,,,,,,,
130,Bugenie,largens,denil,Teniers,proligieuxs cbangement,oiecproeneni,tenic,ugenie,genie,Eugenie,deenir,geneniogies,,,,,,,,,,,,,,
131,nnes,gne,gnagne,Espagnols,Cygne,L'Espagne,monlagnes,Agnes,Piemont el d'Espagne,Fgfnes,Champagne,Agnbes,,,,,,,,,,,,,,
132,N-,n-,En-,,,,,,,,,,,,,,,,,,,,,,,
133,Ge-,abbe,"Fe-
Ln",Be-,be-,,,,,,,,,,,,,,,,,,,,,
134,Champs-Élysées,m-,Chambre,Champfort,I,Champmesle,sœur-le-champ,Cham-,cChambrot,chapitr,,,,,,,,,,,,,,,,
135,avoeats,avoeat,,,,,,,,,,,,,,,,,,,,,,,,
136,Philomno,Philomue,hilomae,Mn,Philomn,Philo-,,,,,,,,,,,,,,,,,,,,
137,passage Sandrie,Bgypan,Ansbac,sanva,passans,Pas,,,,,,,,,,,,,,,,,,,,
138,lix,Reli-,felicite,fe,Felix,celi,,,,,,,,,,,,,,,,,,,,
139,Hhilomene,Philomene]. - A,Philomeno,hilmee,Philombne,Philombene,Philomlne,Philomee,lomene,Philomene,Philomen,Pbilomene,,,,,,,,,,,,,,
140,Rocher,chezla comtesso,el blanche,La Roche Hugon,rue du Rocher,La Roche,,,,,,,,,,,,,,,,,,,,
141,amur,Muriec,Mu,Schmuke,,,,,,,,,,,,,,,,,,,,,,
142,Touches,Vauchel-,Boheme,Touchee,Comite-Boucher,oher,Mon cher,Boucher,,,,,,,,,,,,,,,,,,
143,Florineet,fl,Briinen,Florine,Floria,.(nee princesse Soderin,point-Florine,Flori-,Florence,,,,,,,,,,,,,,,,,
144,chein do,deix,neeitaii,vergiss-mein,n5ineidinais,Ceinre,peinlure,Seine,einei,iineIs,caleinee,,,,,,,,,,,,,,,
145,Suisse,Laissez-,Palais,jouissailt,la Comtoise,laquais,Laisse,Serais,euaisee,,,,,,,,,,,,,,,,,
146,yisont le eaer,Pont-Neuf,t0,le Pont-Neuf,,,,,,,,,,,,,,,,,,,,,,
147,Ruhens,metaphysiciens,niens,Lambitieuk,torrens,entiere,Tiens,ensoe,,,,,,,,,,,,,,,,,,
148,lesac aux commeragoes,Comnte,Jerome,comnime pet,Comle,commeragoes,commerco,Communal,,,,,,,,,,,,,,,,,,
149,pretendue travsux,pretendil,pretendus,EntEndre-,,,,,,,,,,,,,,,,,,,,,,
150,A0,g.F,"g.,g",,,,,,,,,,,,,,,,,,,,,,,
151,oiture,Loire,altiree,soiree,aeecssoire,,,,,,,,,,,,,,,,,,,,,
152,enissant  io u ssg,rue du Croissant,ckroix,Croissant,Crois-tu,,,,,,,,,,,,,,,,,,,,,
153,pordus,Russe,Svarus,TuSe,Cus,traijusqu,us,Savarus,.Nous,,,,,,,,,,,,,,,,,
154,legain,PEg,eg,legr,,,,,,,,,,,,,,,,,,,,,,
155,",gggA.el FGnG'a'iGs Gi
-,,1Ci",gggegg,Agggge,"g,,gg",gg;g-,"g;;gggggg,:,g",eigge,gggg;;g,yettee-ggeyggggy,gg,GG,gggL,gggA,,,,,,,,,,,,,
156,Très-,Beatrix,trehte-trois ans,trattresse,Peut-9êtrE,laatreI A,Magistrature,Ghapitre,Autre,Utrecht,atre,maftre,,,,,,,,,,,,,,
157,Sociele des Naufrages,suffages,Naufrages,,,,,,,,,,,,,,,,,,,,,,,
158,Restauralion,Jura,Libral,reputalionsee,Religion,journalisle,Lamporaui,Laure,Lions-le-Saul-,Reslauralion,,,,,,,,,,,,,,,,
159,fodre iside pir plis ke fos vrandes I1,douzibeme annee,esistanee,esistanee e,,,,,,,,,,,,,,,,,,,,,,
160,Frauce,lBsperance,efraya,Francais,hranche,dx-huit cent mille trancs,Franche-Comle,Francesta,Fran-,"Fran-
aflection",la France,france,francais,Frace,de France,France,,,,,,,,,,
161,Marseille,eoleil,A Iareille,soleil,aeil,Iareille,Soleil,curiosile,teil,Leil,leioenseisfeton,,,,,,,,,,,,,,,
162,Talma,d'Italie,tALzAic,l'Italie,ESCALIER,Italiens,Italien,Italiennes,A h0pital,Italienne,Italiensl,ralliee,Italie,,,,,,,,,,,,,
163,Desir,a-adessi,"lende-
des monceaux",bDe,Campes-Hailyssdes,Desque,seides,grndes,Mfadr,ades,,,,,,,,,,,,,,,,
164,Faut,auteuil,Tout-,alhanut,hau,haut-le-corps,vsoyaut,hauto,,,,,,,,,,,,,,,,,,
165,Est-e oes tedeschi,fes,deserte,sees lesytege,requetes,Vousetes,Jardin des Plantes,"au-
Iontes",gte-saues erontes,hesiter,Lettes,Ies,ceRtes-,Tes,,,,,,,,,,,,
166,rini etait mariee,Marielte,Brie,Marie-Eugnie,Mairie,Arries,Marie-Eugenie,Marie-,Marietle,,,,,,,,,,,,,,,,,
167,oroiuio,iois aoi,Irois,Bois,Oiml,Ioi,iois,,,,,,,,,,,,,,,,,,,
168,loba,blonde,decoloree,Simplon,Lopold,Rhelore,Lovelace,l1,los ebz,Shyloek,Colouua,Lo,,,,,,,,,,,,,,
169,Saxarn,do Saxe,de Saxe,acsa,Saxe,,,,,,,,,,,,,,,,,,,,,
170,la Provence,provincee,A,Providence,,,,,,,,,,,,,,,,,,,,,,
171,vialime,Deia,ecria,MIa-,Iac,fiacre,envosre ar Ia,Ias,Ia frisre,sian,L2IAC,Ia,,,,,,,,,,,,,,
172,railleusement,Yersailles,Granville,Pailez,travaileur,Raille,,,,,,,,,,,,,,,,,,,,
173,Federal,Medee,Amede,Eden,suceederun,Amedee de Soulas,Amedee,,,,,,,,,,,,,,,,,,,
174,tomhe,Lombardie,Lomhardie,,,,,,,,,,,,,,,,,,,,,,,
