cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
41.0,char—,goguenar—,Car—,-—_—,chacun—,,,
42.0,._.“-—4,,,,,,,
43.0,compren—,Comprenez,pren—,,,,,
44.0,quatre—vingts,quatre—,Votre,,,,,
45.0,recon—,reconnais—,"reconnais—
o.",,,,,
46.0,DIT,Venez,ressouvenez—,Devinez,,,,
47.0,Basstnrez,Mæsse,Basset,Bassette,,,,
48.0,Le curé de,juré,,,,,,
49.0,Bonsoir,CONSCRIPTION,tiote,demi—mal,,,,
50.0,franciers,la France,la Remy,demi—franc,France,,,
51.0,amis—,adminis—,ﬁdis—,,,,,
52.0,._.-,,,,,,,
53.0,gr -»«_—.,"gr -»«_—. ._.

'-‘",,,,,,
54.0,Jean—Claude,Jean—,Jean—Glande,Jeanneton,,,,
55.0,État,état,,,,,,
56.0,répon—,répondez,rendez—,,,,,
57.0,brava—-,brava—,,,,,,
58.0,réserve de monsieur,masoarades,réserve des furolles,,,,,
59.0,Norine,Norine s’,,,,,,
60.0,fontaine Sainte—Radegonde,Saint-,Saint—Quentin,Saint—elle,Craintil‘s,ﬁllettes de Saint—,,
61.0,bou—,ajou—,trou—,vou—-,,,,
62.0,etiens,Tiens,Viens,,,,,
63.0,Beviendront,ﬂattendre,atten—,,,,,
64.0,l‘indi-,indiffé—,,,,,,
65.0,gran—,grande—,grande Jac£,grands—,tîsserand,,,
66.0,déjeu—,bégueu—,,,,,,
67.0,"ba- -
*biller ma",ler,Alerte-,,,,,
68.0,serre1,guerre—,buis,Pierre—Louis Gosseu,maîtresse}. Pierre,oui—,,
69.0,Cachez,dragon,—- Tâche,Tachons,,,,
70.0,calme—,calomnia—,,,,,,
71.0,Garde—les,Savoyard,savoir—,,,,,
72.0,pré Brugnon,couvent Brugnon,,,,,,
73.0,ména—,bague,baguénau—,,,,,
74.0,boule—,ainsI,Poulains,,,,,
75.0,SOUHAITS,"SOUHAITS

PÈRE",,,,,,
76.0,ﬁancre,encre—,aNcre,,,,,
77.0,"per audi—

- -«","Ver—

- ”\-",V::«-4«a«A. - - ' - 4,Ver—,C— -,,,
78.0,sa.—,ta.—,,,,,,
79.0,VILLAGB,gouaillant,VÎLLACE,brin,Lambin,brillam—,"J 
   
 
 
 J 
   
   
 

70 MON VILLAGE",obam—
80.0,tran—,Franz‘e,fran—,,,,,
81.0,Mon pauvre ﬁoul,Pauvre,,,,,,
82.0,montagne blanche,b0nnet blanc,,,,,,
83.0,.—__-,".—_.,__.4",,,,,,
84.0,M.ÉCriant,Cria,,,,,,
85.0,aUjourD’,AuJourd’,,,,,,
86.0,"extraordi—
naire",mairessc,lutaire,,,,,
87.0,gigotteurs—,murs.-,Frotte,,,,,
88.0,.__.___-,v.___—ÿr,.____,".,-___",f—_.____,,,
89.0,Il—.,IL— —,,,,,,
90.0,TOut,tour—,Tournez,Tour,,,,
91.0,Rose n’,gros—,lﬁrosE,"Rose,.dit",Rose,roSe1,Bose,
92.0,Sortez,"pOrte s.

-;or_l_ 4 T.:",,,,,,
93.0,Base,Bas,,,,,,
94.0,s’arra—,embar—,Bemblay,l‘embarras,,,,
95.0,"AH 
 
 

Gens de Morlinval","curé deMorlin—
court",à_Morlincourt,Morlinval,Morlincourt,couragement,Morlinco‘urt,
96.0,Jeacquet,ques—,afrique,queﬁ,,,,
97.0,Assis,Cassiopée,,,,,,
98.0,Nonﬁssons,non—,Toinon,,,,,
99.0,"recom—
mandé?",recom—,,,,,,
100.0,seUl’,Houses,senæncieuse—,couseuses,,,,
101.0,Palais—Îloyal,Palais,Palais—Royal,laisser—,Palais—,,,
102.0,"AH 
 

-","AH 
 X","AH 
 
 
 X",,,,,
103.0,- ——,——._,4-.-.,——_-.—,—- —--.——...-.-,- —- Méohante,,
104.0,jour—,boursi—,débat—,pour—,"P.Èg""e Boux",débour—,,
105.0,A;rtaban,caba—,,,,,,
106.0,entor—,Sens,Sent,,,,,
107.0,péti—,per labz‘a,Perpétue,,,,,
108.0,coup—,Écoutez,coupi’,,,,,
