cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56,elem_57,elem_58,elem_59,elem_60,elem_61,elem_62,elem_63,elem_64,elem_65,elem_66,elem_67,elem_68,elem_69,elem_70,elem_71,elem_72,elem_73,elem_74,elem_75
28,Capujá...,Igreja...,Capujá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Ea,lajeado,lajes,Tajeado da Sé,lajeado do largo,Vá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Esgue-,Ergueu-,Torque-,Guedes,Esguelhas,Esgueinas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Snr,snr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"cam-
painha",Caminhante,Totôzinha,Minha,Lubin,Cegonha,Saldanhinha,mir,chapinhando,sôzinha,panelinha,palhinha,unhas,galinha gorda,Minho,Espanha,Totózinha,Vinha,Caminho,Joaninha,Mélinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Muita,Freitas,Coitadita,— Coitada,Coitadinha,Joanita,Ta,Militar,Imitação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Chateau-,— Fecha,Chateaubriand,Beati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Carne,ornear,CARNE,Ternei,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Chum-,Chut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Perguntava-lhe,Ia-lhe,Coma-lhe,Arranja-se-lhe,Bufa-lhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Expe-,Exc,Pede-os,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"snr*
D. Maria da Assunção",rua da Misericórdia,"rua
la Misericórdia","rua da Miseri-
córdia",Misericórdia,depósito da Misericórdia,"rua
da Misericórdia",rua da,Misericór-,"Mise-
ricórdia","rua da
Misericórdia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,insónia,Polónia,Babilónia,Pol-,Santa Apolónia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Cáspite,Pompa Espiritual,zás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Gethse-,Mise-,Ah-—disse.o,"Mise-
reatur",Póôr-se,Disse-mo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Ouça,Vou,Ouf,Ruça,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Saiba,Libaninho,Libaninho de luvas pretas,"Libaninho mur-
murava",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Poiais,"Bois

ois",Coisa,Bois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Setembro,Sol de Setembro,Hotel de Ville,Minuete de Mozart,"Sol
de Dezembro",Sol de Maio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Santa,Levantaremos,Santa Catarina,Santa Virgínia,Pataratas do Saldanha,Santa Brígida,Santa Cecília,Santa Bárbara,santa cruz,Santa Virgem,Santa-,Janota,Santarém,4O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Una,Ossuna,Assunção,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Jjado,reino do Céu,"veiro do Céu;""e",Arco do Triunfo,Jado do Loreto,Poço do Borratém,"Eternidade dos
Louvores",malícia do Tentador!,Loreto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Feirão,Ferrão,enxurrão,Fer,bom Ferrão,Ferrões,"bom
Ferrão",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Baldeschi,Debalde,Abades,bom abade,Madre-Abadessa,Baía,Pesadelos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Lérias,Chafariz,planeariam,Proletariado,Faria,Abria,Mouraria,Tevantaria,Garriffaldi,Marialva,“,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Caía-me,"Cala-
fates","rua dos Cala-
fates n.º 53",Calafates,Catecismo,"LA
FAUTE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Morgadinho,Morgadinhos,Morgados,enxerga,Morgado,consoladinho,Cansadinho,Vadios,Morgaditos,"Mor-
gadinho",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Praça às Ave-Marias,Começos da Primavera,Praça às Ave-Marias...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Belém,Cabeça,Acabe,Sabe,Saberá,Safa,Sabes,Sabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Política Estrangeira,Figueira,estrada da Figueira,Pimentas da Pojeira,praia da Vieira,"estrada da
Barrosa",Trigueira,estrada de Lisboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Nosso Senhor,"Se-
nhor","Nossa
Senhora de Lourdes",Casamento de Nossa Senhora,Nossa Senhora,boa senhora,Nossa Senhora da Saúde,"Nossa
Senhora",Eno,Nossas Senhoras,Nossa Senhora do Rosário,minha senhora,"Nossa Senhora
da Ermida","Nossa
Senhora de Lourdes...",Nossa Senhora do Rosário...,"Nossa
Senhora!",Senhora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,More-,Morena,Renans,Morenal,Ensina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Ih,Dá-ihe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Deus,bom Deus!,Adeus,causeuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,pondia,Índia,índia,Índias,brandia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,dir-lim,Sim,Vim,Im,Coimbra,Berlim,dim,alecrim,Olimpo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,melha,"Dar
Filha","Dar
Filha da mentira",Milhares,Filho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Saavedra,Salve-Rainha,travesseirinha,Salve-Rainhas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Escócia,Tesa,Estado,Fazes,Esco-,Nunes,Gonçalves,Tolices,Tai ã Es,Es,Teles,Buénos-Aires,Lethes,Estás,Reso-,— Resumia,Estive,es,Pires,Burgueses,Flores,Pieguices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,S. Carlos,Carlos,Carli,Carcavelos,Cardoso,Carlinhos,velos,Carlota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Pobre de Cristo,pobre de Cristo,Comendador de Cristo,"cemitério
de Poiais","Pobre
de Cristo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Córrego das Tristes,Estrela,Relação,Estremoz,jardim da Estrela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Paraíso,Cais do Sodré,Paraiso,paraiso,Paris,mausoléu do Morais,Morais,Cabrais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Pavonio,pac,pa,Paço,lorpa,Pago,ripanço,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"CRIME DO PADRE AMARO

Dorme","ORIME DO PADRE AMARO

punhos","ORIME DO PADRE AMARO

Lá",UKIME DO PADRE ANARO,"ORIME DO PADRE AMARO

cue te digo",OEIME PO PADRE AMARO,PADRE AMARO,U ORIME DO PADRE AMARO,"ORIME DO PADRE AMARO

Novembro...","ORIMB DO PADRE AMARO

verde do candeeiro","ORIME DO PADRE AMARO

cal",OHIME DO PADRE AMARO,"ORIME DO PADRE AMARO

Assunção",ORIME DO PADRE ANARO,ORIME DO PADRE AMAKO,"ORIME DO PADRE AMARO

caridade",OEIME DO PADRE AMADO,CHRIME DO PADRE AMARO,GRIME DO PADRE AMARO,ORIMR DO PADRE AMARO,ORIME DO PADRE AMARÓ,ORIME DO PADRE AMARO,"ORIME DO PADRE AMARO
cortininha de cassa",OLÍIME DO PADRE AMARO,ORIMEÉ DO PADRE AMAKO,"CRIME DO PADRE AMARO

de fósforos","ORIME DO PADRE AMARO

aas tlores cheirosas","ORIME DO PADRE AMARO

tam","CRIME DO PADRE AMARO

senhor padre Natário",URIME DU PADRE ANARO,ORIMB DO PADRE AMARO,"ORIME DO PADRE AMARO

Senhora da Boa Viagem","ORIME DO PADRE AMARO

E","OBIME DO PALEE AMARO

Janota","OEIME DO PADRE AMARO

Aconselhou","ORIME DO PADRE AMARO

Amélia","ORIME DO PADRE AMARO

a",ORIME DO PADRÉ AMARO,"ORIME DO PADRE AMARO

Amaro",OERIME DO PADRE AMARO,URIME DO PADRE AMARO,ORIME DU PADRE AMARO,"ORIME DO PADRE AMARO

vizinho","ORIME DO PADRE AMARO

Godinho",ORIME DO PADER ANARO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Job,João Eduardo,João,João-,S. João da Foz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Amtêliazinha,Ameêliazinha,Améliazinha,Amêliazinha,Amêliazita,Ameliazinha,"Amêlia-
zinha !",Taziam,Ameéliazinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Eternidade,Espavorida,Autoridade,Brutalidades,Nutrida,"OJUTADEL,|",Doutor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,És,"santa
de Amélia",Santa Amélia,cova de Amélia,"Santa Joana
de Aveiro","braço de
Amélia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,saleta,Alerta,Salta,saleta da S. Joa-,Palletan,Rigoleto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Quere-me,"bom
Marques",Teresas,Quereis,Queres,Quero,Queria,Mater-doloresa,trinque,Vasques,— Quem,Marques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Chão de Maçãs,"Chão de
Maçãs",Convenção de Berna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,cova da enxerga,Senhora da Incarnação,Encarnação,Senhora da Alegria,Senhora da Encarnação,Senhora da Piedade,"Coroação da
Rainha Vitória",São da Encar-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Mundo,Dois Mundos,Secundô,Tudo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Benfica,Jítica,Benedicat,Rica,Escolástica,Ricas,Política,Rico,Fica,República,Ricoça,Sacrificaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Alameda Velha,Alameda,alameda,Infame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Recolheu,Olha,Olhe,Marsclhesa,velhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Oh Amaro,Amparozinho,Ó Amaro,Amaru,Ribamar,Amara,Sou Amaro,paiire Amaro,Amaro,” Amaro?,AMARU,Amaró,Amparo,amaro,rugiu Amaro,AMARHÚ,“Amaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Gouvei,Fatigou,Gouveia,gozo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Manon,Laboranti,Panorama,Amanhã,S. Gorislano,"Pano-
rama",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Chalaça,baça,serra de Alcobaça,S. Pascoal Bailão,Alcobaça,"Brito de
Alcobaça",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Cruz,Cruzes,Delecluze,duzem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Tenho,Venho,Junho,Subvenite,Venha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Praça...,Fumaça,Praça,França,Praça Nova,Graça!,pé da Praça,Graça,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Pimen-
tel",mexe-te,Cármens,Pertence-me,Menino,Mente,"pie-
dosamente",Ámen,Instintivamente,Positivamente,S. Vicente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,OEIME DO PADRE,CRIME DO PADLE,jardim do Paço,CRIME DÓ PADEE,ORIME DO PADRE,CRIME DO,CRIME DO PADEE,CRIME DO PADRE,OKIME DO,U CRIME DO PADELE,CRIME DO PADRU,CRIME DO PADNB,ocrimedopad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Vocês,Vossemecê,Vossa,Nossa,Hossana,Rossio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Gamacho,Rabicho,pachorra,borracho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Paciência,Vicência,KXV,Prudência,Pru-,PONDÊNCIA,"Peni-
tência",Providência,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Baboseiras,Vaqueira,Ir,Gralheira,Vieira,"Gra-
lheira",Vira,Beira,bebedeira,"pri-
meira",trapeira,Beijo,Tira-mo,Pereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Bairro Alto,Couceiro,Vimeiro,Provarei,carretão,Carreiro,Arrede,marmeleiro,Arrepen-,cueiro,Terreiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Parto da Santa Virgem,Santa da Arregaça,santa da Arregaça,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,cabo da faca,cabo dos guarda-chuvas,cabo do Ultramontanismo,cabo dum,cabo de polícia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Pérsia,Ásia,Dionisia,nísia,Dionísia,Simpatia,sia,nisia,"cosia de
lyneta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,saia branca,Havanesa,Causava,Casa Havanesa,anasarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,botica,Amparo da botica,"Amparo
da botica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Divagava,Abafava,Esfregava,Vaz,Odiava-o,Arfava,palrava,Dava,Espaçava,Abominava,Acumulava,Ficava,polcava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,XI,Bêbeda,Bêbedas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
