cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27
22,Villevieüle,"vieille
Bibiche",Villevieille,Vin,Vülevieille,Ville-,Mlle Maximilienne,Castille,Villevieﬂle,,,,,,,,,,,,,,,,,,,
23,MAis-,dEmain,sais—,Laisse,restais,æsayai,aimais,mam,croyais,,,,,,,,,,,,,,,,,,,
24,Es-tu malade,Es-tu folle,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Castle,le soleil,soleil,Le soleil s’,,,,,,,,,,,,,,,,,,,,,,,,
26,tournai,Douze,Dæuwwiouœ,Jour,Jours,oui—,mouy—,Journée,,,,,,,,,,,,,,,,,,,,
27,recon—,répon—,rencon—,baron—,Non—,n—,long—,Dfaçon,non—,,,,,,,,,,,,,,,,,,,
28,MARIE—,Sœur Marie—Aime,Marie—Aime,Marie—Aimée,Aimée,Marie.—Aimée,"Marie—
Annee",Sœur Marie-Aimée lavit,,,,,,,,,,,,,,,,,,,,
29,l’,L’,,,,,,,,,,,,,,,,,,,,,,,,,,
30,28 MARIE—CLAIRE,120 MARIE—CLAIRE,"MARIE—CLAIRE

Je me trouvais",40 MARIE—CLAIRE,102 MARIE—CLAIRE,20 MARIE—CLAIRE,III 0 MARIE-CLAIRE,MARIE—CLAIRE 89,notre Marie-Claire,36 MARIE—CLAIRE,52 MARIE—CLAIRE,Marie—Claire,54 MARIE—CLAIRE,rir,MARIE—CLAIRE I I,30 MARIE—CLAIRE,"MARIE—CLAIRE

Maintenant",56 MARIE—CLAIRE,8 MARIE—CLAIRE,MARIE-CLAIRE,MARIE—CLAIRE,remarquai,100 MARIE—CLAIRE,48 MARIE—CLAIRE,24 MARIE—CLAIRE,44 MARIE—CLAIRE,106 MARIE—CLAIRE,Mﬂ
31,kam—annE103,onne,.ne,connais—,d’,,,,,,,,,,,,,,,,,,,,,,,
32,arrê—,Arrête,,,,,,,,,,,,,,,,,,,,,,,,,,
33,.-J.,.-—v,m”.-$‘.wæw-&,,,,,,,,,,,,,,,,,,,,,,,,,
34,—:-‘,Deslois,ri Deslois,D-,,,,,,,,,,,,,,,,,,,,,,,,
35,Gué,"Gué-
Perdu",château du Gué Perdu,Gué Perdu,,,,,,,,,,,,,,,,,,,,,,,,
36,manche,Chemineau la Bête,la Blanche,Blanche,E,la manche,blan—,,,,,,,,,,,,,,,,,,,,,
37,ﬁnesse,Geneviève,sene,Iosentais,,,,,,,,,,,,,,,,,,,,,,,,
38,créa—,n1,a—,üyadægædæmæpoæra—,sépa—,,,,,,,,,,,,,,,,,,,,,,,
39,lesfermer,mêmE69,forCe,Merci,I',,,,,,,,,,,,,,,,,,,,,,,
40,—- Voyons,Brabant,Uninsœnt,Santons,Psadzxyt,ﬂanœ,,,,,,,,,,,,,,,,,,,,,,
41,._,.—.—.___‘4-4,Eh,,,,,,,,,,,,,,,,,,,,,,,,,
42,grand your,de France,Tirande,chmæithcbaæondelîæu,,,,,,,,,,,,,,,,,,,,,,,,
43,Chicon,funﬁer,conﬁer,puriﬁer,,,,,,,,,,,,,,,,,,,,,,,,
44,ﬁxer,n‘se,aper—,ser—,,,,,,,,,,,,,,,,,,,,,,,,
45,J’,j’,,,,,,,,,,,,,,,,,,,,,,,,,,
46,AH,T‘T‘r,AHﬁS,,,,,,,,,,,,,,,,,,,,,,,,,
47,Sologne,Sologne.ll,.l,,,,,,,,,,,,,,,,,,,,,,,,,
48,reve—,heur—,supérieure,heure—,A,hurle—,,,,,,,,,,,,,,,,,,,,,,
49,bien—,s&ie,Tiens,rensei—,miens,jy,,,,,,,,,,,,,,,,,,,,,,
50,Désirée—des—Anges,Désirée,Dosirée—des-Anges,Sœur Désirée—des-Ange,Désirée—des—Ange,Désirée—des-Ange,des-Ange,c—,Anges,Désirée-des-Ange,Désirée-des-Anges,,,,,,,,,,,,,,,,,
51,L-,Bel-Œil,Elk www,beau—,eniamber,Bel-,,,,,,,,,,,,,,,,,,,,,,
52,Quelquefoîs,Quelquefois,ques—,Orgueﬁleuse,queie,Quelque,,,,,,,,,,,,,,,,,,,,,,
53,Moi,.:;‘J,A‘-t-VOix—,buis,Vois,Voilà,Sois,,,,,,,,,,,,,,,,,,,,,
54,chan—,Saintes Huiles,teintes chan—,porte n’,Tes,,,,,,,,,,,,,,,,,,,,,,,
55,largœ,par-,Paris,appar—,,,,,,,,,,,,,,,,,,,,,,,,
56,cestàpeine,Ma1tine,art(1,Martine,Augustine,,,,,,,,,,,,,,,,,,,,,,,
57,agenouülée,gagea,engage—,,,,,,,,,,,,,,,,,,,,,,,,,
58,jusqu’,qu’,quan—,qu‘au,,,,,,,,,,,,,,,,,,,,,,,,
59,inﬂiger,Hier,Auberge€,lingerie,®hwÿeœäxwàmmmduvükdthiæge,Vierge,,,,,,,,,,,,,,,,,,,,,,
60,muﬂ Qu‘elle,—elle,alluma,ﬁelle,ellE,poche;elle,mademoiselle,,,,,,,,,,,,,,,,,,,,,
61,m’étaitinœnnu,m’,,,,,,,,,,,,,,,,,,,,,,,,,,
62,nourri—,tour—,bour—,noux,nour—,,,,,,,,,,,,,,,,,,,,,,,
63,trem—,repous—,Pauvre,Elkreùtvæsmä,Prends,"Eﬂeplumüt
douœment—",enfin—,repren—,,,,,,,,,,,,,,,,,,,,
64,Ils’,s’,,,,,,,,,,,,,,,,,,,,,,,,,,
