cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33
18,Qui?n,E,Quoi?n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,".,:ak---",k--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,EdUCATION,EDUCATION,ducaTION,L'EDUCA,EDUCA,E dUCATIoN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Vatnaz,Vatnazl,Vntnaz,Mlle Vatnaz,Vutnaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,mediocre,Samedi,diocre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,la Made-,A 1M,la manche,la Madeleine,la tlc,MAde-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,lEurope,Fleuri,Leurs,Fleur,voleurslon,Fleurus,leurs101,meurs?n,Onleur,"v-
peuR",Fleurs,leuRs,march aux Fleurs,,,,,,,,,,,,,,,,,,,,,
25,Marechale,Marchal,Murcchale,Marechal,Marc-,Arc,Mlurchale,richards,J,March,Mareschal,Iarchander,La Marchal,,,,,,,,,,,,,,,,,,,,,
26,Pondre,rpondre,repondre,Rond-Point,Londres,Flandres,prepondrance,Hippodrome,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Amerique,Amerique du Sud,Briques,gueridon,"damas rouge
Quatre domestiques",l'Amerique,fabrique,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ME arrondissement,Classements,NIl arrondissement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Algerie,ger,operer,Nernier,Gericault,r6diger,gErard,Auger,ge,gere,,,,,,,,,,,,,,,,,,,,,,,,
30,rompre,l3,Prodi-,Propriete,proximo,Comprenez,pre Roque,Corrompu,Romeo,ILaromiguire,,,,,,,,,,,,,,,,,,,,,,,,
31,Voulez,circulezl,Voyez,soufFle,lez,- Voulez,vOulez-Vus,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Chapeau,Chateau,Chatelet,gascon cha immdiatemcnt,Chateau-,"Chateau-
d'Eau",Chhteauroux,chafaud,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Saint-Valery,Saint-,Saint-Franois,chapelle Saint-Satur-,Saint-Paul,Saint-Pre,Saint-Thomas,A6,Saint-Cloud,Saint-Antoine,quai Saint-Bernard,Saint-Honor6,Saint-Marceau,Saint-Louis,la Saint-Barthelemy,Saint-Germain,"Saint-Satur-
nin",Saint-Nicolas,Saintonge,Mont-Saint-Michel,Saint-Roch,,,,,,,,,,,,,
34,Fu-,au-,"au-
res","au-
tre c0te",Vu-,Gorge-au-Loup,Ou-,Cu-,Figu-,bReslau-,"au-
Tes",meu--,Au-,Dessau-,,,,,,,,,,,,,,,,,,,,
35,k.,O0orleans,Orleans,Orlans,tC',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,suischagrin,PUis,"vis-l-vis de
lui-meme",.Puis,buis,Puisquon,Pur,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Saint-Jacques,rue Saint-Jacques,sAint-Jacques,Jacques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,DuCATI0N,DUcATI0N,EcATI0N,DucaTIF0N,DuCATIF0N,"colonne de Juillet reprend-80
L' DUCATI0N",DuCaTIF0N,TI0N,lEDUC TI0N,,,,,,,,,,,,,,,,,,,,,,,,,
39,toi,"dortoir,18
L' i",efface-toi,Live-toi,-  Moi,toil,Toi,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Oter,motel,"mer
calotte",I6serte,Liberte,gote,Maternit,Pierrot,hotel,,,,,,,,,,,,,,,,,,,,,,,,,
41,soire,hire,Conservatoire,Moire,la loire,soiree,Bonsoir,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Anglais,Anglaise,porte du cafe Anglais,languir,Nolan-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Fille,luI0tel-de-Ville,Fouquier-Tinville,Surville,Seville,Ville,Belleville,Marseille,Villeneuve-l'Rarchique,Vaudeville,Villeneuve,Gemonville,tranquille,Vazeille,Villages,YVIIle,Hauteville,,,,,,,,,,,,,,,,,
44,alc0ve,ulc0ve,Lc,l'alc0ve,c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,birmanie,nir,nice,IR,lironie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Lavergne,Allemagne,gne,r6signe,Empoigne,cygne,rsignee,chtaigners,gne du menage,Pugne,scne,Ligne,Agneaux,,,,,,,,,,,,,,,,,,,,,
47,amenaicnt,secouaicnt,examinaicnt,Amcricains,lticn,couronnaicnt,Lamennais,cn,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Etretat,lEtat,eulemet,tat,proletaire,Etat,At,Letat,proletariat,et6e,Etle,,,,,,,,,,,,,,,,,,,,,,,
49,Gouvernement,attroupemenlts,Doucement,Fouvent,Le Gouvernement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,rue Paradis-Poissonnibre,rue Paradis,RUe Paradis,c0te de Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Nonancourt,Flacourt,fer n. Nonancourt,Betancourt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Ines,Internes,Comines,Neuves,Suresnes,tine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Dussar-,Dussardier,Grce  Dussardier,Dussardioer,Picardie,Dussarlier,Pradier,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Brie,Vrerie,fier,orfevrerie,quartier Breda,serieux,gutierrez,gcnevriers,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Fois,Gauloises,-  Mois,tais-toil,chaquefois,Poissards,Larsillois,oIs,troisime,Lez-ois lite,Gaulois,Troisime,lace cramoisie,vis-a-vis,Trois-,Trois-lois,Poissarde,,,,,,,,,,,,,,,,,
56,Chile,lesiusils,ILE,ILe,ILes,Ile Marthe,Cecile,soleil,Cile,Gilet,le soleil,,,,,,,,,,,,,,,,,,,,,,,
57,Notre-Dame-des-Victoires,"Notre-Dame de
Lorette",Notre-bRume,"rue Notre-
Dame-des-Victoires",Dame-des-Victoires,Notre-Dame,Notre-Dume,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Revo-,bire,pre Oudry,Creton,re,retirez,Prends,revolta,crepe,Lire,iFremer,reverbresL,Faire,prelres,Religion,- Rendez,Phedre,Enivrez,tombereitx,Freres-Siamois,Brea,,,,,,,,,,,,,
59,A59,A52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"rue
Saint-Martin",rue Sint-Anne,Porte-Saint-Martin,rue Saint-Martin,h Martinon,rue Caumartin,rue Saint-Victor,rue Saint-Hyacinthe,faubourg Saint-Martin,rue Transnonain,porte Saint-Martin,Martinon,rue Sainte-Anne,Quentin-Bauchart,rue Saint-llonore,,,,,,,,,,,,,,,,,,,
61,candelabres,Cancane,cancan,cana,Vatican,Incal,anca,Bancaires,Toscane,Sncall,lanc?n,,,,,,,,,,,,,,,,,,,,,,,
62,Bourgeoise,bOurges,rue des Francs-Bourgeois-Saint-,Luxembourg,Bourse,Bourges,Bourgogne,bourgogne,de Bourges,,,,,,,,,,,,,,,,,,,,,,,,,
63,Rosa-,Rosanetlte,Iosanette,Rosette,Rosanette,Rosannette,llosnette,llosanetle,Vanneroy,Ilosanette,Rosanetle,Hosnelte,llosaneltte,osanette,Hosanette,kRosannette,,,,,,,,,,,,,,,,,,
64,rultrapa,paule,pau,sault,Maul-,Dulaure,gaule,.:;;;.e,S,le Pays,,,,,,,,,,,,,,,,,,,,,,,,
65,hauss6e,s6,haussantles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,llle,Halles,Mlle,Allez,auprs d'olle,Allemand,alluma,Bagatelle,rue Bellefond,Emball,Nlle,Bellevue,,,,,,,,,,,,,,,,,,,,,,
67,accoudes,Desde,bDe,Desgricux,"des-
sin",Avide,degot,t3,Mode,Clyde,,,,,,,,,,,,,,,,,,,,,,,,
68,-  Tapecz,la Capitale,Capitale,Capitaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Morelly,Fortelle,mademoiselle,Moelle,Ellemontadedans,poele,moselle,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Bologne,POlogne,pologne,la Pologne,la pologne,Pologne,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,lavie,savoie,Savoie,Savigny,Savoyard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Suisse,soltises,l'Assem0lee,Suissesse,passee,connaissez?n,i5,Assise,Tisserie,Brasseur,seSsion,,,,,,,,,,,,,,,,,,,,,,,
73,seine,t Seine,-  Hein,de la Seine,hein,La Seine,seine claire,Seine,peine2,la Seine,Madeleine,serin-L,Nogent-sur-Seine,,,,,,,,,,,,,,,,,,,,,
74,Magdalena,la Magdalena,Bengale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,mer de la Sagesse,rue de la Paix,rue Tronche,rue de la Ferme et de la rue Tronche,rue de la Ferme,Arc de triomphe,rue de la Ferme ?,Mme de Larsillois,rue le Fleurus,seuil de la lorette,Cygne de la Croix,pont de la Boucherie,Ohe l,"au-
tre c0te de la table",blonde l,,,,,,,,,,,,,,,,,,,
76,Taient,largenterie,gie,l1Orient,Ient,geniel,-  Bien,Montpensier,sENTINIE,avaient9,Bientot,genie,Combien,As-tu cent,BIef,bien376,,,,,,,,,,,,,,,,,,
77,en10,n1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,".,'.-",s':'.t,a.-,"T,'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Raconte,conita,Con,macon,congediee,con nette,Conservant,confusemcnt,Colons,gascon,,,,,,,,,,,,,,,,,,,,,,,,
80,glcterre,derriire,serrure,Derrire,Fond de carrire,La terre,Lamoricire,deplorer,rir,,,,,,,,,,,,,,,,,,,,,,,,,
81,losc,Los,moscou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,b,-  Pas,Pardon,Pareils,pAr,Parlotte,Papal,Pays,Parquet,PArt,Appar,Separes,pArt,Parly,"par-l.
L'",Partout,,,,,,,,,,,,,,,,,,
83,c::ccc,A,cccccc.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Barnais,CarRi0,-  Bristol,lLoris,Paris,pris?n,PAris,pAris,aris,llamaria,Trois-Marins,Arriv,paris,Charivari,vee h Paris,Parisien,l2aris,,,,,,,,,,,,,,,,,
85,AVez,avez-vou,pave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,grosse,Gros l,Ecosse,la grosse,Colosse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Aisance,lisaire,quai d'Orsay,Sait-gErvais,Maisje,Mais-,Faisant,sais,Jamais,la Renaissance,aIMais,cossais,causaienl,,,,,,,,,,,,,,,,,,,,,
88,aprs,"aprs520
L'",Progrs,auprs,rs,aprs-midi,Aprs,L'aprs,,,,,,,,,,,,,,,,,,,,,,,,,,
89,tche,Chevalier,cheri,cherie,Richelieu,Cher,Boucher,Long-clocher,manche,Niches,Psyche,"mor
cher","Chevalier
de Maison-rouge",Catherine,lche,,,,,,,,,,,,,,,,,,,
90,l'Empire,lemire,Empire,tapissires,spire,Inspire,cachemire,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,iD E,-  Eh,I17,Eh,Cr e',,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,la chine,Chine,Mlichiel,Bains-Chinois,lchira,chine,"la-
chine",Chinois,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Sngal,talant,Ls,Tals,Atala,Social,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,d'York,"Armes,1",Ormes,Tomes,Flammes,-,Normandes,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Bertinaux,Aube,l'Aube,Rubens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Napolon,Prolong,Polonais,le japon,Apollonie,Japon,Polonaise,Monopole,Apollo-,Napoleon,Napolion,Napol-,,,,,,,,,,,,,,,,,,,,,,
97,I.'i,I.f,i.,NAI.E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,celle-lan,Celles,celle-lh,Belle-,Celles-lh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"rue du Marcle-aux-
chevaux",rue du Marcle-aux-,Gare-aux-Ces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"Jardin des plantes se
ploy",d0t des parapluies,Jesuites du Paraguay,"Jardin des Plantes.de
L' E",Jardin des Plantes,Jardin des autres,e,jardin d'Accueil,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Damnbreuse,Dmbreuse,hotel Dambreuse,Museum,fosse de M. Dambreuse,Dambreuse,"Daibreuse:10
L",Breda,Dambreuses,M. Dumbrcuse,breuse,Ambreuse,,,,,,,,,,,,,,,,,,,,,,
102,rue belfort,Rumfort,rue Rumfort,fum,Fort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,pos-L' fED,Oppos-,pos-L,A POS,pas-L',S-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Irlandais,Irlandaise,Attendais-tu ton hidalgo,irlande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,signilia,sige,siges,siege,Sigle,ige,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,v0-,Champ-de-Mars,Champ de Mars,Arc de triomphe un cheval mort,"Champ
e MArs","Champ de
Mars",,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Benedicite,Dit,dit2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Praslin,inonle,Insucc,Sinical,inde,chagrin?n,Int,Inclin,Berlin,Anmoins,In,LinUCCATIN,Vins,nankin,CLin,ain,Bobino,nins,tina,medecins,,,,,,,,,,,,,,
109,Constantinople,Institut,Clubstick,lInstitut,Injustice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Jouffroy,Anjou,passage Jouffroy,journe,acajou,jou,rue Joubert,Oudry,Oui,toujouRs,,,,,,,,,,,,,,,,,,,,,,,,
111,Melun,mune,lugo,lune,volupt,unc,Luxe-,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Barcelone,-  Salut,sala l3onne-Nou-,Albion,Salon,Salons,Grand Salon,sulon,,,,,,,,,,,,,,,,,,,,,,,,,,
113,el l,htel,El,Delm,"ceLA
wia",belges,el,A Elbeuf,,,,,,,,,,,,,,,,,,,,,,,,,,
114,mlancoliques,Flanque-la dehorslon,Salamanque,Flanque,Blanqui,Banque,Languedoc,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,HOrtense Bassin,coussins,Cousin,Dessins,poussibere,Bassin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,harem,Svres,chbevre,Havre,au Havre,du Havre,gare du Havre,llavre,,,,,,,,,,,,,,,,,,,,,,,,,,
117,th6eo-,aNtony,sinthe,Pantheon,Parthenon,Theodore,Panthon,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,liennes,Vincennes,rue Vivienne,Vivienne,Letonnemnent,aulgrienne,sienne,Vienne,Bars enfui de Vincennes,Nitienne,ancienne176,,,,,,,,,,,,,,,,,,,,,,,
119,Pouce,duro,Pour-,Pom,samoura,"Pom
padoue",po,Pour,Amour,Oury,Sourdun,Pouvoir,,,,,,,,,,,,,,,,,,,,,,
120,.l,.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Art,Partez partez,Sortez,Lartiste,Partez,partez,Charte,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Italienne,d'Italie,Californie,Alis,Italie,Italiens,Taliban,l'Italie,,,,,,,,,,,,,,,,,,,,,,,,,,
123,pauvrejeune,n L,Au Louvre,d0me du Louvre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Poisson-,Poissonniers,Canonniers,Poitiers,Poissonniere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Voil,Voila,VOil,Voili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,pandu,gand,Anda-,Mostaganem,brigand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"lille Com-
ain",lille,Ili,Piliers,Lille,lIle,Flic,Ilina,lile,lIlle,,,,,,,,,,,,,,,,,,,,,,,,
128,L'Olympe,Olympe,lisbeth-Olympe-Louise HRoque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Publique,la Republique,Rpublique,republique,Republique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,A1,".A12
L'",la142,A19,.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,le Bugcaud,Bugcaud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Ita-,Taisez,Montataire,croyait',quai Voltaire,LE1AURAIT0N,Tait,Voyait,sortaitpar,rita,,,,,,,,,,,,,,,,,,,,,,,,
133,mens,fensive,Autrichiens,Amiens,egyptiens,Tiens,bostonniens,Pitie,Deviens,,,,,,,,,,,,,,,,,,,,,,,,,
134,t0t. n,t0t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Genevibve,Geneve,Eugene,Sainte-Genevieve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,barribre d'Italie,barribre du236,Angelmarre,Barrot,albare,barrirc,tibre,barribre,,,,,,,,,,,,,,,,,,,,,,,,,,
137,b6-,l6-,d6-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Zi mono,Ton,crmonie,donc?n,A-t-On,wagon,Dupont,Meudon,songea',Ponts,Poncif,devon,on276,Iront,elton,Fond,On,dIjon,Donc,lEbron,son32,Lyon,lhorizon,Ablon,oOn,Saumon,,,,,,,,
139,Voyons,-  Sortons,Sanson,Causons,Ons,considera,Ions,jurisconsulle,-  Conservons-les,Girondins,Oublions,Monsei-,Prenons,,,,,,,,,,,,,,,,,,,,,
140,Fit,Fixa,teignit,Finir,Finit,Finissait,Administr--,srnit6,definitive,,,,,,,,,,,,,,,,,,,,,,,,,
141,santerre,orang-outan,Persan,Dumersan,Orsay,San,san,sangl,sanc--,,,,,,,,,,,,,,,,,,,,,,,,,
142,ecrans,grace,Limportance,le France,Lextravagance,Francaise,Franks,ncessit6,Franchir,affranchiront,Francais,pResque france,La France,oran,de France,france,la france,esperance,Franck,la France,Francois I,France,ter sa delivrance,Comedia-Francaise,,,,,,,,,,
143,ebahi,Sphinx,Philosophie,le Rhin,rhin,rHin,le rhin,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Change,angeles metiersranges,Changer-,Changarnier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,"rue
le Provence",Providence,provence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"rue
Coq-Heron",Coq-Aileron,rue Coq-Aileron,y-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,colonne de Juillet,collge,Empire cree pair de fRance,Collage de France,Collge de France,LG,collge de Sens,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,fiacre,sacree,Bac,nacre,Creil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Moyens,Cit,Le Citoyen,Citoyen,Citoyen tonne,Citoyens,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Dcs,pt-dcsstts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Sainte-Pelage,le Sainte-Pelage,"Sainte-
Chapelle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Caussidiere,Iu reussiras,Russe,Russie,russie,vessie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Chartres,Notre-,avaitrecu,.'etre,Lautre,Votre,pltre,autresne,tre,v0tre,Autre-,Ministre,notre7,,,,,,,,,,,,,,,,,,,,,
154,Frayeur,elfraya,A Bray,Bray,ayeec,effray,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Pidoux,Arn0ux,0uX.,Arno,Arnoux,"Mme
Arnoux",W,Arntu,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Peaux-Rouges,eA,leau,EAU,Longjumeau,rue Fromanteau,Bureaux,Fromanteau,,,,,,,,,,,,,,,,,,,,,,,,,,
157,les triers,ux Tuileries,jardin des Tuileries,dome des Tuileries,bal des Tuileries,Tuileries,ILes curiosit de382,Ilesperides,"Societe des Fa-
milles",,,,,,,,,,,,,,,,,,,,,,,,,
158,suPplanter,Devant,h0tel de Nantes,Tes,Dant,Payante,Nantes,-  Maintenant,dinant,,,,,,,,,,,,,,,,,,,,,,,,,
159,bois de caf,Boulogne,bois de Bologne,bois de Boulogne,dCcbarque  Boulogne,seuil du boudoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Pense,-  Trente-sept,Sene--,sENIIMI EN1AILE,faenza,hend,Sens,Venise,sEN,,,,,,,,,,,,,,,,,,,,,,,,,
161,lorette:-,Laffitte,laigrette,gourette,Quitter,intertts,Marmotte,Bouttevilain,Arrtte,cEtte,tte,,,,,,,,,,,,,,,,,,,,,,,
162,la Tournelle,"doute?n
-  Pas du tout l elle est honnete",Tournez,Tournelle,Toutle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"cafe170
L EDUCAT10N SENTIMENTALE
Agneaux",S ENTI E NTA,SE RIMENTALE,commissaire-rieur continuait.5006  L' naTI0N sENTIMENTALE,inUTILE0N sENTIMENTALE,iDenTIT0N,EDUCAT10N sENTIMENTALE,L'incATI0N sENTIMENTALE,"quenta nu-
rosols",RIMENTAL E,sENTI E NIALE,incATI0N SENTIMENTALE,"yUCAT10N SENTIMENTALE
a357
Lattention de Fred6ric",NTA,CAT10N CENTIME,SENTIMENTALE,"naTI0N sENTIMENTALE
-  Allons",inegalemecnt,sENTIR,SENT1MENTALE,RIMENTAL,SENTI,sENTIMENTALE,EDucATIon0N sENTIMENTALE,Central,sEN RIMENTAL E,SENTIMENTS L E,nomeny,comnplimenter,RIMENTALE,EnFaNT10N sENTIMENTALE,ENTAME,S EN1MENTI.E,SE ET1MENTALE
164,Sauvagcsse,Femmes,Femme-Sauvage,fe,eme-Sauvage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,virus-gii;;i3It,ii,II,nI0ISIlLiII,IIIII,liiIrencc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,snte,hochantla tete,bete,tecte,Cite,nu-tete,Vicomte,qutete,Societe,tete,Culte-,tete-a-tete,Iratevnite,.;;te,,,,,,,,,,,,,,,,,,,,
167,Gouver-,Auvergne,Ver-,Sauver-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Regis-,IM,lRegimbart,legimburt,Sombaz,Regimbart,Regimbartl,egimbart,,,,,,,,,,,,,,,,,,,,,,,,,,
169,rd,Gardes,La0ard,Regardez,Garde-Meuble,Niagara,Garde-Meubles,gard,Gare,Flambard,Prenez gardel,,,,,,,,,,,,,,,,,,,,,,,
170,caf,Le Vicaire,Scal,"cafe170
L",Cacau,Cate,Lavocat,Ca,ca,EnUCA,camelias,,,,,,,,,,,,,,,,,,,,,,,
171,Pere-Lachaise,Cham,m-,Lacham-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Grammont,Mondor,Pont-Neuf,Montebello,Montreuil-Nantua,vermont,Montereau,Mont-,le Pont-Neuf,mont escalier,"Mont-
charron",pont de Charenton,ont1,Aspremont,,,,,,,,,,,,,,,,,,,,
173,M. des Aulnay,Aulnay,Ln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,d6bordes  o,gorge-de-pigeon,Bordelaise,Bordelais,Borde-,Bordure,la Boardeuse,Bordeaux,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Ler,clerg,Fr4lerie,laller,Miserables,Angleterre,ler,Palerme,"Tui-
lerins",,,,,,,,,,,,,,,,,,,,,,,,,
176,Gaillon,Chitillon,Postillon russe,chillonnires,Postillon,tillon,place Gaillon,Pilon,postillon,,,,,,,,,,,,,,,,,,,,,,,,,
177,c0te de Chilly,seucestochre do,Choiseul,"rue de
Choiseul","rue de Choiseul.78
L' Ep",rue de Choiseul,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,a20,Cmu,"musique20
L' i",n27E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Quelqu,Quels,Poque,Morgue,Quelquefois,Bouquet-,frequen,Quelque,Turque,pique,Belgique,Quelle,Quelquun,,,,,,,,,,,,,,,,,,,,,
180,musee,tamise,se260,perse,corset,SE,hse,Gymnase,,,,,,,,,,,,,,,,,,,,,,,,,,
181,mele,Pellerin,pele-mile,Appelle-moi Vicomte,delend,celebrite,soie gris-pele,pele-mele,perpctuelle,"chapeletsln
-  Pas",Leloir,,,,,,,,,,,,,,,,,,,,,,,
182,Peuple,Naples,Exemples,Temple,glee,cenltuple,ple,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,auteuil,loyaut,Fauteuil,Auteuil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
