cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43,elem_44,elem_45,elem_46,elem_47,elem_48,elem_49,elem_50,elem_51,elem_52,elem_53,elem_54,elem_55,elem_56
36,"N

I

i
5
R
Mu
H
I
l:","II

I
I
I","I

i
I","I

I
i","I

I
I","I
S
I

I
-
m1","I

I
I
l","IYI

I
Ih
L","I

I
t
I


N",".L.

I
I","I
I


I
K
Hi
I","I

I
II","A

I
1","Is



I
I
lI

PTE
t1","I

I
I.
I
I","EI

I
IH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,de Versailles,Versailles,Doussailles,B',taversee,vers6s,Vesailles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"I

III","G

III


S
f
IE","II

I",".l

II","II

II","LIAE

II

IIZ","II

II' 

f


II",", - II","LIII

I","LIAE

II

IIZ
x
E","II

I
aT","III

R
II

-'


1GL","IB

II


R","I

ii","43 ii

I
E","H

II

sI
B","11

Ii",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,WMLR,"WMLR
HI",Huml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,IN,ain,hein,Inalgie,MIn,vincre,amoins,L1IN,LIN,grinca,Soudain,Ouie-Fine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,plir,atlire,D,plius,aceomplir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,rs,Rs,arxny.etRs%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,ecria,ecria-t-ilavec suprise,l1 cria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Sommes,Hommes,comment7,la somme,Sommes-,Iemmes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,voi,Voi,oi,IBavo1,Yc,emouvoir,foid,Vois,savoir7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,luii,II.i1,SII,II,GIIFIROY,A%lIItl,IIME,Iin,"II'
1I


M",C'6tiit,iir--,HII,MII,IIy,Ii-,EII,IIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,neme,demeuxez,mneme,remettez-le-moi,slle-meme,extreme,bleme,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Merci,Aewerccr-,Inerci,Remerciez,Commercy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,- Pardonne,- Partons,Pardon,- Abandonne-les,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Iouha-lande,Iouha-,Iouha-Hande,Iouha-Hand6,Kouha,IKouha-Hande,louha-Hande,Ioua-Hande,ouha-Hand6,Kouha-Hande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Faut,suivaut,Iaut,loyaut6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Bisons-Hurons,Hurons,Fumerons-,Huron,everrons,Yoguons,Loups-Hurons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,J1,jou pecedent,jou,point dujour,poude,Anjou,jours;.,Jo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Grigny,Griguy,Carignan,Gigny,Grighy,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"RIVIEnE
La",IBBLLB HRIVIERE,Riviere,IVIEE,ct de la riviere,la Riviere,IVIERNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Anticosti,tu6s,coStume,Iume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"I
I
Ma
 IH","KI
I
1","I
I
I




i1
I
I
I

I","asIE

I

T
I
I
IRG","I
I
-
1

I
x","I
I
I","HE
I
I","MWi
II

z
I9I
I
A","I
I
I
I","I
I
H. 
I","I
I
ll
1","YI
I","I
I
L",".:AI
i
I","I
I
t' 
h","H
I
I
A","I
I
E.","Oo
I
I","E

I
I
I
I1","N
I

LILIM
I
I

IB","IER
I
U
I
II","H

gg
L

I
I
M","ILI
I","A 

I
I
I
I
W

I
I","P
I
W","I
I
i1
I
LI","I
I
I
.I","Nouveau-

I.1
1
I
A
I
M




I

LA","I'

I
ItL
I
I","A

t
U-
I
H","I'
t.
I
I
I
I
I
I","I
I
II","I
I
t","I
I","II
I
I
I
I","I
I
I
I
I","E
IlH

R
I
I","RI
I
F",".:F'

r
I
I",,,,,,,,,,,,,,,,,,
58,"II

II
t
EI
III
III

LIILLLLILLLLLLLI
Le Canadion","I
iII
aI
1","II
E

I
IIII","u5
Ml
I
aa
IIILLE
L","HEE

III
ULN","II
III","II
iII
II","II
III
I","H
III
r

t","El
f
Ii",".III
II","II
-'","II
III
II
III","II

I
I
III
II","csGS

II
ILII
e
IIIL","II
E","I
IIII","IW

i.
I
IIIE","SO
II",e,"I
III
H
I

III
III
II
l
III","U
III","II
IIlIII
III","I
Ai
1II","ZII
III
I","II
IIII","W
III
III",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Poitou,etou,tounure,retou,tournai,gaieto,vautou,beto,le tour,touva,touner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,blessee,foteresse,oblesse,Iaiblesse,oppessee,lese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Celte,sanglols,Anglelerre,Anglelterre,GLFK0Y,Angleterre,Angle,terriblel,lELt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,HR,"IJ

D
T

HR","IJ

D
T

HR
LZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,RIYILEnRE,RIYIhE,RIYIEE,YI,IYIERE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"aa
E",Aae,AA,N,.xLzeAAk,Aa-AP4,aA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,-Z-G,z-,.-Z-,z-7,z-L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Asie,Eiſeas,aS,ecrasez,As,Gascon,O,Bas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"6

II
H
HI","IM,1
H","II
H
H","H
H",E,"H

HIII
HI","W
H","I
H
-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,jusque-lh,Losque,Risque-Tout,Pesque,lLorsque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"I
-
188","WZ
-
A",".2-
-
U",E2-,".2-
-
U
2


E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,ECi.-:c--:-,eC01e,"L.S.EEECih1
---",EeCi,Meci,Cecije,precipitee,Tecits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,B,-ae,i%--i-ae-ae--,.-a:-x,P1,raey1,AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Madamel,"oi7
- Damel",Imadame,adame,maadame,damee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,amaree,amarree,marqulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,baie d'Hudson,"II
vOYAGIE DE NU1I",place de nolre daim,A 1'epoque de nolre recit,pyramides de Cholula,toldos renfemenl we tentaine de gueiers,Point de diffrence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,H.LILL,lil,LIL,ILIY,Lile,"LIl

Is
SGE


A",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Venez,Vene,meprenez,fene,penez,IIY1EnE,vene,- Tenez,venezl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,A peie,litieie,EiE,",,eie-Ee",i.naiiei,EI,eeieeie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"IJ
ll
I


y- I","Ll
i","ILLL
E","HEl
I","LL
I

5


I","Wl
YY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,.L,.l,.Lh-,x.L,L.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,empecher,WC,chefl,tche,Cher,"leude cheri
de",cher-,Riche,Marcher,y.,chegz,breche,Cherche,i,recherchee,Tbucher,Cherie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,pese,Apes ue,Apes,apes-midi,echappe,aupes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,uY,Luy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,gand,Ande,Qand,Hande,Amand,guand,gand air,Andel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,¬¬,a¬¬.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,deji,Dej midi,JI,Dej,Deji,Deja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Vienne,Menne-,Canudienne,Guyenne,Canudien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Aucue,Qnelques,Chichimeques,Ouelques,Quels,ehaque,taquenatd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,H2E,H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,lac lEri,sterile,resister,verilte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,I2,I1,I11,I1ets,II1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"F

I

2","MI

IJ","I

I 
ms","H

I","I

I","SL

I

IM","pei

I","WI
 
I

t","I

'N","W

I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,sauvagesl A bientt,Bientot,obiet,bientot,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,concentree,coeu,CONTRECEUR,Wacondah,Contrecoeu,Contreceur,vrenoontra,tfaconla,la lecon,Contrecur,Contrecoeur,Montreal,coeu gonfl,Contre-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Ehl,a-- Ohl,- Bah,a-- Hlasl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"2L

EE2EZ","L

E",avol ehtedus,U,".l

E","W
A as
l


E.
2","NL


E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Ioret,Iort,Or,Petil-Fort,Gzrt,n1,apport6e,Iorte,fIort,"fort
Rupert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,rponse,Consentez,"consentezl
- Pardieu",Consentez-,conslruire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,IBelle Riviere,Belle-Riviere,Belle-Rivire,lBelle-Riviere,l3elle-Riviere,Ilelle-RRiviere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,IYl,XIY,Yl,IY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Longtemnps,Createur,Totem,TE,sete,malte,pironpte,tete,batte,eomte,Pite,cbte?1,lete,Tels,Acceptez,teil,"cteul
-",anxiete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,IIl,"IIL
EEY",Iil,L,Iils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,batnillel,feuillee,Eparpille,Veuillez,iille,laville de Pittsbourg,ille,Villlers,Suveille,Jumonville,Menneville,li’lille,Eveille,trvaille,Castille,lille,"Y

Ill",ILL,tamille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,toul,toules,oula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"I'
II
l
R","S
IIPI
II
E","I
II
N


L","II
I","A

I
1

II
II",".E

I
I
 rr T
ry-ceaa5-F-F-e
II
I1IlI1","1I
II
I

1
I","II
II
II
f
1","II
II
I","I
III
IMI
II1","EEE

I
G

ILII
I","II
III
I
II

L","IM


I
II
III
I
II

L
 z'","I
II
I","II
II","II
I



II
IR
I","II
II
II 
IA","EH

E

II
IMI","I

zs
II
I","ILII
II","I
I
II
II
H
III
I
II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,mne rappellerent i la desolante realit6,L'Aigle-Volnt,Aigle-Volant,L'Aigle,Aigle-Volt,1'igle-Volant,Aigle-Volant roula,lAigle-NYolant,1'Aigle-Volant,L'Aigle-Vlant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,- M',- Signe,Seigneu,Joignez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,egardezl,Regardez,lRegardez,regardez,regardexz vos sentinelles,regardexz,egarde,gargon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,madries,rie,curieuxi,Forie,symetrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,I4,la Couleuvre,Couleuve,Puuvre,"de
Couleuvre",Couleuvre,La Couleuvre,soulenir,Couleuure,Couleure,Couleuwre,20E,La Couleuvre demasqua,Coulon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Pestel,Est,IEst,r2,estici,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,reconnalte,Conaltre,vouS Conaltre,samaltresse,hG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,odres,odre,nbod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Ovea,.EA,Eaeal,wea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,declarer,Wnldecl,piece eclairee,piece,eclai,secet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"E
A

I","EE
E","E
E","H
E","2E
E","E
E
E","Z
e.
E","I
Aa
E
EEE","HR

I:E
E
L

a

g","S

E
E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,A6,A60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Iemines,MI,heminee,cheminee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,vieillacd,avie,r1l,R1VIEIE,BE1LIE I1VIEIIE,HR1VIEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,comntesse de,baie des Marmousets,amiti6 de cbte,comtesse de Maleval,comtesse de MIa-,Mee la comtesse,comtne,"E

M",parc de la comtesse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,plts,edlt,Plt,PL,seplt,z=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"EE


e

G","S

EE
 E",5E E,"Ee ie e iees
daa","E

e


3L
x","E


E","E

E","N

E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Etats-Unis,etat,zeeta,"etat de
defense",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Iais,saus,sais,Jamais,faisos-nous7,aisaiaraar,Faneais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,toldos,G,soldut,Pdldu,soldatd',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,LIY,LLI,LuLi,LIv,LI,Teocalis,Lignorez,LIi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Dieul,Pardieul,pardil,Padieul,- Pardieul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,tantbt,lDevant,plantets,"...
- Pas de mots malsonnantsl",Vants,Tuant,avanl,auptravant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Leona,L6ona,Lona,Leonal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,forlune,lUne,IUn,Boune,lune,Aune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,dnans,Armnand,haron Armand,Armnund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,guee,guer-,divulguee,- Gueusard,A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,mnains,Ennai-a,mnais,na,Mnais,ceonnaissant,Inais,mnaisonnette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,eusset,efuse,gnereuse,audacieusemenl,Matheueusement,vuse,payeus,I5,meuse,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Mluclay,Maclay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
