cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36
19,snid tn,Noal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,fort,North,Lorl,beforc hc,forarl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,soro,mo,moro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Thrushcross Grange,Thruehcross Grange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Thrusheross Grange,ThIrusheross Grange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Liverpool,oever,howevor,Howover,IlIowever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,EL,NO EL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,nellowv,dells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,west wind,Hindley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,hy hills,Ill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Zillal,Zillah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,bnt,Continent,WVont,contry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,la,IBlackhorse,begaa,Tlat,itl,wasa,las,Lascar,Edgasr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,anl,olean,oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Titan,"dumh
melitation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,wi,Hishonest,Wisht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,HErTS,Desert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,EIGET,REIGET9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Istaid,MIster,Christendom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,lI,Mliss,Mlr,MlIy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,oncee,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Hercules,Herecules,Therel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,CAYIENDISH S.,end1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Ienneth,heavaen,Ienven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,thear,Thear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,benr,kitehen,Thesr,Thenr,Phenix,henad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,EIGIT9,EIGIIT9,TEIGIITS,HIGIITS,GITS,HEIGITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Linton,Lintou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Hetlcliff,Hetheclif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Linton Heathcliff,Mt. Heathcliff',Heathcliff,Ieathclil,M. Heath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,HEIGTB,IIEIGTS,EEIGT,HEIGLT9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,IEIGHT9,IIEIGHT9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,EIGHRT9,IIEIGHRT8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,HEIGRT8,HEIGRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,HIEIGRT9,EIGRT9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Heights,Heightas,HEIGHTS,Tle Heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Heatheli,Heathelif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Ieathelif,Ieatheli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Cuatherine,Cuatherinc,Cutherine,Catherino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"Wuthoering
Heights","WYuthering
Heights","Wuthering
Heights",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,wEERING HEIGHTS,wtrTEERING HEIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Wutheriag Heights,Wutheriug Heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,WVuthering Heights,WVuthering Heighte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Wuthering Heighte,Wuthering Heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
