cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26
64,Lâches,Bouche,Cher,Ghe1che1,Chichiméques,Che1che,Riche,Chemin,Séchez,cher—,— Cher,lâche—,ache—,N1ck,manche,Och,détache—,bouche,,,,,,,,,
65,Moi,Ÿl,moi,DOIT].,suivezmoi,Les Mois,,,,,,,,,,,,,,,,,,,,,
66,lÎ,".glî;;.n,,-.g_gm","l._lî',âlïle",,,,,,,,,,,,,,,,,,,,,,,,
67,Charmante,marchan—,échan—,achar—,Marches,,,,,,,,,,,,,,,,,,,,,,
68,æ,Comptez,com,accompagn—,compl—,compa—,comptez—,Acceptez,complè—,,,,,,,,,,,,,,,,,,
69,alluma,lasalle,Malleval,mala—,Va,AL.—\,Maleval,Allez,,,,,,,,,,,,,,,,,,,
70,Villiersïyïdéposa,"Villiers,- agissez","Villiers,-",s’allier,Villiem,".,-",,,,,,,,,,,,,,,,,,,,,
71,Ÿ,vain',inquié—,soute1“ain,ain,—- Ainsi,A demain midi,"la_,_fin-",Soudain,qin«_,Dominé,Ruiné,,,,,,,,,,,,,,,
72,Québec,Québec permet—,per10quet blanc,,,,,,,,,,,,,,,,,,,,,,,,
73,NJ,l‘on,"Risque—
l‘ont",l‘ont,,,,,,,,,,,,,,,,,,,,,,,
74,sv,L’Aigle-V,Aigle-Volant,Aigle,Aigle—Volant,},Volant,L’Aigle-Volume,Aigle-Volant roula,,,,,,,,,,,,,,,,,,
75,".-,",.-—.-,-.-,".-\,.ç_-",-.-A_ÈC,,,,,,,,,,,,,,,,,,,,,,
76,l\,".Â

A l\",Ï —J ai lutté,tv;—_«,,,,,,,,,,,,,,,,,,,,,,,
77,philosophe—,le philosophe—,philoso—,,,,,,,,,,,,,,,,,,,,,,,,
78,baie d’Hudson,Bonsoir,"son,'c’",Son,Sonne,son111e,Alo1s b1sons,conso—,raison—,,,,,,,,,,,,,,,,,,
79,LW,Lw,,,,,,,,,,,,,,,,,,,,,,,,,
80,New—York,for1êt,horizon—,Or,Orléans,Ë1borlooé,Formé,temporaire—,Corne-bœuf !,mort”qui,,,,,,,,,,,,,,,,,
81,t1ouvre1as,la Couleuvre,Couleuvre s’,"de
Couleuvre",Couleuvre n’,Couleuvre,La Couleuvre,<,couVraient,vr‘i«‘i,,,,,,,,,,,,,,,,,
82,estonie,Est—ce,Est,Cîest,estici,G‘est,,,,,,,,,,,,,,,,,,,,,
83,s‘en',en’,en',Enﬁn,Penh,ten',.EN,Enﬁd,,,,,,,,,,,,,,,,,,,
84,Wÿ—J—mmw—w,F”’ŒTËMW,wÿ,,,,,,,,,,,,,,,,,,,,,,,,
85,cette1nde,Hésites-,ter1et,Créateur,Totem,tete,Cette,Halte,Slïüîﬁte‘ﬂ.,sousﬂeter,latepelt,Tels,téte,Tes,,,,,,,,,,,,,
86,j’.y,j’,J’,,,,,,,,,,,,,,,,,,,,,,,,
87,v—.———V-,—— J‘ai,———-:--—.-—-,z.'y.—-vr——.--‘—,F—çv————Duæe_a,w———————«——-,—— Non,—— Nou,,,,,,,,,,,,,,,,,,,
88,habitué,habi—,,,,,,,,,,,,,,,,,,,,,,,,,
89,V1É1Œ,u)f“,And1é,d1,,,,,,,,,,,,,,,,,,,,,,,
90,uzrr,Terre Sainte,Angleterre,la terre,terre,querrezla,l‘Angleterre,remédierà,,,,,,,,,,,,,,,,,,,
91,Exeusezunoi,joyeuse—,L:.se-,me',Ilmmgcuse,l08,seño1,meuse,aﬁ‘reuse,W,Gueusard,me’,Furieuse,Fameuse,,,,,,,,,,,,,
92,reﬂet,et’,elïet,t’,DV,,,,,,,,,,,,,,,,,,,,,,
93,m‘Y'ÊÎ'r-7‘m',a‘M',"M'""",,,,,,,,,,,,,,,,,,,,,,,,
94,e1it,dix—huit,ﬁdit,Pittsburg,12,ﬁnit,,,,,,,,,,,,,,,,,,,,,
95,L’ON,l’,L’,cl’,"‘

XX
L’",,,,,,,,,,,,,,,,,,,,,,
96,M,Sçavoir,Bravo,avoir‘p1‘noncé,,,,,,,,,,,,,,,,,,,,,,,
97,Répondez,"demanda-L

—R1en",ﬁde,demandez—,demand—,Hollande,normandes,de1,,,,,,,,,,,,,,,,,,,
98,Essayez,Soyez,Voyez,Fuyez,ÏÆÉä,voya—,Vousivoyez,,,,,,,,,,,,,,,,,,,,
99,Bois-Brùlé,"de
Bois—Brûlé",Bois—Brûlé,Bois—'.l‘rac‘y,Bois-Brûlés,Br1lé,bois-brûlé,bois—,le bois—brûlé,,,,,,,,,,,,,,,,,,
100,diﬂé—,"discré—
| tion",discré—,-,,,,,,,,,,,,,,,,,,,,,,,
101,Parvenu,parcourir,Parisien,Parpillé,Martyrisez,nuancés de gris,Paris,Loris,disparu—,Sri,Particularité,par-,,,,,,,,,,,,,,,
102,niv1Èn.n,Apr1ès,apr1ès,dèsho—,ﬁ,apr1,ÿclar11ère,,,,,,,,,,,,,,,,,,,,
103,Interrogez,inter—,enfer—,interrog—,interpr—,serpentine,,,,,,,,,,,,,,,,,,,,,
104,sen1bl1it,sen1bl1it 111l1.111ch1ssable,.1114,cal11mét,,,,,,,,,,,,,,,,,,,,,,,
105,@.:_Â\,.:.Ï,.:—,.:,".:::""L‘c",,,,,,,,,,,,,,,,,,,,,,
106,.'ç,.'1,,,,,,,,,,,,,,,,,,,,,,,,,
107,Visageé-Pûles,Agis,Visages,_,Pélage,Visages—Pâles,aù‘visage,,,,,,,,,,,,,,,,,,,,
108,.—n,gay.—mu,‘a.—,.—«=,",,A.A.",.——->—A.,.—æ»r,uv.—,,,,,,,,,,,,,,,,,,,
109,"Peaux—

Bouges",Rouges,Peaux-Rouges,Peau-Rouge,Peaux— —Rouges,,,,,,,,,,,,,,,,,,,,,,
110,Ê_1misère,particulière—,"RIVIÈRE

—",RIVIÈRE 483,rivière qu’,RIV_IÈRE,Rivière,rivière,vive—,la‘suivre,"rivière de
Montmorency",1rivière,,,,,,,,,,,,,,,
111,Renard-Bleu,Le Renard-Bleu,Renard-,Renard—,hasard—,Renard— B,,,,,,,,,,,,,,,,,,,,,
112,trio—,l‘Ohio,Ohio,HI,io,whiskey,"Ohio,‘le",,,,,,,,,,,,,,,,,,,,
113,Le,LeV.,adler—,électro—,LEON,Tulle,Créole,m| LEGAI,LE,noble—,ﬁle',.'ètle,.Le—,Parlez,etle,,,,,,,,,,,,
114,jusqu’,Jusqu,7q,justiﬁe1,qu’,mosqu,,,,,,,,,,,,,,,,,,,,,
115,"Iam-n.

saire",scapulaire,Iam-n.,,,,,,,,,,,,,,,,,,,,,,,,
116,prostr—,Le Proscrit,Proscrit,reprit’,Proc1-it,Prescrit,Prosp‘it,,,,,,,,,,,,,,,,,,,,
117,à-,est-ù-dire,est-à-dire,,,,,,,,,,,,,,,,,,,,,,,,
118,.p,Î1,,,,,,,,,,,,,,,,,,,,,,,,,
119,"W""""""""‘V",nvu-nw,mä'nvu-nw—m‘v,mäaÿ,,,,,,,,,,,,,,,,,,,,,,,
120,wvaxnpuns,n1V11äun,Aucune,itune,Lun 87,UN,Undè,lune,,,,,,,,,,,,,,,,,,,
121,Armand,arm1es,mara—,Niagara,marmara,Wma,Camarades,pyramide artiﬁ—,arabe',,,,,,,,,,,,,,,,,,
122,quatre—,"quatre—

Ïvingts",quatre—vingts,tmatre-vingts,,,,,,,,,,,,,,,,,,,,,,,
123,servi—,conserv—,observa—,observ—,Observez,,,,,,,,,,,,,,,,,,,,,,
124,LA 13 E LE,BEL L E ltl V !,Vîüg,"Vîüg

LA E ELLE",,,,,,,,,,,,,,,,,,,,,,,
125,du Nord,Nord,ord1es,ignor—,"'

Nord",,,,,,,,,,,,,,,,,,,,,,
126,T,L1V—,L1V-,v-,L1v,,,,,,,,,,,,,,,,,,,,,,
127,4 N’,eﬁ”ort suprême,É confortable,fort Rupert,fort n’,fort honnêtes,,,,,,,,,,,,,,,,,,,,,
128,Dé1ﬁoñlüë,indé—,Arrî1and,Andé,Landé,,,,,,,,,,,,,,,,,,,,,,
129,Rameau-d'Or,Amel,a1r‘étantRameau-d Or,Dame,Rameau- d‘01,Hameau,Rameau-,Rameau-d’Or,,,,,,,,,,,,,,,,,,,
130,obéis—,nais—,conna—,connais—,avaitdonnée,le1‘ais—jelà—ball répondit,reconnaissez—,J’ ai l’honneu1,venaisou,,,,,,,,,,,,,,,,,,
131,Ouïe-Fine,.\,tait—,certain—,taine,Seine,récriminel,involontaire—,chine,Hermine,"capi—
taine",auhapitaine,,,,,,,,,,,,,,,
132,conﬁtences,.F,"conna—
rescence",Conﬁance,conﬁance,,,,,,,,,,,,,,,,,,,,,,
133,Rendez,Londres,Reprmlucﬁon în!credit_,Apprenez,Pendre,Beviendrez,R1VÊRE,apprendrez,Prends,Penserez,Ogre,,,,,,,,,,,,,,,,
134,wigwam,wampums,amm,W‘Q‘mmm,,,,,,,,,,,,,,,,,,,,,,,
135,rente1,Parfaitement,sentence—,m‘impatiente,m‘entendez,Consentez,s’orienter,Contentez-,honteuscnwnt,Maintenant,contentez,soixante— dix—,l\maintenant,,,,,,,,,,,,,,
136,ent1tien,mont1e1e indienne,Ent1e,M.— de Jeumont11e,tient1a,encod1e,en1e,sont1e,ent1e,cont1ai1e,"r',enc0t1e",êt1è,,,,,,,,,,,,,,,
137,Vivement,commen—,Doucement,Comment“,Comment,— Vraiment,"Ge gentilhomme,_je l’avais",,,,,,,,,,,,,,,,,,,,
138,É,Ÿî’M,Î’,O,,,,,,,,,,,,,,,,,,,,,,,
139,enne—,Vienne,bien—,Guyenne,Bienne,—— Bien,m‘enne—,bientot,Bientôt,,,,,,,,,,,,,,,,,,
140,Nouvelle-France,Nouvelle—Hollande,Nouvelle—France,"BELLE vannes

Ce nouveau personnage",Bellou,Nouvelle-Orléans,Nouvelle—Emma,Nouveau-,"BELLE 1nonänn

IX",Nouvelle,couver—,Nouvelle—Orléans,,,,,,,,,,,,,,,
141,"expédition—
naire",supé—,expo—,expé—,tombé—,J,,,,,,,,,,,,,,,,,,,,,
142,regardez le soleil,soleil,Le soleil,le soleil,Le sachem,,,,,,,,,,,,,,,,,,,,,,
143,Î_._,"r,_. 4lA_'T._'A",._r';\,ﬁr_.,"._,",._I,._._T._.e,«.__.A,"_.,",._._._,._.,._(ëL.çæyîg,._,,,,,,,,,,,,,,
144,rassur.er,Opossum,s‘essuy',Rassurez,s*assurer,,,,,,,,,,,,,,,,,,,,,,
145,Asie,diss—,.Si,Mississipi,l‘assassin,As,si',Assis,Pas,russie,,,,,,,,,,,,,,,,,
146,éc1a,olﬁc1e15,c1,c11rosse,,,,,,,,,,,,,,,,,,,,,,,
147,Mæ;ﬁe,guer11er,conﬁer,ëf,ﬁer,ﬁerté,signiﬁer,justiﬁer,,,,,,,,,,,,,,,,,,,
148,château de,au Havre,"château de
Beauregard",Gaudebec,Beauregard,,,,,,,,,,,,,,,,,,,,,,
149,canada,Canadienne,Canadien-,Canada,Canadiens,Caen,Adieu,Canadien,cana—,Cana-,,,,,,,,,,,,,,,,,
150,q—,Be1ge1,salue1,"pasa‘1""lume1",salu—,,,,,,,,,,,,,,,,,,,,,,
151,Rainèau- d’Or,Hameau d’Or,d’Or,d’,,,,,,,,,,,,,,,,,,,,,,,
152,s’abat,Û,s’arrêta,s’échapper,s’,s’appuyer,,,,,,,,,,,,,,,,,,,,,
153,exag—;pérée,exag—,,,,,,,,,,,,,,,,,,,,,,,,,
154,gﬂ.yf_zﬂf,.y|,,,,,,,,,,,,,,,,,,,,,,,,,
155,Palamède,pays—,Palma,palma,mali,,,,,,,,,,,,,,,,,,,,,,
156,lejeune,—je,Jeune,Lejeune,",t",,,,,,,,,,,,,,,,,,,,,,
157,Sérieux,Curieux,"deux,-la",alÏreux,EUX,—- Glorieux,Deuxhangars,Ceux-,,,,,,,,,,,,,,,,,,,
158,Luy,Luv,celui—,àla pluie-,lui1,,,,,,,,,,,,,,,,,,,,,,
159,capi—,demi—couché,mi—,faci—,demi—mot,,,,,,,,,,,,,,,,,,,,,,
160,S,as-tu soif,Voilà,Es-tu fou,Douterais-tu,QG,Vois-tu,Vètu,Crois-tu,,,,,,,,,,,,,,,,,,
161,Français,Françaises,Francais,.u,français,F1auÇais,,,,,,,,,,,,,,,,,,,,,
162,HumîﬁtArd,Pa1don,Pardieul,Ward,Pardonne,Pardon,donnez—,-—- Pardieul,,,,,,,,,,,,,,,,,,,
163,moule—,"W

‘",Où voulez,Voulez,Voulu,sulÏvoquée,,,,,,,,,,,,,,,,,,,,,
164,Arrivés la,ii _ Arrivés,Ar1ivées,Arrivés,,,,,,,,,,,,,,,,,,,,,,,
165,touﬂ’ues,depart,partez,tourte—,Partons,Partout,toutd‘abord,Bisquetout,,,,,,,,,,,,,,,,,,,
166,pè1e,t1,Votre,vot1e,not1e,Vot1e,,,,,,,,,,,,,,,,,,,,,
167,JVÆﬁ,Gu«‘um,VW”'”M,u«tgvæ,,,,,,,,,,,,,,,,,,,,,,,
168,Eh,place qu’,mée,Placée,,,,,,,,,,,,,,,,,,,,,,,
169,t1anguille,J umonville,Veuillez,ma lille,Nulle,o1meilleursè,taillis,Jullouville,salille,Castille,Senneville,ﬁlle,lille,mollet,Pilla,,,,,,,,,,,,
170,États-Unis,réta—,atta—,état,Î ’ ',,,,,,,,,,,,,,,,,,,,,,
171,chasse1,É chasseur,cap du Chat,haussa,s’asseyant,Asseyez,chas—,désintéresse—,chaude—,chasse—,Michaelébé,,,,,,,,,,,,,,,,
172,Ïvingts,Vin et-dix,Washington,vingt—,Vingt-,,,,,,,,,,,,,,,,,,,,,,
173,Laissez-,lai',Obésuisse,établisse—,seuil de la maisonnette,s’aﬁ'aissa,Anglais,Venise,laisse1,Puisses,ﬁnesse,Laisse,\'lais,rissaient,,,,,,,,,,,,,
174,difﬁ—,culté,difﬁculté,,,,,,,,,,,,,,,,,,,,,,,,
175,besogne,Espagnol,espi—,Espagne,d’Espagne,,,,,,,,,,,,,,,,,,,,,,
176,recon—,Contrecœur a Jean—Pol,Contrecœur,Contre-,CONTRECŒUR,,,,,,,,,,,,,,,,,,,,,,
177,Me1si,aguerrie,Merci,mer 51,garnier,merisier,s’exprimer,cap Rosier,,,,,,,,,,,,,,,,,,,
178,Maisâtez,Ail,deuimaitns,j‘ai,sais,faix,mawkawis,J ai,satisfait—,aimez—,Ouais,J’)irais,J'ai,aimais,Maigre,mais‘avais des ordres,Bais,,,,,,,,,,
179,j‘en,s‘en,m‘en,J‘en,‘eﬂmü'ﬁ'ﬁ‘ﬁﬁW‘etÿæïï‘î,P1‘enez,Le l‘en,l‘en,l‘enseigne Ward,d‘en,t‘en,ÎV,,,,,,,,,,,,,,,
180,solennellementà,énigme—,Fatalement‘t,Jérusalem,Cordialement,générale,remet—,généralement—,,,,,,,,,,,,,,,,,,,
181,Koul1a-Handé,Kouba-,Kouba—Handè,bandoulière,Kouba,Koufa,Kouba-Haudé,Kouba—Haùdé,Kouba-Handé,Haùdé,,,,,,,,,,,,,,,,,
182,Euro-,Et1opéens,Europe,Européens,,,,,,,,,,,,,,,,,,,,,,,
183,méritez,l'Amérique,Quels,briquet,l’Amérique du Nord,Américains,Amérique du Nord,Amérique,l’Amérique,Risque,Gincinnatus améri—,Amé-,,,,,,,,,,,,,,,
184,Grand-Esprit,Ingrat,Grand—Esprit,gr,brandir,Grand,grand—,,,,,,,,,,,,,,,,,,,,
185,triSte,Sans-Piste,Castel,S',im11artiste,Piste,,,,,,,,,,,,,,,,,,,,,
186,Anse-aux-,Marigots,Anse—aux-Marigots,Anse-aux-Marigots,,,,,,,,,,,,,,,,,,,,,,,
187,H—-rﬁæ,—- Cela n’,.—:—-,—-,,,,,,,,,,,,,,,,,,,,,,,
188,bourrelé,devenantpourpre,Poitou,bourre,pour—,surﬁt point,Aujourd‘hui,amour—,l(oua,Doué,lourdes,Pour,court—,Pourquoi,,,,,,,,,,,,,
189,r—ﬁ—r,P,r—ﬁ—r—N,admir—,,,,,,,,,,,,,,,,,,,,,,,
190,Saint- Laurent,Saint-,Saint—Laurent,Saint-Lau1ent,Saint-Laurent,entre—,-L,,,,,,,,,,,,,,,,,,,,
191,Jura,Encouragés,G,RA,Tracy,jurerais,"demeura -

 

 

 

 

-1HOVAHÇ",jura,,,,,,,,,,,,,,,,,,,
192,fé1ce,créances,roi de France,"puis—
sance",Franchement,la France,T'—,France,,,,,,,,,,,,,,,,,,,
193,uuwçW’«W,"f‘1‘»"".a",Uu‘1,ou‘d,a\:‘1,,,,,,,,,,,,,,,,,,,,,,
194,Î.;t,ÿ-*=ŸWËÎ‘Ë,JÎÀÏÎQ,.;ëﬂîËî‘ïîî,,,,,,,,,,,,,,,,,,,,,,,
195,ar‘b1es,1est1d11e,heu1es,brandîassaut des torches,au1e,d. aut1 es éclar1eurs ennemis,"créau1e

—",but1e,aut1es,,,,,,,,,,,,,,,,,,
196,enèté,Occident,Cc,Accidenté,accol—,Providence,,,,,,,,,,,,,,,,,,,,,
197,envelopp—,Kayélon,Loups-,alo1s,loœ,Gloireœnr,Lovelace,Lo1qu,Lo,,,,,,,,,,,,,,,,,,
198,incompréhen—,moin—,foins,loin_de,confin—,Au besoin—,coin—,,,,,,,,,,,,,,,,,,,,
199,numgcw',.HMgÇ—1,,,,,,,,,,,,,,,,,,,,,,,,,
200,attendez—,cepen—,baton—,Attendons,atten—,,,,,,,,,,,,,,,,,,,,,,
201,.____-,FW___'.-.,._____,,,,,,,,,,,,,,,,,,,,,,,,
202,ll.lVlÈla-E,BELLE ll.lVlÈla-E,,,,,,,,,,,,,,,,,,,,,,,,,
