cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26
78,Sniffin,Grass Inn,Inn,Inn of,inn,Glorvinn,,,,,,,,,,,,,,,,,,,,,
79,in'a,Wittgenstein,St. Kitts,Pitt,St. Pitt's,beaux,St. Paul's,St. Paneras,,,,,,,,,,,,,,,,,,,
80,ND M0HIs,Rector,Osbaldiston,Artist,History,Macmurdo,,,,,,,,,,,,,,,,,,,,,
81,eUrope,europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,
82,HIoggarty,Sugar,Trafalgar,Kangaroo,,,,,,,,,,,,,,,,,,,,,,,
83,Molyneus,P.S.,8he,MIrth,Mirnnda,Montmirail,,,,,,,,,,,,,,,,,,,,,
84,Britain,Curzon,Curtain,Mozurt,Curtains,M.P.,,,,,,,,,,,,,,,,,,,,,
85,St. George's,St. George's Hospital,,,,,,,,,,,,,,,,,,,,,,,,,
86,Iudia,Irdia,,,,,,,,,,,,,,,,,,,,,,,,,
87,IM,Iahimo,L1,,,,,,,,,,,,,,,,,,,,,,,,
88,Potentate,Cheltenham,Ostend,Chcltenam,,,,,,,,,,,,,,,,,,,,,,,
89,Maidens,Wiesbaden,Providence,"their eonfidential servants,-so",Dresden,LLxE,,,,,,,,,,,,,,,,,,,,,
90,Machiavellian,Julia,Inlia,Goliah,Cecilia,,,,,,,,,,,,,,,,,,,,,,
91,Fraucis,France,FRance,fRance,perseverancc,-s,A20,,,,,,,,,,,,,,,,,,,,
92,Shylock,Bullock,Bulloeks,Mlelulla,Bulloeck,,,,,,,,,,,,,,,,,,,,,,
93,&c.,Caleutta,Calumny,Calcutta,,,,,,,,,,,,,,,,,,,,,,,
94,"tlc
East India Company's",West Indian,West India,East India,the East Indian,,,,,,,,,,,,,,,,,,,,,,
95,Dulwich,Richelieu,Richnond,Richmond,Munich,,,,,,,,,,,,,,,,,,,,,,
96,Edinburgh,Strasburg,St. Petersburg,St. Peter's,,,,,,,,,,,,,,,,,,,,,,,
97,Nassau,Susses,Masses,Mosses,,,,,,,,,,,,,,,,,,,,,,,
98,Persia,Asia,Russia,AsIA,,,,,,,,,,,,,,,,,,,,,,,
99,Rowlnand,Thomson,Rowson,thou,,,,,,,,,,,,,,,,,,,,,,,
100,Bierstadt,Booterstown,Cape Town,Oystherstown,,,,,,,,,,,,,,,,,,,,,,,
101,Montmoreucy,morocco,Morocco,Icst,MoRal,,,,,,,,,,,,,,,,,,,,,,
102,Ameclia,Mmclia,W. T.'a,Amclia,MAmclia,,,,,,,,,,,,,,,,,,,,,,
103,Destiny,East,Feasting,eating'and,,,,,,,,,,,,,,,,,,,,,,,
104,Armelia,Amelia,Melia,MAmelia,melia,Mmelia,,,,,,,,,,,,,,,,,,,,,
105,Inside,Monseineur,MIonsieur Isidor,Monsieur Isidor,Monsieur,Isidor,,,,,,,,,,,,,,,,,,,,,
106,DOorway,Peterwaralin,Peterwaradin,Puppets,,,,,,,,,,,,,,,,,,,,,,,
107,Nanoleon,Nnpoleon,Polal,L W,,,,,,,,,,,,,,,,,,,,,,,
108,Cracksman,oman,Manon,d'h6te,Germany,Salamanca,,,,,,,,,,,,,,,,,,,,,
109,WI,Lederlung,Derby,Yonder,Alderney,Podder,,,,,,,,,,,,,,,,,,,,,
110,pAris,paris,Paris,Punjaub,,,,,,,,,,,,,,,,,,,,,,,
111,Orlenns,Dans canean,New Orleans,Orleans,Egnlite Orleans,the Duke of Orleans,,,,,,,,,,,,,,,,,,,,,
112,Black Less,Eagles,Lessons,Naples,eagles,Wales,Ritles,,,,,,,,,,,,,,,,,,,,
113,Continent,linendraer,Linen,,,,,,,,,,,,,,,,,,,,,,,,
114,Rebeecca,Rebecec,Rebeeca,Rcbeeca,Wet,Rebeecn,,,,,,,,,,,,,,,,,,,,,
115,Brunswick,Soho,Chiswick Mill,Chiswick,,,,,,,,,,,,,,,,,,,,,,,
116,Brighten,Brighton -for Brighton,Brighton,Briglton,,,,,,,,,,,,,,,,,,,,,,,
117,Io,Sea,"A Sea o PerRY
ROCK II",Red Seas,red st,,,,,,,,,,,,,,,,,,,,,,
118,Udolplo,Porteus,Portansherry,Port,Portland,Corporal,,,,,,,,,,,,,,,,,,,,,
119,Vittoria,Bulgaria,Siberia,"like,-declarig",Miaria,Maria,,,,,,,,,,,,,,,,,,,,,
120,Consul,Luura,Peninsula,Peninsular,,,,,,,,,,,,,,,,,,,,,,,
121,New Gardens,"Kensington
Gardens",Kensington Gardens,kensington Gardens,Kensington,uadrunt gardens,,,,,,,,,,,,,,,,,,,,,
122,Pompadour,pomatum,Pompeii,,,,,,,,,,,,,,,,,,,,,,,,
123,Rawdon,Armageddon,Don Juan,"&c.
Rawdon",Wimbledon,Pardon,,,,,,,,,,,,,,,,,,,,,
124,Domain,Spain,lAin,,,,,,,,,,,,,,,,,,,,,,,,
125,Amcelia,Anelia,Aielia,lelia,Aelia,Auelia,,,,,,,,,,,,,,,,,,,,,
126,Baronet,Bronet,brother--,,,,,,,,,,,,,,,,,,,,,,,,
127,Hart Street,"Half Moon
Street",Street,Gaunt Street,theBareet,Greek Street,Baker Street,MAdame Strunpff,Curzon Street,Threadneedle Street,,,,,,,,,,,,,,,,,
128,Schliisselback,Missing,la-afon,Miss.,kiss,,,,,,,,,,,,,,,,,,,,,,
129,Joy,Joy.,c.,Enjoy,LE,,,,,,,,,,,,,,,,,,,,,,
130,Ramsgate,margate,Margate,,,,,,,,,,,,,,,,,,,,,,,,
131,Grosvenor,Avenues,Stadthnus,Venus,,,,,,,,,,,,,,,,,,,,,,,
132,Buckinghamshire,Wiltshire,Somersetshire,Crmrthenshire,Yorkshire,Iapshire,Shropshire,Hnmshire,Devonshire,,,,,,,,,,,,,,,,,,
133,instructiug,Cousin,Austria,W1,Lustrous,mustaclios,,,,,,,,,,,,,,,,,,,,,
134,chnmbermaid,WWel-,Camberwell,,,,,,,,,,,,,,,,,,,,,,,,
135,that1,Thames St.,CHATHAM,Thames,Chatham,,,,,,,,,,,,,,,,,,,,,,
136,Swindle,Hodlsor,Winlsor,,,,,,,,,,,,,,,,,,,,,,,,
137,Maraschino,china,China,,,,,,,,,,,,,,,,,,,,,,,,
138,Waterloo,IIammerlown,Blooms-,Wterloo,,,,,,,,,,,,,,,,,,,,,,,
139,Nuthan,Southamptou,Southampton Row,Roehampton,Swamptown,Southanpton Row,Us,Southampton,Southampton Gaol,,,,,,,,,,,,,,,,,,
140,rome,Tomeuvesiun,Rome,ROme,,,,,,,,,,,,,,,,,,,,,,,
141,St. Accent,St.,St. Helen,St. Just,St. James's,St. John's,,,,,,,,,,,,,,,,,,,,,
142,Girton,Muddleton,Darton,,,,,,,,,,,,,,,,,,,,,,,,
143,"Yis
l
l
- .","L
L","L
l
e.",.aS,,,,,,,,,,,,,,,,,,,,,,,
144,Mount St.,Albums,slc,"Mount
St. Woman","L

L3",Mount,Slc,,,,,,,,,,,,,,,,,,,,
145,Empire,Jabotiire,,,,,,,,,,,,,,,,,,,,,,,,,
146,Fulham,hamlin,Temple,Pnrlinmcnt,Dobin,Hamlin,,,,,,,,,,,,,,,,,,,,,
147,handkerchiefs,Sands,Hands,,,,,,,,,,,,,,,,,,,,,,,,
148,Christchurch,do't,Moorish,Irishwomn,,,,,,,,,,,,,,,,,,,,,,,
149,us City,City,"the City, Sir",the City of London,Surrey,the Fre City of JudenstuIt,the City,,,,,,,,,,,,,,,,,,,,
150,Far,Osborue,deeorum,Glorvina,Oslorue,,,,,,,,,,,,,,,,,,,,,,
151,Hritannia,Neapolitan,Vanity,Panitatan,Sultan,Nenpelitan,Britannia,Iphigenia,Titania,,,,,,,,,,,,,,,,,,
152,Peerage,OW,paragon,bDemagogue,Prague,,,,,,,,,,,,,,,,,,,,,,
153,Dearest George,"L

l
-'Y",Dearest,dEarest,,,,,,,,,,,,,,,,,,,,,,,
