cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43
16,Jacques,Jean-Jacques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,la France,Collège de France,de France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,rue de Tournon,Tournon,Vienne,rue de,Touraine,rue de l'Ancienne-Comédie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Anatolie,Mélancolie,Tolède,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Laisse,Suisse,Anglais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,jais,aimais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Parme,Paris,Partez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Michelet,Clichy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Gravures,Gênes,Suresnes,Sèvres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Seine,la Seine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,du Louvre,Louvre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,nacre,Menacée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,le soleil,soleil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Quittez,Muette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Elseneur,Asie Mineure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Docteur,Leurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Indes,jardin des Vosges,Vosges,Hollande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Curieuse,Fabien Mauri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Florence,Flore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Rouen,Cordoue,Corinthe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Latin,Dauphiné,Anzin,Obstinée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Berlin,Wurtemberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Italie,Italien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,l'Italie,d'Italie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Alsace,Grèce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Azow,mer d'Azow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Pierre,J'ai Pierre,J',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
