cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8
49.0,Acropolis,volez,metropole,trot,,,,,
50.0,garon,parole168,"quelques386
LES TRAPPEURS","parole168
ILES TRAPPEURS",ILES TRAPPEUR9,"ILES 1APEUR
- Ils",,,
51.0,mayenne matches,Caches,Apaches,mtches,bitche,,,,
52.0,"pais.8n
LES APPUIS",LEs,LES,"conseil.278
LES",Les,les96,,,
53.0,Le Soleil,Le soleil,Soleil,le soleil,le Soleil,soleil,,,
54.0,hatto,Attaques,danslaquelle,,,,,,
55.0,Aussit0,Sit,Cessita,,,,,,
56.0,Assis,Mississipi,lassassin,Cassini0moins,,,,,
57.0,Chimborazo,chichikoues,L'ouest,,,,,,
58.0,Accordez,"accoutumes a bra-
ver",Regardez,Cordoue,,,,,
59.0,"autre,3l0",cernaut,commuaute,bleutre,,,,,
60.0,grin,deterine,Angleterre,,,,,,
61.0,Canadienne,Flora meicana,ganado,Canadien,CAna-,,,,
62.0,Aguilar,Rio Gila,,,,,,,
63.0,Babillard,Babil-,Babillard7,,,,,,
64.0,camp des Mexicains,Americains,gamUusinos mexicains,Mexico,Linsee,MExicains,Mexicaine,Mexicains,
65.0,ter hier,Hier,,,,,,,
66.0,del Milagro,hacienda del Milagro,LHACIENDA DEL MILAGR0,,,,,,
67.0,Moires,echo,choire,,,,,,
68.0,Moyen Age,moyen3,"moyen3
- Est",Voyez,,,,,
69.0,Afrique,Utique,l'Afrique,,,,,,
70.0,FLAMANDS,jamais1,bahamas,vOyais,sais,,,,
71.0,OurS.,C0te,Courage,clairages,,,,,
72.0,arreles,carrey,- Arretez,Carthage,,,,,
73.0,CEs,delices,nice,,,,,,
74.0,Dieune,Lejeune,quelajeune,,,,,,
75.0,Peaux Rougesetles,riviere Rouge,Peaux Rouges,Peaux Rouges7,,,,,
76.0,calecon troit,Lendroit o,Croit,Linproiisioro,crois7,,,,
77.0,rue du Rosaire,"calle del Rosario,-",Salvator Rosa,,,,,,
78.0,Ehl Corail,senora,Etat de Sonora,Sonora,,,,,
79.0,La Providence,Providence,,,,,,,
80.0,retirez,prets,epreues,jets.3l,,,,,
81.0,Durango,sarrange,Etats de Durango,,,,,,
82.0,- Guerriers,guer-,,,,,,,
83.0,Vivant,Avantde,,,,,,,
84.0,tala,italie,paliers.8l,Lieu,Italie,australie,,,
85.0,sepulcre,Createur,Quate,D0ACTEUR,,,,,
86.0,Phoebe,Quebec,Quelque,que',,,,,
87.0,Arkansas,KANSAS5,ARKANSAS5,ARKaNSAS,LAlIKANSAS5,"mer du
LE-DE ARKANSAS",Que-De ARKANSAS,,
88.0,Leperos,lepero,Plateros,,,,,,
89.0,Puissance,Lenfance,france,defrance,Francais,rancon de ma mere,France,,
90.0,Hor simples MeursaiIr,MeursaiIr,,,,,,,
91.0,Russe,rusalem,russie,Pousse,,,,,
92.0,Accompagnera,Espagnol,Espa-,espagne,Espagnols,d'Espagne,vie?Je espagne,,
93.0,s0mme8,somme en-DE,Hommes,somme,commengca,,,,
94.0,"..-
-","-
-",,,,,,,
95.0,Mlexi-,Pacifique,Mexique,"A-
mexique",mexique,,,,
96.0,dHermosillo,Hermosillo,"Herm-
sillon",,,,,,
97.0,colere,decoloree,PSYCOL0GIE,,,,,,
98.0,"camp
- Pardieul","Jardin i
ton",tont,,,,,,
99.0,grotte de la riviere,grotte du vert de gris o,grotte oh lejour,Vert de gris,,,,,
100.0,Delawares,Etats Barbaresques,Bar,,,,,,
101.0,batie,lexpedition,ter  cette operation delicate,nation258,Denomination,Rvolution,,,
102.0,atlanta spectacle,spee,Miracle,,,,,,
103.0,on118,L o on Elio,- On1,,,,,,
104.0,limpunit,reunis,reunion,,,,,,
105.0,Lavait,Misait,suite2,Faite,Cetait,,,,
106.0,reveillee,Familles,deauville,Veillerai,reille,Cordilleres,,,
107.0,extremitles,- Remettez,extreme,,,,,,
108.0,0li-,cathedrale de Mexico,rue de l'Abbaye,golfe de Cali-,Mezcal,nes de l',,,
109.0,Boulot,Voulez,toul,,,,,,
110.0,tele,pele-mele,meles,mele,sang-mele,melis,,,
111.0,Lune,mune,lune,Aucune,,,,,
112.0,CHAsSEURS,Leschasseurs,,,,,,,
113.0,el Cerro,Cerro,,,,,,,
114.0,hesita,Nhesitez,hesiter,Jupiter,,,,,
115.0,possible7,"ha-
seine","la-
ble",,,,,,
116.0,Gambusinos,gambusinos,Gambusino,,,,,,
117.0,ditBelhumeur,Belhu-,Belhumeur,Belhueur,Belhumeurl,Belhumenr,Bellumeur,,
118.0,Sierra CAdre,sie,Sierra Madre les Indiens,Sierra Madre,,,,,
119.0,percut,et270,perlis,perils,perdu1,,,,
120.0,ar-,Compare,repara,Par-,paris,,,,
121.0,lagonie,wagon,,,,,,,
122.0,Prompt,"Roman-
ches",Roman-,,,,,,
123.0,chapperont,APPEL8,APPELS,,,,,,
124.0,Leur-Loyal,Caduc Loyal,"Cer
Loyal","Ces-
Loyal",c0loyer,Loyal,loyaut,,
125.0,Anglais,Palais,lequilibre,etais sr,"Palais et
Apaches",palais quil,,,
126.0,langres,grenoble,gre,Malgre,,,,,
127.0,eTats-Unis,Etats-Unis,Les Etats-Unis,,,,,,
128.0,Smolensk,depens,Tiens,Lives,fensive,,,,
129.0,Tete,tete haute,tete,,,,,,
130.0,"Amerique ridionale
expir",l'Amerique du Sud,l'Amerique,Amerique du Sud,Americaines,Amerique,Amerique du Nord,,
131.0,Chinois,fois.28l,danois,,,,,,
132.0,renonca,mignonne,loigna,Abandonnera,,,,,
133.0,Jesu-,difficult,mee resultat,,,,,,
134.0,l a,LAGRASSE,vousinteressez,t27,l assez-le l,,,,
135.0,45 I.,7 i.,,,,,,,
136.0,Piti,deput,- Caspita,depit,,,,,
137.0,Grand Chef des,Auras,Grand Chef des Auras,,,,,,
138.0,Combien,bient0ts',"Eh bien 
- Il",bientot,Bientot,Tres-bien,Bientt,,
139.0,Finissons-en,Inigo,,,,,,,
140.0,meme360,lavie,vie.vI,",lemerre",Vieme,,,,
141.0,Crics,decrire,Derrire,,,,,,
142.0,Quarante,Pirates,nantes,,,,,,
143.0,sert7,desertee,desert,,,,,,
144.0,Societ,Albacete,surete,anxiete,Etes,,,,
145.0,in-8,in-8-,2v.in-8-,,,,,,
146.0,songrand,gand,demander7,Grande,,,,,
147.0,alpes,TRAPPES,trappes,,,,,,
148.0,ner,general3,neral,general,- General,,,,
149.0,etle,Etle,,,,,,,
150.0,chine,chine-liege,Chine,,,,,,
151.0,malte,Ouaklehno,Oualtehno,Ouaktehno,,,,,
152.0,Etats,Etat,etats,,,,,,
153.0,"pas
- Entierement",Nonchalamment,sophiquementle,nement,,,,,
154.0,piste de la,jaguar,piste des jaguars,pise,,,,,
155.0,severe,sauverail,sauver.3:8,sauvezl,,,,,
156.0,Gymnase,t0t,t0t  Gymnase,,,,,,
157.0,enne,ennes,rennes,Vienne,liennes,Kennedy,,,
