cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41,elem_42,elem_43
15,Eugkne,Eugene,Eugne,Sologne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MARIE-CLAIRB,notre Marie-Claire,MARIE-CLAIR,laMARIE-CLAIRB,Marie-Claire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1 I1MARIE-CLAIRB,"1 I1MARIE-CLAIRB
noire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Agathe,nuages.a6,gagea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Soeur Marie-Aimee,Seur Marie-Aimee,Seur Marie-Aime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Marie-Aimes'occupant,arie-Aimee,Marie-Aimee lavit,Marie-Aimee,Marie-Aime Pas-,Marie-Aime,Narie-Aimee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,refectoire,soiree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,foins,ainsi.r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,So-,Parfois,Paris,Sois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,ar-,Arrêter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,la manche,manche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Blanche,la Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,passee,lasserl,baissee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,pre Chicon,Chicon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,.'avais,Javais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Madeleine,Ad2le,ler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,voyais,aimais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,cheminee,Chemineau la Bete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,guettais,violacee,etais,etais glacee,repetais,Jetais,etaissre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,bruyeres,bruyeres tres hautes,etais tres inquiete,Pas tres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,JE=,jE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,autrE,Mattre,Automne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,barriere de peupliers,Vierge,.Hier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Ismerie,ger,lingerie,superieure,Ismrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,alluma,Malgre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,allees,chataignier,allee des chataigniers,chitaigniers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Vronique,Veronique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Desire-des-Anges,Seur Desiree-des-Ange,des-Ange,Desiree-des-Ange,Sur Desiree-des-Anges,Desiree-des-Anges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,pre,Apres,prikre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,precher,pimbeche,bcheron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Quelque,Paques,Quelquefois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Elle ajiouta,reveillon,M.Alphonse,Allonsl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Maintenant,laSainte,Saintes Huiles,Sainte-Montagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,la Saint-eau,Saint-Jean,La Saint-Iean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,es-,jetee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,accrochee,poche;elle,Cache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,voilÀ1Elle,Gabrielle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Bel-,bELle-Eil,Bel-Eil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,tetes,tete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,betes,bete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,tilleuls,Orgueilleuse,Castille,Castle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Villevieille,Ville-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"vieille
Bibiche",Bibiche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
