cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7
85.0,Marques,Iria,materialisar,Queria,Sofria,Cederia,,
86.0,Mlaneoela,Soror Maoela,Soror Manoel,Maoela,Soror Mnnoelal,Soror,,
87.0,Conte-me,te-Mal,MAl,,,,,
88.0,CRIAN,ma crianca,"es cria-
dos",DO3 CRIAN,,,,
89.0,Trai,Estrada,tra,,,,,
90.0,herva,herdaste,Dasatou,todas2,,,,
91.0,Gertrudes Rolhas,Arouca,Soror Gertrudes,Gertrudes Zarolhae,,,,
92.0,Olieeim,paulo,Paulino de Oliveira,,,,,
93.0,carmezim,"nau-
Meza",,,,,,
94.0,Revoltar-se,Inolvidavel,Vivia,volvia,,,,
95.0,Cacilda,Cacos,Cho-,cachopa2l,,,,
96.0,Pedir,Desprender,esperasso,despedaoar,hispeda,pedacoes,,
97.0,compensacio,Dispensariam,,,,,,
98.0,Deixe,Deixou,,,,,,
99.0,"cam-
pos amanhecer","sim-
patria",trinufussc,,,,,
100.0,Infias,deseonfianga,,,,,,
101.0,oearamanchio,Cuidas,Imaginaram-,Cuidaram,,,,
102.0,Ponta do Ferido,vontade2,m pontap,,,,,
103.0,damasco,Piscoa,,,,,,
104.0,"da-
goas",familia,Emilia,"fa-
nilia",,,,
105.0,"Nasc
chore",Choravam,Chorava,mclhoras,,,,
106.0,Podia,india,Diabo,,,,,
107.0,Lisboa,Lis,"L--
Lis-",LishOs,"Lisa da
Roda",normalisou,,
108.0,Menino,Ins,Peninsula iberica,LA IA,Peninsula,,,
109.0,Engenho ae castro,Tenha,Tenho,,,,,
110.0,Candido Gnarrairo,ODeia,Candeia,MAdre Candeia,,,,
111.0,L1s es,"Madre
DELICADA",sa esbelta delicada,,,,,
112.0,Recolhi,Recordava,Acordara,,,,,
113.0,Maloitas,Coitadinlol,sta posso irradinva nma,,,,,
114.0,pungento,Sentia-a,"Presentimento-
tos",Representou,ciments,valentim,,
115.0,Baixa,caixoes,CAIxA,,,,,
116.0,Cinzas,azas:--,florida:--,braza,,,,
117.0,Inferno,Fonte do Inferno,,,,,,
118.0,"nio
compreendia",Endireitei-mo,doscendia,Compreendia,pre,,,
119.0,"lem-
branca do rapazinho",reden,naifrago,AIfredo Franca,,,,
120.0,Estremecia,Serra da eStrella,ceremonia,Estremoz,,,,
121.0,Chamaram-me,s6a--,chamin,chamava--,,,,
122.0,Pagens,IoCAGE,tragedia,Iages,,,,
123.0,Viera,Ros,polo imperador,Prospero Aquilo,"Pros-
pera",,,
124.0,Oh Amirricana,America,Africa,,,,,
125.0,Padre-Superior,MAdre Superior,Madre Superior,Mar Superior,serio,supp,Superior,
126.0,"vera pessoa do bom
padre Ze",Zafa do Patde,bom do padre,,,,,
127.0,Veia-lhe,Devia-lhes,Consulta-lhe,,,,,
128.0,baliio,Cula,Eulalia,,,,,
129.0,av...,valle,valle...,,,,,
130.0,"endoideccida do con-
vivo dos outros",Casar,"casa dos
Carneiros",Teresita do Loureiro,,,,
131.0,flores,Apressou,Presa,Fsplendores,lle respondar:--,crescidinhn,Resignada,fl6res
132.0,pe dolla,olla,,,,,,
133.0,Lembrava-so,"4(00
Ixsrarcio",LEmbrar-mo,,,,,
134.0,em Portugal,Importa-me,eserevaninha portugal,Portuguesa,portugal,Portugal,,
135.0,Qne,este9,qnestes,,,,,
136.0,"Terezinha da Mesa
do Padre",Tarezinha,Terazinha,Torezinha,Pobre Terezinha,amplid Terezinha,Therezinha,Terezinha
137.0,Peniche ...,Peniche,,,,,,
138.0,Chistina,Tinlma,Christina,Christinae,Triste,Clristina,,
139.0,dEpois,Pois,,,,,,
140.0,leresia,serena,Seres,,,,,
