text,cluster
Ilmmgcuse,25
joyeuse—,25
me',25
abuserai,25
L:.se-,25
Pâles,26
Les,26
"Xll

LES '1‘ RA",26
heu1es,26
sdes,26
descenditle,26
Ï sues,26
Drôles,26
ar‘b1es,26
Nos_lectricesne,26
LES,26
généralement—,27
générale,27
Jérusalem,27
remet—,27
Îjs,27
solennellementà,27
Cordialement,27
vive—,28
VI,28
Vire,28
Vil,28
"ViÎî""Î,—À:‘l",28
se1viteu1,28
vigi—,28
Vil-,28
vie!.,28
Dé1ﬁoñldüë,29
V1É1Œ,29
l33,29
Le soleil,30
regardez le soleil,30
le soleil,30
I’Œil-de—Bœuf un sourire froid,30
soleil,30
gﬂ.yf_zﬂf,31
.y|,31
"Iam-n.

saire",32
"aﬁ""aire",32
Iam-n.,32
Algonquins,33
—- Monsieur,33
mons,33
Montréal,33
monu—,33
Remonterons,33
—- Voyons,33
d’l1 a1monie,33
Onse,33
cons—,33
cap des Monts-Pelés,33
XŒ,33
Saut de Montmorency,33
Montmo1e.ncy,33
monsuæur,33
guer11er,34
guer-,34
ar1e,34
bivouaquerai,34
EÆ,34
per10quet blanc,34
ter1es,34
Gmu«‘um,35
uma,35
mum,35
alluma,35
Pilma,35
I,35
Wma,35
wampums,35
.æs.ma*.,35
numgcw',35
Marigots,36
Anse-aux-Marigots,36
h£_-A,36
Anse-aux-,36
Anse—aux-Marigots,36
Où voulez,37
Voulu,37
Î1,37
Voulez,37
F,37
Où,37
Où logez-vqus,37
-—- Pardieul,38
Pardieul,38
Gueusard,38
Mohsieurl,38
Pardien,38
Ê-1,38
Dieui,38
Pardil,38
wr—ﬁ—r,39
},39
ärææwr—,39
"ärææwr—

s==,.—.=——_a",39
mæv+mæw,39
Saint- Laurent,40
Saint—Laurent,40
Saint-Lau1ent,40
Saint-Laurent,40
Saint-,40
ﬂeuve Saint—Laurent,40
entre—,40
"- F/

—— Maintenant",40
afﬂuents du Saint-Laurent,40
Ë-,40
SA1NT-HÈnEM,40
lai'saient,40
Maintenant,40
justiﬁe1,41
justiﬁer,41
ﬂibustier,41
si',42
faci—,42
si—,42
demi—mot,42
sédui—,42
.Si,42
celui—,42
négli—,42
consi—,42
sifﬂa,42
mi—,42
Siège,42
plusiems,42
"-

—",43
"- ï

—",43
".—""——-_—< >- —",43
"-

—- Compagnons",43
"<

—",43
",- i",43
"}

—",43
conﬁance,44
Conﬁance,44
"etj'ai
conﬁance",44
ﬁancés,44
ﬁer,45
signiﬁer,45
ﬁerté,45
raﬁermir,45
conﬁer,45
M,45
Mæ;ﬁe,45
Ar1ivées,46
Arrivés,46
ii _ Arrivés,46
Arrivés la,46
u,46
———-:--—.-—-,47
z.'y.—-vr——.--‘—,47
w———————«——-,47
-—-g——j-v—,47
—— J‘ai,47
w——————,47
—— Nou,47
—— Non,47
v—.———V-,47
.——->—A.,47
".—v——-—<»—-wwﬂ>“'""'-——",47
s’échapper,48
Hermine,48
Cher,48
t1ancher,48
— Cher,48
iocher,48
cher—,48
L’,49
"‘

XX
L’",49
cl’,49
l’,49
ilsl’,49
L’ON,49
Laisse,50
Puisses,50
laisse1,50
laissoñs—,50
seuil de la maisonnette,50
Anglais,50
A,50
s’aﬁ'aissa,50
\'lais,50
ZN,50
bêtisesl,50
reconnaissez—,50
France,51
Franchement,51
créances,51
"puis—
sance",51
roi de France,51
la France,51
Pouvez-,52
savez—,52
Avez,52
Savez,52
avertirex,52
avez—,52
aver-ties,52
aves,52
Sauvez-le,52
dèsho—,53
Œ,53
prostra—,53
impro—,53
rappro—,53
frappeuà,53
æ,53
appro—,53
Grand—Esprit,54
Grand,54
gr,54
gratiﬁé,54
brandir,54
Ingrati,54
Grand-Esprit,54
français,55
Françaises,55
Francais,55
Français,55
F1auÇais,55
Devant,56
ande,56
And1é,56
Armand,56
undes,56
deman—,56
demandez—,56
Hollande,56
normandes,56
nuancés de gris,56
Arrî1and,56
Répondez,56
Bepondez,56
Beviendrez,57
Pendre,57
Rendez,57
apprendrez,57
Apprenez,57
Ogre,57
reve—,57
Prends,57
Les Mois,58
A moii,58
moi,58
moii 0111,58
moin—,58
moii,58
Moi,58
DOIT].,58
"\‘,'i’",59
i’,59
.l,60
.Le—,60
.L,60
interro—,61
Interrogez,61
inter—,61
"interro—
ger",61
"capi—
taine",62
capi—,62
auhapitaine,62
certai—,62
mys—,63
pres—,63
ques—,63
expres—,63
lettres—,63
"lèvres,—",63
empresse—,63
Pre3que,63
m’,64
J e m’,64
L E B 1 V I È,64
.'ç,65
.'1,65
Pittsbourg,66
devenantpourpre,66
Pour,66
pour—,66
Aujourd‘hui,66
mur—,66
lourdes,66
Pourquoi,66
Poitou,66
ta1d pou1 s' oppose1,66
amour—,66
tourte—,66
bourrelé,66
d’Espagne,67
Espagne,67
Espagnol,67
hesogne,67
besogne,67
Beauregard,68
au)mur,68
"château de
Beauregard",68
château de,68
Gaudebec,68
E,68
"W""""""""‘V",69
mä'nvu-nw—m‘v,69
mäaÿ,69
m‘v,69
nvu-nw,69
j’.y,70
j’,70
J’,70
7q,70
—— C’,71
C’,71
ly,71
Î,71
——C’,71
c’,71
Iﬂ1,72
diﬂé—,72
peut—,73
Peut—,73
a\:‘1,74
uuwçW’«W,74
Uu‘1,74
mvu‘1nn,74
—,74
"f‘1‘»"".a",74
În,75
-,75
d.,75
pied.-,75
jusqu’,76
Jusqu,76
qu’,76
q—,76
huche,77
demi—couché,77
- —- Tout ce qui te touche m’,77
Bouche,77
<,77
deboul,77
bouche,77
ä'_;.,78
.-;.,78
Û,78
.-;.—,78
àla pluie-,79
l)1‘îlla,79
q.,79
élas—,79
La,79
nonchalam—,79
cha11eela,79
écla—,79
lac Érié,79
Lovelace,79
Gholula,79
Placée,79
place qu’,79
Palamède,79
Pélage,79
impla—,79
clair—obscur,79
latepelt,79
pâtibulaire,79
pays—,80
"pasa‘1""lume1",80
Pas,80
passane,80
As,80
m‘as,80
J,81
culi—,81
difﬁculté,81
"î""Ï",81
difﬁ—,81
culté,81
"RIVIÈRE

—",82
rivière,82
Rivière,82
"rivière de
Montmorency",82
Ê_1nisère,82
RIVIÈRE 483,82
IHV!ÈR.IQ,82
1ivière,82
rivière qu’,82
RIV_IÈRE,82
Va,83
servi—,83
observa—,83
obser—,83
Observez,83
Br1tlé,84
Le bois-brûlé,84
"de
Bois—Brûlé",84
bois-brûlé,84
bois-bm‘tlüs,84
Bois-Brûlés,84
Bois-Brùlé,84
le bois—brûlé,84
Bois—Brûlé,84
bois-b1ulês,84
Lo1squ,85
alo1s,85
L01squ1ls,85
".glî;;.n,,-.g_gm",86
",,A.A.",86
lÎ,86
ﬁnit,87
Nick,87
ici?-,87
N1ck,87
place de nolre daim,88
vallée de l’Ohio,88
vallée de l’,88
ter1es de l’Ohio,88
Ë,89
atten—,89
attendez—,89
m‘entendez,89
cette1nde,89
Attendons,89
tend1e,89
ten'ez,89
"._,",90
._I,90
._.,90
Î_._,90
._,90
._._._,90
._._T._.e,90
._—.—,90
._(ëL.çæyîg,90
._—,90
«.__.A,90
"a

._—.",90
._r';\,90
n1V11äun,91
c11rosse,91
cal11mét,91
sen1bl1it 111l1.111ch1ssable,91
Es111it,91
p11se,91
.1114,91
sou111e,91
sen1bl1it,91
philosophe—,92
philoso—,92
le philosophe—,92
.WN,93
«.w-£v,93
.«.r,93
Ferney,94
T5,94
neme,94
New—York,94
inexpri—,94
NE,94
ﬁnesse,94
Corne-bœuf !,94
vrﬂnege-WŒW,94
G‘est,95
Est—ce,95
s‘essuy',95
Est,95
estici,95
Cîest,95
sées,95
esco—,95
.,95
Bellou,96
Telles,96
d’elle—,96
"BELLE 1nvnänn

IX",96
mademoiselle,96
Misérablel,96
cascabel,96
cielle,96
BELLE,96
BELLE mvn‘ann,96
elïet,96
ÎBELLE,96
hagatelle,96
réelle—,96
Tulle,96
BELLE mvuäan,96
Sentinelle,96
elle—,96
Celles,96
Laquelle,96
BELLE a1v1Eaa,96
—elle,96
Nulle,96
Bella,96
selle,96
Léonai,97
Léonal,97
Léona,97
Léoua,97
supé—,98
expo—,98
expé—,98
"expédition—
naire",98
ache—,99
Chichiméques,99
W,99
lâche—,99
Séchez,99
Che1che,99
Lâches,99
Chemin,99
Riche,99
manche,99
Ghe1che1,99
détache—,99
Le sachem,99
snlnunt,100
sn,100
Çùj,100
mv11‘snu,100
Eh bieni,101
à4,101
bien—,101
bieni,101
—— Bien,101
Virginie,101
Bientôt,101
Venise,101
bientot,101
ciencel N,101
".,-",102
.‘_.,102
".,=",102
"_.,",102
ﬁr_.,102
".Â

A l\",103
l\,103
habitué,104
ep1it,104
habi—,104
Vètu,104
amou—,105
redou—,105
Proﬁtez,105
propre—,105
impru—,105
prou—,105
brou—,105
trou—,105
Singuliére,106
Ïvingts,106
vingt—,106
Vin gt-dix,106
Vingt-,106
Washington,106
Piste,107
triSte,107
Bastel,107
Sans-Piste,107
Bordeaux,108
"peaux—
Lw",108
exau—,108
Peaux,108
S',108
tableaupchangea,108
Peau-,108
aup1ès,108
Peaux—,108
st.—.,109
"p\-wf*rîa"",—'_ET;—‘—.",109
A&—.,109
»—.,109
C‘»—ï‘,109
rémeltre,110
faute n’,110
au Havre,110
arognal‘autre,110
L‘autre,110
Autre,110
Faut,110
Votre,110
aut0nr,110
petit—être,110
l*autre,110
électri—,111
m| LEGAI,111
inlerdile,111
noble—,111
Créole,111
LEON,111
lez,111
etle,111
Le,111
le‘j0u1,111
nuhlecinc,111
leu1,111
.'ètle,111
ler,111
nil-ant,112
Posant,112
Océan,112
.:.—wan,112
aban—,112
Wanwæ,112
tran‘sporta,112
yan-kccs,112
désignan,112
Râmean-,112
soixante— dix—,112
BANCllol-“l,112
aan,112
Mangezl,112
An,112
pan_talon,112
bran—,112
anima—,112
anna,112
Orléans,112
Anjou,112
"océan
Atlantique",112
Quantà,112
Yankées,112
sang—,112
Blancs,112
Angelo,112
Contrecœur,113
CONTRECŒUR,113
G’,113
Contre-,113
Gontrecœur,113
s’allier,114
Villiersïyïdéposa,114
"Villiers,-",114
vieilla1d,114
Coulon de Villiers,114
"Villiers,- agissez",114
Cavaliers,114
Villiem,114
Ecoutez-,115
Écoutez,115
Goutte,115
Ajoutez,115
ajouta—,115
queie vienne,116
Guyenne,116
Menneville,116
Vienne,116
Bienne,116
Luy,117
Gelu1—m,117
Lun 87,117
UN,117
Jeune,117
lune,117
Aucune,117
Lejeune,117
itune,117
Luv,117
"nou -
veau",118
Nouvelle— F,118
Nouvelle-France,118
ouv1it,118
!,118
Nouveau-,118
t1ouve1as,118
Nouvelle,118
Nouvelle-Orléans,118
Nouvelle—Orléans,118
mouve—,118
Nouvelle—Hollande,118
m_wuvﬁ,118
Nouvelle—France,118
1elever,118
Nouvelle—Emma,118
ceintu1e,119
Seine,119
"L

Seine",119
l‘enseigne Ward,119
Ouïe-Fine,119
apeine,119
Risque-Tout,120
Risque,120
Bisquetout,120
lac garnison britannique,120
Quels,120
Risque—,120
Vivement,121
commen—,121
Comment,121
Commercy,121
"Ge gentilhomme,_je l’avais",121
Comment“,121
Doucement,121
compartimentsan,121
compen—,121
— Vraiment,121
commeun,121
t‘en,122
j‘en conviens,122
j‘en,122
s‘en,122
J‘en,122
l‘en,122
d‘en,122
m‘en,122
Le l‘en,122
"Peaux—

Bouges",123
Peaux— —Rouges,123
Peaux-Rouges,123
|,123
Peau-Rouge,123
T‘>u,123
Rouges,123
Lw,124
LW,124
chaude—,125
GHAUMIÈBE,125
chaus—,125
chas—,125
haussa,125
cap du Chat,125
"chaumiè1 e.

Il tenait un fusil",125
conso—,126
Bonsoir,126
baie d’Hudson,126
Son,126
Sonne,126
raison—,126
S:—,127
Ÿ,127
"Î—""r",127
"é:—""ç",127
foins,128
loin_de,128
Au besoin—,128
coin—,128
join,128
Joignez,128
pointl,128
Joie,128
Canadien-,129
cana—,129
Cana-,129
Canadienne,129
Canadiens,129
Caen,129
Canadien,129
canada,129
Adieu,129
Uanadien,129
Canada,129
W‘WFN‘-=Nrtu-'wmÿmna,130
Mn,130
AL.—\,131
uv.—,131
.—«=,131
M.—,131
.—æ»r,131
.—n,131
gay.—mu,131
mm.—_—,131
la Couleuvre,132
Couleuvre n’,132
Couleuvre,132
"vr_,ﬁw",132
couVraient,132
La Couleuvre démasqua,132
La Couleuvre,132
Couleuvre s’,132
"de
Couleuvre",132
Reproduction il\lcrdilc,133
Reproducliou,133
app10bation,133
Reproduction,133
Ropmdnclion,133
Reprmlucﬁon,133
.:—,134
.:.Ï,134
.:,134
@.:_Â\,134
".:::""L‘c",134
.____-,135
._____,135
FW___'.-.,135
u—»M,136
salue1,136
salu—,136
allu—,136
Mexique,137
P,137
Explique,137
réplique-H,137
golfe du Mexique,137
Expliquez-,137
opliétés,137
s‘éçîria,138
çal s‘écria,138
Î ’ ',138
ta1d,139
ma1t1,139
ta1de1en,139
V1 a1,139
pa101e,139
A1,139
pa110ns,139
c1a1ns,139
ma1qu1se,139
pa1v1en-,139
a1,139
VW”'”M,139
crois—,140
Sois,140
Crois,140
crois,140
ape1çois,140
.—:—-,141
—-,141
v—-,141
—- Cela n’,141
HW—-rﬁæ,141
l’Amérique du Nord,142
Amé-,142
Amérique du Nord,142
l'Amérique,142
méritez,142
briquet,142
Gincinnatus améri—,142
l’Amérique,142
Amérique,142
Karnac celtique,142
Américains,142
35,143
ché,143
L‘intérieur,143
Chérie,143
héris—,143
l‘assassin,144
spndassiu,144
Mississipi,144
dissi—,144
Assis,144
Asie,144
.F,145
triom—,145
HI,145
"Ohio,‘le",145
Ohio,145
io,145
l‘Ohio,145
Deuxhangars,146
alÏreux,146
"deux,-la",146
Ceux-,146
EUX,146
Curieux,146
Sérieux,146
Aigle—Volant,147
Volant,147
L’Aigle-Voluul,147
Aigle-Volant,147
Aigle-Volant roula,147
Aigle,147
vain',148
involontaire—,148
vain—,148
f,148
Ruiné,148
A demain midi,148
taine,148
soute1“ain,148
inquié—,148
—- Ainsi,148
ain,148
qin«_,148
Soudain,148
Dominé,148
S,149
Baht,149
Ah,149
“-æa,150
æaæ,150
ÏœWÀ,151
b*ﬂﬁﬂræ—?x,151
æ—«wà,151
æ—u.,151
wÿ,152
Wÿ—J—mmw—ww—Wvîüg,152
W‘Q‘wmmmw—ga—w,152
F”’ŒTËMW,152
GEFFI‘\OY,153
— n. GEI-‘FROY,153
Glül*‘l«‘ROY,153
GEFFROY,153
—— n. GEFFROY,153
n. GEI-‘FROY,153
ﬁ,154
îxrgxgçgœgÀwñÿt,154
.HMgÇ—1,154
s’abat,155
s’arrêta,155
s’,155
s’oﬂ're,155
s’appuyer,155
".-,",156
.-—.-,156
".-\,.ç_-",156
-.-A_ÈC,156
-.-,156
ent1e,157
êt1è,157
out1e,157
Ent1e,157
cont1ai1e,157
pè1e,157
enthou—,157
toutd‘abord,158
touﬂ’ues,158
Cou1,158
south,158
Septou,158
Loups-,158
Ëousu‘ii,158
Doué,158
Toutàcoup,158
N‘ou-,158
ou‘r,158
retou1,158
Europe,159
Eu1opéens,159
Européens,159
Euro-,159
.*.i,160
M‘“,160
_,160
.im‘inz,160
vr‘i«‘i,160
-Ï,161
àËa-Ï,161
gentils—,162
Penh,162
G,162
Enﬁn,162
Revenons,162
en’,162
Gens,162
gens‘dont,162
Tiens,162
Jens,162
wvaxnpuns,162
miens,162
genouæ,162
È,163
SWW,163
.ﬂ,163
wwæ4W,163
Kouka,164
Kouba,164
Kouha-I,164
Kouha-Handé,164
Kouha-,164
Koul1a-Handé,164
Kouha,164
Kouha-Haudé,164
Kouha-I—Iandé,164
Eveille,165
ma lille,165
Veuillez,165
silen—,165
Sicile,165
mollet,165
Castille,165
Lil,165
lille,165
salille,165
iuillis,165
égorgille,165
taillis,165
ﬁlle,165
présentemns,166
Penserez,166
sentencieu—,166
Gonsentez,166
contentez,166
Consentez,166
conséquenls,166
honteuscnwnt,166
conser—,166
baie des Marmousets,167
"FORT DUQUESNE

LE COMTE DE JUMONVJLLE",167
comtesse de Maleval‘l,167
cbmtesse,167
châtelaine de Maleval,167
AU CHATEAU DE MALEVAL,167
comtesse de Maleval,167
comtesse de Malev,167
-‘:MFZ£,168
"Wﬂ—üv‘üﬁﬂ""ﬁä",168
v‘:‘sﬁ,168
verai,169
sailles,169
Versailles,169
Ve1sa1lles,169
de Versailles,169
Sommes-,170
L‘homme,170
Meschaeébé,170
ﬂammes,170
Sommes,170
Hommes,170
som—,170
achar—,171
Archium,171
échan—,171
Charmante,171
marchan—,171
Marches,171
accou—,172
compa—,172
Cc,172
impa—,172
accompa—,172
acca—,172
accom—,172
à-,173
est-à-dire,173
est-ù-dire,173
.u,173
ghany,174
Allehany,174
.\,174
monts Alleghanys,174
lasalle,174
Alleghany,174
Alleghanys,174
Allez,174
la feuillée,175
sv,175
Coulon,175
Kayélon,175
Bouillon,175
bouillonna,175
JVÆﬁ,176
u«egvæ,176
Manangahela,177
Manonghahela,177
Manongahela,177
Manongahéla,177
Biver,178
la‘suivre,178
Suivez,178
SUI,178
surlui-mème,178
suivezmoi,178
Opossum,179
L‘Opos—,179
impor—,179
impos—,179
"quatre—

Ïvingts",180
quatre—,180
quatre—vingts,180
tmatre-vingts,180
Ÿî’M,181
Î’,181
",t",181
.‘Ç,182
.‘.0,182
12,182
m‘ﬂfﬂTvg,182
.‘ﬂ,182
P1‘enez,183
Vengé,183
souvenez-vons-enl,183
envelop—,183
Venez,183
É,184
Pa1don,184
donnez—,184
Pardon,184
avaitdonnée,184
Pardonne,184
aitle bas du visage,185
Visages—Pâles,185
Agis,185
aù‘visage,185
viiiage,185
satisfac—,185
agissaît,185
Visages,185
Visageé-Pûles,185
l‘Angleterre,186
a -_ rr,186
Erreqr,186
uzrr,186
Terre Sainte,186
querrezla,186
l08,186
La terre,186
la terre,186
Angleterre,186
temporaire—,186
terre,186
toldos indiens,187
pseudo-Indien,187
éclaireu1s indiens,187
Dinwidie,187
Indiennes,187
Ï' Indiens,187
indé—,187
d’un Indien,187
Rétendit,187
Indien Delaware,187
L’Indien,187
L’Iiidien,187
L‘indiﬁ‘érence,187
Indiens,187
Indiens suuvuges,187
indiens,187
Indien,187
desIndiens,187
NJ,187
Dieppe,187
Niagara,188
marau—,188
t1ibus nomades,188
Gamarades,188
pyramide artiﬁ—,188
l‘agonie,189
L‘aventurier,189
l‘ai,189
l‘arbre,189
l‘on,189
l‘a,189
‘a.—,189
Axl.æœ,190
LL.LÏ.;WZ£,190
ll.lVlÈll-E,190
BELLE IllVlÉltE,190
Alll,190
J<.=“,190
LlV.,190
BELLE ll.lVlÈll-E,190
BEL L E ltl V !,190
Vousivoyez,191
Soyez,191
Essayez,191
Fuyez,191
Voyez,191
tue1,192
olﬁc1e15,192
Be1,192
Me1ci,192
Be1ge1,192
Î.;t,193
ÿ-*=ŸWËÎ‘Ë,193
nw.;s,193
.;ëﬂîËî‘ïîî,193
Libre,194
Elie,194
Liv,194
poli—,194
soli—,194
Alil Jan-Pol,194
oli‘ert,194
Téoealis,194
toldos,194
Oli,194
Soldat,194
tort Duquesne,195
fort Duquesne m’,195
fo1t Duquesne,195
Duquesne,195
foiL Duquesne,195
mort”qui,195
fortDuquesne,195
garnison du tort_Duqnesne,195
"fort
Duquesne",195
FORT DUQUESNE,195
fort Duquesne,195
Providence veillât,196
cepen—,196
Providence,196
"fort
Nécessité",197
néces—,197
fort Nécessite,197
"fort
Nécessité“",197
désintéresse—,197
Nécessité,197
Ndccssité,197
fort Ndccssité,197
fort Nécessité,197
fort tde la Nécessité,197
voya—,198
noncha—,198
esca—,198
grima—,198
cama—,198
d’admira—,198
aaa—‘a,198
æa—,198
énigma—,198
.a—,198
bruta—,198
proba—,198
maga—,198
a—,198
chasse—,199
chasseu1,199
hasar—,199
É chasseur,199
chasseu,199
Asseyez,199
s’asseyant,199
Belle Rivière,200
BELLEÏRIVÏÈRE,200
Belle-Rivière,200
la Belle-Rivière,200
Belle—Rivière,200
BELLE R]VIÈRE,200
BELLE RIVIÈRE,200
Prosorit,201
Prosm‘it,201
Proserit,201
Procrit,201
Prescrit,201
le Prosm‘it,201
Le Proscrit,201
pros01it,201
Proscrit,201
Eh,202
États-Unis,202
réta—,202
atta—,202
état,202
com,203
complè—,203
Acceptez,203
compli—,203
comptez—,203
teirompes,203
Comptez,203
"bois

Du",204
"Bois—
'l‘racy",204
obéis—,204
VÏ,204
Bois—'.l‘rac‘y,204
bois—,204
péiil—,205
di1e,205
dix—huit,205
édiL -—,205
remédierà,205
édil,205
"M'""",206
m‘Y'ÊÎ'r-7‘m'f—‘ÎT'ËÂ‘A,206
a‘M',206
Alle—,207
mali,207
"Ÿl

 

 

 

 

 

ale",207
calh,207
Malevall,207
malheu—,207
Muleval,207
Maleval,207
mala—,207
"discré—
| tion",208
Aprés,208
appré—,208
repré—,208
discré—,208
tombé—,208
pré—,208
r01,209
Ï,209
f01êt,209
f01,209
Es-tu fou,210
Voilà,210
Sçavoir,210
as-tu soif,210
Douterais-tu,210
"tais-tu p1endre?

—",210
Crois-tu,210
Vois-tu,210
ve1rai,211
Trève,211
Tracy,211
a‘travers,211
entréavec,211
Bravo,211
trave1,211
J umonville,212
Jumenville,212
Jumonville,212
Hnrons,213
Hu1ons,213
Huron,213
Grognon,213
Loups-Hurons,213
Fumerons-,213
Hurons,213
Partons,214
Parlez,214
Parfaitement,214
Partout,214
Apartle,214
depart,214
particulière—,214
partez,214
