cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32
34,ger,S re,niere,Berenice,rer,Yer-,Ouvrezl,"erP¬
 
E",,,,,,,,,,,,,,,,,,,,,,,,,
35,Cadet Lambin,ca,Ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,ntete,i’,Sortez,ete poltron,tE,ter d'etrc,tetes d'nes,tete,salete,,,,,,,,,,,,,,,,,,,,,,,,
37,mele,Slee,Sle,lEtat,Brlee,Ee  sle,leeH,,,,,,,,,,,,,,,,,,,,,,,,,,
38,¬1,lille,Eeil,reille,veillee.1,veillee,Le soleil,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Rosc,Rose etait,Roseet,Rosel,Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"Ae’
-e’T’",L2,Ae,ae’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,OY VILLAGE,MO vILLAGE,"Rose
MON VILLAGE",MI0N VILLAGE,vILLAGE,MO N VILLAGE,MON ILLAGE,IO yILLAGE,plaga,,,,,,,,,,,,,,,,,,,,,,,,
42,Armandine,mangcs,tLp¬,Artaban,Arman-,Maman,Vermand,,,,,,,,,,,,,,,,,,,,,,,,,,
43,E e eeree,eE  e i e ee i le re ee g,E E,eSe e e e e,"eſ  r e
 i","S
ee e eie","ee e ere e e doe e eſe
Jev","a5 i
¬
ea ee ee  e ’ n e epr",g2yI,"Fee e   da  ei ſieiſieet
i
Le
 
e e eeoid is ee e","S  e ee  e¬
e eaa e e t",S e de l e,Ae e l ie eeelt e eie,pe ole e e  deiee lo e i e ſeesers,"Ee S   e
eiee e","L ’
t e 2",Se l’ee lel ee de e fiee e re e eosrt,L  eomſ¬,Epelie ro e ele eles,leie e,el  e e eni e l e istere ae u eterie,ls’e e,N  e,Fee e,"aae
-  
rss  ee e e ee",leee e e l ep e e lee e e deoe,"S’ree e  
 -",rss  ee e e ee,L L,ile idle e eo,"P

’ 
s",t e e eS,ſeereſe el iiei
44,Morlin-,S,MO,Morlincoutt,S',Mlorlincourt,Mlorlin-,Morlincourt,Arrive h Morlincourt,Morlincourt tot,,,,,,,,,,,,,,,,,,,,,,,
45,bras-le-corps,Ml'aimeras-tu,T'arreteras-tu,barras-lh,ras-lh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,blmer,blay,blme,lc,blame,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,- Qu',- Quoil,Voilh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,- Reticns,rip’2,maric,ricn,picd,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"S  d
’

a.",ht’as f,"T.S
 i a sos 
tei",ees ds ail,Wrail,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Assure,.as¬,Eſss,Assis,Cassiopeel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,ct,cctte,Frotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,alle,Allezl,Allez,furolles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Clarisse,Manot,guerissez,t6t  la danse,"Clarisse
Manot",,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,A¬,Agreez,a Agreez,Figurez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Ceran,Francei Tiens,franciers,Fance,Fran-,France,derange,Cran,la France,,,,,,,,,,,,,,,,,,,,,,,,
56,toi,Toinon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,rIIImne,MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Perpctue,peri,lapetiote,C0NSCRIPTION-,Perpetue,Perpdtue,"petiote 
Perpctue",PETIT1ON,per labia,,,,,,,,,,,,,,,,,,,,,,,,
59,pe-’i r 5,"Ei
 r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Lãdi,Dizy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,t-on Ftt-cel,Cellier,L-1,Cel-,el,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,S-e ’e3,"S-r PS-i e
ee’ e ’é ’",Crois-tu,Tous-,s--,S-,S-e,As-,,,,,,,,,,,,,,,,,,,,,,,,,
63,mitan-c0te,MI0N,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,parigole,Parisiens,Par,Parisien,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,lir,decoree,Desirde,lutaire,Dsirce,Desiree,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Ie’,enie,Peie,MIO N VIILI.AGIE,Ievrn,Riez,ieea,eiee,piece,Jie,Vierge,pauvIe,Epelie,Ie,,,,,,,,,,,,,,,,,,,
67,lReviendront,fieux,Vieux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,chambre de,Decnis,bine de Therese,beni,mre h,mre Denis,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,P,A,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Chanvriers,chanvrieres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,e.-¬ſ,Lasl,"renom.-
Lasl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Mlaria,Lamariee,.4o,Mlarie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1(3,Entendez,sT 1,sens.0N,Comprenez,enterrement198,Presentement,,,,,,,,,,,,,,,,,,,,,,,,,,
