cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31
65,"Voz do Distrito
---",Voe do Distrito,Voz do Distrito,"Voe do Dis-
tito",Distrito,A Voz do Distrito,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Miseric6r-,Misericordia...,Miseric6rdia,Misericordias,"Mise-
ricordia",Misericordia-,Misericordia,Misericrdia,bispo diz- serds,periodicol,Misericodia,erdia,Mlisericordia,Miserlcordia,Miserico6rdia,Misericbrdia,"Miseric6ordia,-e",Corpus-Christi,Misericorciia,,,,,,,,,,,,,
67,Silverio,Sllverio,"Silverio
pDara",bom Silverio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,reeorre,Repousarei,Pre,Hereticus,soiree,pre,RE,Arvore,Represen-,Natureza,Recu-,rel6-,lugubre,Miserere,,,,,,,,,,,,,,,,,,
69,beugala,"Portu-
gal",Porto,Portugal,bom portugues,em Portugal,Cortegaga,,,,,,,,,,,,,,,,,,,,,,,,,
70,uinze,aui,"baui de
lata",Sauide,Aui,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,paixao,paixao extatica,caixao de galoes,Sa paiixao,Baixa,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Ia-lhe,Perguntava-lhe,Fe-lhe,Hei-de-lhe,Devo-lhe,Meteu-lhe,Velo-lhe,Pego-lhe,Bufa-lhe,Fale-lhe,Arrahnja-se-lhe,Pode-lhe,,,,,,,,,,,,,,,,,,,,
73,Daroguia,Dagui,Dagqui,Agui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,corrimao,"mao
papuda",mao,mao cheia,limao,Maldigaol,maos,mao papuda,romaos oue,,,,,,,,,,,,,,,,,,,,,,,
75,Pieguicesl Ate,Pater,Ate,Materia,Chateau-,Atenos,Mater-dolorcsa,Teles alfaiate.- Ai,ete.,,,,,,,,,,,,,,,,,,,,,,,
76,madrinhal,manhai,s7,Saldanha.-,manhi,manhal,Saldanhinha,Espanha,camphanha,mana,amanha,Amanha,,,,,,,,,,,,,,,,,,,,
77,calinia das calinias,"caliinia das
calinias",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,s6,s6 a,s6 da a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Comunicado,Comunicados,Comuicado,Comuicado-,Coniunicadof,Comuicatdo,excomungadola,Comunicadol,,,,,,,,,,,,,,,,,,,,,,,,
80,criad6,Cumiada,Refugiada,criadat,criatural,crianga,Trindade,Nada,,,,,,,,,,,,,,,,,,,,,,,,
81,Olhe,Mulher,L-- Olhe,Olhce,Olhei,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,emogao,comogao,comn,Mogco,Ricoga,Eclogas,Comega,,,,,,,,,,,,,,,,,,,,,,,,,
83,Santa Virginia...,Santa Virgem,Santa Virginia,Virgens,adoracdo da Virgem,Parto da Santa Virgem,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Chiquital,Chiguita,Cliquita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Cruzes,cmbrulho,corujas,RU,Ruala,Quorum,Rua,instrugao,Jerusalem,truzl,Cruz,,,,,,,,,,,,,,,,,,,,,
86,serena,erna,banco da taberna,"taberna do
tio Serafim",tabherna,consternaeao,"Eterna
Dor",,,,,,,,,,,,,,,,,,,,,,,,,
87,Id-de,Ha-de,Hai-de,Hao-de,A-,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Grande galhofa,Carvalhosa,Agasalho,"bigodc gri-
salho",Agasalha-te,Julho,Coalho,,,,,,,,,,,,,,,,,,,,,,,,,
89,Campos,Impossibilis,pos,Hipopotamol,l,Raposo,pos-,Posso,"cam-
pos",Campos Elisios,pos o pe,,,,,,,,,,,,,,,,,,,,,
90,Epistel,kste,cste,tristezal,Foste,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Religiao,Arelia,vigilia,Relia,regiao,religiao,lIgrela,,,,,,,,,,,,,,,,,,,,,,,,,
92,Gempre,Sempre,Prendem-seme,Semprel-,semprel,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,U,Barrosa,cigarros.-,barrol,Dassaro,barbasl,"estrada da
Barrosa",Barrosa-,Rosa,,,,,,,,,,,,,,,,,,,,,,,
94,licenee,Providencia,"Peni-
tencia",leferencia,Vicencia,"Vicen-
cia",Prudencia,Agencia Havas,Vlcetncia,,,,,,,,,,,,,,,,,,,,,,,
95,Civilicacdo,Civilizacao,Civilizacao...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,suaAm-,AAG,AA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,jeium,Jeiuar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"RU0
Jahlota",Ahl,I0,Ah,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Joo,Vejo,Jofo,desejo.- Ouve,Vejam,Tfve,Tejo,,,,,,,,,,,,,,,,,,,,,,,,,
100,jd,Jdia...,Ave-Marias...,"dizia.- Homem de
familia...",diocese...,BIbi...,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"entao daguela casa
tao barata",taio decentel,EDICAO MONUMENTAL,entao,entao s6,Entao hoie,Cntao,Entaol,Entaio,Entao,,,,,,,,,,,,,,,,,,,,,,
102,lepras,praca,graca,Praca,"praca
da Conc6rdia",Praca Nova,barraca,Pragca,,,,,,,,,,,,,,,,,,,,,,,,
103,"Mor-
gadinho",Morgadinhos,Morgadinho,Morgado,Morgaditos,Morgados,,,,,,,,,,,,,,,,,,,,,,,,,,
104,S. Gorislano,Panorama,"Pano-
rama",Manon,"bancea
do mano",,,,,,,,,,,,,,,,,,,,,,,,,,,
105,despeitol Ah,Espirito,"e,%",Respeito,Pompa Espiritual,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Case,magcas assadas,casehre,Castelo,Teresas,"monte do
Castela",casaste,zas,Castaldus,casaLLIL.lSD,Caspitel-,Nasceste,Iougcas,Cansadote,anasarca,Diga-me 1al Traste,Caspitel,Calas-te,,,,,,,,,,,,,,
107,grilhoes,sioes,juleou,leoes,moeo,taeoes,concepgeoes dum,,,,,,,,,,,,,,,,,,,,,,,,,
108,Garriffaldi,Daria,Proletariado,farmaicia,Ave-Marias,Mouraria,Faria,Ifaria,Arfava,Iar,ariastlcn,fard,Marialva,Chafariz,,,,,,,,,,,,,,,,,,
109,"A21
O0IyI",A2,a2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Necessitava,VY,necessita,necessarlo,necessairio,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Lem-,Devem-no,Viveml,P-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Largas rcsteaz de Sol,Joao das hiscas de cgarr,luvas de casimira,Poco das Bentas,cabo dos guarda-chuvas,aguas do marl,Estigmas de S. Fancisco,NLLYehas anedotas de frades,Chao de Macas,,,,,,,,,,,,,,,,,,,,,,,
113,Quc,quc,Quce,pouc0,W,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,pe da jznela,"pe da
cama",pe da mae,pe da cama,pe da Cortegaca,dlze ca,pe da velha,pe da cova,"pe da casa do fer-
reiro",dize ca,,,,,,,,,,,,,,,,,,,,,,
115,"Bento
saceristaio",Sacramento,Sarmento,Carmens,Casamento,Sargento,Salentol,,,,,,,,,,,,,,,,,,,,,,,,,
116,Encarnacao,indignacao,Nacao,Nao,Meditacao,snaomn,Nac,Acabou-se-pensava-nao,redacgcao,,,,,,,,,,,,,,,,,,,,,,,
117,graca de Deus,Eicode DeLs,Minuete de Mfozart,presenga de Deus,ria de pe,PlEASE DO,Torre de Babel,Bairro de David,Hotel de Ville,maes de familia,IL D0  ADE,Se de,Ierocidade de impio,"Sol
de Dezembro",vale de leng6is,caia de bruos,Pobre de Cristol-,Sol de Setembro,RIY  DE A 1 R,Sol de Maio,Amor;Laparigas de dezasseis,UI1SE DU,Legiao de Honra destruido.l,,,,,,,,,
118,novol,Novaisitos,bom Novais,areal  faisceava,soirees do Novais,Nova devogcaio,Novais,novaa,casa do Novais,,,,,,,,,,,,,,,,,,,,,,,
119,"L'ABB
MoRET",suor,Mor-,More-,r-,Morais,Amor,,,,,,,,,,,,,,,,,,,,,,,,,
120,Ajoelhava,Voltava,chocalhava,Olhava,Avelhadol,Havanesa,Bavol bravol,Ilhava,,,,,,,,,,,,,,,,,,,,,,,,
121,V. S,"casa da
snr",Pimentas da Pojeira,saleta da S. Joa-,Ioia da jinel,casa da S. Joaneiral,praia da Vieira,S. Joao da Foz,"Ameliazinha da S. Joaneiral
- Que me",snr D. Josefa Dias-,,,,,,,,,,,,,,,,,,,,,,
122,Z.1,"Leirial
---","Leirial
--- Voce","Leirial
-- Bem","Cusl
--- Nao",,,,,,,,,,,,,,,,,,,,,,,,,,,
123,fE,Fe,Fechou,fe,Fel,Feche,cafe,,,,,,,,,,,,,,,,,,,,,,,,,
124,Ameliazinhal,pe da Ameliazinha,ceiazinha,Ameliazinha la,Amellazinhal Perdoa,Ameliazinha,Ameliazinha-,panelinha,Melinhal,,,,,,,,,,,,,,,,,,,,,,,
125,terra,Terra-Nova,Ferrao-,terragco,Terra,aterrado,Inglaterra,pe do terragco,Ferrao,Terreira,Terreiro,serra,,,,,,,,,,,,,,,,,,,,
126,historla,Distritol,Vista-,Brstol,o Cristo,desgostol,istol,ingratol,Honestol,Cristol-,Historia,funestol,,,,,,,,,,,,,,,,,,,,
127,vlver,La vera,Saavedra,Universo,Fizera,Merati,dever1,Percebera,Persevere,Vera,Versalhes,Veremnos,iberall,Verao,Iiberal,Ve,Viera,Conversara,,,,,,,,,,,,,,
128,1I,UC1II,c1,"rg1IN,1III",UI1II0,UC 1I,,,,,,,,,,,,,,,,,,,,,,,,,,
129,dali,Valadares,bondale,caluda,Madalena,Dal,Vidalti,guardal,"ramta
da ual",caleada,almofada,Dalavras,,,,,,,,,,,,,,,,,,,,
130,"Leiria
Passearam",Passeio Piblico,passala,Passei,"pas-
seiam",Passa,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Gansoso,Dcsordens,Cardoso,Grandioso,Pedroso,Gansosos,A(;,Gansozinhos,baboso,Gansosinho,Padre-Nossos,,,,,,,,,,,,,,,,,,,,,
132,"Cala-
fates",Cala-te,Calafates,"rua dos Cala-
fates n.e 53",,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,1W,"1W

l","i l
t",H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,instraa,Sintra,Traste,patraio,Atraves,tra,Tragou,trapeira,Trago,Atraiu-a,traeo,Entra,,,,,,,,,,,,,,,,,,,,
135,Corespondencia,"Bem Pblicol
Onde","condessa.-
Bastante",Condes,rua dos Condes,consideraco5es,Desconfiai,Ceu nao findava.- sOnde,,,,,,,,,,,,,,,,,,,,,,,,
136,Godinha,Longuinhos,Godinho,Inglesinhos,Godinhos,Alipio de Vasconcelos Godinho,,,,,,,,,,,,,,,,,,,,,,,,,,
137,IW1,Pascoal Bailao,Pascoa,Cordeiro Pascal,Alcobaca -S. Pascoal Bailao,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Pereira,Vaqueira,"pri-
meira",Queira,freira,Gralheira,Feiraio,Cralheira,Beira,bebedeira,VIEIRA,Feirao,Beiio,Baboseiras,Vieira,Feiraol,Irral,,,,,,,,,,,,,,,
139,I.baninho3,banuinho,Libaninho atris,"Libaninho mur-
murava",Libaninho,ninhol,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Ir,Tirha,Virgilio,Circeo,sineirc,IR,,,,,,,,,,,,,,,,,,,,,,,,,,
141,"Eternidade dos
LouVoICS",Nutrida,adormecida,Ierocidade,ossa felicidade,Eternidade,Sufocada,Brutalidades,Idci,cidade1,placide,ID,Cuidado,autoridadel,humidade da ncvoa,,,,,,,,,,,,,,,,,
142,se5,Mise-,Ge-,Purgue-se,Gethse-,Se-,e--,Case-me,"Mise-
eatur",Disse-mo,Se,,,,,,,,,,,,,,,,,,,,,
143,Coilmbra,Iraco,genebra,brageo,pilar branco,braco,"sc
lembraya",abracos,braceiava,Coimbra,,,,,,,,,,,,,,,,,,,,,,
144,Receru-,Decerto,certol,Decertol-,partol,decertol,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Y,I-,Hi-de,Hei-de,HIei-de,HIein,,,,,,,,,,,,,,,,,,,,,,,,,,
146,snr.- Goncalves,Goncalves,Convencao,Nuncal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Imaginara,Imaginem,Imagine,Imaginei,Imaginava,Imaginas,imaginav,,,,,,,,,,,,,,,,,,,,,,,,,
148,Olha,filhal,vcrmelha,Bastilha,velha,Ha,Esguelhas,melha,lha,Esguclhas,filhal Olha,Milhares,Covilha,Batalha,,,,,,,,,,,,,,,,,,
149,Pelxoto,Egipto,"Totol
- Li",Tot6,Peixoto,Tot6d,a Toto6-e,Toto,Iuto,3L,totda,TO,Totol,otozila,,,,,,,,,,,,,,,,,,
150,Perderam-me,Perdoe-me,Perdao,Perdoa,Furdo,Sacerd6clo,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Menina,Inenos,Menino,Ninon de Lenclos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,So,Fol,pensol.-O,So6,solugos,Sol,absolvicao,issol-exclamou,solu-1,solucar,,,,,,,,,,,,,,,,,,,,,,
153,Agonia,Polonia,Dlonisia,nisia,Pavonio,Dionisia,Dionisial,boa Dionisia,,,,,,,,,,,,,,,,,,,,,,,,
154,razao,Razaol,Razao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,padrariao,"R0
ra papcl",ParIis,Amor;Laparigas,Paris,imaginaco da rapariga,Rapariga,ranarigal,,,,,,,,,,,,,,,,,,,,,,,,
156,praga,gragas,oragio,pratol,Praga,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,U  H I1It  1,U A1 I1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,vivencla dos santos,tectos baixos do curral,Tossicou,Tosnoul,Todaos,tos,taciturnidade dos santos,Ditosos,,,,,,,,,,,,,,,,,,,,,,,,
159,L29LPPl9.zeEeL9LPEEES-.s-,EEA,Voee,ee,nineuem cumgeE.,EE3,LeaileEe,Ee,,,,,,,,,,,,,,,,,,,,,,,,
160,de Lisboa,Lisboal,estrada de Lisboa,Lisboa,aguas de Lisboa,Lisboa...,"Lisboa c
sa
 IMI1",,,,,,,,,,,,,,,,,,,,,,,,,
161,Sertaneja,Ternel,Tertio,Aperte,perteneer,Serpente,Lausperee,,,,,,,,,,,,,,,,,,,,,,,,,
162,Credol,credol,rel Azevedo,Credo,scgredo,medo:-,hostia redonda,"Credo
-- Franciscus",,,,,,,,,,,,,,,,,,,,,,,,
163,CRIYE DU P,OORI1tE DO PDR,braco do padre Liset,YIE DO AD HRE,GIE DO,jardim do Pago,MIE DO P,OIIE DO HDIE,U1i DO,Sol do Poente,tm,,,,,,,,,,,,,,,,,,,,,
164,tre Valadares,jardim da Estrela,Estrela,Populares,trovoes,Pires,Tres,Estremoz,Esfregava,Tremer,Resumia,Reso-,estrepito,reves,,,,,,,,,,,,,,,,,,
165,Amparo da botica,Amparozinho,"Amparo
da botica",Preparou-a,Amparo,Amparo-,Parou,,,,,,,,,,,,,,,,,,,,,,,,,
166,Aina,Ensina,China,tonas,sotainas,Ainaro,Medicina,ruinas,Inas-,Inas,"sotainas ne-
grasla",Renas,Albina,nas-,,,,,,,,,,,,,,,,,,
167,Ds,pavor,palrava,apavorads,Evora,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Ctt DO DRE,iundo dos ceus,veiro do Ccu,reino do Ceu,moeo do Cruz,Eanca do Ceu,"reumatico do senhor
chantre",Cais do Sodre,,,,,,,,,,,,,,,,,,,,,,,,
169,rsIg,Viga-,Inulsigao,Siga,Diga,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Ohl,Oh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Alcbagca,Alcobagea,"Brito de
Alcobagca",Alcobaca,Alcobaea,Alcobagca,balcoes,Alcobaga,Alcobacal,,,,,,,,,,,,,,,,,,,,,,,
172,ty.3,Rg.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"conego
Dias",lanegor,Chnegou,conego.-,conego sulbia,Tio Cegonhaf,conego Campos,llne,"conego rindo-se-
ji ha",conegos,senhor conego,Comegou,"pe do
conego",conego Dias,conego,"conego
Sanchcs",irma do conego,Cegonha,,,,,,,,,,,,,,
174,I1E,I1A,I1I11A,I1,I1-,I11,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Salte,Salta ca,saleta,Falta,Salta,"S.
-- Falta",Talta,,,,,,,,,,,,,,,,,,,,,,,,,
176,Mr0,R0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
