cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28
49,bois de hoyer,Bourgogne,Pologne,bois dechire,Bois de Boulogne,,,,,,,,,,,,,,,,,,,,,,,,
50,Corinthe,Boheme,chemnins,gauchement,cheminee,cheminee chaude,nfgrmit asoinoNee,acharnee,,,,,,,,,,,,,,,,,,,,,
51,vieI Voyez,J',Voyez,,,,,,,,,,,,,,,,,,,,,,,,,,
52,A Henri,"cri,-",Mont-Valerien,lenri,,,,,,,,,,,,,,,,,,,,,,,,,
53,Dominique,Quelquefois,Quelque,Bibliotheque,,,,,,,,,,,,,,,,,,,,,,,,,
54,A55,tourmentait170,rue de ournon,beatoup,detour,Pour-,Tournon,,,,,,,,,,,,,,,,,,,,,,
55,resumee,sreeor,Alhert Drer,Th6erese,perse,amusee,Pierre,reponse,serree,ie-ereniossitadeeetel,,,,,,,,,,,,,,,,,,,
56,ESPfiRANCL,J6-,Ia France,loranger,ESPIiRANCE,hafr,ESPEnRANCE,de France,France,Franec,,,,,,,,,,,,,,,,,,,
57,G:;auan,Hollande,Iandis,uand,,,,,,,,,,,,,,,,,,,,,,,,,
58,A30,A38,A3,A335,,,,,,,,,,,,,,,,,,,,,,,,,
59,treizieme annee,ampe,empecher,meltre,fremir,sutr,remportee,extreme,trempee,,,,,,,,,,,,,,,,,,,,
60,ar-,Partez,attrist6e,Passy,partce,Bovary,Parme,sondepart,A Paris,Narie,Paris,,,,,,,,,,,,,,,,,,
61,endure,Flore,Sincere,Florence,,,,,,,,,,,,,,,,,,,,,,,,,
62,suelle,malemoiselle,poele,Noel,Elle ajauta,lez,vis-a-vis d'elle,graduellementa,le230,Michelet,meles,"pas,,.elle",telegruphie,fleole,Leurs-,ele,,,,,,,,,,,,,
63,- tu vois,Heloise,Bois,oi,toisie,Oise,soil,l'Oise,soiree,soif1,empoisonnee,Soie,Sois,,,,,,,,,,,,,,,,
