cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21
52,i-12,Ai-,i-,Mlexi-,,,,,,,,,,,,,,,,,,
53,chevel,Phebe,beche,echo,le btcher,Quebec,cher,breche,,,,,,,,,,,,,,
54,c:::=,c=::-,z::::-,trc::r,z::::z,,,,,,,,,,,,,,,,,
55,Mlexico,Americains,Lanceros mexicains,Iexicaine,Mlexicains,Les Mlexicains,Mexicains,i83,Meicains,Mexico,gamUusinos mexicains,Americaines,camp des Mlexicains,,,,,,,,,
56,I',moyen3,Hoir,moi',moitie fou,,,,,,,,,,,,,,,,,
57,Ia,Plateros,Iateros,a375,Salvator Rosa,,,,,,,,,,,,,,,,,
58,perils,Caballero,PROtCUE.LE,lepero,Leperos,ler,perdu1,,,,,,,,,,,,,,,
59,general3,vengel,general,l35,,,,,,,,,,,,,,,,,,
60,Lejeune,lune,m-,forlune,etaitune,Aucune,Lune,Un,quelajeune,,,,,,,,,,,,,
61,Mlalheureusement,Heure-,HEURE0,euvre,0HEURE,figurez,Createur,,,,,,,,,,,,,,,
62,aH08,Ooah,Ooouhl,Ah1,Ah-,,,,,,,,,,,,,,,,,
63,sauvee.3:8,vecu,avecun sang,,,,,,,,,,,,,,,,,,,
64,Belhumenr,Bellumeur,7I,Belhu-,Belhumeur,ditBelhumeur,Belhumeurl,Huml,alumet,Belhueur,,,,,,,,,,,,
65,escortee,Part-,partenanl,Partez,- Partez,,,,,,,,,,,,,,,,,
66,lir,Italie,colie,italie,,,,,,,,,,,,,,,,,,
67,chappereni,appuyee,echappe,echapper,empecher,,,,,,,,,,,,,,,,,
68,malgre,alluma,Malgre,gre,,,,,,,,,,,,,,,,,,
69,Peaux Rougesetles,"Pe-
rou",Peaux Ronges,couleau,Peaux Rouges7,Peaux Rouges,,,,,,,,,,,,,,,,
70,Natosh,hatto,hate,TTB,,,,,,,,,,,,,,,,,,
71,regle,regler,sarrange,colere,Angleter,Angleterre,Anglelerre,Angleter e claux,,,,,,,,,,,,,,
72,cambree,campagae,"campI
- Pardieul",cmp,camp,campana,campague,,,,,,,,,,,,,,,
73,A minuit,LHACIENDA DEL MILAGR0,hacienda del Milagro,del Milagro,,,,,,,,,,,,,,,,,,
74,La Providence,Providence,Prompt,,,,,,,,,,,,,,,,,,,
75,I09,AMI0,Ami,,,,,,,,,,,,,,,,,,,
76,bandilts,baltre,piralte,disparaltre,traluit du banois,Maltre,,,,,,,,,,,,,,,,
77,Comanchessont,Coman-,Comancnes,BAzANcor,manche,Comanches,piste des Comanches,Les Comanches,Comanche,"Coman-
ches",,,,,,,,,,,,
78,Chimborazo,chichikoues,chine,Chinois,,,,,,,,,,,,,,,,,,
79,au-,Jesu-,JE=,,,,,,,,,,,,,,,,,,,
80,s36,même360,,,,,,,,,,,,,,,,,,,,
81,Ouaktehno,Ouaklehno,Eh,Oualtehno,,,,,,,,,,,,,,,,,,
82,arriveel,Arrivesur,arriere,Lives,arrivel,Arrive,Arrives,,,,,,,,,,,,,,,
83,0 c.,"golfe de Cali-
orient",cathedrale de Mexico,golfe de Cali-,,,,,,,,,,,,,,,,,,
84,I107,10n,I,et106,,,,,,,,,,,,,,,,,,
85,Ceur Loal,Gaeur Loyal,eur Loal.ts,"Cer
Loyal",Cceur Loyal,Caeur Loyal,Ceur Loyal,l53,Ceur Ioyal,,,,,,,,,,,,,
86,"malade7
- Pas moi",Opatas,"I
Pas",ashahas,pasto,AS',pas,cepays,Helasl,,,,,,,,,,,,,
87,"Eh bien 
- Il",Bientt,Bientot,Combien,CcHATIIENT,bientot,,,,,,,,,,,,,,,,
88,canp,Dcadonee,Mezcal,triarcal,Carthage,Ca,ca,- Caspita,Incas,renonca,,,,,,,,,,,,
89,nice,benil,beni,Finissons-en,be-,,,,,,,,,,,,,,,,,
90,Voulez,Voyez,lez,Revoluuon,volez,Mole,,,,,,,,,,,,,,,,
91,d'Espagne,Espagnols,1Espagnol,vages,Espa-,Espagnol,,,,,,,,,,,,,,,,
92,Europe,Seurs,Geur,Eux,leurspoignards,SAUEUR,Ceur,l'Europe,PEUR,Gouveruemeuls de l'Europe,Linterieur,,,,,,,,,,,
93,ecroula,Lendroit,calecon etroit,Acropolis,A,crcix,Croit,crois7,Linproiisioro,,,,,,,,,,,,,
94,Tele d'Aigle,"Tete
d'Aigle",Tete d'higle,Iete d'Aigle,piste de la Tete d'Aigle,Tete d' Aigle,La Tele d'Aigle,"Tete
l'Aigle",Iete dAigle,La Tete d'Aigle,Tete d'Aigle,Tete d'Aigle etle Ceur,Tete d'Aiglel,,,,,,,,,
95,laboya,"le -
billard",Babillard7,Babil-,Babillard,Bar,,,,,,,,,,,,,,,,
96,paratt,sempara,prepara,N(C,Par-,parole168,ar-,,,,,,,,,,,,,,,
97,Etat de Sonora,Durango,Etats de Durango,,,,,,,,,,,,,,,,,,,
98,TAPPEURS,"TAPPEURS
- Voici","dupe,60 tES TAPPEURS DE LAKANSAS",ILES TRAPPEUR9,"prairie168
LES TAPPEURS",IES ITAPPEURS,IES TAPPEURS DE L'AIKANSAS,IES TAPPEURS,Lo TAPEUIS,"quelques386
LES TMAPPEURS",ITAPPEUR9,ILES TAPPEURS,,,,,,,,,,
99,LÀ T0,Guaymas,t0t  Guaymas,t0t,,,,,,,,,,,,,,,,,,
100,plusvariee etla,cetle,et6e,etle,Etle,,,,,,,,,,,,,,,,,
101,nomer,s0mme8,Nonchalamment,commengca,Hommes,somme,commuaute,,,,,,,,,,,,,,,
102,fagon,Ironie,lagonie,,,,,,,,,,,,,,,,,,,
103,Etats Barbaresques,yres,mee resultat,epreues,prépare-toi,amesure,Congres,Apres,pres,"2--
aupres",Mlcoires,,,,,,,,,,,
104,Chacun,Apaches,Caches,machete,achet8,Tachez,,,,,,,,,,,,,,,,
105,demander7,Répondez,grats,songrand,Grand Chef des Aueas,gand,conde,Grande,,,,,,,,,,,,,,
106,aussi0,beissons,possible7,Assini0oins,lassassin,Assis,Mississipi,,,,,,,,,,,,,,,
107,lanceros,Merced,cendero,el Cerro,Cerro,,,,,,,,,,,,,,,,,
108,c0ce,c0loyer,c0,,,,,,,,,,,,,,,,,,,
109,grace,Oceans,Frangais,Francais,Francs-Yeux,fr,Trnce,Puissance,Lenfance,France,,,,,,,,,,,,
110,assezlourd,opposee,Pompadour,Russe,vousinteressez,poussat,"connaissez
- Oui",Pousse,,,,,,,,,,,,,,
111,"-
-","..-
-",,,,,,,,,,,,,,,,,,,,
112,Aprbs,Lapluie,Prie-Dieu,prairie168,clairiere oi,Après7,laprairie,,,,,,,,,,,,,,,
113,Hoyiu,p e,Ilisoia e la Hoyiu,,,,,,,,,,,,,,,,,,,
114,ephemere,mepris,reprimer,,,,,,,,,,,,,,,,,,,
115,et6e relabli,pise,c0te du Cerro de la campana,rue de l'Abbaye,piste des jaguars,teau de I'ouest,"piste d' 
castle",grolte de la riviere,piste de la,,,,,,,,,,,,,
116,Pana-,Ra-,sa-366,Ba-,CGana-,A-,,,,,,,,,,,,,,,,
117,justel,maussade,"n0
Eusebio",Plus,Syracuse,Avez-yous,us,Jusice,breuse,,,,,,,,,,,,,
118,Societ,sienl,lhacienda,LHACIENDA,cienda,CI,"rendaientsongeuse
i190",,,,,,,,,,,,,,,
119,senorita,Moclsens,Sonora,Normans,"anveeraoosent
-",senora,,,,,,,,,,,,,,,,
120,calle San-Agustin,Le soleil,soleil,le Soleil,Soleil,le soleil,Le Soleil,,,,,,,,,,,,,,,
121,"accoutumes a bra-
ver",accompagnes,Accordez,- Accompagnerai,,,,,,,,,,,,,,,,,,
122,ain,Convaincu,Va,Vaincue,,,,,,,,,,,,,,,,,,
123,ellE,selle,Allemagne,"calle del Rosario,-","celle-l.
Dona Luz",feuillee,bituelle,grolle,Elevee,nouvellee,siflle,danslaquelle,el,bellel,EllE,,,,,,,
124,sgnt9 piation,Denomination,batie,nation258,,,,,,,,,,,,,,,,,,
125,sert7,certeS-,severe,delices,D,Bermudez,robert6 de vos membres,desert deroulait,desertee,desert,,,,,,,,,,,,
