cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32
106,atención,appendus,Prends,Attends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Ecole Militaire,soleil,Style,le soleil,Ecoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Regimbart,rue Montmartre,Montreuil-Nantua,Chartres,Marthe,Montmartre,martre,boulevard Montmartre,,,,,,,,,,,,,,,,,,,,,,,,,
109,souffla,passage Jouffroy,Anjou,Bœuf,Godefroy,Jouffroy,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,bosquet,Quoique,Quels,Bouquet-du-Roi,Belgique,Banque,Parquet,Quelquefois,,,,,,,,,,,,,,,,,,,,,,,,,
111,Celles,Halles,Versailles,Pellerin,Hauteville,Mlle,Villenauxe,rue Bellefond,Vazeille,Fortelle,Vaudeville,Evangile,Sainville,Canailles,Grémonville,Leloir,Bellevue,Bengale,Surville,Fouquier-Tinville,Belleville,Bagatelle,Lille,Allez,Villeneuve-l'Archevêque,,,,,,,,
112,l'Amérique,l'Amérique du Sud,Américains,Amérique,bourriquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Château,le Château-d'Eau,Chapeau,Auteuil,Château-d'Eau,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Opéra,murmura,jugeât,jura,curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Creil,fiacre,Iéna,Bac,nacre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,créances,bois de Crancé,La France,Frank,affranchiront,la France,Crancé,Collège de France,de France,France,,,,,,,,,,,,,,,,,,,,,,,
117,rue Vivienne,Vive,Vienne,Vit,Vincennes,Vicomte,Vivienne,vésuviennes,,,,,,,,,,,,,,,,,,,,,,,,,
118,Californie,d'Italie,Egalité,Hôpital,l'Italie,la Capitale,Italiens,Italienne,Italie,,,,,,,,,,,,,,,,,,,,,,,,
119,Tropiong,"Chapitre 6 
Ruiné","Chapitre 6 
Son",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,le Rhin,Chinois,Pékin,Bains-Chinois,Rhin,Mécène,Comines,Hiérarchie,la Chine,Capitaine,Lorraine,Sphinx,Chine,,,,,,,,,,,,,,,,,,,,
121,la Bretagne,Don Juan de Molière,kaolin de Bretagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Pradier,Dumersan,Comédie,Picardie,Dittmer,Savoyard,Samedi,Art industriel,Dussardier,,,,,,,,,,,,,,,,,,,,,,,,
123,Affaires-Etrangères,Où es,Petites Affiches,Flandres,hôtel des Affaires Etrangères,,,,,,,,,,,,,,,,,,,,,,,,,,,,
