cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28
21,Godefroy,Jouffroy,Anjou,passage Jouffroy,Mouffetard,Bœuf,souffla,,,,,,,,,,,,,,,,,,,,,,
22,Pont-Neuf,pont Neuf,le Pont-Neuf,A Elbeuf,,,,,,,,,,,,,,,,,,,,,,,,,
23,Entrez,Rentrons,nôtre,Présentez,Carpentras,nuestra patria cuenta numerosos,Enivrez,Ministre,Vraiment,,,,,,,,,,,,,,,,,,,,
24,Paris,Pardon,Parisien,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Sainte-Anne,Sainte-Pélagie,Vanneroy,Saint-Antoine,Sainte-Geneviève,Sainte-Chapelle,Sainte-Alliance,rue Sainte-Anne,,,,,,,,,,,,,,,,,,,,,
26,kaolin de Bretagne,Don Juan de Molière,la Bretagne,lip-fraoli,Baslin,,,,,,,,,,,,,,,,,,,,,,,,
27,Sauvagesse,Femme-Sauvage,Osage,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Odry,Ivry,Oudry,Cléry,,,,,,,,,,,,,,,,,,,,,,,,,
29,rue Paradis,Rue Paradis,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,place de la Madeleine,la Madeleine,Magdelena,Madeleine,,,,,,,,,,,,,,,,,,,,,,,,,
31,Corse,Corrège,perse,Corbeil,corset,Rudorff,,,,,,,,,,,,,,,,,,,,,,,
32,Irez,Retirez,retirez,heroicos mártires,Suriret,,,,,,,,,,,,,,,,,,,,,,,,
33,Prenez-,Venez,Comprenez,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Fouquier-Tinville,Surville,Fortelle,Celles,Te rappelles,Belleville,Pellerin,Grémonville,Villeneuve-l'Archevêque,Sainville,Lille,Vaudeville,Bagatelle,rue Bellefond,Vazeille,Villenauxe,Hauteville,Bellevue,,,,,,,,,,,
35,Porte-Saint-Martin,théâtre de la Porte-Saint-Martin,rue Saint-Martin,Cinq-Mars,rue Saint-Jacques,rue Caumartin,rue Saint-Victor,rue Saint-Honoré,rue Saint-Hyacinthe,faubourg Saint-Martin,porte Saint-Martin,Martinon,Saint-Marceau,rue Saint-Dominique,,,,,,,,,,,,,,,
36,Chambrion,hasta,Chapeau,Croix des-Petits-Champs et du Bouloi,Fables de Lachambeaudie,Forchambeaux,Champs-Elysées,Cham,Béchamel,champagne,Chambord,Champ-de-Mars,Champagne,Champ de Mars,MM. Chambolle,Chambres,,,,,,,,,,,,,
37,Gardes,Regardez,Garçon,Regimbart,regardez,Gare,Savoyard,,,,,,,,,,,,,,,,,,,,,,
38,Guirlande,Hollande,Irlandais,Inde,languir,,,,,,,,,,,,,,,,,,,,,,,,
39,Anglais,Père-Lachaise,Anglaise,Angleterre,Languedoc,,,,,,,,,,,,,,,,,,,,,,,,
40,La Maréchale,la Maréchale,Maréchale,Maréchaux,,,,,,,,,,,,,,,,,,,,,,,,,
41,Dagneaux,Bugneaux,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,châle,Châlons,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Garde-Meuble,Garde-Meubles,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Démocratie pacifique,Magnifique,Démocratie,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Véronèse,Coq-Héron,rue Coq-Héron,,,,,,,,,,,,,,,,,,,,,,,,,,
46,porte Maillot,Larsillois,Gaillon,Apollonie,place Gaillon,Chaillot,,,,,,,,,,,,,,,,,,,,,,,
47,Angelmarre,Change,Evangile,orang-outang,Grange-Batelière,Changarnier,,,,,,,,,,,,,,,,,,,,,,,
48,Bouquet-du-Roi,Trois-Rois,Sois,Trois-Maries,,,,,,,,,,,,,,,,,,,,,,,,,
49,Bordelaise,Bordelais,Bordeaux,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Hespérides,Philosophie,Desde,Chambre des passages des philosophes,Chambre des députés,,,,,,,,,,,,,,,,,,,,,,,,
51,appendus,Attends,Rendez,Prends,Reynolds,bonds,,,,,,,,,,,,,,,,,,,,,,,
52,Arc de triomphe,Arc de triomphe un cheval mort,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,théâtre Bobino,Bobino,théâtre du,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Hydre,Londres,Flandres,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Vénus de Milo,Muséum,Vénus,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Vatnaz,Mlle Vatnaz,Mlle,Mlle Marthe,Nogent Mlle Vatnaz,,,,,,,,,,,,,,,,,,,,,,,,
57,l'Amérique du Sud,Amérique,bourriquet,Quoique,Américains,l'Amérique,Belgique,,,,,,,,,,,,,,,,,,,,,,
58,Avez,Levez,Savez,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Benedicite,Autorité,du truité,Cité,Egalité,Unité,,,,,,,,,,,,,,,,,,,,,,,
60,faubourg Poissonnière,rue Paradis-Poissonnière,Poissonnière,Poissarde,boulevard Poissonnière,,,,,,,,,,,,,,,,,,,,,,,,
61,Rochefort,Herbigny,Pêcherie,Cher,Boucher,Long-Rocher,cachemire,,,,,,,,,,,,,,,,,,,,,,
62,port de Montereau,Montereau,La terre,Ville-de-Montereau,Moreau,,,,,,,,,,,,,,,,,,,,,,,,
63,Opéra,Misérable,Mably,,,,,,,,,,,,,,,,,,,,,,,,,,
64,la Chine,Chine,Comines,Bains-Chinois,Chinois,Trône,,,,,,,,,,,,,,,,,,,,,,,
65,Gueuse,fosse de M. Dambreuse,Dambreuse,Ambigu,hôtel Dambreuse,,,,,,,,,,,,,,,,,,,,,,,,
66,L'Olympe,Olympe Regimbart,l'Olympe,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Bourgeoise,Luxembourg,Bourse,Bourges,Bourgogne,de Bourges,,,,,,,,,,,,,,,,,,,,,,,
68,Marc-aux-Fées,Hébés,Ohé,Marché,place du Marché,Archevêque,Marché-aux-Chevaux,Delmar,Hiérarchie,,,,,,,,,,,,,,,,,,,,
69,"Chapitre 6 
Son","Chapitre 6 
Ruiné",,,,,,,,,,,,,,,,,,,,,,,,,,,
70,vésuviennes,Vincennes,Vénitienne,Vive,rue Vivienne,Vivienne,Vienne,Vit,,,,,,,,,,,,,,,,,,,,,
71,Polonais,Polonaise,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,la Pologne,Boulogne,bois de Boulogne,Loulou,Pologne,,,,,,,,,,,,,,,,,,,,,,,,
73,Carrousel,Place du Carrousel,place du Carrousel,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Constantinople,Institut,Institutes,Injustice,,,,,,,,,,,,,,,,,,,,,,,,,
75,Bertinaux,statue de la Liberté,Berlin,Liberté,,,,,,,,,,,,,,,,,,,,,,,,,
76,Desolmes,Ormes,Armes,Palerme,place d'Armes,,,,,,,,,,,,,,,,,,,,,,,,
77,As-tu,Es-tu,Y es-tu,As-tu cent,,,,,,,,,,,,,,,,,,,,,,,,,
78,Vésuve,Gouvernement,Auvergnat,Auvergne,,,,,,,,,,,,,,,,,,,,,,,,,
79,Barcelone,caleçon,Salon,Salons,Longjumeau,Grand Salon,Ablon,Salut,,,,,,,,,,,,,,,,,,,,,
80,Aulnays,A,Pays,Ruysdaël,le Pays,,,,,,,,,,,,,,,,,,,,,,,,
81,Voulez,boulevards des Gobelins,boulevard de l'Hôpital,boulevard des Capucines,,,,,,,,,,,,,,,,,,,,,,,,,
82,Allemagne,Halles,Allez,Allemand,alluma,Allemande,,,,,,,,,,,,,,,,,,,,,,,
83,Réalisme,Bréa,Bréda,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Melun,Celuta,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,pont Royal,Dupont,Rond-Point,Ponts,Poncif,Japon,,,,,,,,,,,,,,,,,,,,,,,
86,la Croix-Rousse,Beaux-Arts,jugeât,Peaux-Rouges,Auger,Moulin-Rouge,,,,,,,,,,,,,,,,,,,,,,,
87,Pékin,Yankees,nankin,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Direction,Inquisition,Révélation,Législative,Désubalternisation,,,,,,,,,,,,,,,,,,,,,,,,
89,galerie d'Orléans,Orléans,Bengale,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Malebranche,la manche,punch,manche,,,,,,,,,,,,,,,,,,,,,,,,,
91,– A,XIIe arrondissement,arrondissement de la Fortelle,Délassements,XIe arrondissement,XIIe,Girondins,,,,,,,,,,,,,,,,,,,,,,
92,L'Espagnol,d'Espagne,Espagnolet,l'Espagne,Espagne,,,,,,,,,,,,,,,,,,,,,,,,
93,Tournez,Tournelle,Letourneur,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Restez,Art,Sortez,Partez,Appartements meublés,partez,Charte,Parthénon,Partout,,,,,,,,,,,,,,,,,,,,
95,Chevalier,Italienne,d'Italie,Hôpital,Californie,Italie,Italiens,Atala,l'Italie,,,,,,,,,,,,,,,,,,,,
96,collections du Louvre,dôme du Louvre,Au Louvre,Louvre,au Louvre,,,,,,,,,,,,,,,,,,,,,,,,
97,Turc,Turcs,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Mécène,Yonne,mignonne,Sorbonne,Frisonne,Lyon,baïonnettes,Hussonnet,Anglo-Saxonnes,,,,,,,,,,,,,,,,,,,,
99,bosquet,Quels,Liban,Quelquefois,Salamanque,Blanqui,Banque,,,,,,,,,,,,,,,,,,,,,,
100,Autrichiens,Fumichon,Richelieu,Autrichien,tricorne,,,,,,,,,,,,,,,,,,,,,,,,
101,gorge-de-pigeon,Gorge-au-Loup,dégorgea,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Roméo,Bohême,Rome,sirop,Corromps,Hippodrome,,,,,,,,,,,,,,,,,,,,,,,
103,hôtel de Nantes,Hôtel de Ville,Hôtel de ville,hôtel Lambert,Hôtel-Dieu,,,,,,,,,,,,,,,,,,,,,,,,
104,Fouvens,Amiens,Sens,Tiens,Tibi,Esséniens,Deviens,Rubens,,,,,,,,,,,,,,,,,,,,,
105,Tropiong,Trocadéro,Bouttevilain,Rose Bron,Boutron,Troyes,,,,,,,,,,,,,,,,,,,,,,,
106,Andalouse,L'Andalouse,Balandard,Andalouses,,,,,,,,,,,,,,,,,,,,,,,,,
107,hein,La Seine,Seine,la Seine,,,,,,,,,,,,,,,,,,,,,,,,,
108,bois de Crancé,M. de Cisy,Cisy,,,,,,,,,,,,,,,,,,,,,,,,,,
109,fiacre,Bac,nacre,Creil,,,,,,,,,,,,,,,,,,,,,,,,,
110,Voyez,Moyen Age,Moyens,Le Citoyen,Citoyen,le Citoyen,Citoyens,,,,,,,,,,,,,,,,,,,,,,
111,Châtillon,Postillon russe,Postillon,postillon,,,,,,,,,,,,,,,,,,,,,,,,,
112,Morgue,Sanson,mornes,Mormans,ganse,Normandes,,,,,,,,,,,,,,,,,,,,,,,
113,Buzançais,Saint-François,Française,Comédie-Française,Théâtre Français,François,Français,,,,,,,,,,,,,,,,,,,,,,
114,Etretat,Catau,Etat,états-majors,,,,,,,,,,,,,,,,,,,,,,,,,
115,la Renaissance,Renaissance,pâlissante,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Grammont,Mondor,Montez,Montcharron,Piémont,Montebello,Montreuil-Nantua,Lola Montés,Montataire,Montpensier,monta,Lacédémone,Montagne,la Daumont,Saumon,Aspremont,Fontainebleau,,,,,,,,,,,,
117,Havrais,le Havre,au Havre,du Havre,gare du Havre,,,,,,,,,,,,,,,,,,,,,,,,
118,Bravo,Masselin,Bray,Brasseur,Embrasse-le !,Gymnase,,,,,,,,,,,,,,,,,,,,,,,
119,Dittmer,Dussardier,Pradier,Comédie,Prado,,,,,,,,,,,,,,,,,,,,,,,,
120,jardin des Tuileries,dôme des Tuileries,bal des Tuileries,Tuileries,Alpes,,,,,,,,,,,,,,,,,,,,,,,,
121,Ecossais,Ecosse,Colosse,,,,,,,,,,,,,,,,,,,,,,,,,,
122,rue Rambuteau,rue Fromanteau,Fromanteau,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Almanach du Commerce,Vicomte,hôtel du Commerce,seuil du boudoir,,,,,,,,,,,,,,,,,,,,,,,,,
124,île Saint-Louis,Saint-Cloud,– Oui,Saint-Louis,Mont-Saint-Michel,,,,,,,,,,,,,,,,,,,,,,,,
125,Grands Lamas,Panoramas,damas de laine brune,Mazas,Maman,damas,,,,,,,,,,,,,,,,,,,,,,,
126,tambour de basque,tic-tac de la pendule,place de la Bourse,colonne de Juillet,place de Vanneroy,la Bastille,place de la Bastille,place de la Concorde,,,,,,,,,,,,,,,,,,,,,
127,Notre-Dame de Lorette,Samedi,Notre-Dame-des-Victoires,rue Notre-Dame-des-Victoires,Notre-Dame,pierre de Notre-Dame,,,,,,,,,,,,,,,,,,,,,,,
128,Saint-Gervais,Saint-Jacques,Saint-Ferdinand,Saint-Paul,Saint-Thomas,Comaing,Saint-Honoré,quai Saint-Bernard,Saint-Germain,Villeneuve-Saint-Georges,Saintonge,Saint-Valéry,Saint-Roch,,,,,,,,,,,,,,,,
129,Lesurques,Parquet,Turque,,,,,,,,,,,,,,,,,,,,,,,,,,
130,rue Descartes,rue de Laval,collège de Sens,rue de Chabrol,rue de l'Empereur,rue Dauphine,rue d',rue Drouot,rue de Bréda,rue de Richelieu,Annuaire de Gotha,rue de Marbeuf,rue Joubert,rue de Fleurus,rue d'Anjou,rue de l'Arcade,rue Duphot,rue de Rivoli,rue des Francs-Bourgeois-Saint-Michel,rue Transnonain,rue de Choiseul,rue Rumford,rue Jacob,rue de,rue des Martyrs,rue de Valois,rue Soufflot,Préfecture de police,rue du Bac
131,Genève,Nogent,Nogentais,Nogent-sur-Seine,,,,,,,,,,,,,,,,,,,,,,,,,
132,Variétés,Lovarias,Zacharioe,Charivari,,,,,,,,,,,,,,,,,,,,,,,,,
133,porte Sénécal,Sénécal,continua Sénécal,notre Sénécal,notre Sénécal !,,,,,,,,,,,,,,,,,,,,,,,,
134,Le Vicaire,quai Voltaire,Ecoles,Ecole Militaire,,,,,,,,,,,,,,,,,,,,,,,,,
135,musée de Versailles,Canailles,Dumersan,Versailles,bouleversa,,,,,,,,,,,,,,,,,,,,,,,,
136,la Capitale,Pitié,Capitaine,Lorraine,,,,,,,,,,,,,,,,,,,,,,,,,
137,Aube,l'Aube,conseil général de l'Aube,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Sèvres,Vêpres,Frères-Siamois,Laromiguière,La Fougère,Premières,turbotière,Presse,,,,,,,,,,,,,,,,,,,,,
139,La Providence,Régence,Provençaux,rue de Provence,Providence,Conférence,Provence,,,,,,,,,,,,,,,,,,,,,,
140,atención,revolución,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Andilly,Morelly,Chantilly,Milliet,Chailly,Billy,Neuilly,Filly,,,,,,,,,,,,,,,,,,,,,
142,Rossini,Impossible,Assise,Assis,vessie,,,,,,,,,,,,,,,,,,,,,,,,
143,Marthe,martre,Chartres,rue Montmartre,boulevard Montmartre,Montmartre,,,,,,,,,,,,,,,,,,,,,,,
144,créances,Collège de France,affranchiront,La France,de France,Frank,la France,France,Crancé,,,,,,,,,,,,,,,,,,,,
145,Panthéon,Considérant,Barbès,Bacchante,Otant,Barante,Quarante,,,,,,,,,,,,,,,,,,,,,,
146,Caverne-des-Brigands,brigand,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Cancane,Mostaganem,Toscane,,,,,,,,,,,,,,,,,,,,,,,,,,
148,pâlir,Empoigne,Etrigny,cygne,Soignez,Lélia,Savigny,Religion,Ligne,,,,,,,,,,,,,,,,,,,,
149,l'Empire,Conservatoire,Bonsoir,Foire,Pouvoir,Leloir,,,,,,,,,,,,,,,,,,,,,,,
150,Madrid,Heudras,madras,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Cerfs,Clerc,Siècle,Cercle,,,,,,,,,,,,,,,,,,,,,,,,,
152,rue de la Harpe,hôtel de la rue Tronchet,rue de la Paix,Art et de la Nature !,rue Tronchet,rue de la Ferme,bêtise de la Ligne,de l',ferme de Presles,rue de la Roquette,seuil de la lorette,Cygne de la Croix,porte de l'Alhambra,pont de la Boucherie,rue de la Ferme et de la rue Tronchet,pont de la Concorde,,,,,,,,,,,,,
153,Style,soleil,le soleil,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Allard,Paraguay,Pharamond,Niagara,Las,Varaud,Lara,Balaruc,carbonaro,,,,,,,,,,,,,,,,,,,,
155,esprit-de-vin,chapelle Saint-Saturnin,chapelle Saint-Nicolas,Venise,rue Saint-Denis,boulevard Saint-Denis,porte Saint-Denis,de Suède,de Saint-Denis,,,,,,,,,,,,,,,,,,,,
156,Russes,Russie,Prusse,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Rosanette,Mettez,rue Lafayette,Lafayette,,,,,,,,,,,,,,,,,,,,,,,,,
158,Sphinx,le Rhin,Rhin,,,,,,,,,,,,,,,,,,,,,,,,,,
159,escholiers,Pierrot,Canonniers,Poitiers,Deslauriers,Thiers,,,,,,,,,,,,,,,,,,,,,,,
