cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30
39,jardim do Pago,jardim da Estrela,Estrela,Jardim de Lazaro,N,,,,,,,,,,,,,,,,,,,,,,,,,,
40,tos,Egipto,Minutos,Gastos,Tossicou,Ditosos,leos,,,,,,,,,,,,,,,,,,,,,,,,
41,Ir,Riram,dir-lim,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Inimigo,fatima,Im,NIME,Vim,proxima,Berlim,PrimO,Sim,Turim,,,,,,,,,,,,,,,,,,,,,
43,Lisboa,aguas de Lisboa,lisboa esmoer,deserto lisboa,Correspondencia de Lisboa,Lisboa...,de Lisboa,estrada de Lisboa,"Lisboa c
sa",,,,,,,,,,,,,,,,,,,,,,
44,Vossa,Vossemec,Nossa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Queria,Queria-a,Quereria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,tisica,prostituicao,Fisica,Politica,botica,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Insistia,irresistivel2,insomnia,boa Insistia,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,pAra,Parabens,Paraiso,Parado,3I,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Santo Ignacio,Imita o de Santo Ignacio,"Santo Ide-
afonso","Santo Ignacio
Bendito",,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Perfeito,Respeito,Aproeito,Feitio,Perfeitamente,,,,,,,,,,,,,,,,,,,,,,,,,,
51,rel Azevedo,Credo,Credo Nao,Arredo,Reden-,medo:-,cara redonda,,,,,,,,,,,,,,,,,,,,,,,,
52,Aclia,Relia,Religiosa,rel6-,"leo de
Arrelia",ourelo,Biblia,,,,,,,,,,,,,,,,,,,,,,,,
53,"boa
fe",Boa,"Boa fi
g2gEME",Boa Estou,boa dicta,ncvoa,,,,,,,,,,,,,,,,,,,,,,,,,
54,impaciencia,Simpatia,ciencias nova,impaciencia.-,Consciencia,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Preparou-a,Amparo,Amparo da botica,Amparozinho,"Amparo
da botica",Preparos,Amparo-,Parou,,,,,,,,,,,,,,,,,,,,,,,
56,alcan,Alcantara,A21,Alcantara Famosa,calcar,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"praia
da Conc6rdia",Conc6rdia,Praia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Maneiras,S. Maneira,S. Maneira:-,S. Matcas,S. Joaneilra,S. Maneiras,S. Maneira.-,S.-O,,,,,,,,,,,,,,,,,,,,,,,
59,Carne,CARNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Eg Ds QUe,quem1,Aquela,QUe,ue,Porque,"dc
paquete",I0,Marques,"bom
Marques",POrque,QUEIROZ,Aquella,Vasques,quc,Quero,Esque-,,,,,,,,,,,,,,
61,e2gl2kls-noite,Boas-noites,P-N,Anoitecer,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Podia,abbade.- o Dias,Judia,Dias,Adian-,snr D. Josefa Dias-,Manias,,,,,,,,,,,,,,,,,,,,,,,,
63,Caia-me,Ai,Caiu,Caia,Aiaro,caia,Saia,Maia,,,,,,,,,,,,,,,,,,,,,,,
64,invcjando baixo,Baixo bravo,baixo d,Baixo bravo -,Baixa,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Padre-Mestre,padrariao,PADRE,"padre
Amaro",padre Feliz,Deus-Padre,Padre,Padre-Nossos,Madre-Abadessa,Padrinho,,,,,,,,,,,,,,,,,,,,,
66,Pieguicesl Ate,Pieguices,L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,furta,Mortal,"Morte-
na",Morta,MORTI,Porta de Ouro,Mor-,,,,,,,,,,,,,,,,,,,,,,,,
68,Nio,nio vou,nio da guardal,ue nio,nio,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Dentro,Introibo,Entro,controvrsia,Entra,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"bom
Silencio",Silencio,bom Silencio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,tre Valadares,Valadares,areal  faisceava,Populares,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,dEpois,Pois,guarda-sOis,Bois,Poials,Poiais,Coisa,,,,,,,,,,,,,,,,,,,,,,,,
73,Gertruudinhas,"minha madrid
nha",Mesinha Quem,Covinha,"pocilga do
Agostinho",Tinha,galinha gorda,VInha,Joaninha,Tinhamos,Vinha,Tinham-no,bandeirinha,"Ti
 .A",chapinhando,panelinha,Sozinha,Mantinha da Baixa,TInha,Mesinha,Minha,anaol Tinha,,,,,,,,,
74,Elefantel,Teles,Teles alfaiate.- Ai,"CLasse9DEANte DE9E.
EEEetEeLEegelEEmeEErE",Pobre Teles,,,,,,,,,,,,,,,,,,,,,,,,,,
75,alteragcao,Alcobagca,Alcbagca,serra de Alcobaca,Alcobagea,Alcobaca,"Brito de
Alcobaca",,,,,,,,,,,,,,,,,,,,,,,,
76,Versalhes,Universo,Universo-,Uni-,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"conego
Dias",conego Dias,lanegor,conego,conego Campos,irma do conego,conegos,ma negocio ponttal,senhor conego,Cegonha,,,,,,,,,,,,,,,,,,,,,
78,U  H I1It  1,I1,I1E,I11,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Tolices,Tolices -disse Amaro,Joli,Tolices-,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,S. Carlos,Carlos-,Carlota,Carcavelos,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Rucal,Nuca,baiuca,A Nuca,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Falta,Salte,Salta,"S.
-- Falta",Salta ca,A8,saleta,,,,,,,,,,,,,,,,,,,,,,,,
83,XI,AUXILIo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Ergueu-,"hein2
Ergueu-se",Purgue-se,Rg.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,--- Obrigado,Obrigado,Obrigada,Obriga,Brigida,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Breviario,U,Breviariol,Abreviar,Breviirio,,,,,,,,,,,,,,,,,,,,,,,,,,
87,pOr-me,insultar-mel-,r-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,hierarguia,aguiar,Daroguia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Suspenda,Anda-me,Mandara,Anda,anda,veneranda,Legenda,Andava,irlanda,Outra-Banda,ajudanda,,,,,,,,,,,,,,,,,,,,
90,Vejam,Ja,Sejam,Vejo,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,R0,Mr0,"R0
ra",,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,rsIg,Sitio,Sio,sioes,Ansiosas,Rossio,"Io
sio
oIIE",Ansioso,Io,,,,,,,,,,,,,,,,,,,,,,
93,Una,Assungcao,Ossuna,Assunto,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Passa,Passou,Passara,L,Passei,Dassaro,,,,,,,,,,,,,,,,,,,,,,,,,
95,Qual Judial,Josefal,Cali,Pombal,Al,falua,Algarve,Balc,algod,Chalacal,Albina,Dal,,,,,,,,,,,,,,,,,,,
96,"Santis-
sima Trindade","Santissimo
Sacramento",Santissimo Sacramento,Certissimo,missanga,Santis-,Santissimo,Laboranti,,,,,,,,,,,,,,,,,,,,,,,
97,"Morena
Ia",Morena,Renas,serena,Morena de Leiria,,,,,,,,,,,,,,,,,,,,,,,,,,
98,reeorre,Correia,Concorrem,rua do Correio,Correu,sorri,Brito Correia,"pe
602
corrI",,,,,,,,,,,,,,,,,,,,,,,
99,Ionge,Longas,LonGa,Longuinhos,Longos,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Polais,Laudo,delas:--,Lado,Mola,Ola,LA,Aucla,Largo,La,V,Bruxelas,Lausperee,,,,,,,,,,,,,,,,,,
101,Ave-Marias...,Ave-Marias,BIbi...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Deixa,Deixe,Peixoto,Deixa-las,Deixa-la,Deixem,,,,,,,,,,,,,,,,,,,,,,,,,
103,Arco;c,Arcada,Arco,Arco...,Circo,Comarca,Arco do Triunfo,,,,,,,,,,,,,,,,,,,,,,,,
104,Joia Eduardo,Joao Eduardo,"Joao
Eduardo",Joaol,"Arco
Joao Eduardo",,,,,,,,,,,,,,,,,,,,,,,,,,
105,Outr-,Ouvem,T9Sou,OU,Rebuscou,Outono,Doutor,rouba,Fatigou,Vou,,,,,,,,,,,,,,,,,,,,,
106,rua das Sousas,Sousas,rua dos Sousas,los Sousas,Sousas...,Sousa,"rua dos
Sousas","rua das
Sousas",,,,,,,,,,,,,,,,,,,,,,,
107,mamai,Mau,mais?-,mam,Uma-arma,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Chiado,Refugiado,Apoiado,Rugia,regiao,,,,,,,,,,,,,,,,,,,,,,,,,,
109,O1III,Napole III,IIInpAIR  W,Eiiiiircicaieii,"rg1IN,1III",III,xXIII,UckIIE,OCRIIIT(I,III O,III--0,Ii,"Iii',2",,,,,,,,,,,,,,,,,,
110,Dizem-,Lem-,Z.1,dize ca,Devem-no,dizer:- Fiz,,,,,,,,,,,,,,,,,,,,,,,,,
111,Domine,Exultante Domino,Domingos,S. Domingos,Dominara,,,,,,,,,,,,,,,,,,,,,,,,,,
112,"CRIME DO
PADRE AMARO","CRIME DO
PADRE",cRIME D0 PADRE,1E DO PA DE,CRIE DO PADRE,CRIME DO PADRE,pORTO Do PADRE,"cRIME o PADRE A  IdO
V",CRIME D0 P PADRE,GRANDE DO PADRE,cRIME PADRE,,,,,,,,,,,,,,,,,,,,
113,Todo6-e,Todo,DO,Todos,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Recados,Pecado,Cansado,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"L
Ia
I","Leiria
---",Onde Leiria,Leiria,"Leiria
--- Voce","Cusl
--- Nao",,,,,,,,,,,,,,,,,,,,,,,,,
116,Belo homem,dizia.-,familia,"dizia.- Homem de
familia...",,,,,,,,,,,,,,,,,,,,,,,,,,,
117,sc,Sc,Escusa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Ricogea,Rico,Ricogca,"Rico-
nheceu",,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Cario,Campos Delirio,Os6rio,RIo-de,seminario,Calvario,Tresvario,Rio,p do rio,proprio Salario,Osorio,Laboriosa,IO,rio,RIO 0 DE,Natrio,,,,,,,,,,,,,,,
120,Nas-,pas-,Cas-,"pas-
ava",,,,,,,,,,,,,,,,,,,,,,,,,,,
121,bebedeira,bebedo,Bebedast,plebelJesus,i beber1,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Pater est,Pater,Materia,patife.-,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Via-o,movia,Via,Via-Clara,Devia-a,Ia,Vivia,vigilia,,,,,,,,,,,,,,,,,,,,,,,
124,aivida,Nutrida,Madrid,Id-de,ID,SIDO,Tito-Lido,Ovidio-,Ferido,,,,,,,,,,,,,,,,,,,,,,
125,Tulle,elle,Hotel de Ville,excellencia,llne,"elle
E",,,,,,,,,,,,,,,,,,,,,,,,,
126,Cala-te,calumnia,Cala-,Calcula,Calafates,"rua dos Cala-
faces n.e 53",,,,,,,,,,,,,,,,,,,,,,,,,
127,Quinas,sotainas,Dinastia,ruinas,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Ndio,Prendia-a,India,brandia,invadia,Indigna,,,,,,,,,,,,,,,,,,,,,,,,,
129,Conhece,Conheci,Conhecia-a,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,tao alegre,alegre,Alegres,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,secamente.--- Fecha,gente.-,maiestosamente,Inten-,tristemente.-,Mente-,S. Vicente,Positivamente,Gente-,Mente,Nantes,Sol do Poente,Serpente,legalmentc,intengiio,Instintivamente,uorcaente:,Certamente,Realmente,,,,,,,,,,,,
132,veu das lagrimas,lagrimas,O1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,"Santa-
rem",Santar,Santa Apolonia,"Vento
da Santa Cru",Santa Amelia-,Santa Crescia,Santa Catarina,Minta,Santa,santa cruz,"Santa Joana
de Aveiro",Santa Ana,Santa da Arrega,po santa,,,,,,,,,,,,,,,,,
134,"Ceu
l",Eu,Eug,Ceu,Ceu...,ce,ceu,Ceus,,,,,,,,,,,,,,,,,,,,,,,
135,IMitando,Meditando,Imita,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Chap de Malas,P DE,Cham de Malas,Cheio de Magoas,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,coimbra,Assombrado,Coimbra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Livre,Livros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Benedicat,Benfica,Oficio,Ficava,N6s,Enfim,,,,,,,,,,,,,,,,,,,,,,,,,
140,c1,Soberba,Sobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Salve-Rainha,Rainhas,Salve-Rainhas,unhas,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Ses,pesoss,Es,es,caes,Escute,afli6es,c6es,lajes,Nunes,ES,Lethes,,,,,,,,,,,,,,,,,,,
143,deserto Todos,Decerto,deserta,Sertaneja,Aperta,Alerta,,,,,,,,,,,,,,,,,,,,,,,,,
144,Mendes-,Mendes,Emende,nandes,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Conto,Contara,1I,Contar,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"Amaro
at",Amaro:-,"Optimol
Amaro",Oh Amaro,E Amaro,Amaro jantara,Amaro?1,padre Amaro,Entao Amaro,Amarol,Amaro:--,real.- Amaro,S6 Amaro,dc Amaro,Camarote,Ribamar,so6 Amaro,Amaro,"Se?-perguntou Amaro
MORTE",Sou Amaro,traz Amaro,Ceu-A Amaro,Amaro.-Ainda,casarao amarelo,Amaro-e,I. Amaro,camara,Mar,s6 Amaro,"Amaro:- Ouea
voce",Amar
147,consolagcoes,revelagcoes,Relagcao,tentagcoes,revelava,plantagcoes,,,,,,,,,,,,,,,,,,,,,,,,,
148,A(;,HEi-de,I-,Hei-de-lhe,Hi-de,Hei-de,,,,,,,,,,,,,,,,,,,,,,,,,
149,Pre,Pregado,Provarei,pre,Sempre,Represen-,,,,,,,,,,,,,,,,,,,,,,,,,
150,"Nossa Senhora do Rosario...
Disse-a o padre Vicente","Nossa Senhora
das Dores",Nosso Senhor,Nossa Senhora das Dores,Nossa Senhora da Saude,"Nossa Senhora
da Ermida",Nossas Senhoras,Nossa Senhora,"Nossa Senhora
S. Vicente",Casamento de Nossa Senhora,Nossa Senhora da Visitacao,Inimizade de Nossa Senhora,,,,,,,,,,,,,,,,,,,
151,Estigmas de S. Francisco,s7,S. Francisco,"Credo
-- Francisco",,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Pitonisa,Dezoito,Bonito,Bonita,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,"Voz do Distrito
---",Distrito e a Sociedade,Distritol,Voz do Distrito,Distrito,A Voz do Distrito,,,,,,,,,,,,,,,,,,,,,,,,,
154,pstl Eh,pstl pstl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Misericordia-,Misericordia,"rua da
Misericordia",Miserere,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Polonia,Dionisial,Dlonisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,exageracoes,consideraco5es,Fraco,abracos,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,mae,Ae,Jrae,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,"Bento
saceristaio",Comendador de Cristo,Historia,tristeza,Mist-,Cristo-,Pobre de Cristo-,o Cristo,cavaleiro de Cristo,Corpus-Christi,,,,,,,,,,,,,,,,,,,,,
160,IL.i,Critica do Brasil,brasiCo,Brasil,genebra,Juras,sil,silvas,,,,,,,,,,,,,,,,,,,,,,,
161,Esteia,Rugas Estas,Estremoz,Estoico,Esta-me,Nasceste,Estupido,Estio,Est,Estive,escreveste,estrepito,,,,,,,,,,,,,,,,,,,
162,Porto,Lugar,Portugal,em Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,falandocom inuietacao,Quieta,desinquietava,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,"Pimen-
tel de Outrem...",Escreve-me,Tremer,Treme-me,Lembre-me,T,,,,,,,,,,,,,,,,,,,,,,,,,
165,Rica,Ricas,"Africa
a91",Africa,Frica,africa,,,,,,,,,,,,,,,,,,,,,,,,,
166,A::C,legua,egua,Jose Iguaes,Segue-,Cheguem-se,,,,,,,,,,,,,,,,,,,,,,,,,
167,impio,Impiedade,Piedade,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"rua da Miseri-
c6rdia",Miseric6rdia,"rua da
Miseric6rdia",rua da Misericordia,rua da,rua da Miseric6rdia,"Miseric6rdia,-e","rua da
Miseric6rdia,-e",rua da Miseri-,,,,,,,,,,,,,,,,,,,,,,
169,Tom6o,Tomavam-na,Tomar,Roma,Leia S. Tomas,Toma,Tome,B00,,,,,,,,,,,,,,,,,,,,,,,
170,Ihe,Impunham-Ihe,Se Ihe,Ih,Ihes,,,,,,,,,,,,,,,,,,,,,,,,,,
171,"Nossa
senhora","Nossa
Senhora das Dores","Nossa
Senhora de Lourdes","Nossa
Senhora","Nossa
Senhora
Ela","Nossa
Senhora de Lourdes...",Ah,,,,,,,,,,,,,,,,,,,,,,,,
172,Voee,apavorads,Evora,pavor,Espavorida,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Senhora do Rosario,Tenho,secura:-- Tenho,Senhora da IEncarnacao,minha senhora,Senhora Carlotal,Senhora da Incarnacao,ci do senhor padre,"minha
senhora",Senhora e dos Homens,"Senhora das
Sete Chagas",ma senhora,Senhora,Junho,Senhor-,boa senhora,Amaro:-O senhor,Senhora da Alegria,senhor2,"senhor dou-
tor",,,,,,,,,,,
174,Esguclhas,Esguelha,Jose Miguel!,Esguelhas,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Comu-,Coniunicadof,Comuni-,Comunicado,Comunicadol,Comunicados,Excomunhao,Complicado,,,,,,,,,,,,,,,,,,,,,,,
176,Encolhia,Iarselhesa,Chocalhe,Olhei,Olhe,Mulher,L-- Olhe,,,,,,,,,,,,,,,,,,,,,,,,
177,Louvado,Causava,Arfava,orva,Vagen,Vaz,Viva,Va,Dava,Vadios,,,,,,,,,,,,,,,,,,,,,
178,Igreja-,Igreja)l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,siastico,Insensivel,Nsia,nsia,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Outeiro,Ferreira,Terreiro,Carreiro,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"cosia de
luneta",grata de Deus,ria de pe,"Mis-
victoria",victoria de Deus,Bairro de David,"Coroada da
Rainha Vitoria",Aldeia de Honra destruido.l,,,,,,,,,,,,,,,,,,,,,,,
182,Dele-a,Delecluze,Dele la,CL,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Garriffaldi,Bendito,Maldito,amaldicoava,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"bom
Ferraio",Ferros,Ferraio,bom Ferro,Ferro,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Obra,Nobres,Cais do Sobre,Abre,Pobre,sObrEtudo,,,,,,,,,,,,,,,,,,,,,,,,,
186,Janota,Disse-mo o senhor padre Notario-,"RU0
Janota",Notario,Notario-,"Eu11
Notario","Porto
Notario",Notario...,devota.-,,,,,,,,,,,,,,,,,,,,,,
187,Sul-,Pol-,"L-
xVI",--mI5F L-,L-,vol-,,,,,,,,,,,,,,,,,,,,,,,,,
188,MIA RU,Quorum,Rua,RU,ru,instrugao,A RU,,,,,,,,,,,,,,,,,,,,,,,,
189,T-la-eis Levantaremos,levantou:-,levantou:- Entre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Vidalti,alto Ceu,punha de alto,Alto-,Alto,Bairro Alto,Alto la,Saltou,,,,,,,,,,,,,,,,,,,,,,,
191,Nlgas,Julho,Carvalhosa,Agasalho,Agasalha-te,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Pelxoto,Pelos,L29PELa9.exCeL9GOLPES-.s-,PElos,Pel,Papel,,,,,,,,,,,,,,,,,,,,,,,,,
193,o6,So,So6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Gansozinhos,Gansosinho,Gan-,Inglesinhos,Gansosos,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"cemiterio
de",serio,seria9,periodicol,Serio,Sllverio,,,,,,,,,,,,,,,,,,,,,,,,,
196,Abria,gloria,Tulherias,iRIA,Riam,memoria,Chateaubriand,austria,Ria,crian6,"S. Crisologo
S. Cipriano",CRIA,riacho ue,Iria,,,,,,,,,,,,,,,,,
197,tectos baixos do curral,Pinheiro,pinheiros baixos,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Fillstinos,Atenos,Menos,Buenos-Aires,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Qual-fez,Al-fez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Havemos,HAviam,Iam,Haviam,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,pouco0,Arouca,Poucas,Pouca,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,peco.-,pcscoco,bergco,pescogco,com-,cO,Colegas,,,,,,,,,,,,,,,,,,,,,,,,
203,Purgatorio,suor,lavatorio,Oratorio,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Caput,"Cabeca do
s",cabeca baixa,cabeca,Ca,cabelludo,Acabe,,,,,,,,,,,,,,,,,,,,,,,,
205,Santo Amoroso,"v
do santo concilio de Trento","santo
Deus",taciturnidade dos santos,vivencla dos santos,boca dum santo,Sinto,desolacao dum santo,Santos,Santo Tirso,,,,,,,,,,,,,,,,,,,,,
206,marroquim,barraca,Barroca falar,Barroca,"estrada da
Barrosa",Barrosa,cigarros.-,Barrosa-,Rosa,,,,,,,,,,,,,,,,,,,,,,
207,Cometera,Come-,Comega,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,"s7
n noITE o  DE A T",RIO  DE,RIO  DE A 1 R,IL D0  DE A M,T 1E  I AI0,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Dcsordens,dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Cu,custou1,Custou,,,,,,,,,,,,,,,,,,,,,,,,,,,,
