cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37
11,S. Janeiro,Janeiro,Outeiro,Sertaneja,Pinheiro,O7 de Janeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Not6,Not6d,Nol,Imnonotonas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sala,sala.- Mas,Jerusal,Sala-,Safal,Agasalho,Falar0d,Salario,Pascoal Bailao,Salema,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,e2gl2kls-noite,Boas-noites,P-N,L2,Anoitecer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,praga,Praga,braga,Fraga,Gargalheira,Franga,Nagaioi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,EM1,Belo homem,Bem,Lem-,bebedo,Sobe,Tambem,Belem,Bebedast,S. Bem,i beber1,Devem-no,Nem,,,,,,,,,,,,,,,,,,,,,,,,,
17,tre Valadares,jardim da Estrela,Valadares,Tresvario,areal  faisceava,Populares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Morena
Ia","L
Ia
I",Morena,Renas,serena,Morena de Leiria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,subaltern,Eterna,consternaeao,"Eterna
Dor",Eternidade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Cala-te,Cala-,O-t,Calafates,Agasalha-te,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,tos,Egipto,Minutos,Gastos,Tossicou,Ditosos,leos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,S. Jeronimo,Im,NIME,Vim,Berlim,impio,PrimO,Sim,Turim,Enfim,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,saia branca,Branca,derrancada,Brincadeiras,3I,Branca Divagava,Cabrais,Casimira Franca,Franca,Vila Franca,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Fillstinos,siastico,Insistia,irresistivel2,Insensivel,Simpatia,Nsia,insomnia,instrugao,Dinastia,boa Insistia,nsia,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"cosia de
luneta",jardim do Pago,Cat DO DE,1E DO PA DE,reputacao duma scula de alquimista,"s7
n noITE o  DE A T",ria de pe,1E DO  D E  M,oITE DO A D R,E1 DO   D,"Rua espa-
nada do modo do",IL D0  DE A M,Aldeia de Honra destruido.l,,,,,,,,,,,,,,,,,,,,,,,,,
26,Laudo,Louvado,Chiado,Lado,Recados,lajeado do largo,Refugiado,Pecado,Apoiado,3L,Cansado,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Aclia,Relia,Heliogabalo,Religiosa,Livre,rel6-,"leo de
Arrelia",ourelo,Biblia,regiao,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Preparou-a,Pre,Pregado,Provarei,pre,Preparos,Sempre,Represen-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Eg Ds QUe,quem1,Aquela,QUe,ue,Porque,"dc
paquete",Marques,"bom
Marques",POrque,QUEIROZ,Aquella,Vasques,quc,Quero,Esque-,T,,,,,,,,,,,,,,,,,,,,,
30,Perfeito,Respeito,Espero,Peixoto,estrepito,Espirito,Aproeito,Lausperee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Ds,apavorads,Evora,Rapaz-,pavor,Espavorida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Associago das Servas,rua das Sousas,cabo dos guarda-chuvas,Sousas,rua dos Sousas,los Sousas,Sousa,Pimentas da Poeira,"rua dos
Sousas",Povo das Bentas,"rua das
Sousas",,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Caia-me,Ai,Caiu,Caia,baiuca,calumnia,caia,N6s,Saia,Praia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Pieguicesl Ate,Pieguices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,invcjando baixo,Baixo bravo,baixo d,Baixo bravo -,tectos baixos do curral,Baixa,pinheiros baixos,Bairro de David,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,furta,Mortal,"Morte-
na","porta do
Fumava",Morta,MORTI,Z.1,Porta de Ouro,Aperta,Taborda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,A(;,Nio,nio vou,Dionisial,IO,ue nio,Creio la nisso',nio,Io,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Dentro,Introibo,Entro,Trento,controvrsia,Entra,levantou:- Entre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Igreja-,Ja,Igreja)l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Polais,dEpois,Dois M-,Pois,guarda-sOis,Bois,Poials,Dois,Poiais,Coisa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Gertruudinhas,"minha madrid
nha",Mesinha Quem,Covinha,Tinha,VInha,Joaninha,Tinhamos,Vinha,Tinham-no,bandeirinha,"Ti
 .A",unhas,Sozinha,Mantinha da Baixa,TInha,Mesinha,Minha,anaol Tinha,,,,,,,,,,,,,,,,,,,
42,Universo,Universo-,Soberba,Uni-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"conego
Dias",conego Dias,lanegor,conego,Pego,conego Campos,irma do conego,conegos,ma negocio ponttal,senhor conego,Cegonha,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,I1,I1E,I11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Tolices,Decerto,Tolices -disse Amaro,Joli,Politica,Tolices-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,pos-,S. Carlos,Aos-,Carlos-,Carlota,Cardoso,Carcavelos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,XI,AUXILIo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Falta,Salte,Salta,insultar-mel-,"S.
-- Falta",Salta ca,saleta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,fE,"boa
fe",Fel,Fe,patife.-,Feitio,fe,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Breviario,Breviariol,Abreviar,Ovidio-,Breviirio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,hierarguia,aguiar,Daroguia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Suspenda,Anda-me,Mandara,Anda,anda,Legenda,Andava,irlanda,V,Outra-Banda,ajudanda,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,--- Obrigado,Obrigado,Obrigada,Obriga,Brigida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,R0,Mr0,"R0
ra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,rsIg,Sitio,Sio,sioes,Ansiosas,Rossio,SIDO,"Io
sio
oIIE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,cre,Credo,Credo Nao,Cre,acre,Creio,Arvore da Cren-,acre ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Una,Assungcao,Ossuna,Assunto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Republica,absolvicao,caricias,tisica,Ricogea,Rica,Benedicat,Ricas,Rico,"Africa
a91",Sacrificaria,Africa,Frica,Ricogca,replica,africa,,,,,,,,,,,,,,,,,,,,,,
59,Vossa,Passa,Passou,Passara,Passei,Dassaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Qual-fez,Al-fez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Qual Judial,Abalou,Josefal,Pombal,Al,falua,Algarve,Irral,algod,Chalacal,Albina,Dal,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Santis-
sima Trindade","Santissimo
Sacramento",Santissimo Sacramento,Certissimo,missanga,Santis-,Santissimo,Disse-mo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Recordava,Correia,Coreto,Concorrem,rua do Correio,Correu,Brito Correia,"pe
602
corrI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Ionge,Longas,LonGa,Longuinhos,Longos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,delas:--,Mola,Ola,LA,Aucla,Acumulava,lajes,Largo,La,Temo-la,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Ave-Marias...,Sousas...,Ave-Marias,BIbi...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Ndo,DO,IMitando,Mundo',boceiando,Dois Mundos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Amparo da botica,"Amparo
da botica",vidraga da reparticao,botica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Deixa,s7,Deixe,Deixa-las,Deixa-la,Deixem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Arco;c,Arcada,Arco,Contar,Arco...,Circo,Comarca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Senhora da IEncarnacao,Acabou-se-pensava-nao,Senhora da Incarnacao,cara redonda,casa do inferno;-,"Coroada da
Rainha Vitoria",vidraca da cozinha,banco da taberna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Joia Eduardo,Joao Eduardo,"Joao
Eduardo",Arredo,Joaol,"Arco
Joao Eduardo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Outr-,Gouveia,Ouvem,T9Sou,OU,Rebuscou,Outono,Fechou,rouba,Vou,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Tamanho,Damasco,mamai,mana,Mau,mais?-,Matam-lo,Maia,mam,Uma-arma,Amanh,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Napole III,IIInpAIR  W,Eiiiiircicaieii,III,xXIII,UckIIE,OCRIIIT(I,III O,III--0,Ii,"Iii',2",,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Inimigo,Domine,Exultante Domino,Domingos,S. Domingos,Dominara,pingo do rape,B00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"CRIME DO
PADRE AMARO","CRIME DO
PADRE",cRIME D0 PADRE,CRIE DO PADRE,CRIME DO PADRE,ci do senhor padre,pORTO Do PADRE,A6,"cRIME o PADRE A  IdO
V",CRIME D0 P PADRE,GRANDE DO PADRE,cRIME PADRE,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Todo6-e,Todo,deserto Todos,Doutor,Tito-Lido,Todos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,e--,"Leiria
---",Onde Leiria,Leiria,"Leiria
--- Voce","Cusl
--- Nao",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,sc,Sc,Escusa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Nas-,pas-,Cas-,"pas-
ava",Pascoa,palmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,c1,Via-o,movia,Via,Via-Clara,Devia-a,Ia,HAviam,Haviam,Vivia,vigilia,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"baui de
lata","pe da
Prata",Gratid,Mata,Grata,ingratid,"tipo6-
grafo",Prata,Prata...,Leia Gravatas,beatas ramada,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Dele-a,Elefantel,Teles,Tulle,elle,Delecluze,Dele la,Hotel de Ville,plebelJesus,llne,"elle
E",PolLeLinterno,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Podia,Judia,Ndio,Dias,Adian-,dizia.-,Prendia-a,India,brandia,invadia,Indigna,din,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Conhece,Conheci,Conhecia-a,"Rico-
nheceu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Ses,Felizes,Es,es,caes,Escute,afli6es,c6es,Nunes,Jose Iguaes,ES,tes:-,Lethes,Vezes,,,,,,,,,,,,,,,,,,,,,,,,
88,legua,tao alegre,alegre,Alegres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,secamente.--- Fecha,gente.-,maiestosamente,Inten-,tristemente.-,Mente-,S. Vicente,Positivamente,Gente-,Mente,Nantes,Sol do Poente,Serpente,legalmentc,Menos,intengiio,Instintivamente,uorcaente:,Perfeitamente,Certamente,Realmente,,,,,,,,,,,,,,,,,
90,"Santa-
rem",Santar,"Vento
da Santa Cru",T-la-eis Levantaremos,Santa Crescia,Santa Catarina,Santa,santa cruz,"Santa Joana
de Aveiro",Alcantara Famosa,Santa Ana,Santa da Arrega,Satanaz,po santa,,,,,,,,,,,,,,,,,,,,,,,,
91,Pareceu-,"Ceu
l",Voce,Eu,Eug,Ceu,Ceu...,ce,ceu,Ceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,palmas de martires,Chap de Malas,Cham de Malas,Cheio de Magoas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Salve-Rainha,Rainhas,Salve-Rainhas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,vieira,VIEIRA,Vira,praia da Vieira,Vieira,Viera,Vimeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Mendes-,Mendes,Emende,Reden-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"Amaro
at",Amaro:-,"Optimol
Amaro",Oh Amaro,E Amaro,"Desalento
QUando Amaro",Amaro jantara,marroquim,Amparo,Amaro?1,padre Amaro,Entao Amaro,Amarol,Amaro:--,real.- Amaro,S6 Amaro,dc Amaro,Camarote,"padre
Amaro",Ribamar,so6 Amaro,Amaro,"Se?-perguntou Amaro
MORTE",Sou Amaro,traz Amaro,Ceu-A Amaro,Amaro.-Ainda,Mataram-me,Amparo-,Amaro-e,I. Amaro,camara,Mar,l,s6 Amaro,"Amaro:- Ouea
voce",Amar,Quando Amaro
97,rel Azevedo,consolagcoes,exageracoes,revelagcoes,Relagcao,tentagcoes,revelava,plantagcoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,HEi-de,I-,Hei-de-lhe,Hi-de,Hei-de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"Nossa
senhora","Nossa
Senhora das Dores",Senhora do Rosario,"Nossa Senhora do Rosario...
Disse-a o padre Vicente","Nossa Senhora
das Dores",Nosso Senhor,Nossa Senhora das Dores,"Nossa
Senhora de Lourdes",Nossa Senhora da Saude,Disse-mo o senhor padre Notario-,"Nossa Senhora
da Ermida",Nossas Senhoras,Nossa Senhora,"Nossa
Senhora",Nossa,"Nossa
Senhora
Ela","Nossa Senhora
S. Vicente","Nossa
Senhora de Lourdes...",Casamento de Nossa Senhora,Nossa Senhora da Visitacao,Inimizade de Nossa Senhora,,,,,,,,,,,,,,,,,
100,A::C,Estigmas de S. Francisco,S. Gorislano,S. Francisco,"Credo
-- Francisco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,C6rrego das Tristes,"Voz do Distrito
---",OITE DO HDIE,Voz do Distrito,A Voz do Distrito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Faz-me,AZ,Faz,fard,Fazem-me,Fazes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Miseric6rdia,Misericordia-,Misericordia,"Mis-
victoria","Miseric6rdia,-e",periodicol,Corpus-Christi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,mae,Ae,Jrae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,luvas de casimira,IL.i,Critica do Brasil,brasiCo,Brasil,Assombrado,genebra,Juras,sil,silvas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Estado,Ldestruicao,Estai,Esteia,Pater est,Boa besta,Estremoz,Estoico,Esta-me,Nasceste,Estupido,Boa Estou,Estio,Estrela,Est,Estalar,Estive,escreveste,estado,,,,,,,,,,,,,,,,,,,
107,Porto,Lugar,Portugal,em Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Case-me,"Boa fi
g2gEME","Pimen-
tel de Outrem...",Vossemec,Escreve-me,Tremer,Treme-me,Nemeia,Parece-me,Lembre-me,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Amparozinho,parocozinho,Cozinleiros,Drocozinho,Joaozinho,irmaozinhoque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,cordagens,Dcsordens,dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,MIA RU,"rua da Miseri-
c6rdia",cova da enxerga,"praia
da Conc6rdia","rua da
Miseric6rdia",rua da Misericordia,rua da,boa dicta,rua da Miseric6rdia,"rua da
Miseric6rdia,-e","rua da
Misericordia",nio da guardal,rua da Miseri-,,,,,,,,,,,,,,,,,,,,,,,,,
112,abbade.- o Dias,Campos Delirio,p do rio,RIO  DE,RIO  DE A 1 R,Arco do Triunfo,cavaleiro de Cristo,RIO 0 DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Tom6o,Tomavam-na,Tomar,Prometo,Roma,Leia S. Tomas,Toma,Maldito,Tome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Ihe,Impunham-Ihe,Se Ihe,Ih,Ihes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Imagine,imaginagcao,Imaginei,Imaginara,Imaginava,sotainas,veu das lagrimas,Imaginas,lagrimas,Imaginem,ruinas,imaginaco da rapariga,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Tenho,secura:-- Tenho,minha senhora,Senhora Carlotal,"minha
senhora",Senhora e dos Homens,"Senhora das
Sete Chagas",ma senhora,Senhora,Rabicho,Junho,"Se-
hor",Senhor-,boa senhora,Amaro:-O senhor,abencoadora,Ah,Senhora da Alegria,senhor2,"senhor dou-
tor",,,,,,,,,,,,,,,,,,
117,Esguclhas,Esguelha,Esguelhas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Coniunicadof,Comuni-,Comunicado,Comunicadol,Comunicados,Excomunhao,Complicado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Versalhes,Encolhia,Chocalhe,Olhei,Olhe,Mulher,L-- Olhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Queres,Quereis,Queria,Ergueu-,Queria-a,Hereticus,Quereria,QUeres,Quere-me,Miserere,Ferido,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Causava,Cercava,Benfica,Oficio,Fisica,Ficava,amaldicoava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Abafava,Fumava,Arfava,orva,Vagen,Vaz,Viva,Va,Dava,Vadios,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,"bom
Ferraio",Ferros,bom Ferro,Ferro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Obra,Nobres,Cais do Sobre,Abre,Pobre,Pobre de Cristo-,sObrEtudo,Pobre Teles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Janota,"RU0
Janota",Notario,Notario-,"Eu11
Notario","Porto
Notario",Notario...,devota.-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Sul-,Pol-,"L-
xVI",--mI5F L-,L-,vol-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Quorum,Cruzes,Receru-,Rua,Rugia,RU,ru,Bruxelas,A RU,Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,padrariao,Paraiso,paris,ParIs,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Vidalti,alto Ceu,punha de alto,Alto-,Alto,Bairro Alto,Alto la,alto do Golgota,Saltou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,pe,Pelxoto,Pelos,L29PELa9.exCeL9GOLPES-.s-,"PE.e2
g",PElos,Pel,Papel,PE,Pega,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Sol,o6,solu-1,So,So6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Abria,gloria,Tulherias,iRIA,Riam,memoria,planeariam,Chateaubriand,Proletariado,ariastlcn,austria,Ria,seria9,crian6,"S. Crisologo
S. Cipriano",CRIA,Materia,riacho ue,Mouraria,Faria,Iria,Marialva,,,,,,,,,,,,,,,,
133,pouco0,Nuca,Poucas,Campos,A Nuca,Pouca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Comu-,peco.-,pcscoco,bergco,pescogco,com-,cO,Come-,Colegas,Comega,Comecos da Primavera,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Purgatorio,OORI1tE,suor,lavatorio,sorri,Oratorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Caput,cabo da faca,"Cabeca do
s",cabeca baixa,cabeca,Ca,cabo dum,cabelludo,Acabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Santo Amoroso,"Santo Ide-
afonso","santo
Deus",taciturnidade dos santos,vivencla dos santos,boca dum santo,Sinto,levantou:-,desolacao dum santo,Santos,Santo Tirso,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,"estrada da
Barrosa",Barrosa,cigarros.-,Saiba,Barrosa-,Rosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Padre-Mestre,PADRE,Madrid,padre Feliz,Deus-Padre,Padre,Padre-Nossos,Madre-Abadessa,Padrinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,ar.- Acudam,Acudam,Mudar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Cu,custou1,Custou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Brito,Historia,tristeza,Distrito e a Sociedade,Distritol,Mist-,Cristo-,Distrito,o Cristo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,pstl Eh,pstl pstl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Santa Virginia...,virginia,Santa Virgem,Parto da Santa Virgem,Santa Virginia,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Tudo,TU,Tu,Natureza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Econ-,impudencia con-,con-,Con-,Aconselhou,mon-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Civilicacdo,Civilizacao...,Civilizacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Cumiada,almada,Encarnada,Nada,Sufocada,Madalena,Nao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Lisboa de Amaro Vieira,Lisboa,Boa,aguas de Lisboa,lisboa esmoer,deserto lisboa,Correspondencia de Lisboa,Lisboa...,de Lisboa,estrada de Lisboa,"Lisboa c
sa",,,,,,,,,,,,,,,,,,,,,,,,,,,
150,a3,AA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,"Eternidade dos
LouVoICS",aivida,placide,Nutrida,amizade.-,Trindade,adormecida,Impiedade,Piedade,vencIda,CIDADE,Brutalidades,Cuidado,cidade1,,,,,,,,,,,,,,,,,,,,,,,,
152,bocejo,desejo.- Ouve,Vejam,Ve,Vejo,Jogo,Tejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Prudencia,impaciencia,Providencia,"Maria
Vencida",Escocia,Dulcineia,ciencias nova,"Sao da Encar-
ncia",Agencia Havas,excellencia,Ncia,Violencia,Associago,D,A8,ncvoa,impaciencia.-,Consciencia,,,,,,,,,,,,,,,,,,,,
154,entao s6,Lenta,Oonveneao,Minta,Entaol,Ehtao,Entaio,Sentia,EDICAO MONUMENTAL,entao,Entao,Etao,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Goncalves,alcan,Rucal,Cali,Arregacal,Alcantara,Calvario,Carvalhosa,careca.-,calcar,Calcula,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Recu-,v,Emagrecia,Emagreccu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,us,Adeus,"Deus
Gorda",Deus do Ceu,Deus,"Deus,-e
Deus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Repente-,Mais-de-te,mexe-te,Ge-,"Repente-
de-te",Pede-os,EP22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Morgaditos,"Mor-
gadinho",Cansadinho,Morgadinhos,Morgadinho,Morgado,Rg.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Pano,Amor;Raparigas,Manon,Panorama,"Pano-
rama",Ignorava,Laboranti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,cRIME DO P AUR,CRIME,CRIME DE,UCRI3E D0 AEIE,Comendador de Cristo,CRIME DU PAI,O0CRIME,cRIME DO D,crIME DO,cRIME DO P DE A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Tirado,tira-mo:-,Atirava-se,Tira-mo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Praia Nova,Cordova,Novaisitos,Novas,Nova devogcaio,bom Novas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Pitonisa,Conto,Santa Apolonia,Agonia,Harmonia,Polonia,Bonito,Dlonisia,Antonia,tonturas,Manias,Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,
