cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25
43,the Waterloo Road,Terlizzi,Waterloo,Rookery,Bayswater,Charlotte,Wooloomooloo,Waterford,,,,,,,,,,,,,,,,,,
44,"sir,—I","Kate:—""you","words,—if","you,—if","work,—it","Pacific,—I",hours:—if,"affair,—if","you,—and",pounds:—if,"you,—not",,,,,,,,,,,,,,,
45,Wentworth,Gravesend,Grosvenor,Ravensworth Park,Ravensworth Hall,Ravensworth,Rickmansworth,,,,,,,,,,,,,,,,,,,
46,Usiglio,Venus,Vesuvius,us,Janus,Tuscany,Husband,Morpheus,Gradus,Junius,,,,,,,,,,,,,,,,
47,"the Place Vendome,—whether",the County of,the Duke of York,the Island of the City,the British Isles,the Inaccessible Islands,the British Islands,the Isle of Man,the Emerald Isle,the Carribbee Islands,the County of Middlesex,the Prince of Wales,the City of London,,,,,,,,,,,,,
48,Boulogne-sur-Mer,Toulon,Louisa,Boulogne,Melbourne,,,,,,,,,,,,,,,,,,,,,
49,Somers Town,Globe,Hobart Town,Globe Town,Glasgow,Hoxton Old Town,,,,,,,,,,,,,,,,,,,,
50,Syria,Maria,Armenia,Jemima,Whitefriars,Marian,Myriads of,,,,,,,,,,,,,,,,,,,
51,ARLINGTON,M.P.,Wellington,Arlington,Islington,Kensington,Warrington,Warrington Park,Newington,,,,,,,,,,,,,,,,,
52,Libya,Gibbs,Squibs,,,,,,,,,,,,,,,,,,,,,,,
53,Rotterdam,Amsterdam,Flamms,Ramsgate,,,,,,,,,,,,,,,,,,,,,,
54,Eliza,Sydney,Eliza Sydney,Eliza Sidney,,,,,,,,,,,,,,,,,,,,,,
55,Lambkin,Better Bedlam,Lambeth,Bethnal,Elizabethan,Bethlem,,,,,,,,,,,,,,,,,,,,
56,the Regent of Castelcicala,Castelcicala,Calcutta,Belfast,the State of Castelcicala,the Casualty Ward,the Grand Duchy of Castelcicala,,,,,,,,,,,,,,,,,,,
57,Kingdom,kingdom,King,Kingsdown,,,,,,,,,,,,,,,,,,,,,,
58,Dublin,Guinea,Holiness,Adeline,Inverness,Messalina,,,,,,,,,,,,,,,,,,,,
59,Medway,Limmer,Walmer,Palmerston,Walmer Churchyard,,,,,,,,,,,,,,,,,,,,,
60,Great,Great Britain,Britain,,,,,,,,,,,,,,,,,,,,,,,
61,"significantly,—as",Simcox,Asia,Bohemia,Persia,Circassia,Siberia,Asia Minor,quassia,,,,,,,,,,,,,,,,,
62,Cecilia,Friuli,"ejaculated—""Selina",Julia,,,,,,,,,,,,,,,,,,,,,,
63,Crockey,Crankey,Slike,Ikey,Turkey,,,,,,,,,,,,,,,,,,,,,
64,history;—and,"kind,—a",before;—and,"behind,—and",night;—and,refined;—and,"these;""—and",kept;—and,each;—and,kind;—and,"funds,—""and",her;—and,punishment;—and,hold;—and,hours;—and,"agin;""—and",,,,,,,,,,
65,Ferdinand,Windsor,West Indian,India,Sardinia,Cavendish,Lydia,,,,,,,,,,,,,,,,,,,
66,"again,—oh","occasion,—on","sin,—a","passion,—Oh","passion,—and",Ohio,,,,,,,,,,,,,,,,,,,,
67,Australia,Austria,Strip,District,,,,,,,,,,,,,,,,,,,,,,
68,Cape Horn,japonica,"captive,—had",Petrarca,Cape,Calumny,Capital,Cadiz,Speak,Dapper,,,,,,,,,,,,,,,,
69,"nose,—""I'm","surmounted,—no","bed,—not","devised,—he","realised,—if","confiscated,—he","disease,—which",,,,,,,,,,,,,,,,,,,
70,West End,the East Indies,the East a few weeks ago,the West End of London,the Railway east,the West End,Thebes,the West Strand,the West Indies,The West End,,,,,,,,,,,,,,,,
71,Old Bailey,SWEDEN,Baden,Scold,Wilsden,Golden Lane,"Golden
      Lane",Golden,,,,,,,,,,,,,,,,,,
72,Enon,Bonn,Colonies,Babylon,Clarendon,Cholmondeley,London Sheriffs',Londoners,Long Acre,LONDON,London,Richmond,Ballonné,Lyons,Eastern London Cemetery,,,,,,,,,,,
73,Fourpenny,Europa,Europe,Western Europe,,,,,,,,,,,,,,,,,,,,,,
74,Jermyn Street,Flower Street,St. John-street,Gracechurch Street,Friar Street,Portugal Street,Gerrard Street,Curzon Street Chapel,Calthorpe Street,Bow Street,"Castle
      Street",Whitecross Street,Smart Street,Select Vestry,Preston,Turk Street,King Street,West Street,Regent Street,CATHERINE STREET,Dearest,Ada Street,High Street,Stratton Street,Pitfield Street,Essex Street
75,Pakenham,Twickenham,Insolvents,Kentish,Superintendent,Continent,Mentor,Kentish Town,Regent,Centaur,Kent,mistaken:—no,,,,,,,,,,,,,,
76,Montgomery,Stilton,Dalston,Hoxton,Wigginton,automaton,Montecuculi,Montague,wont,Montoni,Edmonton,Brixton,Almonry,Maidstone,Monroe,Montreal,,,,,,,,,,
77,Stephen,Hasten,queens,Benstead,Stephens,repeated.—Then,,,,,,,,,,,,,,,,,,,,
78,Furnisher,Griffin,Sheriffs,Sheridan,Middlesex Sheriffs',,,,,,,,,,,,,,,,,,,,,
79,"this,—he","aim,—then","her,—she",Katherine,"them,—I",perplexity:—he,"another,—he","mother,—I","crime,—he","danger,—when","her,—how",Bazzano,,,,,,,,,,,,,,
80,Hastings,lodgings,Whittingham,Hants,Birmingham,Blaming,Wapping,Hanging,Having,"mourning,—Richard",Charing,,,,,,,,,,,,,,,
81,the Receiving Ward,the Ball Room of Buckingham Palace,Budge Row,the Yellow Drawing Room,the Yellow Drawing-Room,,,,,,,,,,,,,,,,,,,,,
82,Cornwall,Bluebottles,Snoggles,Bird-Cage Walk,Esq,Wales,Bibles,Hercules Passage,also!—Yes,Naples,deep wales,,,,,,,,,,,,,,,
83,Earth,Carthage,Bartholomew Close,Leary,earth,"heard,—a",the Lombardy Arms,mart,,,,,,,,,,,,,,,,,,
84,Aldgate,Bolter,Compter,Herbertstein,Garter,Margate,Trafalgar,Gazette,,,,,,,,,,,,,,,,,,
85,Mounseer,Dunstable,Dunstable;—then,Dunstable Manor,,,,,,,,,,,,,,,,,,,,,,
86,the Happy Valley,Happy Valley,Valley,Talleyrand,,,,,,,,,,,,,,,,,,,,,,
87,the Wictoria Park,the green hill,the Zoological Gardens,the Great Desert,the Green Park,Greenwich,Greenwood,,,,,,,,,,,,,,,,,,,
88,Dead Sea,Lethean,leave:—he,Mediterranean Sea,Lethean sea,Let'th,,,,,,,,,,,,,,,,,,,,
89,St. Leger,Egypt,Leipzig,Temple,Leeds,Leg,,,,,,,,,,,,,,,,,,,,
90,Holland,the Holy Land,Poland,Holy Land,Drury Lane,the Holy Land to Tottenham Court Road,,,,,,,,,,,,,,,,,,,,
91,the Tower Hamlets,Tower Hamlets,,,,,,,,,,,,,,,,,,,,,,,,
92,Pandean,Salamanca,Ireland,England,Norfolk Island,Leeward Island,Scotland,flank,Island,Philip Island,ENGLAND,,,,,,,,,,,,,,,
93,WARWICK SQUARE,Macquarie Harbour,Port Macquarie,Macquarie,,,,,,,,,,,,,,,,,,,,,,
94,States,"unit=""graphic""/",the Italian States,the Roman States,the united kingdom,Ah!—the United States,the united races,the United States,hesitated:—yes,the United Kingdom,,,,,,,,,,,,,,,,
95,Holloway,Lower Holloway,Hounslow,,,,,,,,,,,,,,,,,,,,,,,
96,Berlin,Switzerland,Cumberland,Germany,Oberland,manner:—'I,,,,,,,,,,,,,,,,,,,,
97,Saint Martin's-le-Grand,Saint Giles's,the aforesaid province,Saint John's,Plain,Saint Joanna,Saxe,Mint,Saint James's,Saint Paul's Churchyard,Saint David's,Spain,Old Saint Pancras,Saint Sepulchre's,Saint,Saint Theodosia,,,,,,,,,,
98,Stamford,crystal,Tavistock,Staffordshire,Stafford,,,,,,,,,,,,,,,,,,,,,
99,Marlborough Street,Harborough,Marlborough,Rottenborough Union,Rottenborough,Borough,BOUDOIR,,,,,,,,,,,,,,,,,,,
100,Russia,Sellis,Russell,Brussels,,,,,,,,,,,,,,,,,,,,,,
101,"it,—when",Penitentiary,Peninsula,"instance,—when","presence,—I",Conscience,Copenhagen,Providence,"penitence,—he",scene:—we,,,,,,,,,,,,,,,,
102,the Herne Bay,Duvernay,Bombay,yonder corner,Herne Bay,,,,,,,,,,,,,,,,,,,,,
103,Duchy,the Grand Duchy,Grand Duchy,,,,,,,,,,,,,,,,,,,,,,,
104,"affectation,—in","reflections,—or","justice,—I",information.—'He,Constitution Hill,invitation:—then,"institutions,—in",,,,,,,,,,,,,,,,,,,
105,Italy,Sultan,loaf:—it,Satan,Metropolitan,Neapolitan,Titan,Vanity,,,,,,,,,,,,,,,,,,
106,"name,—and","wear,—and","wildly,—at","private,—in","tempter;""—and","Jupiter,—Leda","inmates,—a","joy,—and","Newgate;""—and","fault,—an","debate,—a","water,—and",,,,,,,,,,,,,,
107,Beaufort,Bordeaux,Beaumont,beaux,,,,,,,,,,,,,,,,,,,,,,
108,Woolwich,handkerchiefs,Whitechapel,Chick,Manchester,Rochester,Rochefoucauld,Rechabites,China,Fieschi,Chichester,,,,,,,,,,,,,,,
109,po,Portsmouth,Tilbury Fort,Fort,ha'porth,fortin,Port,,,,,,,,,,,,,,,,,,,
110,East,St. David's,St. James's,St. Theodosia,St. Luke's,St. Giles's,St. Petersburgh,Stour,St.,St. Pancras,,,,,,,,,,,,,,,,
