cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34
33,Gardez,Regardez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,répliquai-je naïvement,Décidément,letras,Nonchalamment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Babillard,rio Gila,Aguilar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,pasto,– Pas,ashahas,Opatas,– Pardieu !,Pas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,hatto,Caché,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,– Excellent,– Que,– Quels,Quelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,– Bah,– Bah !,bah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Ooouh,Ooah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Mettez,prierez,muette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Pérou,adoves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,voulez,Voulez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Cher,– Cher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Apaches,Apacheria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,État de Sonora,Sonora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Resté,Est,– Est,– Espérer,Ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Essayez,– Essayons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Caraï,Carai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,États,État,États-Unis,États barbaresques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Durango,États de Durango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,d'Espagne,compagne,Espagnols,Espagnol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,besogne,Pawnees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Reculerais-tu,songerais-tu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Mocksens,Cricks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Convaincu,Vaincue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,– Rentrez,– Relevez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,surprît,– Figurez,Rassurez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,graverai,Veillerai,Conseille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,l'Europe,vieille Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,– Bien,Combien,– Très bien,"– Bien, ma fille",– Bien !,– Rien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,ganado,matanza del ganado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,péon,Confédération,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,VI,Vivant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Pensant,Arkansas,Sautant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,les Incas,Incas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Canadien,Canadienne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Répondez,répondrez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Rendez,Prends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Attendre,Attends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Viens,Chiens,Tiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,L'Indien,Indiens,Les Indiens,Indien Osage,Indien,Indiennes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Peaux,rivière Rouge,Derrière,Peaux-Rouges,Rouges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,couvent de la Merced,Merced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Salvator Rosa,Rosario,rue du Rosaire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,– Tuez-moi,TUE,Moi-même,– Tue-moi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Prenez-le,épargnez-les-moi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Venez,– Tenez,Tenez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Hâte-toi,Hâtez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Pacifique,pacifique,océan Pacifique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Océans,Océan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Pardonnez,– Non,mignonne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,la Tête-d'Aigle,piste de la Tête-d'Aigle,La Tête,Tête-d'Aigle,Aigle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Américains,Américaines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Utique,Mexique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Allons,Hâtons,Partons,Écoutez,Cortez,Allez,trappes,alluma,Rapportez,Parlez,Partez,,,,,,,,,,,,,,,,,,,,,,,,
87,Angleterre,terre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,cathédrale de Mexico,aventure de Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Revenant,– Maintenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Hermosillo,Sermon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,camp des Mexicains,Ginetes mexicains,Mexicains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,gambusinos mexicains,gambusinos demi-sang,Gambusinos,gambusinos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Amérique,l'Amérique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,l'Amérique du Nord,Amérique du Sud,Amérique du Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Français,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,venaison,Bison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,lanceros,Plateros,Leperos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Blanc,Blancs,Châteaux Blancs,Blancs-Yeux,Tête-Blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Comanches,Les Comanches,manche,piste des jaguars,œil du Comanche,piste des Comanches,Comanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Montrons,Monté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Montagne de la cloche,Montagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
