cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
57,Libano,liberaes,Liberus,Jerusalem,computer virus,Berlim,»,,,,,,,,,,,,,
58,Vista-Alegre,alegre,Royale,sôfrega,legua,telegrammas,,,,,,,,,,,,,,
59,Alcobaça,Chalaça,d'Alcobaça,serra de Alcobaça,Brito de Alcobaça,,,,,,,,,,,,,,,
60,Novaes,Novaesitos,Vaes-te,"Vazes,--",bom Novaes,,,,,,,,,,,,,,,
61,Famosa pechincha,Vamo-nos,Famosa,Arriscamo-nos,ramos bentos,Durmamos,Moço,Diffamou,,,,,,,,,,,,
62,Padre-Nossos,somno,céos,Gansosos,Gansosinhos,Nervoso,Cardoso,"Gansoso e D. Maria da
Assumpção",Raposo,socega,Gansoso,pigarreando grosso,Pedroso,Trigoso,Sobros,,,,,
63,Alipio de Vasconcellos,Alipio de Vasconcellos Godinho,Some states do not allow disclaimers of certain,,,,,,,,,,,,,,,,,
64,Turrino,Rio,Primò,Osorio,lavatorio,Redistribution,Tiberio,Breviario,sacrario,impio,Purgatorio,Offertorio,Sergio,,,,,,,
65,Agonia,Polonia,Santa Apolonia,Babylonia,,,,,,,,,,,,,,,,
66,lua,luzir,falua,lugubre,,,,,,,,,,,,,,,,
67,VIII,III,,,,,,,,,,,,,,,,,,
68,Quieta,Abre,retreta,Repetiu,Loreto,Vegetar,,,,,,,,,,,,,,
69,Vossê,Sêbo,vossê,Vossês,vossê!?--fez Amaro,Ossuna,possilga,,,,,,,,,,,,,
70,"conego
Dias",Mathias,Ó Dias,m'as,Asia,Dias,blasphemia,Podia,Dizia,Indias,brandia,perfidia,,,,,,,,
71,suffocada,suffoca,petroleo suffocava,,,,,,,,,,,,,,,,,
72,Sousa,quasi,Sousas,rua da,rua das Sousas,Thesouro das familias ou as,viella das Sousas,hervas humidas,maçãs assadas,Poço das Bentas,idéa das devotas,,,,,,,,,
73,Nasceste,escóla,sezões,n'estes,d'este,Questões,Estás,d'essa,Nunes,Estive,Pater est,Estou-te,felicidade n'este nosso santo ministerio,,,,,,,
74,belleza d'Amelia,cova d'Amelia,Amelinha,rua d'Amelia,Amelia.--Foi,d'Amelia,Ameliasinha,Amelia,d'exame,Ameliasita,braço d'Amelia,,,,,,,,,
75,Ciumes,triumpho,triumpho!,triumphar,"Arco
do Triumpho",,,,,,,,,,,,,,,
76,Repousarei,Terreiro,Vigareira,cueiro,Carreiro,Pinheiro,"Joanna
Carreira",catarrho,arrojando tunicas,carretão,Vimeiro,,,,,,,,,
77,Paradou,Ólaré,pilar branco,Via-Clara,Santa Barbara,Rapariga,arara,Marrases,saragoça,barraca,tranquillisar,Cintra,gargarejava,apparato,Marrazes,Mouraria,cara redonda,,,
78,Aquella,aquella bonita,aquella dôce,aquella pequena capella d'aldeia,Aquellas,elle aquellas,aquella,Áquellas,Aquillo,aquella velha,aquella dôr,,,,,,,,,
79,santa cruz,"santa da
Arregassa","Santa
Cecilia",Sant'Anna,Santa,Santarem,Santa da Arregassa,Janota,cantaro,Satanaz,Santa Brigida,d'Alcantara,Jantava,,,,,,,
80,Calafates n.^o,Caligula,Villa-Franca,Cala-te,Calas-te,Fazia-te,Catecismo,Agasalha-te,,,,,,,,,,,,
81,S. Chrysologo,S. Gorislano,S. Chrisolo,S. Carlos,,,,,,,,,,,,,,,,
82,concubinagem,"concubinagens
casuaes",jubilo,,,,,,,,,,,,,,,,,
83,Ferrões,bom Ferrão,Feirão,murrão da véla,Ferrão,Furão,,,,,,,,,,,,,,
84,sorri,Concordia,cortezia,Correia,Creia,rua do Correio,Correu,,,,,,,,,,,,,
85,Rosa,rouba,Barrosa,Barrosa vêr,Barrosa fallar á,Barroca,capellinha da Barrosa,babosa,,,,,,,,,,,,
86,Biblioteca Nacional de Portugal,importunára,Porto,Portugal,em Portugal,"National
Library of Portugal",bengalão,Cortegassa,Tu,,,,,,,,,,,
87,Accumulava,Abafava,Arfava,Fallasse-me,Fallavam,palrava,Reclamára,Fallar-lhe,,,,,,,,,,,,
88,S. Francisco,Estigmas de S. Francisco,triumpho Francisco,brancos.--«Aqui,"S.
Francisco",by U.S. federal laws,,,,,,,,,,,,,,
89,Casamento,Carmens,Sarmento,encommendar,mesa,Salento,,,,,,,,,,,,,,
90,exquisito,bonito,Bonito,Bonita,Brito,,,,,,,,,,,,,,,
91,Religião,Reliquia,reliquia,Quiz,,,,,,,,,,,,,,,,
92,"tectos baixos do
curral coberto de colmo",rua dos Calafates,maus costumes,tectos dos curraes,cemiterio dos Poyaes,,,,,,,,,,,,,,,
93,Torquemada,Marques,arquejo,bom Marques,Vasques,,,,,,,,,,,,,,,
94,Credo,medo:--Oh,bacharel Azevedo,Azevedo,However,Sávedra,gaze,,,,,,,,,,,,,
95,Especie,Espero,Lausperenne,vesperas,,,,,,,,,,,,,,,,
96,Estimava,lagrimas,Imagine,tisnava,Imaginava,Divagava,Abominava,Magdalena,,,,,,,,,,,,
97,Outra-Banda,Chateaubriand,Roda,fazenda da,Anda-me,Anda,Secundò,anda,Suspenda,,,,,,,,,,,
98,"La
Tremouille",Extrema-Unção,Extremoz,d'Extremoz,,,,,,,,,,,,,,,,
99,Archanjo,Contar,Arco João Eduardo,Arco,Plutarcho,Circo,Arco...,,,,,,,,,,,,,
100,hostia redonda,d'olhos baixos,hostias,"cost and with
almost",hostia,,,,,,,,,,,,,,,
101,Familia,familia,vigilia,Milão,,,,,,,,,,,,,,,,
102,Percebia,Soberba,Perdôa,Terceira,perversa:--E,Percebera,Perderam-me,Perdão,,,,,,,,,,,,
103,valle triste dos Poyaes,valle de lençoes,lençoes,Ninon de Lenclos,vacillou de repente,Torre de Babel,,,,,,,,,,,,,,
104,pallio,pallido,Solidão,,,,,,,,,,,,,,,,,
105,Devo-lhe,Póde-lhe,Pede-lhe,Pede-os,,,,,,,,,,,,,,,,
106,Damasco,alameda macadamisada,Alameda Velha,Cumiada,Acudam,Alameda,,,,,,,,,,,,,,
107,Hespanha,d'Hespanha,d'haver,,,,,,,,,,,,,,,,,
108,"botica do
Carlos","PORTO

LIVRARIA INTERNACIONAL DE ERNESTO CHARDRON",sêcca,Capujá,cartorio da camara ecclesiastica,caricias,ecclesiastica,barra da cama:--_Amelia,barra da cama,tisica de larynge,,,,,,,,,,
109,Dionysia póde,Dionysia,Dionysia...,,,,,,,,,,,,,,,,,
110,Sé d'Evora,d'Evora,Evora,,,,,,,,,,,,,,,,,
111,Imitação,"offerta do
coração do teu amante",Chão de Maçãs,"Chão de
Maçãs",,,,,,,,,,,,,,,,
112,Egypto,Golgotha,egoa,Cegonha,egoa baia,,,,,,,,,,,,,,,
113,S. Vicente,"S. Vicente de
Paulo","Arvore da
Sciencia",Consciencia,Agencia Havas,Silencio,Officio,Vicencia,Providencia,Encolhia,excellencia,,,,,,,,,
114,casa da senhora condessa de,Nossa Senhora da Ermida,"Nossa
Senhora das Dôres",Nossa Senhora das Sete Chagas,Nossa Senhora das Dôres,Senhora das Dôres,"Nossa Senhora
das Dôres",,,,,,,,,,,,,
115,velludo preto,Lully,velludo,cabelluda,,,,,,,,,,,,,,,,
116,Cancella Velha,Michaela,Relação,n'ella,Syllabus,Bella,véla,Ella,Bruxellas,Ellas,Janellas,Estrella,Pobre d'ella,,,,,,,
117,Porta de Ouro,festa paterna,Porta do inferno,porta da taberna,banco da taberna,,,,,,,,,,,,,,,
118,--_Quorum remiseris peccata,"relogio da
Misericordia",rua do Norte,"rua da
Misericordia",rua da Misericordia,Misericordia,,,,,,,,,,,,,,
119,pé-ante-pé,d'antes,entornando-lhes,Nantes,,,,,,,,,,,,,,,,
120,Perfeito,buxo,côxo,cotovêlo,Peixoto,Peixoto levára,,,,,,,,,,,,,,
121,necessita,Necessitava,,,,,,,,,,,,,,,,,,
122,Baixa,Caia,saiba,baiuca,Ai,Ais,,,,,,,,,,,,,,
123,Olha,s'orgulhar,Milhares,Olhavam-n'o,Esguelhas,lha,Batalha,chocalhava,Bastilha,,,,,,,,,,,
124,réo,Bairro Alto,vinho de alto,chapéo alto,chapéo,alto céo,,,,,,,,,,,,,,
125,"Amelia da S.
Joanneira",saleta da S. Joanneira,Santa Joanna d'Aveiro,Ameliasita da S. Joanneira mettida,"casa da S.
Joanneira!",Ameliasita da S. Joanneira,Pimentas da Pojeira,casa da S. Joanneira,Ameliasinha da S. Joanneira!,Ameliasinha da S. Joanneira,,,,,,,,,,
126,Assombrado,Coimbra,genebra,Brazil,Trazia,braza,,,,,,,,,,,,,,
127,dir-lin,India,Indignus,Digo,Diu,Medicina,din,Indigestão,invadia,,,,,,,,,,,
128,saude,Saude,,,,,,,,,,,,,,,,,,
129,Tejo,dôce,bocejando,bocejo,,,,,,,,,,,,,,,,
130,Una paloma,palerma,Malhão,palmas,"S.
Paschoal Baylão",Nepal,Passára,,,,,,,,,,,,,
131,Tótó,Tótósinha,,,,,,,,,,,,,,,,,,
132,lageado,lages,lageado do largo,,,,,,,,,,,,,,,,,
133,Martha,Typ,Martyres,martyr,,,,,,,,,,,,,,,,
134,Espirito,Pombal,Pomba Espiritual,,,,,,,,,,,,,,,,,
135,Cruzes,Cruz,Ruça,,,,,,,,,,,,,,,,,
136,Casimira França,Trigueira,banhada de graça,Bairrada,Figueira,Roda fôra supprimida,praia da Vieira,estrada da Figueira,estrada da,,,,,,,,,,,
137,"CRIME

DO

PADRE AMARO




I",CRIME DO PADRE AMARO *,jardim do Paço,pedra do paço,Padre,Jardim de Lazaro,"CRIME

DO

PADRE AMARO","Crime do
Padre Amaro","CRIME

DO

PADRE AMARO




Obras",padre Amaro,Crime do Padre Amaro,,,,,,,,,
138,ripanço,seminario,Natario.--Em,Santa Catharina,Carne,Natario,anasarca,Catharina,Carôcho,canario,planeariam,Carlota,,,,,,,,
139,Tito-Livio,Via-o,Devia-a,Covilhã,Allivia,Vivia,Haviam,Xavier,Vim,,,,,,,,,,,
140,Inimigo,S. Domingos,Dominára,Domingos,Dominus,,,,,,,,,,,,,,,
141,La Faute,Faute,UT,,,,,,,,,,,,,,,,,
142,casacão,Aconselhou,Macaco e da Baleia,acre,acalcam,aceio,Macaco,cacete,,,,,,,,,,,,
143,amigas fôra,Fôra,Fôra rica,chôro,,,,,,,,,,,,,,,,
144,Sé,"Sé
repicava",Republica,,,,,,,,,,,,,,,,,
145,alecrim,Proletariado,Leia Gavantus,Leia a _Historia,Sé de Leiria,"leia
Garriffaldi",Baleia,Leiria,Leiria:--«Mas,Onde Leiria,,,,,,,,,,
146,latão,gavetão,sacristão,sacristães,,,,,,,,,,,,,,,,
147,Minuete,Libaninho,Inglezinhos,Longuinhos,Carlinhos,punho:--,interessesinhos,Godinho,Minho,Pâcatinho,,,,,,,,,,
148,posponto,Charonte,poz,hontem,Ponte,Defronte,Ponte Nova,Encontrava,,,,,,,,,,,,
149,"Aquella
calumnia",malucar,calumnias,insomnia,calumnia,caluda,Calumniou-me,,,,,,,,,,,,,
150,Devaneios,Evangelhos,Evangelho,,,,,,,,,,,,,,,,,
151,aqui!--E,"voltou,--e",é!--E,,,,,,,,,,,,,,,,,
152,Fechou,Fez-se,Cheguem-se,Feche,,,,,,,,,,,,,,,,
153,Ir,Vira,travesseirinha,bebedeira,Beira-Alta,Vieira,Sertejeira,Leituras,hombreira do pateo,Madeira,Vaqueira,Gralheira,Gralheira:--«Todos,Beijo,Babuseiras,cavaqueira,brazeira.--Amelia,Beira,Tira-m'o,trapeira
154,Juliana,D. Maria,Chiado,Joia,"S.
Cypriano",Julia,Gouveia,Sympathia,Ethiopia,lamuria,gania,Nemeia,promettia,Biblia,Bethania,Maia,Ia,geographia,piano:--Pois,Persia
155,Sôa,Corôa,Escorpião,corujas,Cordova,corôa,,,,,,,,,,,,,,
156,lêr,crêr,Gouvêa,vêl-os,Quero vêr,pêra,vêr-me,Vêr,Vêr-te,,,,,,,,,,,
157,Carcavellos,Eclogas,viella do castello,Castello,monte do Castello,Castaldus,Traste,,,,,,,,,,,,,
158,"S.
Joanneira.--Estás",S. Joanneira comprehendeu,S. Joanneira na Vieira,"S.
Joanneira!",Joannita,"S.
Joanneira:--Muito","S.
Joanneira",S. Joanneira!,"S. Joanneira
tagarellava",Joanna,S. Joanneira e elle,S. Joanneira,"S.
Joanneira pacificadora",,,,,,,
159,Dois,Mundo,Dois Mundos,,,,,,,,,,,,,,,,,
160,tranquilla casa do conego,conego Dias,Casa Havaneza,conego Campos,Legião d'Honra,conego,luva do impio,aza do capão,conego selvagem,idéa do conego,casa do conego,,,,,,,,,
161,reino do céo!,chavena,Pinheiro deu-as,Cordeiro Paschal,Bairro de David,chaveiro do céo,,,,,,,,,,,,,,
162,Seraphim,Inglaterra,"Eterna
Dôr...",Project Gutenberg-tm,serra,terra molle,aterrado,Pater,Merati,Aperte,Tertiò,"Nunes
Ferral",terra,,,,,,,
163,Amaro:--Ouça,proxima,d'Amaro,Amaro:--Diga,_Amaro,Emfim Amaro,Mataram-me,D'alli Amaro,Amaro:--Pois,recamam,mamã,Ribamar,Roma,camara,Amaro:--Hoje,Thomar,Amaro,respondera:--E Amaro,traz Amaro,
164,|#pág,"|
  |#pág",,,,,,,,,,,,,,,,,,
165,elle vêr aquella,aquelle hombro santo,aquelle arsenal beato,n'aquelle buraco,n'aquelle,Aquelles,Aquelle,N'aquelle,aquelle,,,,,,,,,,,
166,missanga,Santissimo Sacramento,Santissima,Sim,Santíssimo,Santissimo,,,,,,,,,,,,,,
167,Sena,Vermorel,serena,Morenal,Morena,Renans,,,,,,,,,,,,,,
168,d'isso,Paris,Paraiso,paraiso,,,,,,,,,,,,,,,,
169,Londres,Mendes,rua dos Condes,Correspondencia,Gonçalves,Condes,Confessei,,,,,,,,,,,,,
170,Instava,Voltava,Repastava,Costurava,Gostava,,,,,,,,,,,,,,,
171,d'examinar,Baldeschi,machinaes,sotainas,Machinalmente,China,,,,,,,,,,,,,,
172,Falta d'união,hervas altas,Salt Lake City,saleta,Vidalti,d'espada alta,Valsa,altares,Agasalho,Salta,Maltez,,,,,,,,,
173,Pensei,Impaciente,Serpente,impudencia,Eugenia,!,Penitencia,Endoenças,impenitencia,,,,,,,,,,,
174,eleitoraes,Officios do Moraes,Moravam,Moral,jornaes,Cabraes,Moraes,,,,,,,,,,,,,
175,visinhança,Mélinha,fresquinha,Caminhante,Joanninha,Augustinha,sombrinha,Saldanhinha,Vinha,,,,,,,,,,,
176,Judéa,"idéa
de Jesus",idéa,,,,,,,,,,,,,,,,,
177,Calvario:--«,quasi calvo,alva,Carvalhosa,Marialva,Calvario,,,,,,,,,,,,,,
178,deserta,vertigens,Gertrudinhas,Decerto,aquella Gertrudes,Gertrudes,,,,,,,,,,,,,,
179,Vejo,Sejam,"caverna
chammejante",Vejam,,,,,,,,,,,,,,,,
180,Gangosinhos,Vadios,Morgaditos,Morgadinho dos Poyaes,Morgadinho,Morgados,Morgado,Morgadinhos,,,,,,,,,,,,
