cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29
40,conﬁdedans,Conﬁance,ﬁancés,"etj'ai
conﬁance",conﬁancre,nﬁance,,,,,,,,,,,,,,,,,,,,,,,,
41,ger,Berger,Bergen,S,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Saint-Eau1ent,Saint-,saint-,Une sainte,Maintenant,,,,,,,,,,,,,,,,,,,,,,,,,
43,vIngt-,Vin gt-dix,Ïvingts,vingt—,Vingt-,,,,,,,,,,,,,,,,,,,,,,,,,
44,eau10action,Reproduction,ÏœWÀ,app10bation,Reproduction il\lcrdilc,Reproducliou,,,,,,,,,,,,,,,,,,,,,,,,
45,Aigle—Volant,Aigle-Volant,Aigle-Volant roula,M’envolai,Volant,,,,,,,,,,,,,,,,,,,,,,,,,
46,juste!QUand,justiﬁer,\—,justiﬁe1,ﬂibustier,,,,,,,,,,,,,,,,,,,,,,,,,
47,disparu—,Paris,Loris,unpareil,Martyrisez,il”gris-,Parisien,Parlez,,,,,,,,,,,,,,,,,,,,,,
48,satisfac—,.»‘—,c—,faci—,,,,,,,,,,,,,,,,,,,,,,,,,,
49,t1ouve1as,Pouvez-,couver—,mouve—,adver—,ouverTe’,,,,,,,,,,,,,,,,,,,,,,,,
50,._,._-—,._—,"._,",._I,,,,,,,,,,,,,,,,,,,,,,,,,
51,Nulle,Naturellement,Sentinelle,ELLE,selle,orﬂelle-ŒIL,ElLe,cap des Monts-Elles,—elle,maIﬁelle,Celles,réelle—,Elle—,mademoiselle,Tulle,d’elle—,jeannEﬁelle,ﬁelle,ﬁelle',Telles,Laquelle,R1ElLe lﬂ,hagatelle,solennellementà,mollet,MaIﬁelle,"AH 

 

 

61 LAQUELLE 111",Tels,L_eLLe—,elle—
52,Vil-,VI,IL N,Il-,Vil,,,,,,,,,,,,,,,,,,,,,,,,,
53,"M. de
Grigny",igno—,baron de Grigny,Grigny,Carignan,.,Grignyr,désignan,Grigny qu’,barou de Grigny,,,,,,,,,,,,,,,,,,,,
54,besogne,Grognon,Au besoin—,bologne,hesogne,,,,,,,,,,,,,,,,,,,,,,,,,
55,S;4,S;—,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Père-,Mon père1et:1lit,Ê_1nisère,Père3que,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Europe,Mohsieurl,Euro-,Européens,Ropmdnclion,,,,,,,,,,,,,,,,,,,,,,,,,
58,aussitôT’,t’,AussiTôt,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,sn,Osna,toldos,snlnunt,Osna—Aider-Lucie,,,,,,,,,,,,,,,,,,,,,,,,,
60,bois—,Bois—Brûlé,Bois—'.l‘rac‘y,"de
Bois—Brûlé",le bois—brûlé,,,,,,,,,,,,,,,,,,,,,,,,,
61,",- i",- - -,"TFT,-",,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Rassurez,Opossum,!,rassur.er,.u,,,,,,,,,,,,,,,,,,,,,,,,,
63,quatre—vingts,O,"quatre—

Ïvingts",quatre—,,,,,,,,,,,,,,,,,,,,,,,,,,
64,c’,"n

— C’",——C’,-T,—— C’,C’,,,,,,,,,,,,,,,,,,,,,,,,
65,.*.i,.*;-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Devant,s1essanta Be1,santa,Enfants,soixante— dix—,sang—,Posant,,,,,,,,,,,,,,,,,,,,,,,
67,Comment,"Ge gentilhomme,_je l’avais",Commercy,Précisément,Comment“,commen—,,,,,,,,,,,,,,,,,,,,,,,,
68,:>,Agis,agissaît,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Alleghanys,monts Alleghanys,Alleghany,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,ﬁt Washington,p w.,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"de
Couleuvre",La Couleuvre démasqua,"l
Couleuvre",Couleuvre,Coulon,Couleuvre n’,Couleuvre s’,la Couleuvre,La Couleuvre,,,,,,,,,,,,,,,,,,,,,
72,temporaire—,involontaire—,impor—,jar1iv 51 temps,Totem,,,,,,,,,,,,,,,,,,,,,,,,,
73,Reprit,reprit—,Prie,reprit’,Reprmlucﬁon n!crdilc,repré—,,,,,,,,,,,,,,,,,,,,,,,,
74,avaitdonnée,Pardon,nüpä,Pardonne,donnez—,,,,,,,,,,,,,,,,,,,,,,,,,
75,"-

— Garde-t’eh",Regardez,tardes-Lu,Betarder,regardez,garderai,regar—,,,,,,,,,,,,,,,,,,,,,,,
76,sdes,t1ibus nomades,Yankées,bêtisesl,esco—,Es,Tes,Hésites-,s‘dessus',Es-tu fou,sées,Meschaeébé,esca—,"lèvres,—",,,,,,,,,,,,,,,,
77,Voyez,Fuyez,Essayez,M,Soyez,,,,,,,,,,,,,,,,,,,,,,,,,
78,M.—,mm.—_—,.—=6&—,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,",,A.A.",a.,"a.—M

 AH",‘a.—,,,,,,,,,,,,,,,,,,,,,,,,,,
80,ﬁr_.,ﬁr,D1ﬁoñldüë,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Ÿî’M,Singuliers,"singulier1,ﬁt",Singuliére,Elie,,,,,,,,,,,,,,,,,,,,,,,,,
82,passane,Doute Pas,m‘as,As,Pas,Pas1ait,ta1de1en-cE pas‘1,,,,,,,,,,,,,,,,,,,,,,,
83,viiiage,péiil—,Iii-il,ii',,,,,,,,,,,,,,,,,,,,,,,,,,
84,Hu1ons,—- Monsieur,mons,monu—,Revenons,Saut de Montmorency,Montmo1e,—- Voyons,Bonsoir,,,,,,,,,,,,,,,,,,,,,
85,AH,Ah,Ah1ès,"T

 AH",Baht,,,,,,,,,,,,,,,,,,,,,,,,,
86,.Tu,habitué,habi—,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Égal,Maleval,calh,Malevall,Muleval,,,,,,,,,,,,,,,,,,,,,,,,,
88,guer11er,r-“PÏ,guer-,G’,aguerrie,,,,,,,,,,,,,,,,,,,,,,,,,
89,GEFFROY,—— n. GEFFROY,BREF<‘ROY,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,et‘s',S',Puis',,,,,,,,,,,,,,,,,,,,,,,,,,,
91,FW___'.-.,._____,.____-,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,lille,Veuillez,ma lille,salille,.\,égorgille,taillis,,,,,,,,,,,,,,,,,,,,,,,
93,raison—,baie d’Hudson,É,sOn,ON,g1onpe,Son,lac garnison britannique,Sonne,,,,,,,,,,,,,,,,,,,,,
94,jusqu’,qu’,Jusqu,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Le soleil,soleil,regardez le soleil,le soleil,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Aigle,L’Aigle,Aigle—,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Chichiméques,HI,Ohio,nﬂéchit,,,,,,,,,,,,,,,,,,,,,,,,,,
98,huche,demi—couché,bouche,- —- Tout ce qui te touche m’,gaucHe’,Bouche,,,,,,,,,,,,,,,,,,,,,,,,
99,M’,m’,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Trève,après—,trèS,N,Très1e,dèsho—,,,,,,,,,,,,,,,,,,,,,,,,
101,J umonville,ﬁ M.— de Jumonvi11e,Jumonville,Jumenville,,,,,,,,,,,,,,,,,,,,,,,,,,
102,toutd‘abord,Abord,AborD11,«,Bordeaux,,,,,,,,,,,,,,,,,,,,,,,,,
103,L[.il‘inz,Qu‘ils,Qu‘1,Lﬁls,ﬁilS,,,,,,,,,,,,,,,,,,,,,,,,,
104,s’orienter,interro—,T5,inter—,"interro—
ger",Interrogez,,,,,,,,,,,,,,,,,,,,,,,,
105,J<.=“,.=,"s==,.—.=——",ŸÏ,,,,,,,,,,,,,,,,,,,,,,,,,,
106,méritez,Amérique,Américains,Amé-,Amérique du Nord,l’Amérique,briquet,Gincinnatus améri—,l'Amérique,l’Amérique du Nord,,,,,,,,,,,,,,,,,,,,
107,Sauvez-le,Avez,savez—,avez—,b1avez,},Savez,,,,,,,,,,,,,,,,,,,,,,,
108,soli—,poli—,oli‘ert,Soldat,,,,,,,,,,,,,,,,,,,,,,,,,,
109,j’,J’,j’.y,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,çondmnnez,Venez,Parvenu,P1‘enez,Vengé,,,,,,,,,,,,,,,,,,,,,,,,,
111,Comptez,Acceptez,hâtez,teirompes,comptez—,,,,,,,,,,,,,,,,,,,,,,,,,
112,Allez,lasalle,alluma,Ï,Alll,,,,,,,,,,,,,,,,,,,,,,,,,
113,Cher,Lâches,Chemin,cher—,manche,chef’,iocher,Che1che,m,— Cher,Hermine,t1ancher,Séchez,,,,,,,,,,,,,,,,,
114,échan—,Archium,tableaupchangea,marchan—,Marches,,,,,,,,,,,,,,,,,,,,,,,,,
115,faute n’,faut—,Faut,faUT,,,,,,,,,,,,,,,,,,,,,,,,,,
116,f01,l501,r01,L01,f01êt,S01ète,,,,,,,,,,,,,,,,,,,,,,,,
117,Virginie,l‘Ironie,Ironie,pseudo-Ironie,,,,,,,,,,,,,,,,,,,,,,,,,,
118,anna,connais—,venaisou,nais—,reconnaissez—,,,,,,,,,,,,,,,,,,,,,,,,,
119,Ouiﬁtez,oUi,Oui—,dix—huit,Oui,sédui—,oui-Fine,,,,,,,,,,,,,,,,,,,,,,,
120,n1 11äan,N11,N1,n1,Non1e,N1e1,N1c,Ben1,,,,,,,,,,,,,,,,,,,,,,
121,Belle-Arrière,Belle—Arrière,gvvm,—,la Belle—Arrière,,,,,,,,,,,,,,,,,,,,,,,,,
122,-—- Pardieul,Dieui,Pardieul,Pardil,Pardien,Adieu,,,,,,,,,,,,,,,,,,,,,,,,
123,cbmtesse,comtesse de Malev,châtelaine de Maleval,comtesse de Maleval,AU CHATEAU DE MALEVAL,baie des Marmousets,comtesse de Maleval‘l,,,,,,,,,,,,,,,,,,,,,,,
124,Niagara,marau—,aupara—,Gamarades,exau—,,,,,,,,,,,,,,,,,,,,,,,,,
125,Voulez,Où,Où voulez,Voulu,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Sérieux,ché,Chérie,L‘intérieur,héris—,,,,,,,,,,,,,,,,,,,,,,,,,
127,heu1es,d. au1,aup1ès,au1e,ceintu1e,,,,,,,,,,,,,,,,,,,,,,,,,
128,Erreqr,Terre Sainte,querrezla,l‘Angleterre,terre,La terre,Angleterre,la terre,,,,,,,,,,,,,,,,,,,,,,
129,latepelt,Pélage,impla—,la»v,place qu’,La,clair—obscur,àla pluie-,Gholula,Blancs,l)1‘îlla,lac Érié,Hola,".:«m- 

 

LA",,,,,,,,,,,,,,,,
130,Anjou,Goutte,ajouta—,Ajoutez,Écoutez,,,,,,,,,,,,,,,,,,,,,,,,,
131,Peaux-Rouges,Peau-Rouge,Peaux— —Rouges,Rouges,,,,,,,,,,,,,,,,,,,,,,,,,,
132,retou1,Ou1,sou111e,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Deuxhangars,EUX,"deux,-la",Curieux,Ceux-,,,,,,,,,,,,,,,,,,,,,,,,,
134,»—.,"a

._—.",._—.—,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,dissi—,.Si,vigi—,si',si—,consi—,mi—,,,,,,,,,,,,,,,,,,,,,,,
136,ﬂﬁﬂr—?x,mur—,ärææwr—,au)mur,L'amour—,,,,,,,,,,,,,,,,,,,,,,,,,
137,queie vienne,Guyenne,enne—,Menneville,Vienne,Bienne,,,,,,,,,,,,,,,,,,,,,,,,
138,pou‘t',pour—,J“,Aujourd‘hui,lourdes,Pour,Poitou,devenantpourpre,"pied.-

— Pourtant",tourte—,Pourquoi,mourh,,,,,,,,,,,,,,,,,,
139,Lovelace,Loups-,BANCllol-“l,Angelo,Lo,envelop—,blottis,alo1s,Kayélon,,,,,,,,,,,,,,,,,,,,,
140,Moi,Moi—,moii,demi—moi,DOIT].,moin—,A moii,moi,,,,,,,,,,,,,,,,,,,,,,
141,Québec,Québec permet—,remet—,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,j1,Hollande,j1andes,undes,ande,,,,,,,,,,,,,,,,,,,,,,,,,
143,Espérezl,la respon—,respon—,baton—,,,,,,,,,,,,,,,,,,,,,,,,,,
144,sentencieu—,conser—,présentemns,Gonsentez,conséquenls,Onse,contentez,Consentez,senti—,cons—,conso—,,,,,,,,,,,,,,,,,,,
145,pyramide artiﬁ—,"De L
brise",place de nolre daim,De L,BEL L E ltl V !,seuil de la maisonnette,nuancés de gris,L E B 1 V I È,,,,,,,,,,,,,,,,,,,,,,
146,.F,Biver,Hiver,1elever,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Slïüîﬁt‘ﬂ.,B,ÏÜ,F,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Nouvelle— F,Nouvelle-France,Nouvelle—France,Nouvelle-Orléans,Nouvelle—Orléans,Nouvelle,la Nouvelle,Nouveau-,genouæ,Nouvelle—Emma,Nouvelle—Hollande,,,,,,,,,,,,,,,,,,,
149,énigma—,proba—,voya—,_,atta—,acca—,maga—,a—,.a—,bruta—,anima—,,,,,,,,,,,,,,,,,,,
150,plusiems,fier,app1écier,Merci,merisier,mer 51,remédierà,cap Rosier,,,,,,,,,,,,,,,,,,,,,,
151,"\‘,'i’",i’,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Joie,Joignez,coin—,pointl,loin_de,join,foins,Loin1cœur,qin«_,,,,,,,,,,,,,,,,,,,,,
153,Parfaitement,neme,généralement—,Moi1ùjustement,Doucement,Vivement,Cordialement,vive—,,,,,,,,,,,,,,,,,,,,,,
154,entréavec,Entrée,Entrer,entre—,reve—,"tais-tu 1entre?

—",,,,,,,,,,,,,,,,,,,,,,,,
155,humﬁtWard,Ÿ,L‘enseigne Ward,l‘enseigne Ward,Ward,,,,,,,,,,,,,,,,,,,,,,,,,
156,Non_lectricesne,triom—,électri—,Î.;t,,,,,,,,,,,,,,,,,,,,,,,,,,
157,"expédition—
naire",édSL,susdit arbre,Créateur,Éditeur,Eh,se1viteu1,,,,,,,,,,,,,,,,,,,,,,,
158,ciencel N,47_3,Providence,Providence veillât,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Kouha-Haudé,Kouba,Kouka,Kouha,Kouha-I,Kouha-Handé,Kouha-I—Iandé,,,,,,,,,,,,,,,,,,,,,,,
160,Anticosti,Océan,"océan
Atlantique",,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Grand—Esprit,bran—,tran‘sporta,Grand-Esprit,Grand,<,Ingrati,brandir,,,,,,,,,,,,,,,,,,,,,,
162,ve1rai,bivouaquerai,Douterais-tu,amèneras,ahﬁrmerai,Reverrai,verai,jurerais,certai—,abuserai,,,,,,,,,,,,,,,,,,,,
163,mais‘avais des ordres,deuimaitns,sais,faix,Bais,®,f1aucais,maisonnettc,mawkawis,aimais,aimez—,mais1,\'mais,Vais,laim,Maigre,,,,,,,,,,,,,,
164,.'Ç,-XWI ‘X'1,.'1,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,demeu—,Exeusezunoi,me',Gueusard,Furieuse,meuse,me’,joyeuse—,aﬁ‘reuse,Ilmmgcuse,,,,,,,,,,,,,,,,,,,,
166,Particularité,particulière—,monticule artiﬁciel,culi—,,,,,,,,,,,,,,,,,,,,,,,,,,
167,servi—,observa—,Observez,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,du Nord,—— Non,"'

Nord",Nord,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Françaises,F1auÇais,Français,français,,,,,,,,,,,,,,,,,,,,,,,,,,
170,J ai lutté,J an—Pol,J ai,J an Pol,,,,,,,,,,,,,,,,,,,,,,,,,,
171,ﬁnit,Nick,nﬁnie,Enﬁn,,,,,,,,,,,,,,,,,,,,,,,,,,
172,demaña—t—eile,A demain midi,Demain-,demandez—,aban—,deman—,Mangezl,demanda—,,,,,,,,,,,,,,,,,,,,,,
173,"ÎwÏ

r",BELLE RIVIÈRE,Belle Rivière,BELLE R]VIÈRE,Le ROi,Belle—Rivière,Belle-Rivière,la Belle-Rivière,,,,,,,,,,,,,,,,,,,,,,
174,M‘“°_ de,M‘“,m‘v,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,I’Œil-de—Bœuf un sourire froid,X,"attcndirent

 

 AH",Ogre,Vire,"dire,ﬁ",Sire,sire1action,pâtibulaire,,,,,,,,,,,,,,,,,,,,,
176,—- Cela n’,j—-,HÉ—-rﬁ,.——->—A.,.—:—-,".—""——-_—< >",—-,— —-,z.'y.—-or——.--‘—,M——-.,,,,,,,,,,,,,,,,,,,,
177,L.LÀ.;WZ£,.l,.L,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Prosorit,Proserit,Procrit,Prosc1-t,Prescrit,discré—,Proscrit,prostra—,Le Proscrit,pros01it,,,,,,,,,,,,,,,,,,,,
179,Cette,tete,cette1de,LucetTe,,,,,,,,,,,,,,,,,,,,,,,,,,
180,mrs,ww‘mrS,I,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,bien—,Bientôt,—— Bien,Venise,bieni,Eh bieni,Combien,bientot,,,,,,,,,,,,,,,,,,,,,,
182,Manongahéla,Manonghahela,Manangahela,Manongahela,,,,,,,,,,,,,,,,,,,,,,,,,,
183,néces—,Ndccssité,fort tde la Nécessité,Nécessité,fort Ndccssité,"fort
Nécessité“","fort
Nécessité",fort Nécessité,l08,ce1nés,fort Nécessite,,,,,,,,,,,,,,,,,,,
184,rémeltre,R1ÊTRE,Votre,petit—être,L‘autre,au Havre,Autre,l*autre,arognal‘autre,,,,,,,,,,,,,,,,,,,,,
185,Lorsqu-,tort;san,Or1tlé,-?.or-x'—,mort”qui,Formé,horizon—,mornes,"or,‘—.*-:—g",Corne-bœuf !,L7m.-or-1,Orléans,Or,New—York,,,,,,,,,,,,,,,,
186,.-;.:art—.1,.-;.,.-;.—,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,aan,.“-æa,waaeæaaæ,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,—— J‘ai,j‘ai,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,château de,f,Beauregard,E,Gaudebec,"château de
Beauregard",,,,,,,,,,,,,,,,,,,,,,,,
190,Arrivés,ii _ Arrivés,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,J—“YWWWﬁ—‘mêMe‘ﬁmﬁ—,j—,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,lai'saient,s‘en'onçaient,ouvrage1nent,— Vraiment,couVraient,Ouvrir,,,,,,,,,,,,,,,,,,,,,,,,
193,Louisl-,Louisiane,Louisl-Louisi,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,.‘_.,Î,-,.‘ﬂ,.‘Ç—,,,,,,,,,,,,,,,,,,,,,,,,,
195,Quels,jaCques-,Karnac celtique,que1,per10quet blanc,Quelque,ques—,,,,,,,,,,,,,,,,,,,,,,,
196,d’,Rainèau- d’Or,d’Or,Hameau d’Or,,,,,,,,,,,,,,,,,,,,,,,,,,
197,n—,vain—,vain',Soudain,,,,,,,,,,,,,,,,,,,,,,,,,,
198,"}

—","<

—",,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Halte,nonchalam—,noncha—,Palamède,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Existence,Bastel,Sans-Piste,triSte,Piste,,,,,,,,,,,,,,,,,,,,,,,,,
201,Algonquins,inquié—,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,seño1,apeine,Seine,Usine,"L

Seine",,,,,,,,,,,,,,,,,,,,,,,,,
203,"f‘1‘»"".a",a\:‘1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Ferney,signiﬁer,conﬁer,souﬁ‘ert,raﬁermir,ﬁer,M;ﬁe,,,,,,,,,,,,,,,,,,,,,,,
205,Cîest,Est Cela,est',G‘est,ter1esT,estici,Est_sayé,Est—ce,Est,est-à-dire,m—.est,,,,,,,,,,,,,,,,,,,
206,Mexique,m’expliquerez,Expliquez-,L1épliqua,expo—,Explique,golfe du Mexique,,,,,,,,,,,,,,,,,,,,,,,
207,inexpri—,orﬁaimer,s’exprimer,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,à-,LÀ,lÀ-Ï,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,sailles,orﬁcier de Versailles,adversaif'e,Versailles,de Versailles,,,,,,,,,,,,,,,,,,,,,,,,,
210,auhapitaine,capi—,Capitaine,taine,"capi—
taine",,,,,,,,,,,,,,,,,,,,,,,,,
211,lâche—,détache—,Le sachem,ache—,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Visages—Pâles,Visageé-Pûles,aitle bas du visage,Visages,,,,,,,,,,,,,,,,,,,,,,,,,,
213,vieilla1d,"…1_.....

--»—n

80 LA VEILLE111 11","VEILLE1nvnänn

IX","AH 

 

LA VEILLE111",Eveille,VEILLE11.1,,,,,,,,,,,,,,,,,,,,,,,,
214,suivezmoi,la‘suivre,supé—,Suivez,celui—,Suis,SUI,,,,,,,,,,,,,,,,,,,,,,,
215,crois—,crois,Crois,Crois-tu,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Loups-Hurons,Huron,Hnrons,Fumerons-,Hurons,,,,,,,,,,,,,,,,,,,,,,,,,
217,Lejeune,UN,lune,Aucune,c0une,Jeune,itune,,,,,,,,,,,,,,,,,,,,,,,
218,achar—,.y|,Haùdé,hasa1,hasar—,,,,,,,,,,,,,,,,,,,,,,,,,
219,J‘en,m‘en,l‘en,Je l‘en,s‘en,d‘en,j‘en,t‘en,en’,,,,,,,,,,,,,,,,,,,,,
220,mv1Ènu,niv1,Liv,Sri,RIV1,,,,,,,,,,,,,,,,,,,,,,,,,
221,S’e1'1lr,s’échapper,s’appuyer,s’,s’abat,,,,,,,,,,,,,,,,,,,,,,,,,
