cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40
11,Illes,LL,gileltes,compagnles,tillon,dailleitrs,- Est-elle,fmille,notrefamille,belle-fille',yille,soleil,ieille,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,verrou,Carrousel,leroi,Rouey,Rouy,Rou-,linterrogea,verroux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,visage1LE,Yisage,sa116,messagerl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Mothe,LHE,La Mothe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,obeir,benis,Venise,beni,j-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,provincef,Providence,Fidoncl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,lavie,h98,Ig,Chavigon,Chavignon,chavannes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,de France,deFrance,france,grace,C0nnaissance,Inconsequence,esperance,la France,Cour de France,Francois I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,CHIAITLU,Jetais,aimais,aiti,IM,Vaiment?LE,aivu,wrai2,Jirai,jaais,Iais,sais,Elleaimait,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,CHATAU,CHATLEAU,CIIATEAU,chateau,CHATEAU,beate,CIHATEAU,CHA1EAU,CGHAEAU,L CHTATEAU,IE CHAIEAU,CATEAU,CIATEAU,CHRATEAU,CHAEAU,CEATEAU,CHAIEAU,CHEATLEAU,le chteau,CHAITEAU,Emi-.LE CHATIEAU,chatelenie,CHEAU,,,,,,,,,,,,,,,,,,
21,MI,MIa-,Pa-,miains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,sonarrivee,Arrivee,Navarre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Imon,Desmonte,monL,Monlespan,Onlui assua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,paysl,Partez,D,Parisf,Paris,Mlarie,N6is,Veu epars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Lambertremit,Cerberes,Enfer-,tomber332,traferse,colere,recerai,etrangeres,emeraudes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Gardez,gard,Gardez-vous-en bienl,deix,Cedez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Y0us,Eusse,Aussit0,jusqa,Bussy,Bussy-La-,M. de Bussy,Bussy-Lameth,Aussitbt,Bussy-Lumeth,"Bussy
d'Amboise",iussy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Ayohs,Bohemienne,Bohemiens,Ohl,cheminee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Mortagne,Pignerol,s0upconne,neth,ne234,Allemagne,gne,Espagne,Grignan,Champagne,Bourgogne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Clany,la(Ga-,palais de la reine,galantin,Sint-Jean-d'Acre,Lanuit,egal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,ce324,g328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Coucy ' Y-eut-
ilun possesseur",Abbesse,abbe,fese,"tresses,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,riIV,perduelIIIIIIII,"II
I",II,Biissy,JUS0I1 IlI III,IIE GIIATEAU,"II

iivIr
IIIII
Lalettre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"importel
- Vous etes un grand enfant",mantes,tete-h-tete,vousaitE,hte,tesl,tete,F0te-LL,lete,gazette7,lavaitpas repetee,jetee,Terre-Sainte,Persistez,lavoute,Delette,surete,,,,,,,,,,,,,,,,,,,,,,,,
35,fievre,"chealier de
Grignan",AA,Laalliere,blie,Liee,fallt,Fiere,Valliere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,accordehl,Eh,.-Eh,dehorsne,Ehiol,biehi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,yeu,eux;1,au-,oleur,Aureu,aulx,"j'aurail'hon-
neur d'escorter",Crevecaeur,- Ilaura,I9,Maures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,l06,"terre,206  L cHATA p PINoN.","terre,206  L cHATA p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,jura,Tout-h-eoup,Tours,detoue,tour,toul,toujoursl,luitournt,--Tout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,roi pres de mademoiselle,Mlademoiselle,foisl,Mademoiselle de Roucy,Made-,moihs,moiselle de Roucy,demanda,mademoiselle,Mesdemoiselles,Mlademoislle,Dubois,moiselle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,place auprs de la fentetre,"place de Jo-
guet",h Joguet,Jo-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,certainemenl,"cousine ger-
maine",Mal-,maine,sine,Bouvines,Aixin,Fontainebleau,Chapelainf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Dreux,fepondre,Flandre,repondre,po,dres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Ceslt,nuyes,geste282,eveques,ees,Grces,Cest,Est,qiestiohher,Majeste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,chose3,aoue,echoue,houx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,leeque,unelettre,tonnelle,elle-mee,selle,le330,faireles,clle,ple,allee,qulelle,cetle,ellen',a - Elle,Rappelez-vousLE,hOtellerie,jeler,seLE,,,,,,,,,,,,,,,,,,,,,,,
47,parc d'Anizy,chteau d'Anizy,lyrannie,Ani-,Ansizy-le-Chttel,Anizy,maniat,Aizy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,larmee,ressemblancc,passee,laissel,Lassee,Ramasse,Y0yee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,leerire,soirl,Sire,soiree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Ouvre,0uVea,trouvezR-,Trouvez-,Croyez-,A,trouvez-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Coeur-de-Roy,".,-",Cour-de-Roy,Ceur-de-Roy,carioledeM. Ceur-de-Roy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,-Prenez,precher,Apres,Beaupre,pre,prelat,Premontre,tomprendre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,r-----.-.-,ccc:::--148,--- Oui,- lJe,---Je,--Je,CL.---202,t63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,luil,la marquisen',Quincy,quie,Jusquici,equipagcs,Fiesque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,tradition124,PIo,si110,M,ckaA E IioN.,E irioN.,Ion-,reunion,Sion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,konseigneur,Monsieurl,Dieuni,Nnsie,pensie,Nonsieur,Mlonseigneur,Normandie,Mlonsieur,messieurs?190 r. cA2A E INoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Rochefort,HIautefort,- Fort,-Ilfaut,Hautefort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,HI1I0,Sis-,IISI0I.,I.E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,nela,Helas,sujels,celui-l !,delre,el,Helasl,elana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,CATLAU bDE PINON,LU CHRATLAU,casde,Lauzun,CATLAU bDE,ra-LE CATLAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Chardu,"marechal de
Schomberg",Tonnay-Charente,chares,sur-le-champ,chard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Ieudicourt,"maduame
d'Heudicourt",Mothe-Houdancourt,Heudicourt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,L.L,l.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,jardin des Hlesperides,Ursulines,Thurin,Ursulines de,couvent des Ursulines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,selle de Roucy,M. de Roucy,sire de Coucy,"fete
de Coucy",-MIa chre Corcy,fete de Coucy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,vree,t0t peut-etre,apparemmenl,trattre.-,- Tres,Tarente,dents.306,abbaye de Premontre,crirenl,Eneore,elle-mee eontre,Rentree,Reellement,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,philosophiquemenl,vengeraiNi,mentce,lunt,Saint-Gahriel,rue Saint-Honore,expliquerf,"chosedepuarfaitementdis-
tingue",melier  Saint-Quentin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Piehard,Picsrdie,piers,Picarde,Picardie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Iguison,-Louison,Oh l Louison,bonheui,Sissone,Soissons,Louis-le-Gros,Louison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,ecria,cupee,recut,vecu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,san-,Orleans,sanss',leans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"chateau
de Versailles",chateau de Versailles,Versailles,Villers-Cotterets,de Versailles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Mladame,Madamef,Lamethen,Lam-,Iadame,Madamel,Am-,Lameth,Nadame,Maame,adresse  Lamhert,Lamelh,Mludame.1,Mlade-,ladame,,,,,,,,,,,,,,,,,,,,,,,,,,
